Date,Ticker,Open,High,Low,Close,Volume
2023-06-12,AACT,10.1,10.15,10.1,10.12,603102.0
2023-06-13,AACT,10.14,10.14,10.11,10.11,5515.0
2023-06-14,AACT,10.11,10.13,10.095,10.0998,143889.0
2023-06-15,AACT,10.11,10.11,10.1,10.11,2061100.0
2023-06-16,AACT,10.12,10.12,10.11,10.11,250958.0
2023-06-20,AACT,10.13,10.13,10.11,10.12,102816.0
2023-06-21,AACT,10.13,10.13,10.12,10.12,8195.0
2023-06-22,AACT,10.13,10.13,10.12,10.12,652166.0
2023-06-23,AACT,10.13,10.14,10.13,10.14,395083.0
2023-06-26,AACT,10.14,10.1703,10.13,10.1401,15478.0
2023-06-27,AACT,10.14,10.16,10.14,10.15,225169.0
2023-06-28,AACT,10.16,10.1601,10.16,10.1601,93524.0
2023-06-29,AACT,10.19,10.19,10.15,10.16,155297.0
2023-06-30,AACT,10.17,10.17,10.155,10.155,5184.0
2023-07-03,AACT,10.16,10.16,10.15,10.15,2115.0
2023-07-05,AACT,10.15,10.17,10.15,10.17,2256.0
2023-07-06,AACT,10.16,10.18,10.16,10.18,5181.0
2023-07-07,AACT,10.17,10.175,10.17,10.17,17958.0
2023-07-10,AACT,10.15,10.17,10.15,10.15,57522.0
2023-07-11,AACT,10.15,10.17,10.15,10.16,54054.0
2023-07-13,AACT,10.16,10.16,10.16,10.16,115130.0
2023-07-14,AACT,10.17,10.17,10.1663,10.1663,1511.0
2023-07-17,AACT,10.165,10.17,10.16,10.16,13460.0
2023-07-19,AACT,10.16,10.16,10.16,10.16,10110.0
2023-07-20,AACT,10.17,10.17,10.165,10.17,11039.0
2023-07-21,AACT,10.1768,10.18,10.1686,10.17,1800.0
2023-07-24,AACT,10.18,10.18,10.17,10.17,154566.0
2023-07-25,AACT,10.17,10.19,10.17,10.19,82398.0
2023-07-26,AACT,10.19,10.19,10.17,10.19,59951.0
2023-07-27,AACT,10.17,10.19,10.17,10.19,3508.0
2023-07-28,AACT,10.19,10.19,10.17,10.18,83518.0
2023-07-31,AACT,10.17,10.19,10.17,10.19,3851.0
2023-08-01,AACT,10.2,10.22,10.17,10.18,21908.0
2023-08-02,AACT,10.18,10.18,10.18,10.18,29322.0
2023-08-03,AACT,10.18,10.18,10.18,10.18,200007.0
2023-08-04,AACT,10.18,10.18,10.18,10.18,231949.0
2023-08-08,AACT,10.18,10.2,10.18,10.2,58680.0
2023-08-09,AACT,10.19,10.19,10.19,10.19,48516.0
2023-08-10,AACT,10.21,10.21,10.19,10.2,33285.0
2023-08-11,AACT,10.21,10.21,10.2,10.2,37565.0
2023-08-14,AACT,10.2001,10.2001,10.2001,10.2001,400.0
2023-08-16,AACT,10.23,10.23,10.21,10.21,203.0
2023-08-17,AACT,10.23,10.24,10.2001,10.2001,599.0
2023-08-18,AACT,10.21,10.21,10.21,10.21,246.0
2023-08-21,AACT,10.22,10.225,10.21,10.21,1897.0
2023-08-22,AACT,10.21,10.21,10.2,10.2,57366.0
2023-08-23,AACT,10.24,10.24,10.2,10.2,54216.0
2023-08-25,AACT,10.2,10.23,10.19,10.22,3901348.0
2023-08-28,AACT,10.21,10.22,10.21,10.21,874997.0
2023-08-29,AACT,10.21,10.21,10.21,10.21,50002.0
2023-08-30,AACT,10.23,10.23,10.22,10.23,59112.0
2023-08-31,AACT,10.23,10.23,10.23,10.23,4195.0
2023-09-01,AACT,10.23,10.24,10.23,10.24,550279.0
2023-09-05,AACT,10.24,10.24,10.23,10.23,39055.0
2023-09-06,AACT,10.23,10.24,10.23,10.23,45580.0
2023-09-07,AACT,10.23,10.23,10.23,10.23,281152.0
2023-09-08,AACT,10.23,10.24,10.23,10.23,31974.0
2023-09-11,AACT,10.24,10.29,10.24,10.29,34504.0
2023-09-12,AACT,10.26,10.26,10.23,10.23,56845.0
2023-09-13,AACT,10.235,10.2395,10.235,10.235,7971.0
2023-09-14,AACT,10.24,10.25,10.235,10.24,47077.0
