Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,ACGL,57.53,58.6,57.17,57.56,1982885.0
2022-11-10,ACGL,58.78,58.99,57.35,58.4,2463343.0
2022-11-11,ACGL,58.84,59.14,56.415,56.77,3240207.0
2022-11-14,ACGL,56.91,57.23,56.34,56.36,2036568.0
2022-11-15,ACGL,56.75,56.88,55.62,56.21,2373617.0
2022-11-16,ACGL,56.29,56.85,56.16,56.52,1392059.0
2022-11-17,ACGL,56.18,56.77,56.0,56.55,2028014.0
2022-11-18,ACGL,56.84,57.785,56.78,57.67,2015192.0
2022-11-21,ACGL,57.71,58.02,57.09,57.16,1448397.0
2022-11-22,ACGL,57.52,57.94,57.3401,57.78,1685687.0
2022-11-23,ACGL,57.78,58.41,57.7,58.05,1046174.0
2022-11-25,ACGL,58.21,58.9,58.1506,58.73,614807.0
2022-11-28,ACGL,58.58,58.78,57.99,58.02,1608064.0
2022-11-29,ACGL,58.21,59.02,57.72,58.98,2059165.0
2022-11-30,ACGL,58.68,60.07,58.38,59.91,4182355.0
2022-12-01,ACGL,60.46,60.46,59.21,59.76,1685535.0
2022-12-02,ACGL,59.39,60.745,59.155,60.6,2161693.0
2022-12-05,ACGL,60.37,60.43,58.71,59.17,1492444.0
2022-12-06,ACGL,59.23,60.7,59.095,60.54,1809802.0
2022-12-07,ACGL,60.35,60.68,59.815,60.15,1853225.0
2022-12-08,ACGL,60.43,61.2,60.42,60.56,2142859.0
2022-12-09,ACGL,60.44,60.97,59.99,60.04,1561013.0
2022-12-12,ACGL,60.09,60.31,59.56,60.0,2142156.0
2022-12-13,ACGL,60.67,60.88,59.345,59.9,1540691.0
2022-12-14,ACGL,60.12,60.88,59.86,60.32,2016602.0
2022-12-15,ACGL,60.09,60.945,60.02,60.75,2116411.0
2022-12-16,ACGL,60.46,61.45,59.96,61.03,6451227.0
2022-12-19,ACGL,60.88,61.69,60.4,60.54,1738280.0
2022-12-20,ACGL,61.73,62.35,60.99,62.24,2582438.0
2022-12-21,ACGL,62.45,63.53,62.23,63.36,1831646.0
2022-12-22,ACGL,63.09,63.36,62.37,62.85,1396385.0
2022-12-23,ACGL,62.91,63.44,62.65,63.38,890275.0
2022-12-27,ACGL,63.38,63.875,63.12,63.62,666742.0
2022-12-28,ACGL,63.67,63.8,62.59,62.6,1107930.0
2022-12-29,ACGL,62.74,63.35,62.6,63.11,1063408.0
2022-12-30,ACGL,62.72,62.94,62.395,62.78,1116087.0
2023-01-03,ACGL,62.61,62.74,61.85,62.46,1492870.0
2023-01-04,ACGL,62.87,63.125,62.37,62.77,1870738.0
2023-01-05,ACGL,62.52,63.13,62.41,62.94,1547982.0
2023-01-06,ACGL,63.21,64.055,62.99,63.9,1557850.0
2023-01-09,ACGL,63.7056,63.99,62.45,62.67,1934552.0
