Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,ADALW,0.1003,0.12,0.1003,0.1109,2623
2022-11-14,ADALW,0.1,0.1,0.1,0.1,186
2022-11-17,ADALW,0.11,0.11,0.11,0.11,153
2022-11-30,ADALW,0.0847,0.1,0.0688,0.1,77761
2022-12-01,ADALW,0.085,0.085,0.07,0.07,124936
2022-12-06,ADALW,0.15,0.15,0.1497,0.1497,757
2022-12-14,ADALW,0.13,0.13,0.13,0.13,100
2022-12-30,ADALW,0.1124,0.1124,0.11,0.11,384
2023-01-06,ADALW,0.0812,0.1434,0.0812,0.1198,4925
2023-01-13,ADALW,0.12,0.12,0.12,0.12,202
2023-01-19,ADALW,0.115,0.12,0.115,0.115,15000
2023-01-24,ADALW,0.088,0.088,0.088,0.088,164
2023-02-16,ADALW,0.0801,0.0801,0.0571,0.0571,33269
2023-02-17,ADALW,0.0627,0.0766,0.051,0.051,4640
2023-02-21,ADALW,0.056,0.056,0.0202,0.0349,26177
2023-02-22,ADALW,0.0368,0.0443,0.0182,0.02,72460
2023-02-23,ADALW,0.02,0.0214,0.014,0.0195,111700
2023-02-24,ADALW,0.0256,0.0256,0.0141,0.015,103020
2023-02-27,ADALW,0.0687,0.0698,0.0175,0.0175,10701
2023-02-28,ADALW,0.07,0.07,0.014,0.05,7200
2023-03-01,ADALW,0.04,0.05,0.04,0.0495,1690
2023-03-02,ADALW,0.048,0.048,0.048,0.048,771
2023-03-06,ADALW,0.0445,0.0445,0.0151,0.03,61278
2023-03-07,ADALW,0.0312,0.0342,0.03,0.0301,17901
2023-03-08,ADALW,0.0675,0.0675,0.04,0.06,15600
2023-03-09,ADALW,0.0575,0.0575,0.0575,0.0575,500
2023-03-10,ADALW,0.05,0.05,0.05,0.05,501
2023-03-13,ADALW,0.06,0.06,0.06,0.06,502
2023-03-14,ADALW,0.0595,0.06,0.05,0.06,1989
2023-03-15,ADALW,0.06,0.06,0.06,0.06,502
2023-03-16,ADALW,0.06,0.06,0.06,0.06,502
2023-03-17,ADALW,0.06,0.06,0.06,0.06,500
2023-03-20,ADALW,0.05,0.05,0.05,0.05,500
2023-03-21,ADALW,0.05,0.05,0.0156,0.0156,15500
2023-03-22,ADALW,0.048,0.048,0.048,0.048,500
2023-03-23,ADALW,0.047,0.047,0.0194,0.023,2037
2023-03-24,ADALW,0.046,0.046,0.0168,0.0199,4005
2023-03-27,ADALW,0.043,0.043,0.043,0.043,506
2023-03-28,ADALW,0.0414,0.0414,0.0414,0.0414,568
2023-03-29,ADALW,0.039,0.0407,0.024,0.025,4894
2023-03-30,ADALW,0.0327,0.0355,0.0272,0.0355,10571
2023-04-03,ADALW,0.0425,0.0425,0.0425,0.0425,502
2023-04-04,ADALW,0.046,0.046,0.046,0.046,512
2023-04-05,ADALW,0.046,0.046,0.017,0.0207,1765
2023-04-06,ADALW,0.044,0.044,0.044,0.044,502
2023-04-10,ADALW,0.045,0.045,0.045,0.045,504
2023-04-11,ADALW,0.045,0.045,0.0194,0.0241,6305
2023-04-12,ADALW,0.0385,0.0439,0.03,0.03,3208
2023-04-13,ADALW,0.0396,0.0426,0.0218,0.0218,2695
2023-04-14,ADALW,0.044,0.0444,0.0067,0.0072,222812
2023-04-17,ADALW,0.0195,0.0195,0.0077,0.007799,34355
2023-04-18,ADALW,0.0122,0.0207,0.0082,0.0083,17681
2023-04-19,ADALW,0.0099,0.0384,0.0092,0.0092,22717
2023-04-20,ADALW,0.0129,0.0365,0.0065,0.0065,20529
2023-04-21,ADALW,0.0056,0.0059,0.0029,0.0029,106469
2023-04-24,ADALW,0.0034,0.0092,0.0034,0.0058,39933
2023-04-25,ADALW,0.0058,0.0058,0.0034,0.0045,33361
2023-04-26,ADALW,0.0058,0.0076,0.0052,0.0052,7799
2023-04-27,ADALW,0.0048,0.01989,0.0047,0.0088,15251
2023-05-01,ADALW,0.009,0.0094,0.0032,0.0033,319009
2023-05-02,ADALW,0.0033,0.0033,0.0019,0.00191,36413
