Date,Ticker,Open,High,Low,Close,Volume
2024-01-22,AFJKR,0.18,0.21,0.18,0.1935,2143464.0
2024-01-23,AFJKR,0.21,0.21,0.19,0.2,1400.0
2024-01-24,AFJKR,0.19,0.2,0.18,0.198,328900.0
2024-01-25,AFJKR,0.19,0.1902,0.18,0.1902,404992.0
2024-01-26,AFJKR,0.19,0.19,0.19,0.19,3094.0
2024-01-30,AFJKR,0.1801,0.1801,0.18,0.18,39006.0
2024-02-01,AFJKR,0.2,0.2,0.17,0.1849,11900.0
2024-02-09,AFJKR,0.1701,0.1801,0.1701,0.1801,26600.0
2024-02-12,AFJKR,0.18,0.18,0.18,0.18,1100.0
2024-02-15,AFJKR,0.21,0.22,0.2,0.22,16502.0
2024-02-16,AFJKR,0.22,0.22,0.22,0.22,1402.0
2024-02-23,AFJKR,0.1801,0.21,0.1801,0.21,6000.0
2024-02-26,AFJKR,0.19,0.19,0.19,0.19,201.0
2024-02-27,AFJKR,0.22,0.22,0.1901,0.1901,25116.0
2024-02-29,AFJKR,0.15,0.18,0.15,0.18,2278.0
2024-03-01,AFJKR,0.1901,0.22,0.1901,0.22,5202.0
2024-03-07,AFJKR,0.23,0.23,0.23,0.23,102.0
2024-03-13,AFJKR,0.2,0.2,0.2,0.2,49201.0
2024-03-15,AFJKR,0.2,0.2,0.2,0.2,10000.0
2024-03-26,AFJKR,0.1801,0.2,0.1801,0.2,15200.0
2024-04-01,AFJKR,0.21,0.25,0.21,0.2196,16913.0
2024-04-15,AFJKR,0.21,0.2201,0.21,0.22,10000.0
2024-04-19,AFJKR,0.21,0.22,0.21,0.22,12000.0
2024-04-22,AFJKR,0.221,0.221,0.2201,0.2201,14201.0
2024-05-06,AFJKR,0.215001,0.215001,0.215001,0.215001,150.0
2024-05-07,AFJKR,0.22,0.22,0.22,0.22,500.0
2024-06-18,AFJKR,0.22,0.22,0.219751,0.219751,600.0
2024-06-20,AFJKR,0.25,0.3,0.25,0.25,194998.0
2024-06-21,AFJKR,0.25,0.25,0.25,0.25,4315.0
2024-06-24,AFJKR,0.2201,0.24,0.2201,0.23,52487.0
2024-06-25,AFJKR,0.2201,0.23,0.2201,0.23,2598.0
2024-06-26,AFJKR,0.23,0.230001,0.23,0.230001,200.0
2024-06-27,AFJKR,0.21,0.21,0.21,0.21,550.0
2024-06-28,AFJKR,0.21,0.21,0.21,0.21,100.0
2024-07-02,AFJKR,0.21,0.21,0.21,0.21,160700.0
2024-07-26,AFJKR,0.24,0.29,0.2364,0.29,36504.0
2024-07-30,AFJKR,0.25,0.25,0.25,0.25,500.0
2024-08-02,AFJKR,0.264,0.264,0.2495,0.25,43500.0
2024-09-30,AFJKR,0.29,0.29,0.23,0.23,700.0
2024-10-08,AFJKR,0.242,0.242,0.23,0.23,1500.0
2024-10-10,AFJKR,0.244,0.244,0.23,0.23,5000.0
2024-10-16,AFJKR,0.21,0.22,0.21,0.22,400.0
2024-10-17,AFJKR,0.22,0.23,0.1944,0.2,21080.0
2024-10-23,AFJKR,0.25,0.25,0.23,0.23,1252.0
2024-10-28,AFJKR,0.2992,0.2992,0.192,0.192,2150.0
2024-10-30,AFJKR,0.272,0.3,0.272,0.28,11187.0
2024-10-31,AFJKR,0.212,0.212,0.2119,0.2119,205.0
2024-11-04,AFJKR,0.2365,0.2365,0.2365,0.2365,430.0
2024-11-05,AFJKR,0.2298,0.2298,0.2298,0.2298,130.0
