Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,AGEN,44.2,45.0,40.2,40.4,240993.4
2022-11-10,AGEN,42.6,49.7,42.2,49.0,475485.9
2022-11-11,AGEN,48.0,51.6,47.8,50.2,257673.0
2022-11-14,AGEN,51.8,59.8,50.8,58.6,801267.15
2022-11-15,AGEN,60.0,63.8,56.6,63.4,519363.2
2022-11-16,AGEN,62.8,67.4,61.6,65.0,330128.65
2022-11-17,AGEN,64.4,65.4,61.4,63.4,268414.6
2022-11-18,AGEN,65.4,66.2,60.6,61.2,232749.3
2022-11-21,AGEN,60.6,61.6,58.9,59.8,182677.65
2022-11-22,AGEN,60.8,61.0,57.2,60.8,196938.95
2022-11-23,AGEN,60.6,61.4,59.4,60.0,128139.65
2022-11-25,AGEN,59.2,59.4,55.9,56.2,123064.15
2022-11-28,AGEN,55.2,57.0,53.2,53.6,158816.75
2022-11-29,AGEN,54.0,54.2,51.6,52.6,122202.0
2022-11-30,AGEN,52.6,55.7,51.4,54.0,271566.75
2022-12-01,AGEN,53.8,53.8,52.0,52.8,133172.0
2022-12-02,AGEN,52.0,59.8,51.2,59.4,173419.2
2022-12-05,AGEN,59.0,59.0,53.4,55.8,200099.75
2022-12-06,AGEN,55.4,55.8,51.0,51.2,180797.05
2022-12-07,AGEN,50.8,51.0,48.7,49.4,229064.15
2022-12-08,AGEN,51.6,52.0,48.6,50.2,170975.9
2022-12-09,AGEN,49.6,50.0,48.2,48.4,135388.0
2022-12-12,AGEN,48.6,55.6,47.8,55.0,177818.15
2022-12-13,AGEN,55.6,56.8,53.4,55.8,180952.2
2022-12-14,AGEN,55.2,55.9,52.9,53.8,185069.55
2022-12-15,AGEN,53.4,53.4,48.0,48.8,235121.2
2022-12-16,AGEN,48.2,49.0,46.8,47.8,407644.85
2022-12-19,AGEN,47.8,48.0,45.4,46.2,208023.5
2022-12-20,AGEN,45.8,47.748,45.8,47.6,199281.4
2022-12-21,AGEN,48.8,50.4,47.2,48.8,172128.55
2022-12-22,AGEN,48.4,51.4,47.6,51.2,140655.85
2022-12-23,AGEN,50.4,51.8,47.7,49.0,131478.85
2022-12-27,AGEN,48.6,49.0,46.2,46.4,145601.65
2022-12-28,AGEN,46.4,48.2,43.2,43.4,207465.4
2022-12-29,AGEN,43.6,48.0,42.6,46.2,248291.4
2022-12-30,AGEN,46.2,48.2,45.4,48.0,180597.85
2023-01-03,AGEN,48.2,50.8,47.6,48.0,196024.4
2023-01-04,AGEN,48.4,51.2,47.7,50.4,178328.95
2023-01-05,AGEN,49.6,49.6,47.8,49.0,143947.65
2023-01-06,AGEN,49.2,49.2,47.4,48.0,125640.9
2023-01-09,AGEN,48.6,49.4,46.5,47.4,170549.1
2023-01-10,AGEN,47.8,53.0,47.6,52.8,202142.65
2023-01-11,AGEN,53.2,53.8,50.6,52.8,193130.45
2023-01-12,AGEN,53.2,57.5,52.0,57.4,250535.1
2023-01-13,AGEN,56.2,61.392,56.2,59.0,270149.25
2023-01-17,AGEN,59.2,59.6,54.602,55.6,176955.55
2023-01-18,AGEN,55.8,57.4,53.8,54.0,197074.65
2023-01-19,AGEN,53.8,57.2,53.0,55.4,168359.1
2023-01-20,AGEN,56.6,57.284,52.6,54.0,297708.8
2023-01-23,AGEN,54.2,55.6,48.5,51.0,364798.95
2023-01-24,AGEN,50.4,52.18,49.4,51.8,170089.2
2023-01-25,AGEN,51.4,52.0,49.0,49.4,267446.2
2023-01-26,AGEN,49.8,50.0,47.1,48.8,215828.2
2023-01-27,AGEN,48.8,53.4,48.4,52.6,254622.6
2023-01-30,AGEN,52.0,53.6,51.0,51.0,172578.45
2023-01-31,AGEN,51.6,53.0,51.4,52.2,148599.95
2023-02-01,AGEN,52.0,52.6,49.6,51.8,219393.15
2023-02-02,AGEN,53.0,54.3,51.3,53.0,319421.6
2023-02-03,AGEN,52.2,53.3,51.4,51.4,150143.15
2023-02-06,AGEN,51.6,53.4,50.8,51.2,142809.05
2023-02-07,AGEN,51.0,52.2,49.6,51.2,148511.8
2023-02-08,AGEN,50.2,51.5,47.2,47.6,232778.55
2023-02-09,AGEN,49.2,49.2,46.0,46.2,188125.95
2023-02-10,AGEN,46.0,46.04,42.8,44.4,220994.85
2023-02-13,AGEN,44.4,45.0,43.0,44.2,112930.6
2023-02-14,AGEN,44.0,45.2,43.0,43.8,139652.0
2023-02-15,AGEN,43.8,43.8,42.0,43.2,140844.25
2023-02-16,AGEN,42.8,43.5,42.2,42.6,239537.45
2023-02-17,AGEN,43.0,44.2,41.8,43.8,191945.25
2023-02-21,AGEN,43.0,43.8,41.4,41.4,249657.75
2023-02-22,AGEN,41.4,42.5,40.8,41.0,224020.15
2023-02-23,AGEN,41.2,42.2,40.8,41.8,257373.85
2023-02-24,AGEN,41.6,41.6,39.2,39.6,243867.95
2023-02-27,AGEN,40.2,40.8,39.0,39.4,183419.45
2023-02-28,AGEN,40.6,42.1,39.8,41.2,289267.75
2023-03-01,AGEN,41.0,41.5,38.0,38.8,264026.7
2023-03-02,AGEN,38.2,39.4,38.2,38.8,256077.55
2023-03-03,AGEN,39.4,39.7,38.2,39.2,213959.25
2023-03-06,AGEN,39.2,39.3,36.4,36.8,197045.85
2023-03-07,AGEN,36.8,36.8,34.4,34.8,375018.05
2023-03-08,AGEN,35.4,35.8,33.6,34.0,184663.05
2023-03-09,AGEN,34.6,35.3,32.3,33.0,291313.45
2023-03-10,AGEN,33.0,33.4,28.2,30.0,730951.8
2023-03-13,AGEN,29.6,34.8,29.4,34.2,399040.15
2023-03-14,AGEN,37.8,39.0,33.2,35.8,405245.25
2023-03-15,AGEN,35.4,38.7,34.4,37.8,304299.55
2023-03-16,AGEN,38.2,40.1,36.6,36.6,317230.25
2023-03-17,AGEN,36.4,36.8,33.6,34.0,753685.2
2023-03-20,AGEN,34.0,34.8,32.5,32.8,200230.7
2023-03-21,AGEN,32.4,34.0,32.4,32.6,198859.8
2023-03-22,AGEN,32.8,32.8,30.0,30.4,218731.9
2023-03-23,AGEN,31.2,31.2,29.0,29.6,219356.05
2023-03-24,AGEN,29.2,30.4,28.8,29.8,249375.6
2023-03-27,AGEN,30.0,32.4,29.6,31.2,251480.75
2023-03-28,AGEN,32.0,32.0,29.2,29.6,209147.8
2023-03-29,AGEN,29.8,31.7,29.6,31.2,198434.15
2023-03-30,AGEN,31.2,32.2,28.8,29.0,177252.25
2023-03-31,AGEN,29.6,31.0,29.0,30.4,185015.25
2023-04-03,AGEN,30.4,31.8,30.0,31.4,273729.6
2023-04-04,AGEN,31.6,32.0,29.2,29.8,222520.75
2023-04-05,AGEN,29.6,30.8,28.4,29.0,148736.6
2023-04-06,AGEN,29.0,29.8,28.2,29.6,143690.45
2023-04-10,AGEN,29.4,29.6,27.0,27.8,208297.3
2023-04-11,AGEN,28.0,28.2,26.8,27.4,203261.9
2023-04-12,AGEN,27.4,27.662,26.0,26.2,131248.05
2023-04-13,AGEN,26.2,30.4,26.2,30.0,359204.15
2023-04-14,AGEN,30.0,30.2,28.0,29.0,144604.55
2023-04-17,AGEN,30.2,34.0,29.6,33.6,389555.85
2023-04-18,AGEN,35.0,36.0,32.6,34.0,363558.7
2023-04-19,AGEN,34.0,37.2,34.0,36.0,294788.95
2023-04-20,AGEN,35.4,35.6,32.8,33.6,289451.25
2023-04-21,AGEN,33.0,36.798,33.0,35.6,306850.55
2023-04-24,AGEN,36.0,37.2,33.8,34.8,311406.5
2023-04-25,AGEN,34.4,37.4,32.6,32.8,347538.75
2023-04-26,AGEN,32.2,33.1,31.4,31.6,157186.65
2023-04-27,AGEN,31.8,32.1,29.8,30.0,171184.2
2023-04-28,AGEN,30.0,31.2,29.7,30.2,246628.95
2023-05-01,AGEN,30.2,30.8,29.4,30.2,263705.8
2023-05-02,AGEN,30.6,30.8,28.0,28.2,249178.25
2023-05-03,AGEN,28.6,30.6,28.0,29.8,401894.55
2023-05-04,AGEN,30.6,31.2,29.6,30.6,402820.15
2023-05-05,AGEN,31.0,32.4,30.8,31.4,283652.5
2023-05-08,AGEN,32.0,32.8,31.0,31.8,228254.85
2023-05-09,AGEN,31.4,31.882,28.6,30.0,183055.6
2023-05-10,AGEN,30.4,32.4,29.6,30.8,144730.15
2023-05-11,AGEN,30.4,30.4,27.6,28.0,327049.45
2023-05-12,AGEN,28.6,28.7,27.6,28.4,134743.0
2023-05-15,AGEN,28.6,31.0,27.6,30.4,199319.15
2023-05-16,AGEN,30.0,30.2,27.6,28.0,192557.45
2023-05-17,AGEN,28.0,29.8,27.0,29.4,211135.4
2023-05-18,AGEN,29.0,30.0,27.6,28.4,234197.1
2023-05-19,AGEN,29.0,29.4,27.8,28.0,114925.85
2023-05-22,AGEN,28.2,30.0,28.064,29.8,186863.1
2023-05-23,AGEN,29.2,32.0,29.2,30.4,219224.15
2023-05-24,AGEN,30.2,30.328,27.8,28.0,187350.65
2023-05-25,AGEN,28.6,28.8,27.2,28.2,277551.55
2023-05-26,AGEN,29.0,29.0,27.4,29.0,160209.7
2023-05-30,AGEN,29.0,30.0,28.4,29.2,169095.2
2023-05-31,AGEN,29.4,31.4,28.6,31.2,305684.15
2023-06-01,AGEN,30.8,32.5,29.8,31.8,157688.25
2023-06-02,AGEN,32.0,32.752,31.018,32.0,165954.55
2023-06-05,AGEN,32.2,35.8,31.6,34.6,420427.05
2023-06-06,AGEN,35.2,37.6,34.6,37.0,423964.9
2023-06-07,AGEN,38.4,39.2,36.826,37.6,252176.75
2023-06-08,AGEN,38.0,41.8,36.6,40.8,453837.15
2023-06-09,AGEN,41.2,42.6,38.7,39.8,613078.6
2023-06-12,AGEN,39.8,41.2,37.0,40.0,449416.05
2023-06-13,AGEN,40.2,40.4,38.6,39.2,426412.55
2023-06-14,AGEN,39.0,39.9,35.4,36.6,645799.2
2023-06-15,AGEN,36.4,36.8,35.2,36.2,219804.9
2023-06-16,AGEN,36.2,36.4,34.6,35.4,1075007.65
2023-06-20,AGEN,35.6,38.0,34.6,37.4,242091.25
2023-06-21,AGEN,37.4,38.4,36.0,36.8,172771.75
2023-06-22,AGEN,36.4,37.0,35.4,35.6,122101.65
2023-06-23,AGEN,35.2,35.4,34.0,34.6,830353.0
2023-06-26,AGEN,34.0,34.4,32.8,32.8,172319.45
2023-06-27,AGEN,33.4,34.9,32.0,33.6,160641.4
2023-06-28,AGEN,33.6,34.4,33.0,34.2,184066.15
2023-06-29,AGEN,34.2,34.6,33.2,33.4,130685.1
2023-06-30,AGEN,33.6,35.2,31.6,32.0,339055.95
2023-07-03,AGEN,32.4,32.5,30.2,30.4,177842.2
2023-07-05,AGEN,30.6,34.0,29.8,33.6,374101.6
2023-07-06,AGEN,32.8,33.0,31.0,31.4,332511.85
2023-07-07,AGEN,31.0,33.2,31.0,32.8,166362.85
2023-07-10,AGEN,33.0,36.9,32.4,36.4,224203.65
2023-07-11,AGEN,36.0,37.4,35.814,37.2,115883.2
2023-07-12,AGEN,37.6,38.6,37.0,37.6,117452.15
2023-07-13,AGEN,37.8,38.0,36.8,37.0,87159.0
2023-07-14,AGEN,36.8,37.4,35.0,35.2,103881.4
2023-07-17,AGEN,35.0,36.8,34.4,34.6,137043.25
2023-07-18,AGEN,34.4,34.8,33.8,34.2,116014.8
2023-07-19,AGEN,34.2,34.8,33.6,34.0,173926.35
2023-07-20,AGEN,33.8,34.2,32.6,32.8,125434.75
2023-07-21,AGEN,33.0,33.6,32.4,32.4,174016.35
2023-07-24,AGEN,32.4,32.8,31.0,31.2,180018.95
2023-07-25,AGEN,31.6,31.6,30.2,30.2,145984.55
2023-07-26,AGEN,30.4,30.77,29.8,30.0,175687.95
2023-07-27,AGEN,30.6,30.6,28.8,29.0,251751.85
2023-07-28,AGEN,29.6,31.1,29.5,30.6,195384.5
2023-07-31,AGEN,31.2,31.6,30.2,30.4,170385.55
2023-08-01,AGEN,30.2,30.4,29.0,29.2,194463.65
2023-08-02,AGEN,29.4,29.4,28.4,29.0,174593.95
2023-08-03,AGEN,29.0,29.4,28.6,29.0,107081.75
2023-08-04,AGEN,29.2,30.1,28.8,29.2,162661.25
2023-08-07,AGEN,29.2,29.3,27.2,27.2,458901.7
2023-08-08,AGEN,27.4,27.598,23.6,25.0,415654.35
2023-08-09,AGEN,26.2,26.998,24.8,25.6,172966.55
2023-08-10,AGEN,25.6,27.0,25.4,26.4,141096.95
2023-08-11,AGEN,26.2,27.4,25.6,27.0,141606.15
2023-08-14,AGEN,27.0,27.0,25.8,26.8,156597.2
2023-08-15,AGEN,26.4,27.2,25.6,27.0,142540.7
2023-08-16,AGEN,26.6,26.9,25.0,25.2,156485.65
2023-08-17,AGEN,25.2,26.8,24.6,26.4,286627.0
2023-08-18,AGEN,27.0,32.0,26.6,29.4,902857.95
2023-08-21,AGEN,31.2,31.2,27.2,28.4,348204.7
2023-08-22,AGEN,28.4,31.0,27.8,30.2,330054.1
2023-08-23,AGEN,29.2,31.2,28.0,28.0,199929.95
2023-08-24,AGEN,28.4,28.4,26.4,26.6,172838.3
2023-08-25,AGEN,26.6,26.944,24.8,26.2,206619.75
2023-08-28,AGEN,26.2,27.8,26.2,27.6,189595.5
2023-08-29,AGEN,27.4,28.4,26.8,27.4,184320.8
2023-08-30,AGEN,27.4,28.8,26.6,28.4,200923.25
2023-08-31,AGEN,27.8,28.7,27.6,27.6,152622.75
2023-09-01,AGEN,27.8,28.9,27.5,27.8,181605.15
2023-09-05,AGEN,27.8,27.8,25.6,25.6,217184.9
2023-09-06,AGEN,25.6,26.708,24.4,25.6,199671.25
2023-09-07,AGEN,25.6,26.2,24.4,25.2,144156.1
2023-09-08,AGEN,25.2,25.5,24.4,24.6,118865.05
2023-09-11,AGEN,25.2,25.2,24.0,24.4,266685.2
2023-09-12,AGEN,24.4,26.3,24.2,25.6,243470.85
2023-09-13,AGEN,25.6,26.4,25.0,26.0,348422.7
2023-09-14,AGEN,26.4,27.2,25.6,26.0,188521.5
2023-09-15,AGEN,26.2,27.2,25.6,26.2,407522.85
2023-09-18,AGEN,25.8,25.8,24.8,25.0,162330.55
