Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,AGI,8.39,8.5496,8.22,8.29,4397378.0
2022-11-10,AGI,8.78,8.95,8.6,8.88,5375459.0
2022-11-11,AGI,8.86,8.95,8.76,8.88,3747059.0
2022-11-14,AGI,8.84,9.01,8.7899,8.94,3085187.0
2022-11-15,AGI,9.01,9.0868,8.89,8.93,5827458.0
2022-11-16,AGI,8.91,8.995,8.8384,8.93,3643083.0
2022-11-17,AGI,8.81,8.86,8.64,8.84,4018049.0
2022-11-18,AGI,8.84,8.925,8.66,8.92,4414498.0
2022-11-21,AGI,8.8,9.03,8.79,9.0,2670418.0
2022-11-22,AGI,9.09,9.455,9.08,9.44,3680941.0
2022-11-23,AGI,9.49,9.79,9.435,9.75,4261948.0
2022-11-25,AGI,9.7,9.805,9.565,9.61,1603156.0
2022-11-28,AGI,9.55,9.575,9.205,9.22,3707486.0
2022-11-29,AGI,9.36,9.615,9.32,9.48,4109551.0
2022-11-30,AGI,9.54,9.83,9.505,9.7,5457743.0
2022-12-01,AGI,9.87,10.03,9.715,9.92,2838450.0
2022-12-02,AGI,9.68,10.085,9.64,10.03,3099107.0
2022-12-05,AGI,9.89,9.945,9.71,9.76,2939498.0
2022-12-06,AGI,9.85,9.93,9.66,9.7,3700958.0
2022-12-07,AGI,9.78,10.05,9.78,9.95,3591898.0
2022-12-08,AGI,10.0,10.165,9.9443,10.04,4416207.0
2022-12-09,AGI,10.07,10.2,9.84,9.84,3144209.0
2022-12-12,AGI,9.74,9.9,9.65,9.89,3005516.0
2022-12-13,AGI,10.24,10.36,9.92,10.01,4217175.0
2022-12-14,AGI,10.0,10.04,9.735,9.92,2910771.0
2022-12-15,AGI,9.67,9.7333,9.435,9.49,5265243.0
2022-12-16,AGI,9.45,9.75,9.45,9.64,4849082.0
2022-12-19,AGI,9.63,9.71,9.475,9.51,3761741.0
2022-12-20,AGI,9.7,9.915,9.63,9.85,5226271.0
2022-12-21,AGI,9.92,10.08,9.915,10.0,2825988.0
2022-12-22,AGI,9.91,10.02,9.76,10.01,2268821.0
2022-12-23,AGI,10.03,10.17,9.86,9.99,2370162.0
