Date,Ticker,Open,High,Low,Close,Volume
2024-02-07,AHR,12.85,13.26,12.63,13.22,12732824.0
2024-02-08,AHR,13.02,13.24,13.0,13.06,1630336.0
2024-02-09,AHR,13.01,13.45,12.95,13.12,2062077.0
2024-02-12,AHR,13.95,14.56,13.1,13.15,1161182.0
2024-02-13,AHR,13.15,13.56,13.01,13.35,1631721.0
2024-02-14,AHR,13.4,13.9,13.25,13.76,1157560.0
2024-02-15,AHR,13.76,13.85,13.35,13.64,479389.0
2024-02-16,AHR,13.5,14.0,13.46,13.87,203640.0
2024-02-20,AHR,13.75,13.8891,13.36,13.41,524231.0
2024-02-21,AHR,13.41,13.56,13.25,13.4,194227.0
2024-02-22,AHR,13.35,13.66,13.0,13.55,888831.0
2024-02-23,AHR,13.55,13.8,13.5071,13.6,514542.0
2024-02-26,AHR,13.46,13.62,13.25,13.26,248354.0
2024-02-27,AHR,13.26,13.98,13.26,13.55,921965.0
2024-02-28,AHR,13.58,13.99,13.45,13.64,184100.0
2024-02-29,AHR,13.7,13.78,13.5,13.67,496244.0
2024-03-01,AHR,13.62,14.005,13.48,13.68,559784.0
2024-03-04,AHR,13.61,13.805,13.5,13.75,369204.0
2024-03-05,AHR,13.8,14.01,13.6,13.79,364268.0
2024-03-06,AHR,13.85,14.05,13.67,13.75,442518.0
2024-03-07,AHR,13.84,14.0,13.73,13.8,327898.0
2024-03-08,AHR,13.78,13.85,13.71,13.81,365128.0
2024-03-11,AHR,13.82,13.94,13.7,13.85,703879.0
2024-03-12,AHR,13.87,13.92,13.7,13.82,478379.0
2024-03-13,AHR,13.75,13.91,13.7,13.76,435216.0
2024-03-14,AHR,13.85,13.85,13.64,13.8,543838.0
2024-03-15,AHR,13.79,13.99,13.533,13.59,5803908.0
2024-03-18,AHR,13.59,13.89,13.58,13.83,940208.0
2024-03-19,AHR,13.82,14.14,13.75,13.9,991835.0
2024-03-20,AHR,13.82,14.085,13.7,14.04,715835.0
2024-03-21,AHR,14.1,14.33,14.0,14.18,890369.0
2024-03-22,AHR,14.42,14.58,13.69,13.93,1071367.0
2024-03-25,AHR,13.95,14.65,13.93,14.57,1410409.0
2024-03-26,AHR,14.8,14.85,14.22,14.49,1146260.0
2024-03-27,AHR,14.31,14.62,14.22,14.36,751038.0
2024-03-28,AHR,14.35,14.9,14.25,14.75,1381271.0
2024-04-01,AHR,14.9,14.9,14.3,14.49,2652887.0
2024-04-02,AHR,14.43,14.586,14.04,14.1,1208628.0
2024-04-03,AHR,14.17,14.43,13.85,13.98,2321141.0
2024-04-04,AHR,14.16,14.21,13.75,13.82,977165.0
2024-04-05,AHR,13.77,13.89,13.57,13.62,482368.0
2024-04-08,AHR,13.7,13.77,13.52,13.63,593919.0
2024-04-09,AHR,13.64,13.88,13.6,13.79,584808.0
2024-04-10,AHR,13.65,13.65,13.09,13.18,823341.0
2024-04-11,AHR,13.2,13.37,13.04,13.26,655056.0
2024-04-12,AHR,13.18,13.64,13.02,13.63,1606974.0
2024-04-15,AHR,13.63,13.63,13.21,13.25,641620.0
2024-04-16,AHR,13.19,13.25,12.81,13.0,672550.0
2024-04-17,AHR,13.0,13.23,12.98,13.01,520723.0
2024-04-18,AHR,13.05,13.455,12.92,13.42,987944.0
2024-04-19,AHR,13.42,13.56,13.035,13.21,860529.0
2024-04-22,AHR,13.19,13.27,13.02,13.25,403942.0
2024-04-23,AHR,13.31,13.719,13.31,13.62,730800.0
2024-04-24,AHR,13.58,13.81,13.58,13.69,410151.0
2024-04-25,AHR,13.6,13.71,13.35,13.69,300079.0
2024-04-26,AHR,13.7,13.92,13.61,13.68,315604.0
2024-04-29,AHR,13.68,14.01,13.68,13.87,426224.0
2024-04-30,AHR,13.86,14.01,13.73,13.73,227973.0
2024-05-01,AHR,13.79,14.12,13.7048,13.88,952787.0
2024-05-02,AHR,13.95,14.02,13.89,13.97,245009.0
2024-05-03,AHR,14.15,14.165,13.71,13.73,723140.0
2024-05-06,AHR,13.79,14.01,13.73,14.0,537197.0
2024-05-07,AHR,14.13,14.15,13.915,13.99,669231.0
2024-05-08,AHR,13.97,14.03,13.73,13.78,557160.0
2024-05-09,AHR,13.94,14.26,13.78,14.05,892326.0
2024-05-10,AHR,14.03,14.1968,14.0,14.01,617796.0
2024-05-13,AHR,14.16,14.26,14.03,14.09,591480.0
2024-05-14,AHR,14.0,14.31,13.86,14.0,700524.0
2024-05-15,AHR,14.33,14.59,14.155,14.55,1503581.0
2024-05-16,AHR,14.51,14.59,14.27,14.33,770764.0
2024-05-17,AHR,14.24,14.55,14.24,14.5,526121.0
2024-05-20,AHR,14.45,14.65,14.39,14.42,694044.0
2024-05-21,AHR,14.36,14.47,14.19,14.2,616800.0
2024-05-22,AHR,14.28,14.35,14.055,14.1,609027.0
