Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,AIM,0.51,0.51,0.477716,0.5004,162106.0
2022-11-10,AIM,0.4854,0.5,0.4838,0.5,159194.0
2022-11-11,AIM,0.49,0.52,0.4811,0.5163,65225.0
2022-11-14,AIM,0.514,0.5155,0.47,0.4811,143129.0
2022-11-15,AIM,0.48,0.5212,0.47,0.49644,129607.0
2022-11-16,AIM,0.4964,0.4964,0.4682,0.4861,203840.0
2022-11-17,AIM,0.47,0.509,0.46,0.4689,99707.0
2022-11-18,AIM,0.4611,0.5089,0.451,0.4775,143008.0
2022-11-21,AIM,0.47,0.483099,0.4506,0.46,79247.0
2022-11-22,AIM,0.48,0.483,0.44,0.452,108329.0
2022-11-23,AIM,0.433,0.47,0.4301,0.4411,161898.0
2022-11-25,AIM,0.43,0.45,0.4211,0.45,107599.0
2022-11-28,AIM,0.46,0.46,0.44,0.4401,46538.0
2022-11-29,AIM,0.43,0.43,0.4002,0.4051,220709.0
2022-11-30,AIM,0.4,0.4051,0.3853,0.405,343417.0
2022-12-01,AIM,0.4,0.41,0.3976,0.4,79409.0
2022-12-02,AIM,0.4,0.41,0.39,0.4002,104067.0
2022-12-05,AIM,0.38,0.41,0.3705,0.395,178029.0
2022-12-06,AIM,0.395,0.409999,0.3836,0.3974,86989.0
2022-12-07,AIM,0.395,0.3967,0.38,0.38,117879.0
2022-12-08,AIM,0.3701,0.398,0.3701,0.3807,128063.0
2022-12-09,AIM,0.37,0.399899,0.37,0.3843,57544.0
2022-12-12,AIM,0.3843,0.3999,0.375,0.3854,132101.0
2022-12-13,AIM,0.394,0.394,0.38,0.38,60292.0
2022-12-14,AIM,0.377,0.389899,0.35,0.355,168052.0
2022-12-15,AIM,0.35,0.3555,0.3393,0.3467,158191.0
2022-12-16,AIM,0.34,0.35,0.322,0.34,196446.0
2022-12-19,AIM,0.348,0.3694,0.3304,0.3313,120535.0
2022-12-20,AIM,0.3317,0.3423,0.3201,0.3201,121392.0
2022-12-21,AIM,0.32,0.36,0.32,0.3501,231825.0
2022-12-22,AIM,0.36,0.384,0.345,0.3561,115479.0
2022-12-23,AIM,0.3612,0.37,0.3497,0.3666,68729.0
2022-12-27,AIM,0.37,0.378019,0.345,0.3496,373593.0
2022-12-28,AIM,0.345,0.3599,0.33,0.33,244282.0
2022-12-29,AIM,0.33,0.335,0.3,0.3054,449072.0
2022-12-30,AIM,0.315,0.33,0.291,0.3119,480232.0
2023-01-03,AIM,0.3238,0.33,0.295,0.324,177282.0
2023-01-04,AIM,0.39,0.4299,0.3611,0.4083,1198571.0
2023-01-05,AIM,0.43,0.487699,0.41,0.463601,620041.0
2023-01-06,AIM,0.479,0.4897,0.4517,0.4791,215391.0
2023-01-09,AIM,0.53,0.541,0.48,0.49,412880.0
2023-01-10,AIM,0.4999,0.529899,0.47,0.525,121477.0
2023-01-11,AIM,0.53,0.66,0.5201,0.6392,467623.0
2023-01-12,AIM,0.7,0.7,0.55,0.5832,428905.0
2023-01-13,AIM,0.61,0.65,0.6,0.6284,239087.0
2023-01-17,AIM,0.7,0.7744,0.68,0.77,2331248.0
2023-01-18,AIM,0.8157,0.8359,0.6274,0.6301,807357.0
2023-01-19,AIM,0.6601,0.69,0.650001,0.66,237219.0
2023-01-20,AIM,0.7,0.7,0.63,0.65,259158.0
2023-01-23,AIM,0.66,0.699999,0.63,0.6561,288049.0
2023-01-24,AIM,0.6592,0.6698,0.64,0.645,118643.0
2023-01-25,AIM,0.645,0.669799,0.63,0.6493,80993.0
2023-01-26,AIM,0.64,0.64,0.5706,0.5902,195383.0
2023-01-27,AIM,0.6,0.6044,0.55,0.56,259885.0
2023-01-30,AIM,0.5411,0.5411,0.4956,0.5051,333420.0
2023-01-31,AIM,0.5061,0.53,0.5061,0.5201,98938.0
2023-02-01,AIM,0.53,0.56505,0.5201,0.5381,124361.0
2023-02-02,AIM,0.56,0.56,0.515,0.54,293087.0
2023-02-03,AIM,0.5352,0.5779,0.5301,0.562,98976.0
2023-02-06,AIM,0.5821,0.6,0.54,0.5444,239552.0
2023-02-07,AIM,0.58,0.62,0.544824,0.608,432757.0
2023-02-08,AIM,0.62,0.622349,0.565,0.5796,193888.0
2023-02-09,AIM,0.563,0.63,0.5612,0.575,193842.0
2023-02-10,AIM,0.5749,0.591,0.54,0.57,149750.0
2023-02-13,AIM,0.5529,0.5699,0.5201,0.5286,120610.0
2023-02-14,AIM,0.5174,0.52,0.4801,0.4994,210503.0
2023-02-15,AIM,0.49,0.5148,0.485,0.49,210374.0
2023-02-16,AIM,0.5052,0.54,0.4802,0.484,99533.0
2023-02-17,AIM,0.484,0.515,0.4818,0.515,263980.0
2023-02-21,AIM,0.4995,0.515,0.485,0.505,211671.0
2023-02-22,AIM,0.5,0.535,0.5,0.5094,188041.0
2023-02-23,AIM,0.505,0.505,0.49,0.495,95733.0
2023-02-24,AIM,0.495,0.55,0.4916,0.519,292608.0
2023-02-27,AIM,0.5499,0.5499,0.46,0.4801,244007.0
2023-02-28,AIM,0.5057,0.5291,0.48,0.5203,152238.0
2023-03-01,AIM,0.511,0.53,0.511,0.5199,65804.0
2023-03-02,AIM,0.53,0.54,0.5111,0.52,75560.0
2023-03-03,AIM,0.527,0.539,0.527,0.539,60368.0
2023-03-06,AIM,0.54,0.54,0.52,0.527,86014.0
2023-03-07,AIM,0.55,0.55,0.5,0.51,146470.0
2023-03-08,AIM,0.55,0.55,0.51238,0.52,80757.0
2023-03-09,AIM,0.52,0.52,0.465,0.4731,177326.0
2023-03-10,AIM,0.46,0.499,0.46,0.4894,97407.0
2023-03-13,AIM,0.479,0.494,0.46,0.465,83313.0
2023-03-14,AIM,0.4875,0.4875,0.468,0.468,79855.0
2023-03-15,AIM,0.459,0.48,0.45,0.45,127142.0
2023-03-16,AIM,0.45,0.480999,0.45,0.4725,117452.0
2023-03-17,AIM,0.47,0.49,0.47,0.482,117000.0
2023-03-20,AIM,0.48,0.48005,0.46,0.4666,105997.0
2023-03-21,AIM,0.46,0.47,0.44,0.44,147767.0
2023-03-22,AIM,0.45,0.469899,0.42,0.437,100999.0
2023-03-23,AIM,0.43,0.45,0.42,0.4398,125533.0
2023-03-24,AIM,0.425,0.4399,0.41,0.4214,93407.0
2023-03-27,AIM,0.41,0.43,0.385,0.4001,117588.0
2023-03-28,AIM,0.4146,0.4422,0.4,0.4,66233.0
2023-03-29,AIM,0.4,0.43,0.4,0.426,76174.0
2023-03-30,AIM,0.4101,0.44,0.4,0.4251,93592.0
2023-03-31,AIM,0.41,0.43,0.41,0.43,84808.0
2023-04-03,AIM,0.4512,0.4512,0.41,0.42,107928.0
2023-04-04,AIM,0.4074,0.4455,0.4001,0.445399,77977.0
2023-04-05,AIM,0.4436,0.4458,0.4055,0.429899,30503.0
2023-04-06,AIM,0.4303,0.4399,0.41,0.4264,52724.0
2023-04-10,AIM,0.41,0.4323,0.41,0.41,51774.0
2023-04-11,AIM,0.4,0.43,0.397,0.401,206999.0
2023-04-12,AIM,0.4,0.44,0.4,0.4377,97973.0
2023-04-13,AIM,0.43,0.448,0.43,0.441,67318.0
2023-04-14,AIM,0.44,0.4586,0.4301,0.4549,26623.0
2023-04-17,AIM,0.48,0.5,0.46,0.47,229073.0
2023-04-18,AIM,0.48,0.544,0.475,0.52,315479.0
2023-04-19,AIM,0.52,0.5499,0.515,0.539,274368.0
2023-04-20,AIM,0.5486,0.559899,0.51,0.5212,140651.0
2023-04-21,AIM,0.555,0.555,0.48,0.5085,79783.0
2023-04-24,AIM,0.5,0.546,0.5,0.54,119650.0
2023-04-25,AIM,0.545,0.545,0.4829,0.49,77909.0
2023-04-26,AIM,0.5,0.509799,0.4834,0.494599,32464.0
2023-04-27,AIM,0.5,0.51,0.47,0.48,55671.0
2023-04-28,AIM,0.47,0.49,0.47,0.48,62250.0
2023-05-01,AIM,0.4701,0.4999,0.4516,0.46,86013.0
2023-05-02,AIM,0.4521,0.49,0.4516,0.485,56821.0
2023-05-03,AIM,0.4948,0.5,0.4651,0.4799,66799.0
2023-05-04,AIM,0.4999,0.4999,0.4659,0.4799,53914.0
2023-05-05,AIM,0.47,0.49,0.46,0.4895,78946.0
2023-05-08,AIM,0.4744,0.485,0.465,0.485,19165.0
2023-05-09,AIM,0.499899,0.5,0.4651,0.49,30381.0
2023-05-10,AIM,0.47,0.5,0.46,0.4699,69237.0
2023-05-11,AIM,0.46,0.49,0.4388,0.45,99007.0
2023-05-12,AIM,0.48,0.48,0.44,0.4405,27529.0
2023-05-15,AIM,0.44,0.4464,0.42,0.425,134586.0
2023-05-16,AIM,0.42,0.45,0.4101,0.42495,102751.0
2023-05-17,AIM,0.416,0.5,0.416,0.5,129789.0
2023-05-18,AIM,0.5,0.52,0.475,0.5,102038.0
2023-05-19,AIM,0.49,0.499899,0.465,0.4741,45207.0
2023-05-22,AIM,0.48,0.499899,0.47,0.4787,48252.0
2023-05-23,AIM,0.485,0.4999,0.48,0.4823,35460.0
2023-05-24,AIM,0.475,0.499,0.475,0.499,64968.0
2023-05-25,AIM,0.5,0.51,0.475,0.4784,61502.0
2023-05-26,AIM,0.475,0.5,0.475,0.4784,61433.0
2023-05-30,AIM,0.4999,0.5,0.4755,0.48,47200.0
2023-05-31,AIM,0.4799,0.4799,0.4637,0.4637,41684.0
2023-06-01,AIM,0.4637,0.4693,0.4404,0.448,86028.0
2023-06-02,AIM,0.45,0.46,0.4312,0.445,82152.0
2023-06-05,AIM,0.4313,0.4599,0.4313,0.4501,64066.0
2023-06-06,AIM,0.48,0.48,0.4366,0.46,43880.0
2023-06-07,AIM,0.4501,0.4699,0.4501,0.46,23713.0
2023-06-08,AIM,0.45,0.46,0.45,0.4543,29358.0
2023-06-09,AIM,0.46,0.53,0.4541,0.5016,259848.0
2023-06-12,AIM,0.52,0.52,0.48,0.4924,139528.0
2023-06-13,AIM,0.4776,0.5,0.45,0.4785,61882.0
2023-06-14,AIM,0.4714,0.49,0.44,0.4569,80491.0
2023-06-15,AIM,0.47,0.5,0.4569,0.494,90847.0
2023-06-16,AIM,0.5,0.5,0.4714,0.4714,74247.0
2023-06-20,AIM,0.5,0.525,0.46,0.52,255668.0
2023-06-21,AIM,0.5078,0.52,0.482,0.5197,71319.0
2023-06-22,AIM,0.522,0.54,0.5002,0.52,162284.0
2023-06-23,AIM,0.5144,0.5387,0.468,0.468,176585.0
2023-06-26,AIM,0.4929,0.53,0.480101,0.527,150603.0
2023-06-27,AIM,0.54,0.6,0.525,0.564,602267.0
2023-06-28,AIM,0.586,0.65,0.56,0.59,394241.0
2023-06-29,AIM,0.606,0.64,0.595,0.63,88211.0
