Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,AKBA,0.26,0.2666,0.25,0.2553,864636.0
2022-11-10,AKBA,0.25,0.276,0.25,0.2742,990519.0
2022-11-11,AKBA,0.28,0.288,0.26,0.2797,1397895.0
2022-11-14,AKBA,0.28,0.28,0.255,0.2621,1440204.0
2022-11-15,AKBA,0.2621,0.275,0.252,0.2566,1414214.0
2022-11-16,AKBA,0.27,0.27,0.2505,0.2521,1246681.0
2022-11-17,AKBA,0.2568,0.269,0.2425,0.2501,2944937.0
2022-11-18,AKBA,0.251,0.2639,0.246,0.2599,1181228.0
2022-11-21,AKBA,0.2575,0.2649,0.25,0.255,1053806.0
2022-11-22,AKBA,0.26,0.27,0.252,0.26,1341211.0
2022-11-23,AKBA,0.2597,0.2669,0.2525,0.2614,720317.0
2022-11-25,AKBA,0.2587,0.2648,0.2533,0.256,773178.0
2022-11-28,AKBA,0.26,0.26,0.25,0.2509,947177.0
2022-11-29,AKBA,0.2547,0.2586,0.2426,0.25,996311.0
2022-11-30,AKBA,0.25,0.28,0.25,0.2705,2298848.0
2022-12-01,AKBA,0.2699,0.295,0.2656,0.2921,1297111.0
2022-12-02,AKBA,0.2972,0.3,0.279,0.2901,1852802.0
2022-12-05,AKBA,0.2811,0.3,0.2811,0.2922,2185177.0
2022-12-06,AKBA,0.29,0.295,0.2805,0.285,2378911.0
2022-12-07,AKBA,0.2934,0.3078,0.2811,0.3,2899800.0
2022-12-08,AKBA,0.309,0.3102,0.2925,0.3,1786806.0
2022-12-09,AKBA,0.2978,0.3178,0.2978,0.31,689721.0
2022-12-12,AKBA,0.3075,0.408,0.3075,0.373,3834057.0
2022-12-13,AKBA,0.395,0.4398,0.386,0.4244,3789975.0
2022-12-14,AKBA,0.4278,0.48,0.3923,0.4534,3589417.0
2022-12-15,AKBA,0.45,0.46,0.39,0.4536,2442383.0
2022-12-16,AKBA,0.44,0.4792,0.43,0.4419,3357121.0
2022-12-19,AKBA,0.455,0.459799,0.365,0.3998,2717908.0
2022-12-20,AKBA,0.399,0.4464,0.3844,0.4201,1990372.0
2022-12-21,AKBA,0.412,0.434,0.4088,0.4108,862801.0
2022-12-22,AKBA,0.4056,0.45,0.4035,0.411,1869794.0
2022-12-23,AKBA,0.4073,0.4395,0.4073,0.4267,681641.0
2022-12-27,AKBA,0.42,0.4395,0.4116,0.4116,1371110.0
2022-12-28,AKBA,0.4101,0.4395,0.4088,0.4234,1237552.0
2022-12-29,AKBA,0.4234,0.54,0.4234,0.5058,4759973.0
2022-12-30,AKBA,0.491,0.5784,0.49,0.577,3599922.0
2023-01-03,AKBA,0.5848,0.651,0.55,0.6225,3991877.0
2023-01-04,AKBA,0.63,0.65,0.58,0.6334,3418569.0
2023-01-05,AKBA,0.639,0.688,0.62621,0.67,2416114.0
2023-01-06,AKBA,0.7,0.71,0.622,0.6422,2155842.0
2023-01-09,AKBA,0.64,0.694,0.633,0.645,1339963.0
2023-01-10,AKBA,0.66,0.66,0.63,0.6472,690303.0
2023-01-11,AKBA,0.65,0.688,0.6317,0.67,982051.0
2023-01-12,AKBA,0.688,0.69,0.65,0.69,836359.0
2023-01-13,AKBA,0.6806,0.728,0.68,0.695,1031648.0
2023-01-17,AKBA,0.719,0.7403,0.695,0.7297,944447.0
2023-01-18,AKBA,0.7276,0.77,0.71,0.7191,1631937.0
2023-01-19,AKBA,0.7435,0.7435,0.6721,0.7092,1434731.0
2023-01-20,AKBA,0.7,0.7447,0.69,0.7369,1194736.0
2023-01-23,AKBA,0.7369,0.7369,0.7013,0.7103,920579.0
2023-01-24,AKBA,0.71,0.75,0.701,0.7224,1401722.0
2023-01-25,AKBA,0.71,0.73,0.71,0.712,1099291.0
2023-01-26,AKBA,0.73,0.73,0.701,0.71,1078687.0
2023-01-27,AKBA,0.7,0.717999,0.56,0.67,2648588.0
2023-01-30,AKBA,0.6676,0.675,0.6002,0.604,1858378.0
2023-01-31,AKBA,0.61,0.6558,0.609,0.63,1102201.0
2023-02-01,AKBA,0.635,0.69,0.62,0.67,1558399.0
2023-02-02,AKBA,0.7427,0.949199,0.73,0.89,8627941.0
2023-02-03,AKBA,0.85,0.994,0.84,0.986,2840045.0
2023-02-06,AKBA,0.99,1.18,0.99,1.07,4076335.0
2023-02-07,AKBA,1.1,1.145,0.9915,1.13,2989307.0
2023-02-08,AKBA,1.12,1.2,1.085,1.15,1861242.0
2023-02-09,AKBA,1.19,1.19,1.11,1.12,1738012.0
2023-02-10,AKBA,1.06,1.11,0.5701,0.8025,14817494.0
2023-02-13,AKBA,0.8547,0.898099,0.7507,0.7931,1936171.0
2023-02-14,AKBA,0.764,0.85,0.764,0.85,1178487.0
2023-02-15,AKBA,0.8936,0.9121,0.8104,0.8861,1558946.0
2023-02-16,AKBA,0.8757,0.8861,0.8376,0.863,542885.0
2023-02-17,AKBA,0.8384,0.89,0.81,0.878,1271488.0
2023-02-21,AKBA,0.822,0.8495,0.6201,0.6541,3934957.0
2023-02-22,AKBA,0.6738,0.718999,0.67,0.6919,1421248.0
2023-02-23,AKBA,0.73,0.77,0.6549,0.74,5311684.0
2023-02-24,AKBA,0.87,0.87,0.7806,0.8253,6480993.0
2023-02-27,AKBA,0.82,0.88,0.781,0.8156,2108202.0
2023-02-28,AKBA,0.7837,0.8499,0.7837,0.8427,946969.0
2023-03-01,AKBA,0.805,0.9617,0.805,0.9149,3227381.0
2023-03-02,AKBA,0.86,0.998999,0.856,0.9279,1614732.0
2023-03-03,AKBA,0.9221,0.98,0.915,0.965,1681363.0
2023-03-06,AKBA,0.9599,0.9601,0.9201,0.942,1172318.0
2023-03-07,AKBA,0.9492,0.9528,0.9202,0.9456,1295315.0
2023-03-08,AKBA,0.94,1.08,0.935,1.03,3069554.0
2023-03-09,AKBA,0.83,0.86,0.72,0.8007,6938280.0
2023-03-10,AKBA,0.78,0.8197,0.7106,0.799,1880150.0
2023-03-13,AKBA,0.7728,0.81979,0.73255,0.7553,1530670.0
2023-03-14,AKBA,0.76,0.774,0.682,0.6832,2279456.0
2023-03-15,AKBA,0.6638,0.6989,0.612,0.6715,1432777.0
2023-03-16,AKBA,0.7001,0.7302,0.6751,0.7126,793962.0
2023-03-17,AKBA,0.7,0.7027,0.6348,0.6348,1473261.0
2023-03-20,AKBA,0.66,0.7198,0.65,0.6769,1012422.0
2023-03-21,AKBA,0.6945,0.73,0.6797,0.7,820898.0
2023-03-22,AKBA,0.7,0.7,0.6524,0.6675,639870.0
2023-03-23,AKBA,0.67,0.6944,0.62,0.6854,1004014.0
2023-03-24,AKBA,0.69,0.69,0.613,0.6388,1235641.0
2023-03-27,AKBA,0.62,0.6595,0.6105,0.6563,1070650.0
2023-03-28,AKBA,0.6401,0.65,0.5883,0.5993,1236624.0
2023-03-29,AKBA,0.6,0.62,0.5501,0.605,1122680.0
2023-03-30,AKBA,0.6,0.6108,0.5513,0.5632,1194704.0
2023-03-31,AKBA,0.57,0.58,0.542,0.5604,1094657.0
2023-04-03,AKBA,0.5742,0.59,0.5301,0.5783,1744756.0
2023-04-04,AKBA,0.5822,0.5822,0.5212,0.539,1261456.0
2023-04-05,AKBA,0.539,0.539,0.4901,0.5056,905410.0
2023-04-06,AKBA,0.5155,0.5793,0.5059,0.54,743951.0
2023-04-10,AKBA,0.54,0.59,0.5321,0.5687,570279.0
2023-04-11,AKBA,0.548,0.679,0.548,0.648,1295461.0
2023-04-12,AKBA,0.66,0.66,0.6,0.6226,544323.0
2023-04-13,AKBA,0.623,0.67,0.6226,0.6366,551920.0
2023-04-14,AKBA,0.624,0.66,0.601,0.628,410714.0
2023-04-17,AKBA,0.627,0.67,0.61,0.65,1343257.0
2023-04-18,AKBA,0.6587,0.698,0.6331,0.6822,717520.0
2023-04-19,AKBA,0.6617,0.74,0.6601,0.7231,839580.0
2023-04-20,AKBA,0.7056,0.7193,0.654,0.66,694862.0
2023-04-21,AKBA,0.63,0.6763,0.5895,0.6601,760778.0
2023-04-24,AKBA,0.65,0.7,0.65,0.6707,531197.0
2023-04-25,AKBA,0.65,0.7768,0.65,0.7144,2838396.0
2023-04-26,AKBA,0.712,0.8477,0.682,0.793,2014597.0
2023-04-27,AKBA,0.8336,0.9149,0.801,0.9124,2157550.0
2023-04-28,AKBA,0.91,0.9488,0.89,0.9085,1518847.0
2023-05-01,AKBA,0.91,0.92,0.8245,0.8728,1226667.0
2023-05-02,AKBA,0.8539,0.9,0.821,0.8841,505071.0
2023-05-03,AKBA,0.89,0.915,0.87,0.8799,816475.0
2023-05-04,AKBA,0.87,0.97,0.84,0.9298,1614005.0
2023-05-05,AKBA,0.94,1.09,0.94,1.09,2378437.0
2023-05-08,AKBA,1.08,1.085,0.942,1.06,2669857.0
2023-05-09,AKBA,1.02,1.08,1.0,1.05,701636.0
2023-05-10,AKBA,1.06,1.06,0.98,1.03,1513562.0
2023-05-11,AKBA,1.04,1.08,1.02,1.06,1077532.0
2023-05-12,AKBA,1.07,1.17,1.06,1.13,1940174.0
2023-05-15,AKBA,1.1,1.1901,1.05,1.09,1720537.0
2023-05-16,AKBA,1.07,1.08,1.0,1.05,1563513.0
2023-05-17,AKBA,1.08,1.13,1.05,1.13,1104106.0
2023-05-18,AKBA,1.13,1.1693,1.05,1.09,806227.0
2023-05-19,AKBA,1.08,1.18,1.08,1.16,1100404.0
2023-05-22,AKBA,1.26,1.63,1.26,1.41,7766680.0
2023-05-23,AKBA,1.42,1.6,1.36,1.39,2679176.0
2023-05-24,AKBA,1.4,1.45,1.37,1.43,1075208.0
2023-05-25,AKBA,1.39,1.4,1.14,1.21,3631322.0
2023-05-26,AKBA,1.21,1.24,1.07,1.13,2159777.0
2023-05-30,AKBA,1.26,1.4,0.9,0.9586,6131433.0
2023-05-31,AKBA,1.115,1.12,0.9781,1.04,4009731.0
2023-06-01,AKBA,1.04,1.15,1.0,1.09,3643816.0
2023-06-02,AKBA,1.12,1.17,1.07,1.1,1767966.0
2023-06-05,AKBA,1.12,1.15,1.07,1.12,1686808.0
2023-06-06,AKBA,1.12,1.23,1.12,1.2,1888073.0
2023-06-07,AKBA,1.22,1.32,1.21,1.28,3339514.0
2023-06-08,AKBA,1.33,1.33,1.23,1.25,1104604.0
2023-06-09,AKBA,1.25,1.27,1.2106,1.26,962096.0
2023-06-12,AKBA,1.3,1.35,1.24,1.26,2076155.0
2023-06-13,AKBA,1.26,1.28,1.2,1.23,1671070.0
2023-06-14,AKBA,1.24,1.275,1.175,1.18,1305570.0
2023-06-15,AKBA,1.18,1.23,1.12,1.14,1875294.0
2023-06-16,AKBA,1.14,1.18,1.1,1.11,1816471.0
2023-06-20,AKBA,1.12,1.14,1.11,1.13,2249948.0
2023-06-21,AKBA,1.13,1.165,1.07,1.09,2323039.0
2023-06-22,AKBA,1.06,1.09,1.015,1.05,1305693.0
2023-06-23,AKBA,1.07,1.07,0.9851,1.02,1804329.0
2023-06-26,AKBA,1.01,1.01,0.9,0.9101,3328354.0
2023-06-27,AKBA,0.92,0.97,0.91,0.93,1733818.0
2023-06-28,AKBA,0.9434,0.9725,0.9206,0.9358,813325.0
2023-06-29,AKBA,0.9254,0.9497,0.9105,0.9254,1351497.0
2023-06-30,AKBA,0.925,0.9391,0.9001,0.915,890490.0
2023-07-03,AKBA,0.93,0.93,0.9,0.9022,666800.0
2023-07-05,AKBA,0.9022,0.9049,0.86,0.8729,2259718.0
2023-07-06,AKBA,0.85,0.8702,0.821,0.8677,2294439.0
2023-07-07,AKBA,0.88,1.05,0.87,1.02,2047780.0
2023-07-10,AKBA,1.04,1.25,1.02,1.21,2723252.0
2023-07-11,AKBA,1.23,1.28,1.11,1.15,2184813.0
2023-07-12,AKBA,1.13,1.189,1.11,1.14,1205960.0
2023-07-13,AKBA,1.15,1.16,1.07,1.09,1298968.0
2023-07-14,AKBA,1.09,1.11,1.0125,1.06,1003966.0
2023-07-17,AKBA,1.06,1.25,1.04,1.2,2155841.0
2023-07-18,AKBA,1.16,1.23,1.14,1.17,1125956.0
2023-07-19,AKBA,1.2,1.25,1.18,1.24,1649764.0
2023-07-20,AKBA,1.24,1.25,1.2,1.23,722948.0
2023-07-21,AKBA,1.24,1.3,1.235,1.26,1021001.0
2023-07-24,AKBA,1.28,1.285,1.2,1.22,1336463.0
2023-07-25,AKBA,1.22,1.53,1.21,1.47,7347046.0
2023-07-26,AKBA,1.46,1.49,1.31,1.45,3670639.0
2023-07-27,AKBA,1.5,1.67,1.4437,1.52,3596551.0
2023-07-28,AKBA,1.52,1.66,1.51,1.58,2048328.0
2023-07-31,AKBA,1.59,1.69,1.52,1.67,2665866.0
2023-08-01,AKBA,1.68,1.84,1.67,1.84,3139333.0
2023-08-02,AKBA,1.82,1.8312,1.71,1.73,2171626.0
2023-08-03,AKBA,1.74,1.74,1.5,1.51,3685282.0
2023-08-04,AKBA,1.55,1.655,1.5,1.62,1687053.0
2023-08-07,AKBA,1.65,1.65,1.51,1.52,1748171.0
2023-08-08,AKBA,1.52,1.62,1.42,1.56,1669836.0
2023-08-09,AKBA,1.56,1.64,1.42,1.51,2403629.0
2023-08-10,AKBA,1.51,1.54,1.43,1.47,1264787.0
2023-08-11,AKBA,1.38,1.41,1.23,1.26,3459396.0
2023-08-14,AKBA,1.26,1.33,1.23,1.32,1467375.0
2023-08-15,AKBA,1.33,1.3696,1.255,1.31,1234070.0
2023-08-16,AKBA,1.32,1.32,1.26,1.26,1015680.0
2023-08-17,AKBA,1.26,1.2899,1.19,1.25,971412.0
2023-08-18,AKBA,1.26,1.28,1.22,1.25,546503.0
2023-08-21,AKBA,1.29,1.29,1.19,1.23,1176506.0
2023-08-22,AKBA,1.21,1.27,1.21,1.26,490811.0
2023-08-23,AKBA,1.25,1.33,1.241,1.29,822175.0
2023-08-24,AKBA,1.3,1.33,1.25,1.25,1021816.0
2023-08-25,AKBA,1.23,1.32,1.12,1.15,2627060.0
2023-08-28,AKBA,1.23,1.46,1.22,1.38,4170774.0
2023-08-29,AKBA,1.38,1.54,1.34,1.54,2349185.0
2023-08-30,AKBA,1.53,1.53,1.38,1.4,2547022.0
2023-08-31,AKBA,1.42,1.49,1.39,1.39,1016067.0
2023-09-01,AKBA,1.4,1.41,1.31,1.33,1876438.0
2023-09-05,AKBA,1.33,1.33,1.21,1.22,2312666.0
2023-09-06,AKBA,1.24,1.32,1.235,1.25,1085413.0
2023-09-07,AKBA,1.25,1.27,1.2,1.21,1072632.0
2023-09-08,AKBA,1.2,1.29,1.19,1.28,998886.0
2023-09-11,AKBA,1.3,1.34,1.27,1.3,832207.0
2023-09-12,AKBA,1.25,1.33,1.23,1.26,1459443.0
2023-09-13,AKBA,1.28,1.28,1.21,1.22,1314666.0
2023-09-14,AKBA,1.21,1.27,1.21,1.26,923640.0
2023-09-15,AKBA,1.25,1.275,1.21,1.26,1541167.0
2023-09-18,AKBA,1.23,1.26,1.205,1.24,1011994.0
2023-09-19,AKBA,1.23,1.24,1.2,1.22,757633.0
2023-09-20,AKBA,1.23,1.25,1.2,1.2,973514.0
2023-09-21,AKBA,1.2,1.2,1.15,1.16,1045707.0
2023-09-22,AKBA,1.16,1.19,1.15,1.18,775900.0
2023-09-25,AKBA,1.15,1.165,1.1,1.13,1167915.0
2023-09-26,AKBA,1.14,1.25,1.135,1.17,1125186.0
2023-09-27,AKBA,1.21,1.21,1.14,1.15,1159390.0
2023-09-28,AKBA,1.18,1.18,1.11,1.12,1510507.0
2023-09-29,AKBA,1.14,1.205,1.13,1.14,1029262.0
2023-10-02,AKBA,1.13,1.16,1.1,1.15,966949.0
2023-10-03,AKBA,1.11,1.13,1.05,1.05,1356189.0
2023-10-04,AKBA,1.06,1.15,1.045,1.11,1436717.0
2023-10-05,AKBA,1.12,1.12,1.0203,1.03,2423209.0
2023-10-06,AKBA,1.03,1.07,0.99,1.06,1019157.0
2023-10-09,AKBA,1.02,1.05,1.0,1.01,708820.0
2023-10-10,AKBA,1.01,1.09,1.0,1.07,887900.0
2023-10-11,AKBA,1.06,1.07,1.0,1.02,1067936.0
2023-10-12,AKBA,1.01,1.03,0.9131,0.93,3153319.0
2023-10-13,AKBA,0.9151,0.92,0.8843,0.9073,1583079.0
2023-10-16,AKBA,0.907,0.9199,0.8515,0.8801,2302048.0
2023-10-17,AKBA,0.9048,0.9594,0.9002,0.9073,1561703.0
2023-10-18,AKBA,0.9066,0.9389,0.8,0.8668,1906246.0
2023-10-19,AKBA,0.8677,0.8796,0.8202,0.8343,1498269.0
2023-10-20,AKBA,0.835,0.8632,0.81,0.8299,1283269.0
2023-10-23,AKBA,0.8338,0.8805,0.8003,0.8397,1025046.0
2023-10-24,AKBA,0.83,0.87,0.83,0.857,757596.0
2023-10-25,AKBA,0.85,0.8798,0.79,0.8,3508915.0
2023-10-26,AKBA,0.81,0.84,0.7801,0.8228,874568.0
2023-10-27,AKBA,0.84,0.8488,0.8,0.8401,1230710.0
2023-10-30,AKBA,0.84,0.89,0.82,0.8458,1332714.0
2023-10-31,AKBA,0.8585,0.8999,0.836,0.88,954107.0
2023-11-01,AKBA,0.88,0.899,0.8367,0.882,983473.0
2023-11-02,AKBA,0.89,0.94,0.87,0.8835,934254.0
2023-11-03,AKBA,0.93,0.95,0.9,0.9449,2217459.0
2023-11-06,AKBA,0.98,1.02,0.9022,1.0,2931583.0
2023-11-07,AKBA,1.01,1.16,0.99,1.09,2739072.0
2023-11-08,AKBA,1.03,1.07,0.9522,0.96,2761371.0
2023-11-09,AKBA,0.97,0.9973,0.9011,0.9101,1431692.0
2023-11-10,AKBA,0.9196,0.96,0.886,0.893,1348739.0
2023-11-13,AKBA,0.91,0.9426,0.88,0.9233,981643.0
2023-11-14,AKBA,0.9319,1.03,0.9319,1.03,1691372.0
2023-11-15,AKBA,1.01,1.1,1.0,1.0,1884074.0
2023-11-16,AKBA,1.02,1.02,0.9531,0.9889,598968.0
2023-11-17,AKBA,1.02,1.0485,0.9901,1.0,1091168.0
2023-11-20,AKBA,1.0,1.06,1.0,1.02,901425.0
2023-11-21,AKBA,1.02,1.02,0.981,0.985,680591.0
2023-11-22,AKBA,1.0,1.0175,0.9724,0.99,466295.0
2023-11-24,AKBA,1.0,1.03,0.9914,1.0,195287.0
2023-11-27,AKBA,1.0,1.0396,0.99,0.9902,499457.0
2023-11-28,AKBA,0.99,0.9998,0.9515,0.96,558324.0
2023-11-29,AKBA,1.0,1.04,0.970001,1.0,610042.0
2023-11-30,AKBA,0.9874,1.08,0.98,1.06,1611911.0
2023-12-01,AKBA,1.06,1.09,1.0201,1.07,1211856.0
2023-12-04,AKBA,1.09,1.18,1.07,1.15,2065353.0
2023-12-05,AKBA,1.14,1.18,1.11,1.12,1062262.0
2023-12-06,AKBA,1.14,1.17,1.11,1.16,961708.0
2023-12-07,AKBA,1.19,1.2,1.1437,1.17,912604.0
2023-12-08,AKBA,1.17,1.175,1.12,1.13,889359.0
2023-12-11,AKBA,1.11,1.15,1.1,1.11,779307.0
2023-12-12,AKBA,1.11,1.13,1.05,1.07,816156.0
2023-12-13,AKBA,1.09,1.13,1.0715,1.11,1044530.0
2023-12-14,AKBA,1.14,1.1592,1.105,1.13,1296576.0
2023-12-15,AKBA,1.15,1.155,1.11,1.15,1356736.0
2023-12-18,AKBA,1.16,1.2,1.14,1.15,1071682.0
2023-12-19,AKBA,1.19,1.21,1.15,1.19,1458678.0
2023-12-20,AKBA,1.2,1.23,1.17,1.2,1166367.0
2023-12-21,AKBA,1.22,1.24,1.2,1.2,1579347.0
2023-12-22,AKBA,1.22,1.2211,1.16,1.19,1482474.0
2023-12-26,AKBA,1.19,1.24,1.175,1.19,1168368.0
2023-12-27,AKBA,1.21,1.22,1.16,1.2,1498743.0
2023-12-28,AKBA,1.18,1.31,1.18,1.28,3844902.0
2023-12-29,AKBA,1.3,1.31,1.22,1.24,2126669.0
2024-01-02,AKBA,1.22,1.3,1.21,1.27,1300891.0
2024-01-03,AKBA,1.29,1.38,1.27,1.37,2889325.0
2024-01-04,AKBA,1.38,1.52,1.36,1.52,4494432.0
2024-01-05,AKBA,1.53,1.595,1.455,1.48,2408136.0
2024-01-08,AKBA,1.49,1.58,1.43,1.57,2537132.0
2024-01-09,AKBA,1.59,1.59,1.52,1.56,1793661.0
2024-01-10,AKBA,1.6,1.6,1.5,1.58,2009151.0
2024-01-11,AKBA,1.56,1.58,1.51,1.55,1308343.0
2024-01-12,AKBA,1.56,1.6,1.54,1.55,1157916.0
2024-01-16,AKBA,1.55,1.5592,1.4,1.45,3667228.0
2024-01-17,AKBA,1.44,1.48,1.4,1.42,2260663.0
2024-01-18,AKBA,1.43,1.44,1.35,1.4,1934380.0
2024-01-19,AKBA,1.41,1.42,1.29,1.4,2832446.0
2024-01-22,AKBA,1.41,1.43,1.39,1.39,1785994.0
2024-01-23,AKBA,1.4,1.445,1.38,1.4,1512740.0
