Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,AKTX,9.404,10.4,9.404,10.2,6524.05
2022-11-10,AKTX,11.0,12.0,10.0,10.8,20117.15
2022-11-11,AKTX,10.8,11.798,10.798,10.8,4714.1
2022-11-14,AKTX,11.0,12.546,11.0,12.2,8335.7
2022-11-15,AKTX,12.0,12.204,11.32,11.42,2885.1
2022-11-16,AKTX,10.922,11.996,10.922,11.856,2397.25
2022-11-17,AKTX,11.7,11.8,10.82,11.0,1726.2
2022-11-18,AKTX,11.7,12.31,11.016,11.97,2635.95
2022-11-21,AKTX,11.97,12.366,11.378,11.6,2045.0
2022-11-22,AKTX,11.202,11.738,10.8,11.312,1100.7
2022-11-23,AKTX,11.306,11.46,11.014,11.458,1325.4
2022-11-25,AKTX,10.84,11.54,10.0,11.342,1054.2
2022-11-28,AKTX,11.556,11.798,11.398,11.6,6496.15
2022-11-29,AKTX,11.7,11.741,9.5,10.804,2685.25
2022-11-30,AKTX,10.8,11.1,10.8,11.052,3820.35
2022-12-01,AKTX,11.0,11.108,10.0,10.6,7088.5
2022-12-02,AKTX,10.0,10.992,10.0,10.774,2485.25
2022-12-05,AKTX,11.494,12.0,11.0,11.184,5062.6
2022-12-06,AKTX,10.8,12.0,10.0,10.793,926.85
2022-12-07,AKTX,11.4743,11.4743,10.8,11.4,2683.9
2022-12-08,AKTX,10.808,11.0044,10.02,10.598,2276.95
2022-12-09,AKTX,10.62,11.43,10.278,10.52,2336.85
2022-12-12,AKTX,11.396,11.396,10.0,10.448,1095.5
2022-12-13,AKTX,10.6,10.966,10.4,10.4,324.1
2022-12-14,AKTX,10.18,10.8,8.8,9.628,5888.05
2022-12-15,AKTX,9.1,10.798,9.1,9.2,783.0
2022-12-16,AKTX,10.2,10.2,8.8,8.98,2989.35
2022-12-19,AKTX,9.0,9.0,8.0,8.2,9416.2
2022-12-20,AKTX,8.61,9.916,8.61,8.8,4453.0
2022-12-21,AKTX,10.07,11.0,9.402,9.8,1656.35
2022-12-22,AKTX,9.728,9.728,8.7,9.08,2839.15
2022-12-23,AKTX,8.2,9.8,8.2,9.0,2475.1
2022-12-27,AKTX,9.04,9.042,8.0,8.8,4430.8
2022-12-28,AKTX,8.2,10.0,8.0,9.0,7206.6
2022-12-29,AKTX,8.532,9.4,8.532,8.802,2112.95
