Date,Ticker,Open,High,Low,Close,Volume
2023-05-05,ALCYU,10.1,10.13,10.09,10.11,8721945.0
2023-05-08,ALCYU,10.12,10.13,10.12,10.12,114306.0
2023-05-09,ALCYU,10.12,10.14,10.12,10.12,38706.0
2023-05-10,ALCYU,10.12,10.155,10.12,10.155,23000.0
2023-05-11,ALCYU,10.12,10.14,10.12,10.14,1726.0
2023-05-12,ALCYU,10.14,10.145,10.14,10.14,21041.0
2023-05-15,ALCYU,10.14,10.14,10.12,10.14,8853.0
2023-05-16,ALCYU,10.15,10.16,10.15,10.16,59477.0
2023-05-17,ALCYU,10.16,10.165,10.16,10.16,35179.0
2023-05-18,ALCYU,10.16,10.175,10.16,10.17,50297.0
2023-05-19,ALCYU,10.17,10.18,10.17,10.18,11160.0
2023-05-22,ALCYU,10.34,10.34,10.16,10.17,12281.0
2023-05-23,ALCYU,10.16,10.18,10.115,10.18,53943.0
2023-05-24,ALCYU,10.1701,10.18,10.17,10.18,41163.0
2023-05-25,ALCYU,10.18,10.19,10.15,10.18,167165.0
2023-05-26,ALCYU,10.18,10.18,10.15,10.15,12859.0
2023-06-01,ALCYU,10.18,10.18,10.18,10.18,280.0
2023-06-09,ALCYU,10.18,10.18,10.18,10.18,122.0
2023-06-13,ALCYU,10.2,10.2,10.19,10.2,18206.0
2023-06-15,ALCYU,10.22,10.22,10.22,10.22,29810.0
2023-06-20,ALCYU,10.24,10.24,10.11,10.11,8005.0
2023-06-22,ALCYU,10.15,10.15,10.15,10.15,10303.0
2023-06-23,ALCYU,10.15,10.15,10.15,10.15,843.0
2023-06-26,ALCYU,10.17,10.24,10.17,10.24,762.0
2023-06-28,ALCYU,10.2,10.2067,10.19,10.19,2668.0
2023-06-29,ALCYU,10.21,10.21,10.21,10.21,308.0
2023-07-03,ALCYU,10.25,10.25,10.25,10.25,202.0
2023-07-05,ALCYU,10.25,10.25,10.18,10.24,10384.0
2023-07-06,ALCYU,10.25,10.25,10.25,10.25,1201.0
2023-07-13,ALCYU,10.28,10.3,10.24,10.24,4113.0
2023-07-14,ALCYU,10.26,10.29,10.25,10.27,13332.0
2023-07-17,ALCYU,10.24,10.27,10.24,10.25,611.0
2023-07-20,ALCYU,10.26,10.26,10.26,10.26,164.0
2023-07-27,ALCYU,10.3,10.3,10.29,10.29,2416.0
2023-07-28,ALCYU,10.27,10.3,10.25,10.25,12307.0
2023-08-03,ALCYU,10.2999,10.3,10.2999,10.3,3090.0
2023-08-09,ALCYU,10.35,10.35,10.35,10.35,832.0
2023-08-10,ALCYU,10.36,10.4734,10.32,10.32,856.0
2023-08-14,ALCYU,10.3201,10.3201,10.32,10.32,521.0
2023-08-16,ALCYU,10.32,10.35,10.32,10.35,3095.0
2023-08-18,ALCYU,10.32,10.845,10.32,10.34,2511.0
2023-08-23,ALCYU,10.4,10.4,10.4,10.4,1002.0
2023-09-22,ALCYU,10.45,10.45,10.4001,10.41,1490.0
2023-09-26,ALCYU,10.45,10.45,10.45,10.45,550.0
2023-10-03,ALCYU,10.41,10.4135,10.4,10.4,4540.0
2023-10-04,ALCYU,10.4,10.45,10.4,10.45,1967.0
2023-10-05,ALCYU,10.45,10.46,10.45,10.46,1142.0
2023-10-06,ALCYU,10.45,10.45,10.41,10.41,10942.0
2023-10-10,ALCYU,10.45,10.45,10.4,10.4,426.0
2023-10-19,ALCYU,10.39,10.39,10.39,10.39,39775.0
2023-10-25,ALCYU,10.43,10.4301,10.43,10.4301,3287.0
2023-11-21,ALCYU,10.46,10.48,10.45,10.48,62802.0
2023-11-28,ALCYU,10.46,10.46,10.45,10.45,3090.0
2023-11-30,ALCYU,10.45,10.45,10.45,10.45,100.0
2023-12-06,ALCYU,10.59,10.73,10.59,10.73,400.0
2023-12-27,ALCYU,10.49,10.49,10.48,10.49,2060.0
2024-01-02,ALCYU,10.49,10.5,10.49,10.5,1111.0
2024-01-17,ALCYU,10.5,10.5,10.5,10.5,156.0
2024-01-30,ALCYU,10.58,10.58,10.48,10.58,10966.0
2024-01-31,ALCYU,10.6,10.6,10.6,10.6,243.0
2024-03-01,ALCYU,10.63,10.63,10.63,10.63,10000.0
2024-03-13,ALCYU,10.6362,10.6362,10.6362,10.6362,100.0
2024-05-06,ALCYU,10.74,10.74,10.74,10.74,121.0
2024-05-07,ALCYU,10.7,10.7,10.7,10.7,120.0
2024-06-10,ALCYU,10.77,10.77,10.77,10.77,17048.0
2024-06-28,ALCYU,10.78,10.78,10.78,10.78,17076.0
2024-07-26,ALCYU,10.81,10.81,10.81,10.81,273.0
2024-08-19,ALCYU,11.31,13.3,11.0,12.0,5310.0
2024-08-20,ALCYU,11.33,11.9,11.12,11.9,1000.0
2024-08-21,ALCYU,11.51,11.52,11.2,11.38,3734.0
2024-08-23,ALCYU,11.3,11.45,11.15,11.45,503.0
2024-08-26,ALCYU,11.38,11.45,11.0,11.12,1610.0
2024-08-30,ALCYU,11.6,11.6,11.6,11.6,503.0
2024-09-04,ALCYU,11.42,11.42,11.42,11.42,103.0
2024-09-12,ALCYU,11.0502,11.0502,11.0502,11.0502,203.0
2024-09-13,ALCYU,10.94,11.0,10.87,11.0,762.0
2024-09-19,ALCYU,10.81,10.81,10.81,10.81,303.0
2024-09-20,ALCYU,10.85,10.96,10.84,10.94,2467.0
2024-09-25,ALCYU,10.88,10.89,10.88,10.88,5932.0
2024-10-23,ALCYU,10.99,10.99,10.99,10.99,100.0
