Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,ALORW,0.0251,0.0251,0.0251,0.0251,100
2022-11-10,ALORW,0.05,0.05,0.05,0.05,514
2022-11-14,ALORW,0.05,0.05,0.05,0.05,500
2022-11-15,ALORW,0.05,0.05,0.031,0.031,800
2022-11-30,ALORW,0.0341,0.0374,0.026,0.0303,77457
2022-12-01,ALORW,0.025,0.025,0.025,0.025,25064
2022-12-06,ALORW,0.055,0.055,0.05,0.05,1050
2022-12-07,ALORW,0.05,0.05,0.05,0.05,500
2022-12-08,ALORW,0.05,0.05,0.05,0.05,500
2022-12-09,ALORW,0.05,0.05,0.05,0.05,500
2022-12-12,ALORW,0.05,0.05,0.05,0.05,500
2022-12-13,ALORW,0.05,0.05,0.05,0.05,500
2022-12-14,ALORW,0.05,0.05,0.05,0.05,500
2022-12-15,ALORW,0.05,0.05,0.05,0.05,500
2022-12-16,ALORW,0.05,0.05,0.05,0.05,500
2022-12-19,ALORW,0.05,0.05,0.05,0.05,500
2022-12-20,ALORW,0.05,0.05,0.0135,0.0135,63150
2022-12-23,ALORW,0.06,0.06,0.0325,0.0325,1140
2022-12-27,ALORW,0.0357,0.0357,0.0357,0.0357,100
2022-12-28,ALORW,0.0392,0.0392,0.0388,0.0388,700
2022-12-29,ALORW,0.035,0.035,0.035,0.035,500
2022-12-30,ALORW,0.035,0.035,0.03,0.03,700
2023-01-03,ALORW,0.035,0.035,0.035,0.035,500
2023-01-04,ALORW,0.035,0.035,0.0317,0.0317,1603
2023-01-05,ALORW,0.035,0.035,0.035,0.035,806
2023-01-06,ALORW,0.035,0.035,0.02,0.02,3102
2023-01-09,ALORW,0.035,0.035,0.035,0.035,914
2023-01-10,ALORW,0.035,0.035,0.035,0.035,714
2023-01-11,ALORW,0.035,0.035,0.03,0.03,101414
2023-01-12,ALORW,0.035,0.035,0.0199,0.0257,91864
2023-01-13,ALORW,0.0348,0.035,0.0348,0.035,512
2023-01-17,ALORW,0.0275,0.0275,0.0275,0.0275,10542
