Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,ALRS,21.65,21.88,21.208,21.77,150747.0
2022-11-10,ALRS,22.14,23.95,22.09,23.95,62219.0
2022-11-11,ALRS,23.98,24.0,22.7,23.25,44275.0
2022-11-14,ALRS,23.18,23.24,22.79,22.99,23159.0
2022-11-15,ALRS,23.15,23.18,22.85,23.03,24041.0
2022-11-16,ALRS,23.03,23.12,22.7301,23.01,19318.0
2022-11-17,ALRS,22.72,23.31,22.72,23.16,22540.0
2022-11-18,ALRS,23.6,23.6,23.0,23.35,28355.0
2022-11-21,ALRS,23.48,23.53,23.2001,23.41,15507.0
2022-11-22,ALRS,23.61,23.855,23.275,23.55,12193.0
2022-11-23,ALRS,23.54,23.88,23.5091,23.65,15380.0
2022-11-25,ALRS,23.77,23.77,23.46,23.46,3470.0
2022-11-28,ALRS,23.35,23.55,23.3,23.5,15970.0
2022-11-29,ALRS,23.48,23.73,23.16,23.35,16789.0
2022-11-30,ALRS,23.4,23.83,23.0,23.66,37580.0
2022-12-01,ALRS,23.82,23.8826,23.27,23.51,18749.0
2022-12-02,ALRS,23.33,23.4,23.07,23.19,34104.0
2022-12-05,ALRS,23.01,23.01,22.47,22.85,21009.0
2022-12-06,ALRS,22.78,23.17,22.44,23.04,93794.0
2022-12-07,ALRS,23.2918,23.2918,22.89,23.06,17805.0
2022-12-08,ALRS,23.13,23.36,22.9,23.19,13108.0
2022-12-09,ALRS,23.12,23.235,23.01,23.15,17157.0
2022-12-12,ALRS,23.21,23.41,23.21,23.35,18721.0
2022-12-13,ALRS,23.66,24.16,22.6736,23.54,84710.0
2022-12-14,ALRS,23.49,23.595,22.92,23.15,33386.0
2022-12-15,ALRS,22.93,23.0,22.73,22.85,27672.0
2022-12-16,ALRS,22.98,23.05,22.43,23.02,171926.0
2022-12-19,ALRS,23.02,23.215,22.81,23.0,39495.0
2022-12-20,ALRS,22.9252,23.09,22.92,23.05,22566.0
2022-12-21,ALRS,23.23,23.71,23.22,23.45,30053.0
