Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,ALSA,10.16,10.17,10.15,10.16,1223683.0
2022-11-10,ALSA,10.17,10.17,10.17,10.17,368.0
2022-11-11,ALSA,10.16,10.17,10.16,10.16,8215.0
2022-11-15,ALSA,10.18,10.18,10.18,10.18,409.0
2022-11-17,ALSA,10.17,10.17,10.17,10.17,184.0
2022-11-18,ALSA,10.17,10.17,10.17,10.17,236.0
2022-11-22,ALSA,10.1793,10.18,10.17,10.17,1572.0
2022-11-23,ALSA,10.17,10.17,10.17,10.17,448.0
2022-11-29,ALSA,10.1893,10.19,10.18,10.18,2291.0
2022-11-30,ALSA,10.19,10.19,10.19,10.19,452.0
2022-12-01,ALSA,10.1986,10.25,10.1986,10.21,6900.0
2022-12-05,ALSA,10.19,10.2,10.19,10.2,357.0
2022-12-07,ALSA,10.21,10.21,10.21,10.21,1416.0
2022-12-08,ALSA,10.23,10.23,10.23,10.23,100.0
2022-12-09,ALSA,10.21,10.21,10.21,10.21,100.0
2022-12-12,ALSA,10.21,10.21,10.21,10.21,100.0
2022-12-13,ALSA,10.2188,10.2188,10.21,10.21,369.0
2022-12-14,ALSA,10.21,10.21,10.2,10.21,65839.0
2022-12-19,ALSA,10.22,10.22,10.22,10.22,3888.0
2022-12-20,ALSA,10.24,10.24,10.24,10.24,1306.0
2022-12-21,ALSA,10.22,10.24,10.22,10.24,3400.0
2022-12-22,ALSA,10.24,10.26,10.23,10.26,18726.0
2022-12-23,ALSA,10.26,10.27,10.25,10.27,762.0
2022-12-28,ALSA,10.26,10.26,10.26,10.26,2016.0
2023-01-03,ALSA,10.26,10.26,10.25,10.25,104296.0
2023-01-05,ALSA,10.29,10.3,10.28,10.3,55436.0
2023-01-09,ALSA,10.295,10.295,10.295,10.295,141.0
2023-01-11,ALSA,10.25,10.25,10.25,10.25,12000.0
2023-01-18,ALSA,10.29,10.3,10.29,10.3,4737.0
2023-01-19,ALSA,10.3,10.3,10.3,10.3,362.0
2023-01-20,ALSA,10.31,10.32,10.31,10.31,1400.0
2023-01-24,ALSA,10.32,10.33,10.31,10.33,6898.0
2023-01-25,ALSA,10.32,10.325,10.32,10.325,7918.0
2023-01-27,ALSA,10.33,10.35,10.33,10.35,2600.0
2023-01-31,ALSA,10.36,10.36,10.35,10.35,500.0
2023-02-01,ALSA,10.32,10.32,10.32,10.32,25000.0
2023-02-03,ALSA,10.33,10.34,10.33,10.34,2202.0
2023-02-06,ALSA,10.35,10.35,10.35,10.35,801.0
2023-02-07,ALSA,10.35,10.35,10.34,10.35,175374.0
2023-02-08,ALSA,10.35,10.35,10.35,10.35,239.0
2023-02-09,ALSA,10.345,10.35,10.34,10.34,1083.0
2023-02-10,ALSA,10.34,10.34,10.34,10.34,162.0
2023-02-14,ALSA,10.35,10.36,10.35,10.36,9292.0
2023-02-15,ALSA,10.37,10.37,10.36,10.36,3661.0
2023-02-16,ALSA,10.37,10.39,10.37,10.39,10657.0
2023-02-23,ALSA,10.47,10.48,10.46,10.46,7850.0
2023-03-01,ALSA,10.46,10.46,10.43,10.46,52953.0
2023-03-03,ALSA,10.45,10.45,10.45,10.45,1350.0
2023-03-07,ALSA,10.45,10.45,10.45,10.45,2200.0
2023-03-09,ALSA,10.45,10.45,10.45,10.45,100.0
2023-03-14,ALSA,10.45,10.45,10.45,10.45,1803.0
2023-03-15,ALSA,10.47,10.47,10.47,10.47,170689.0
2023-03-16,ALSA,10.4777,10.4821,10.47,10.4821,6777.0
2023-03-17,ALSA,10.47,10.47,10.47,10.47,1901.0
2023-03-20,ALSA,10.47,10.47,10.47,10.47,3185.0
2023-03-21,ALSA,10.47,10.47,10.47,10.47,9528.0
2023-03-22,ALSA,10.47,10.47,10.47,10.47,79170.0
2023-03-23,ALSA,10.4754,10.4754,10.4754,10.4754,4000.0
2023-03-28,ALSA,10.47,10.4701,10.47,10.4701,3005.0
2023-03-30,ALSA,10.47,10.47,10.47,10.47,493.0
2023-03-31,ALSA,10.49,10.49,10.49,10.49,161.0
2023-04-04,ALSA,10.5,10.505,10.5,10.505,300.0
2023-04-05,ALSA,10.5,10.51,10.5,10.5,406.0
2023-04-06,ALSA,10.5,10.5,10.48,10.495,3205.0
2023-04-11,ALSA,10.5,10.5,10.49,10.49,754.0
2023-04-13,ALSA,10.49,10.52,10.49,10.51,586811.0
2023-04-14,ALSA,10.52,10.53,10.52,10.53,236514.0
2023-04-17,ALSA,10.525,10.525,10.525,10.525,605.0
2023-04-18,ALSA,10.52,10.53,10.52,10.53,120502.0
2023-04-20,ALSA,10.53,10.55,10.53,10.55,264906.0
2023-04-21,ALSA,10.54,10.54,10.54,10.54,100.0
2023-04-24,ALSA,10.54,10.54,10.54,10.54,132.0
2023-04-25,ALSA,10.55,10.55,10.55,10.55,3634.0
2023-04-26,ALSA,10.54,10.54,10.54,10.54,218.0
2023-04-27,ALSA,10.535,10.55,10.52,10.55,180109.0
2023-04-28,ALSA,10.55,10.55,10.54,10.55,257740.0
2023-05-01,ALSA,10.55,10.56,10.55,10.56,100700.0
2023-05-02,ALSA,10.55,10.56,10.55,10.56,237333.0
2023-05-05,ALSA,10.56,10.57,10.56,10.57,746.0
2023-05-08,ALSA,10.56,10.565,10.56,10.56,3231.0
2023-05-10,ALSA,10.56,10.58,10.56,10.58,9900.0
2023-05-11,ALSA,10.57,10.57,10.57,10.57,112.0
2023-05-12,ALSA,10.57,10.57,10.57,10.57,3500.0
2023-05-17,ALSA,10.58,10.59,10.58,10.58,11510.0
2023-05-22,ALSA,10.58,10.6101,10.58,10.6101,13500.0
2023-05-26,ALSA,10.62,10.62,10.62,10.62,101.0
2023-05-30,ALSA,10.62,10.6247,10.62,10.6247,201.0
2023-05-31,ALSA,10.6299,10.63,10.6299,10.63,2971.0
2023-06-01,ALSA,10.63,10.64,10.63,10.64,11514.0
2023-06-02,ALSA,10.64,10.64,10.64,10.64,362.0
2023-06-05,ALSA,10.64,10.66,10.64,10.66,5393.0
2023-06-06,ALSA,10.665,10.67,10.665,10.67,10600.0
2023-06-08,ALSA,10.675,10.675,10.675,10.675,201.0
2023-06-12,ALSA,10.66,10.66,10.64,10.64,2867.0
2023-06-13,ALSA,10.68,10.68,10.68,10.68,5206.0
2023-06-14,ALSA,10.68,10.68,10.67,10.68,5200.0
2023-06-15,ALSA,10.7,10.7,10.69,10.7,10448.0
2023-06-21,ALSA,10.72,10.72,10.7,10.7,2450.0
2023-06-23,ALSA,10.7,10.7,10.7,10.7,1700.0
2023-06-27,ALSA,10.69,10.7,10.68,10.7,6524.0
2023-06-28,ALSA,10.72,10.72,10.72,10.72,140000.0
2023-06-29,ALSA,10.73,10.73,10.73,10.73,11200.0
2023-06-30,ALSA,10.73,10.73,10.73,10.73,200.0
2023-07-03,ALSA,10.74,10.74,10.74,10.74,801.0
2023-07-05,ALSA,10.74,10.78,10.74,10.78,288397.0
2023-07-06,ALSA,10.76,10.76,10.76,10.76,112354.0
2023-07-07,ALSA,10.73,10.76,10.73,10.76,48007.0
2023-07-11,ALSA,10.72,10.72,10.72,10.72,113.0
2023-07-12,ALSA,10.72,10.735,10.72,10.735,45761.0
2023-07-14,ALSA,10.76,10.76,10.75,10.75,6593.0
2023-07-18,ALSA,10.755,10.755,10.755,10.755,223.0
2023-07-20,ALSA,10.76,10.76,10.76,10.76,594.0
2023-07-21,ALSA,10.76,10.76,10.76,10.76,295.0
2023-07-24,ALSA,10.79,10.79,10.79,10.79,107.0
2023-07-25,ALSA,10.7795,10.95,10.76,10.78,23166.0
2023-07-26,ALSA,10.79,10.79,10.78,10.785,3431.0
2023-07-27,ALSA,10.78,10.81,10.78,10.8,3664.0
2023-07-28,ALSA,11.29,11.29,10.81,10.81,966.0
2023-07-31,ALSA,10.74,10.74,10.74,10.74,637.0
2023-08-01,ALSA,10.74,10.83,10.74,10.7826,4377.0
2023-08-07,ALSA,11.0,11.0,11.0,11.0,107.0
2023-08-09,ALSA,11.22,11.22,10.79,10.84,3535.0
2023-08-10,ALSA,10.9796,10.9796,10.94,10.94,921.0
2023-08-11,ALSA,10.92,10.92,10.92,10.92,206.0
2023-08-14,ALSA,10.81,10.97,10.7901,10.97,162115.0
