Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,AMPY,9.04,9.11,8.34,8.41,921098.0
2022-11-10,AMPY,8.67,8.91,8.44,8.63,426800.0
2022-11-11,AMPY,8.84,9.02,8.69,8.78,374029.0
2022-11-14,AMPY,8.79,9.0689,8.66,8.67,303101.0
2022-11-15,AMPY,8.8,9.02,8.55,8.94,424184.0
2022-11-16,AMPY,8.76,8.84,8.56,8.71,305864.0
2022-11-17,AMPY,8.48,8.65,8.4,8.62,311102.0
2022-11-18,AMPY,8.3,8.48,7.92,8.35,333926.0
2022-11-21,AMPY,8.06,8.31,7.68,8.3,415146.0
2022-11-22,AMPY,8.45,8.77,8.29,8.73,302858.0
2022-11-23,AMPY,8.54,8.6,8.36,8.59,182737.0
2022-11-25,AMPY,8.6,8.78,8.58,8.58,114113.0
2022-11-28,AMPY,8.17,8.46,8.1283,8.32,209613.0
2022-11-29,AMPY,8.55,8.55,8.2,8.32,252019.0
2022-11-30,AMPY,8.55,8.58,8.2,8.28,235825.0
2022-12-01,AMPY,8.45,8.5,8.09,8.12,244365.0
2022-12-02,AMPY,8.0,8.37,7.97,8.3,271937.0
2022-12-05,AMPY,8.3,8.475,7.65,7.68,391686.0
2022-12-06,AMPY,7.55,7.8,7.39,7.51,348712.0
2022-12-07,AMPY,7.62,7.6402,7.25,7.27,337326.0
2022-12-08,AMPY,7.53,7.56,6.92,6.99,456573.0
2022-12-09,AMPY,7.01,7.06,6.73,6.79,589602.0
2022-12-12,AMPY,6.8,7.18,6.8,7.1,437772.0
2022-12-13,AMPY,7.37,7.4295,7.11,7.29,311698.0
2022-12-14,AMPY,7.4,7.49,7.18,7.28,315628.0
2022-12-15,AMPY,7.27,7.43,7.19,7.39,259329.0
2022-12-16,AMPY,7.11,7.36,7.03,7.34,509820.0
2022-12-19,AMPY,7.35,7.48,7.12,7.18,324129.0
2022-12-20,AMPY,7.15,7.5125,7.15,7.42,271599.0
2022-12-21,AMPY,7.68,8.12,7.47,8.07,727367.0
2022-12-22,AMPY,8.05,8.05,7.48,7.79,384319.0
2022-12-23,AMPY,7.79,8.43,7.74,8.4,782074.0
2022-12-27,AMPY,8.59,8.94,8.53,8.94,773840.0
2022-12-28,AMPY,8.94,8.94,8.29,8.46,449577.0
2022-12-29,AMPY,8.37,8.62,8.311,8.55,358532.0
2022-12-30,AMPY,8.46,8.831,8.445,8.79,784532.0
2023-01-03,AMPY,8.76,8.79,7.74,7.95,957787.0
2023-01-04,AMPY,7.77,8.055,7.77,7.93,397212.0
2023-01-05,AMPY,7.81,8.35,7.7,8.12,471714.0
2023-01-06,AMPY,8.35,8.5242,8.14,8.22,362693.0
2023-01-09,AMPY,8.5,8.65,8.34,8.42,250078.0
2023-01-10,AMPY,8.45,8.67,8.22,8.65,278517.0
2023-01-11,AMPY,8.7,8.86,8.6293,8.64,359619.0
2023-01-12,AMPY,8.8,9.1,8.705,8.77,386733.0
2023-01-13,AMPY,8.79,8.96,8.66,8.86,210785.0
2023-01-17,AMPY,8.85,9.14,8.81,8.97,206221.0
2023-01-18,AMPY,9.05,9.2189,8.6519,8.67,326402.0
2023-01-19,AMPY,8.58,8.9,8.54,8.81,265825.0
2023-01-20,AMPY,8.93,9.0195,8.7,8.9,309478.0
2023-01-23,AMPY,8.99,9.08,8.84,8.96,219266.0
2023-01-24,AMPY,8.97,9.0399,8.82,8.98,229802.0
2023-01-25,AMPY,8.89,9.11,8.68,9.06,292241.0
2023-01-26,AMPY,9.27,9.36,8.95,9.35,452704.0
2023-01-27,AMPY,9.3,9.35,9.06,9.09,273129.0
2023-01-30,AMPY,8.8,8.93,8.61,8.75,534185.0
2023-01-31,AMPY,8.76,8.84,8.56,8.66,552872.0
