Date,Ticker,Open,High,Low,Close,Volume
2023-09-21,AONC,32.5,33.13,19.53,20.5,666074.0
2023-09-22,AONC,19.78,20.5,15.54,17.76,534279.0
2023-09-25,AONC,16.45,19.999,15.7987,17.88,286769.0
2023-09-26,AONC,15.91,18.44,12.71,13.1,352126.0
2023-09-27,AONC,12.89,12.89,10.31,11.01,165726.0
2023-09-28,AONC,10.56,11.82,9.8575,10.38,211544.0
2023-09-29,AONC,10.5,10.6201,9.07,9.3,107463.0
2023-10-02,AONC,8.71,9.7999,8.29,8.78,108963.0
2023-10-03,AONC,8.56,8.56,7.19,7.19,69322.0
2023-10-04,AONC,7.12,7.3,6.3001,6.92,52150.0
2023-10-05,AONC,6.32,6.7,5.91,5.92,70730.0
2023-10-06,AONC,5.69,11.0,5.5801,7.93,3771463.0
2023-10-09,AONC,7.28,7.815,6.3,7.06,288920.0
2023-10-10,AONC,6.67,7.21,6.5105,6.67,144392.0
2023-10-11,AONC,6.54,7.23,6.2,6.2873,111640.0
2023-10-12,AONC,6.27,6.6894,6.0,6.43,97424.0
2023-10-13,AONC,6.04,6.75,6.0,6.48,47715.0
2023-10-16,AONC,6.35,6.7883,6.13,6.48,59974.0
2023-10-17,AONC,6.3,7.31,6.3,6.93,77456.0
2023-10-18,AONC,6.77,7.155,6.64,6.74,40262.0
2023-10-19,AONC,6.58,7.45,6.46,6.83,126639.0
2023-10-20,AONC,6.62,6.9206,6.51,6.58,10177.0
2023-10-23,AONC,6.39,6.9094,6.35,6.7,6831.0
2023-10-24,AONC,6.71,6.83,6.3,6.62,22069.0
2023-10-25,AONC,6.54,6.7,6.3701,6.45,24142.0
2023-10-26,AONC,6.5,6.505,6.01,6.05,23627.0
2023-10-27,AONC,6.01,6.3094,5.81,6.0,11490.0
2023-10-30,AONC,5.95,6.47,5.51,5.99,42918.0
2023-10-31,AONC,5.76,6.075,5.575,6.075,9855.0
2023-11-01,AONC,5.855,6.07,5.73,5.89,25448.0
2023-11-02,AONC,6.0,6.1595,5.7,5.7,42713.0
2023-11-03,AONC,5.7558,6.25,5.7,5.79,37785.0
2023-11-06,AONC,5.78,6.33,5.7,5.77,27079.0
2023-11-07,AONC,5.79,6.1,5.67,5.8004,22668.0
2023-11-08,AONC,5.87,6.2465,5.74,6.01,30640.0
2023-11-09,AONC,6.01,6.725,5.73,5.8,26472.0
2023-11-10,AONC,5.82,7.2766,5.82,6.24,100029.0
2023-11-13,AONC,6.49,6.97,6.0382,6.3,23103.0
2023-11-14,AONC,6.3,6.725,6.2,6.3,31159.0
2023-11-15,AONC,6.25,6.441,5.93,6.02,45248.0
2023-11-16,AONC,6.15,6.6997,6.04,6.04,20867.0
2023-11-17,AONC,6.25,6.8099,6.06,6.3,33342.0
2023-11-20,AONC,6.43,6.99,6.3748,6.48,48139.0
2023-11-21,AONC,6.82,7.35,6.47,6.93,7199.0
2023-11-22,AONC,7.215,8.1,6.77,8.04,26155.0
2023-11-24,AONC,8.04,9.24,7.92,8.73,43741.0
2023-11-27,AONC,8.62,8.99,8.38,8.45,42920.0
2023-11-28,AONC,8.19,8.375,7.5,7.6316,35755.0
2023-11-29,AONC,7.68,8.55,7.23,7.9,65489.0
2023-11-30,AONC,7.73,7.73,7.1453,7.18,27948.0
2023-12-01,AONC,7.47,7.93,6.875,7.35,33991.0
2023-12-04,AONC,7.27,7.5,6.73,6.73,35436.0
2023-12-05,AONC,6.79,6.94,5.72,6.05,47946.0
2023-12-06,AONC,6.42,6.42,5.98,6.06,8693.0
