Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,APGB,9.97,9.97,9.96,9.96,83879.0
2022-11-10,APGB,9.96,9.98,9.95,9.95,25598.0
2022-11-11,APGB,9.97,9.9717,9.97,9.9717,299.0
2022-11-14,APGB,9.96,9.97,9.96,9.965,5775.0
2022-11-15,APGB,9.96,9.98,9.96,9.98,77781.0
2022-11-16,APGB,9.99,10.0,9.98,9.98,5634.0
2022-11-18,APGB,9.9834,10.0,9.98,9.99,21332.0
2022-11-22,APGB,9.99,10.0,9.98,9.98,35160.0
2022-11-23,APGB,9.9906,9.9999,9.99,9.99,2391.0
2022-11-25,APGB,9.995,9.995,9.995,9.995,100.0
2022-11-28,APGB,9.98,10.01,9.96,9.96,191484.0
2022-11-29,APGB,9.98,10.02,9.98,10.0,952613.0
2022-11-30,APGB,10.0,10.02,10.0,10.01,364486.0
2022-12-01,APGB,10.01,10.02,10.01,10.02,353257.0
2022-12-02,APGB,10.01,10.0202,10.01,10.02,609824.0
2022-12-05,APGB,10.0,10.02,10.0,10.01,57343.0
2022-12-06,APGB,10.015,10.03,10.015,10.02,72439.0
2022-12-07,APGB,10.03,10.0377,10.025,10.025,81707.0
2022-12-08,APGB,10.04,10.04,10.02,10.02,181770.0
2022-12-09,APGB,10.02,10.025,10.015,10.02,130222.0
2022-12-12,APGB,10.02,10.045,10.02,10.04,110881.0
2022-12-13,APGB,10.04,10.055,10.04,10.05,2481834.0
2022-12-14,APGB,10.03,10.06,10.03,10.05,57117.0
2022-12-15,APGB,10.03,10.06,10.03,10.05,268829.0
2022-12-16,APGB,10.05,10.055,10.04,10.055,704199.0
2022-12-19,APGB,10.04,10.06,10.04,10.05,74686.0
2022-12-20,APGB,10.05,10.06,10.0416,10.05,51074.0
2022-12-21,APGB,10.06,10.07,10.045,10.05,976728.0
2022-12-22,APGB,10.055,10.055,10.045,10.05,104267.0
2022-12-23,APGB,10.05,10.055,10.05,10.055,11013.0
2022-12-27,APGB,10.05,10.09,10.05,10.08,139809.0
2022-12-28,APGB,10.06,10.06,10.01,10.03,2258651.0
2022-12-29,APGB,10.03,10.035,10.02,10.03,300916.0
2022-12-30,APGB,10.02,10.04,10.015,10.02,146394.0
2023-01-03,APGB,10.01,10.06,10.01,10.04,1439252.0
2023-01-04,APGB,10.04,10.05,10.04,10.04,372986.0
2023-01-05,APGB,10.05,10.07,10.05,10.07,399811.0
2023-01-06,APGB,10.07,10.075,10.03,10.06,271028.0
2023-01-09,APGB,10.07,10.085,9.98,10.075,2634059.0
2023-01-10,APGB,10.07,10.09,10.07,10.085,2650065.0
2023-01-11,APGB,10.09,10.1,10.08,10.08,1500760.0
2023-01-12,APGB,10.09,10.09,10.07,10.09,1725730.0
2023-01-13,APGB,10.09,10.1,10.08,10.08,3435695.0
2023-01-17,APGB,10.09,10.11,10.08,10.1,5049833.0
2023-01-18,APGB,10.09,10.115,10.09,10.1,1704120.0
2023-01-19,APGB,10.1,10.12,10.1,10.115,80775.0
2023-01-20,APGB,10.11,10.115,10.09,10.09,1122263.0
2023-01-23,APGB,10.09,10.11,10.08,10.1,33577.0
2023-01-24,APGB,10.11,10.11,10.1,10.1,5009.0
2023-01-25,APGB,9.99,10.11,9.99,10.1,1141.0
2023-01-26,APGB,10.105,10.115,10.1,10.11,637034.0
2023-01-27,APGB,10.11,10.12,10.105,10.11,77210.0
2023-01-30,APGB,10.115,10.115,10.11,10.115,7301.0
2023-01-31,APGB,10.13,10.13,10.11,10.11,157246.0
2023-02-01,APGB,10.115,10.115,10.11,10.11,705.0
2023-02-02,APGB,10.115,10.12,10.11,10.12,109961.0
2023-02-03,APGB,10.12,10.12,10.11,10.11,3658.0
2023-02-06,APGB,10.115,10.12,10.11,10.12,256957.0
2023-02-07,APGB,10.12,10.12,10.1115,10.115,5825.0
2023-02-08,APGB,10.12,10.13,10.12,10.12,324537.0
2023-02-09,APGB,10.13,10.13,10.12,10.12,47567.0
2023-02-10,APGB,10.12,10.13,10.12,10.13,67124.0
2023-02-13,APGB,10.13,10.15,10.12,10.14,42031.0
2023-02-14,APGB,10.15,10.18,10.14,10.155,53340.0
2023-02-15,APGB,10.16,10.17,10.09,10.09,232858.0
2023-02-16,APGB,10.15,10.16,10.13,10.14,115182.0
2023-02-17,APGB,10.135,10.14,10.13,10.135,47849.0
2023-02-21,APGB,10.15,10.16,10.134,10.155,81634.0
2023-02-22,APGB,10.15,10.155,10.135,10.145,104846.0
2023-02-23,APGB,10.14,10.16,10.14,10.155,13681.0
2023-02-24,APGB,10.14,10.17,10.14,10.155,192550.0
2023-02-27,APGB,10.155,10.155,10.15,10.155,1617.0
2023-02-28,APGB,10.16,10.17,10.16,10.16,953457.0
2023-03-01,APGB,10.17,10.17,10.14,10.14,78595.0
2023-03-02,APGB,10.16,10.18,10.15,10.17,810832.0
2023-03-03,APGB,10.19,10.19,10.17,10.18,1181404.0
2023-03-06,APGB,10.18,10.19,10.18,10.18,410196.0
2023-03-07,APGB,10.18,10.2,10.18,10.18,214446.0
2023-03-08,APGB,10.19,10.2,10.18,10.2,59628.0
2023-03-09,APGB,10.2,10.22,10.19,10.2,1649826.0
2023-03-10,APGB,10.21,10.22,10.2,10.205,792221.0
2023-03-13,APGB,10.19,10.2,10.19,10.195,10048.0
2023-03-14,APGB,10.2,10.2,10.19,10.19,11160.0
2023-03-15,APGB,10.2,10.205,10.19,10.2,528392.0
2023-03-16,APGB,10.2,10.2075,10.2,10.205,585847.0
2023-03-17,APGB,10.205,10.21,10.2,10.21,6034.0
2023-03-20,APGB,10.21,10.22,10.21,10.22,1038825.0
2023-03-21,APGB,10.22,10.24,10.2116,10.23,36780.0
2023-03-22,APGB,10.24,10.24,10.22,10.22,19813.0
2023-03-23,APGB,10.23,10.23,10.22,10.22,151938.0
2023-03-24,APGB,10.22,10.25,10.22,10.225,3417173.0
2023-03-27,APGB,10.23,10.25,10.23,10.23,1158157.0
2023-03-28,APGB,10.25,10.25,10.23,10.25,1384850.0
2023-03-29,APGB,10.24,10.25,10.24,10.24,31213.0
2023-03-30,APGB,10.25,10.25,10.24,10.24,1464346.0
2023-03-31,APGB,10.25,10.25,10.24,10.25,199485.0
2023-04-03,APGB,10.25,10.25,10.24,10.24,149534.0
2023-04-04,APGB,10.25,10.26,10.24,10.24,146410.0
2023-04-05,APGB,10.25,10.25,10.24,10.245,590196.0
2023-04-06,APGB,10.245,10.26,10.2402,10.25,706866.0
2023-04-10,APGB,10.25,10.27,10.25,10.27,155598.0
2023-04-11,APGB,10.27,10.28,10.25,10.25,627516.0
2023-04-12,APGB,10.27,10.27,10.25,10.25,585171.0
2023-04-13,APGB,10.25,10.26,10.25,10.25,1685.0
2023-04-14,APGB,10.25,10.26,10.24,10.25,258518.0
2023-04-17,APGB,10.25,10.27,10.25,10.27,702758.0
2023-04-18,APGB,10.27,10.29,10.27,10.29,15226841.0
