Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,APOG,44.73,45.66,44.36,45.13,55861
2022-11-10,APOG,46.51,48.24,46.51,47.94,107843
2022-11-11,APOG,47.99,48.97,47.53,47.71,65793
2022-11-14,APOG,47.34,48.07,46.84,47.16,63705
2022-11-15,APOG,47.77,48.43,47.27,47.53,60356
2022-11-16,APOG,47.48,48.01,46.04,46.91,99871
2022-11-17,APOG,46.12,46.97,46.12,46.97,48721
2022-11-18,APOG,47.9,48.1299,46.965,47.44,77465
2022-11-21,APOG,47.51,48.105,47.25,47.83,68536
2022-11-22,APOG,48.29,48.7,47.74,48.7,76198
2022-11-23,APOG,48.51,48.99,48.42,48.87,56913
2022-11-25,APOG,48.91,49.65,48.495,49.31,29356
2022-11-28,APOG,49.11,49.345,48.19,48.39,69286
2022-11-29,APOG,48.21,48.29,47.73,47.79,128574
2022-11-30,APOG,47.13,48.52,46.74,48.25,116506
2022-12-01,APOG,48.71,48.98,47.62,48.68,91132
2022-12-02,APOG,48.03,48.755,47.52,48.35,68898
2022-12-05,APOG,47.82,47.88,46.35,46.56,91858
2022-12-06,APOG,46.45,46.8,45.75,46.42,89572
2022-12-07,APOG,46.25,46.7,45.3,45.45,135446
2022-12-08,APOG,45.45,46.47,45.26,46.29,96396
2022-12-09,APOG,46.03,46.19,45.66,45.82,79116
2022-12-12,APOG,45.86,46.57,45.46,46.47,98425
2022-12-13,APOG,47.9,48.16,46.0875,47.0,172835
2022-12-14,APOG,47.09,47.17,45.81,45.99,241057
2022-12-15,APOG,45.56,45.56,44.68,44.7,110877
2022-12-16,APOG,44.12,44.28,42.64,42.93,817299
2022-12-19,APOG,43.27,44.325,43.02,43.69,170837
2022-12-20,APOG,43.63,44.13,43.23,43.54,263754
2022-12-21,APOG,44.06,45.45,43.9,44.8,198232
2022-12-22,APOG,46.25,46.625,43.45,43.78,247067
2022-12-23,APOG,43.58,44.16,43.23,43.87,108185
2022-12-27,APOG,43.95,44.49,43.62,44.08,117423
2022-12-28,APOG,44.3,44.65,43.14,43.23,62585
2022-12-29,APOG,43.64,44.53,43.64,44.34,81850
2022-12-30,APOG,44.06,44.66,43.74,44.46,104779
2023-01-03,APOG,44.76,45.26,43.7,44.05,129163
2023-01-04,APOG,44.46,44.88,43.91,44.05,94883
2023-01-05,APOG,44.08,44.17,43.22,43.7,93756
2023-01-06,APOG,44.13,45.36,44.13,45.33,71941
2023-01-09,APOG,45.51,45.99,44.945,45.04,96572
2023-01-10,APOG,45.11,45.9,45.02,45.65,89899
2023-01-11,APOG,45.94,46.47,45.83,46.12,91054
2023-01-12,APOG,46.74,47.0815,46.23,46.56,76234
2023-01-13,APOG,45.99,46.62,45.965,46.32,83075
2023-01-17,APOG,46.28,46.63,45.84,46.01,74423
2023-01-18,APOG,46.07,46.71,45.33,45.4,85569
2023-01-19,APOG,45.03,45.315,43.38,43.42,170637
2023-01-20,APOG,43.78,44.24,43.11,44.17,95088
2023-01-23,APOG,44.09,44.835,43.67,44.14,76416
2023-01-24,APOG,44.06,44.48,43.43,44.36,147279
2023-01-25,APOG,44.15,44.48,43.7154,44.44,36327
2023-01-26,APOG,44.59,44.7,44.04,44.67,57431
2023-01-27,APOG,44.63,45.29,44.63,45.01,55366
2023-01-30,APOG,44.46,45.46,44.3118,45.09,65783
2023-01-31,APOG,45.43,46.88,45.43,46.84,105216
2023-02-01,APOG,46.56,47.81,46.33,47.33,100078
2023-02-02,APOG,47.43,48.4,44.65,48.03,80122
2023-02-03,APOG,47.5,48.5,47.5,48.07,77448
2023-02-06,APOG,47.9,48.02,47.18,47.39,66455
2023-02-07,APOG,47.18,48.13,47.0,47.93,68499
2023-02-08,APOG,47.44,47.88,47.17,47.37,71049
2023-02-09,APOG,47.66,47.96,46.61,46.85,66335
2023-02-10,APOG,46.87,47.0,46.53,46.69,49076
2023-02-13,APOG,46.81,47.44,46.64,47.38,50459
2023-02-14,APOG,47.05,47.51,46.51,46.99,88652
2023-02-15,APOG,46.83,47.715,46.4548,47.5,71909
2023-02-16,APOG,46.8,47.64,46.64,47.27,46705
2023-02-17,APOG,47.5,47.7,46.84,47.58,77521
2023-02-21,APOG,47.06,47.06,45.62,45.74,119549
2023-02-22,APOG,46.06,46.48,45.64,45.97,134523
2023-02-23,APOG,46.05,46.65,45.87,46.36,59698
2023-02-24,APOG,45.7,46.11,45.25,45.88,117860
2023-02-27,APOG,46.17,46.56,45.535,45.73,95899
2023-02-28,APOG,45.7,46.19,45.65,45.76,188673
2023-03-01,APOG,45.72,46.485,45.61,46.37,88240
2023-03-02,APOG,45.95,47.0,45.24,46.93,96619
2023-03-03,APOG,47.1,48.17,46.13,47.79,87219
2023-03-06,APOG,47.49,47.6,45.38,46.1,156661
2023-03-07,APOG,46.03,46.365,45.425,45.79,83788
2023-03-08,APOG,45.75,45.97,45.26,45.62,82921
2023-03-09,APOG,45.59,45.84,44.98,44.98,73534
2023-03-10,APOG,44.71,44.71,42.86,43.51,112851
2023-03-13,APOG,42.58,42.58,41.02,41.37,210885
2023-03-14,APOG,42.67,42.91,41.78,42.58,181674
2023-03-15,APOG,41.26,42.03,40.725,41.36,170329
2023-03-16,APOG,40.71,41.52,40.08,41.31,224957
2023-03-17,APOG,40.67,41.02,39.53,39.82,610129
2023-03-20,APOG,40.37,41.54,40.37,41.35,173517
2023-03-21,APOG,42.05,42.6,41.54,42.05,197055
2023-03-22,APOG,42.09,42.67,41.37,41.43,154679
2023-03-23,APOG,41.47,42.24,40.66,40.99,163818
2023-03-24,APOG,40.67,41.92,39.98,41.29,173042
2023-03-27,APOG,41.81,42.29,41.445,42.06,116936
2023-03-28,APOG,42.05,42.48,42.0,42.34,151553
2023-03-29,APOG,42.91,42.95,42.06,42.47,124264
2023-03-30,APOG,42.72,43.03,42.22,42.23,114065
2023-03-31,APOG,42.48,43.58,42.48,43.25,376236
2023-04-03,APOG,43.22,43.87,42.7679,43.75,184505
2023-04-04,APOG,43.7,43.7,41.855,42.47,464494
2023-04-05,APOG,42.36,42.625,41.8,41.99,166794
2023-04-06,APOG,42.08,42.3,41.765,42.19,206660
2023-04-10,APOG,42.19,42.76,41.83,42.32,248097
2023-04-11,APOG,42.3,42.99,42.3,42.4,460063
2023-04-12,APOG,41.78,43.04,41.14,41.75,360418
2023-04-13,APOG,42.14,42.71,41.78,42.32,430571
2023-04-14,APOG,42.45,42.91,42.04,42.2,246499
2023-04-17,APOG,42.38,43.65,42.38,43.58,185058
2023-04-18,APOG,43.66,43.965,43.25,43.77,158738
2023-04-19,APOG,43.62,44.27,43.62,44.02,131072
2023-04-20,APOG,43.83,44.09,43.29,43.81,549538
2023-04-21,APOG,43.96,44.16,43.46,43.57,156455
2023-04-24,APOG,43.62,44.09,42.85,43.18,97504
2023-04-25,APOG,42.73,43.2,42.19,42.28,163743
2023-04-26,APOG,41.92,42.19,40.9111,41.53,180490
2023-04-27,APOG,41.55,42.34,41.55,42.14,124422
