Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,APPF,114.52,114.99,111.855,113.69,76204.0
2022-11-10,APPF,118.63,123.52,118.63,120.71,230106.0
2022-11-11,APPF,121.71,122.26,119.795,119.92,109576.0
2022-11-14,APPF,118.76,120.27,116.33,116.44,78799.0
2022-11-15,APPF,118.67,122.21,118.16,121.9,123730.0
2022-11-16,APPF,121.49,122.86,120.49,122.45,71523.0
2022-11-17,APPF,120.78,120.985,116.62,118.05,103122.0
2022-11-18,APPF,120.02,120.02,117.54,119.14,67996.0
2022-11-21,APPF,118.27,118.6,114.79,115.24,67324.0
2022-11-22,APPF,115.93,117.375,113.59,116.97,52046.0
2022-11-23,APPF,117.0,118.78,116.215,116.9,40805.0
2022-11-25,APPF,116.73,117.89,115.85,115.94,21883.0
2022-11-28,APPF,116.03,116.03,113.27,113.62,55782.0
2022-11-29,APPF,112.77,113.61,109.9,110.4,62081.0
2022-11-30,APPF,109.44,114.71,109.44,114.09,137582.0
2022-12-01,APPF,115.05,118.79,114.73,118.15,77402.0
2022-12-02,APPF,116.98,120.07,114.88,120.04,69246.0
2022-12-05,APPF,118.57,118.715,114.12,116.05,82304.0
2022-12-06,APPF,116.35,116.35,111.525,112.32,55221.0
2022-12-07,APPF,112.09,113.19,109.89,110.21,62346.0
2022-12-08,APPF,110.22,111.65,108.895,110.42,66224.0
2022-12-09,APPF,110.0,110.49,107.48,107.57,68832.0
2022-12-12,APPF,106.8,109.82,105.87,109.05,78544.0
2022-12-13,APPF,110.83,115.82,110.7,112.35,93689.0
2022-12-14,APPF,112.86,115.9,112.54,114.95,86807.0
2022-12-15,APPF,113.02,114.4552,107.5,107.9,81908.0
2022-12-16,APPF,107.25,108.35,105.47,106.43,210297.0
2022-12-19,APPF,107.1,107.31,104.76,105.82,93010.0
2022-12-20,APPF,105.0,106.89,104.22,105.32,80104.0
2022-12-21,APPF,105.95,108.19,104.79,107.92,125856.0
2022-12-22,APPF,107.41,107.41,104.97,106.15,72410.0
2022-12-23,APPF,106.03,106.03,103.92,104.58,47450.0
2022-12-27,APPF,104.45,104.45,101.14,102.12,105266.0
2022-12-28,APPF,102.28,104.1,100.2,100.22,84988.0
2022-12-29,APPF,101.55,104.63,100.9906,104.5,86745.0
2022-12-30,APPF,103.85,106.05,102.12,105.38,88817.0
2023-01-03,APPF,106.48,108.375,105.94,107.17,86208.0
2023-01-04,APPF,108.22,111.2,106.32,111.1,90935.0
2023-01-05,APPF,110.5,110.59,106.38,106.99,80650.0
2023-01-06,APPF,108.4,111.45,104.82,111.32,107084.0
2023-01-09,APPF,112.93,115.15,111.5,112.07,106440.0
2023-01-10,APPF,112.17,115.765,110.98,115.65,82332.0
2023-01-11,APPF,115.65,118.3,113.23,114.89,85755.0
2023-01-12,APPF,115.95,119.71,112.48,119.71,72361.0
2023-01-13,APPF,119.0,120.22,117.0,119.59,91167.0
2023-01-17,APPF,119.5,121.56,116.85,119.21,86730.0
2023-01-18,APPF,120.64,121.04,116.65,117.17,66187.0
2023-01-19,APPF,116.04,117.31,113.11,113.93,108415.0
2023-01-20,APPF,115.25,116.18,113.29,116.14,80904.0
2023-01-23,APPF,116.08,117.8,114.76,116.84,67567.0
2023-01-24,APPF,117.22,119.74,114.97,119.07,71064.0
2023-01-25,APPF,118.04,118.2,110.89,113.02,125804.0
2023-01-26,APPF,113.36,115.4,110.94,114.94,85410.0
2023-01-27,APPF,112.75,112.75,102.8463,106.01,537161.0
2023-01-30,APPF,104.86,113.745,104.3977,113.41,218121.0
2023-01-31,APPF,113.57,115.15,110.31,112.33,165384.0
2023-02-01,APPF,113.27,119.07,110.25,116.98,146465.0
2023-02-02,APPF,119.0,121.6,113.02,119.46,93037.0
2023-02-03,APPF,117.27,120.695,116.96,117.55,79962.0
2023-02-06,APPF,116.62,117.9,115.62,116.44,58853.0
2023-02-07,APPF,116.09,122.36,114.7,122.12,119639.0
2023-02-08,APPF,121.6,125.84,121.12,124.57,110019.0
2023-02-09,APPF,125.91,127.62,124.08,124.24,85378.0
2023-02-10,APPF,123.05,126.04,122.57,124.31,72405.0
2023-02-13,APPF,124.48,127.6,123.87,125.81,94554.0
2023-02-14,APPF,125.43,128.84,125.43,126.59,73930.0
