Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,ARVN,44.35,44.35,40.62,40.77,485771.0
2022-11-10,ARVN,43.59,45.53,42.67,45.52,453210.0
2022-11-11,ARVN,45.06,51.31,45.06,50.06,558706.0
2022-11-14,ARVN,49.93,53.28,48.53,52.02,512223.0
2022-11-15,ARVN,53.55,57.61,53.55,57.24,773289.0
2022-11-16,ARVN,56.28,57.96,54.28,54.36,874210.0
2022-11-17,ARVN,53.32,56.04,52.0,53.03,596137.0
2022-11-18,ARVN,54.62,55.18,50.94,51.31,661176.0
2022-11-21,ARVN,51.02,51.87,41.86,43.08,1238220.0
2022-11-22,ARVN,43.53,43.54,39.46,40.7,1490387.0
2022-11-23,ARVN,41.39,41.4,38.0,39.56,709781.0
2022-11-25,ARVN,39.3,40.35,38.62,40.34,320998.0
2022-11-28,ARVN,40.12,40.75,37.93,38.98,597241.0
2022-11-29,ARVN,38.83,39.9473,38.19,38.29,486088.0
2022-11-30,ARVN,38.5,41.39,38.35,41.04,821714.0
2022-12-01,ARVN,40.98,41.29,39.72,39.75,286070.0
2022-12-02,ARVN,39.03,42.52,38.27,41.39,468531.0
2022-12-05,ARVN,41.17,41.55,38.5714,39.51,435129.0
2022-12-06,ARVN,39.4,39.575,36.0,36.75,448215.0
2022-12-07,ARVN,36.65,37.39,36.05,37.01,202620.0
2022-12-08,ARVN,38.0,38.58,36.06,37.18,347549.0
2022-12-09,ARVN,37.0,37.37,36.45,36.54,246230.0
2022-12-12,ARVN,37.41,37.41,35.88,36.85,335495.0
2022-12-13,ARVN,39.31,39.31,36.44,37.6,384816.0
2022-12-14,ARVN,37.76,39.05,37.0,37.64,326929.0
2022-12-15,ARVN,36.82,37.5,35.98,37.15,674191.0
2022-12-16,ARVN,36.12,37.555,34.595,36.04,691872.0
2022-12-19,ARVN,36.25,36.25,33.705,34.31,515783.0
2022-12-20,ARVN,33.8,34.93,33.8,34.52,526666.0
2022-12-21,ARVN,34.8,35.26,33.32,33.75,530111.0
2022-12-22,ARVN,33.17,33.625,31.88,33.17,522951.0
2022-12-23,ARVN,33.27,34.27,31.945,32.7,337849.0
2022-12-27,ARVN,32.8,33.22,31.54,32.47,472838.0
2022-12-28,ARVN,32.35,33.39,32.18,32.92,454577.0
2022-12-29,ARVN,33.56,35.28,32.2137,34.42,339004.0
2022-12-30,ARVN,34.09,34.76,33.055,34.21,537428.0
2023-01-03,ARVN,33.955,34.65,32.71,33.36,465553.0
2023-01-04,ARVN,34.01,35.87,33.43,35.77,368631.0
2023-01-05,ARVN,35.33,35.48,34.34,34.94,194280.0
2023-01-06,ARVN,35.2,35.2,33.52,34.05,242307.0
2023-01-09,ARVN,31.58,31.65,27.005,28.58,2182004.0
2023-01-10,ARVN,28.43,31.7,27.96,31.51,1398219.0
2023-01-11,ARVN,32.0,32.37,30.0,30.34,685633.0
2023-01-12,ARVN,29.02,31.05,28.14,30.86,525054.0
2023-01-13,ARVN,30.78,33.54,30.6,33.5,1590481.0
2023-01-17,ARVN,33.52,34.34,31.71,32.76,588291.0
2023-01-18,ARVN,32.91,34.87,32.46,33.73,937537.0
2023-01-19,ARVN,33.42,34.295,32.4,33.67,456284.0
