Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,ASPN,11.89,12.26,11.5,11.62,297232.0
2022-11-10,ASPN,12.5,13.35,12.36,13.33,506955.0
2022-11-11,ASPN,13.62,14.44,13.48,13.57,577295.0
2022-11-14,ASPN,13.39,13.7,12.99,13.3,369563.0
2022-11-15,ASPN,13.86,14.27,13.52,13.69,471568.0
2022-11-16,ASPN,13.45,13.49,12.82,12.98,318827.0
2022-11-17,ASPN,12.52,13.14,12.21,12.95,471797.0
2022-11-18,ASPN,13.26,13.26,12.74,12.85,239315.0
2022-11-21,ASPN,12.73,12.815,11.85,12.04,365526.0
2022-11-22,ASPN,12.07,12.19,11.78,12.07,197853.0
2022-11-23,ASPN,12.1,13.04,12.01,13.03,336182.0
2022-11-25,ASPN,12.92,13.33,12.92,13.26,96980.0
2022-11-28,ASPN,13.05,13.2,11.9,11.96,214493.0
2022-11-29,ASPN,12.03,12.23,11.33,11.34,291147.0
2022-11-30,ASPN,10.16,12.14,10.1,12.06,11277096.0
2022-12-01,ASPN,12.0,13.18,11.87,12.91,4114648.0
2022-12-02,ASPN,12.59,13.59,12.59,12.95,2120387.0
2022-12-05,ASPN,12.93,13.775,12.165,12.18,747291.0
2022-12-06,ASPN,12.06,12.16,11.11,11.21,1220611.0
2022-12-07,ASPN,11.22,11.55,10.92,11.03,830124.0
2022-12-08,ASPN,11.41,12.2,11.32,12.06,903254.0
2022-12-09,ASPN,12.04,12.13,11.17,11.33,789323.0
2022-12-12,ASPN,11.33,12.03,11.08,11.91,455455.0
2022-12-13,ASPN,12.5,12.75,11.4,11.8,789958.0
2022-12-14,ASPN,11.77,12.31,11.77,12.11,525330.0
2022-12-15,ASPN,11.89,11.985,11.15,11.54,723136.0
2022-12-16,ASPN,11.29,11.63,11.145,11.57,1056474.0
2022-12-19,ASPN,11.62,11.85,11.0,11.1,512584.0
2022-12-20,ASPN,11.0,11.725,10.88,10.99,741517.0
2022-12-21,ASPN,10.99,11.84,10.88,11.28,782435.0
2022-12-22,ASPN,11.13,11.32,10.62,11.28,709859.0
2022-12-23,ASPN,11.25,11.64,11.22,11.61,337134.0
2022-12-27,ASPN,11.61,11.68,10.86,10.87,352318.0
2022-12-28,ASPN,10.79,10.87,10.33,10.79,596528.0
2022-12-29,ASPN,10.97,11.61,10.88,11.57,530986.0
2022-12-30,ASPN,11.4,11.86,11.15,11.79,358416.0
2023-01-03,ASPN,12.06,12.4,10.075,10.1,1324429.0
2023-01-04,ASPN,10.18,10.86,9.63,10.75,1205493.0
2023-01-05,ASPN,10.6,10.79,10.23,10.62,512425.0
2023-01-06,ASPN,10.69,11.24,10.28,11.11,498776.0
2023-01-09,ASPN,11.32,12.02,11.12,11.3,523060.0
2023-01-10,ASPN,11.2,11.5399,10.995,11.26,363479.0
2023-01-11,ASPN,11.43,11.68,11.09,11.63,546210.0
2023-01-12,ASPN,11.78,11.84,11.36,11.79,543808.0
2023-01-13,ASPN,11.57,11.95,11.49,11.88,453222.0
2023-01-17,ASPN,11.91,12.22,11.365,11.39,446880.0
2023-01-18,ASPN,11.49,11.85,10.65,10.66,743208.0
2023-01-19,ASPN,10.44,10.56,9.96,10.3,791751.0
2023-01-20,ASPN,10.4,10.5,10.16,10.41,715265.0
2023-01-23,ASPN,10.41,11.18,10.3,10.9,1094906.0
2023-01-24,ASPN,10.75,10.79,10.49,10.6,481838.0
2023-01-25,ASPN,10.29,10.78,10.0,10.72,631165.0
2023-01-26,ASPN,10.79,11.03,10.66,10.75,751357.0
2023-01-27,ASPN,10.69,10.75,8.82,9.76,4225338.0
2023-01-30,ASPN,9.58,10.17,9.57,9.67,907682.0
2023-01-31,ASPN,9.7,10.81,9.55,10.5,1186946.0
2023-02-01,ASPN,10.5,10.79,10.035,10.58,618658.0
2023-02-02,ASPN,10.85,11.395,10.72,11.2,998314.0
2023-02-03,ASPN,10.93,11.72,10.93,11.38,642743.0
2023-02-06,ASPN,11.21,11.415,10.84,10.92,432126.0
2023-02-07,ASPN,10.83,11.22,10.635,11.15,651926.0
2023-02-08,ASPN,11.21,11.26,10.82,10.85,639534.0
2023-02-09,ASPN,11.0,11.24,10.04,10.06,798269.0
2023-02-10,ASPN,9.95,10.51,9.84,10.42,722776.0
2023-02-13,ASPN,10.49,10.83,10.3,10.8,627547.0
2023-02-14,ASPN,10.85,11.24,10.56,10.97,970000.0
2023-02-15,ASPN,10.95,11.53,10.83,11.5,1123170.0
2023-02-16,ASPN,11.58,13.5,11.43,12.78,3359014.0
2023-02-17,ASPN,12.47,12.84,11.75,12.3,1114987.0
2023-02-21,ASPN,12.11,12.4688,11.4,11.58,935522.0
2023-02-22,ASPN,11.66,12.21,10.94,11.1,961291.0
2023-02-23,ASPN,11.32,11.71,10.81,11.32,673978.0
2023-02-24,ASPN,10.93,11.12,10.71,10.95,438609.0
2023-02-27,ASPN,11.07,11.45,10.88,11.01,375476.0
2023-02-28,ASPN,10.98,11.21,10.78,10.85,657783.0
2023-03-01,ASPN,10.8,10.975,10.16,10.39,1221664.0
2023-03-02,ASPN,10.11,10.26,9.8,10.06,1382419.0
2023-03-03,ASPN,10.22,10.55,10.08,10.43,981917.0
2023-03-06,ASPN,10.45,10.545,9.9,10.02,1029354.0
2023-03-07,ASPN,9.99,10.09,9.64,9.81,931375.0
