Date,Ticker,Open,High,Low,Close,Volume
2023-01-19,ATMCW,0.06,0.06,0.05,0.05,486200
2023-01-20,ATMCW,0.05,0.05,0.05,0.05,834649
2023-01-23,ATMCW,0.05,0.05,0.0499,0.0499,2000
2023-01-24,ATMCW,0.05,0.05,0.04,0.04,17800
2023-01-25,ATMCW,0.03,0.0473,0.03,0.04,238307
2023-01-26,ATMCW,0.04,0.045,0.04,0.045,308242
2023-01-27,ATMCW,0.045,0.045,0.045,0.045,448058
2023-01-30,ATMCW,0.04,0.04,0.04,0.04,2000
2023-01-31,ATMCW,0.04,0.0472,0.04,0.04,10600
2023-02-01,ATMCW,0.0497,0.08,0.04,0.04,63810
2023-02-02,ATMCW,0.08,0.12,0.0799,0.0799,184822
2023-02-03,ATMCW,0.0561,0.0561,0.055,0.055,26900
2023-02-06,ATMCW,0.05,0.05,0.05,0.05,100
2023-02-07,ATMCW,0.05,0.05,0.05,0.05,5220
2023-02-08,ATMCW,0.045,0.045,0.0449,0.0449,5250
2023-02-09,ATMCW,0.0599,0.0599,0.0567,0.0567,4001
2023-02-10,ATMCW,0.042,0.0599,0.042,0.0599,4300
2023-02-13,ATMCW,0.06,0.06,0.0424,0.0424,823
2023-02-14,ATMCW,0.0401,0.0401,0.0401,0.0401,75000
2023-02-15,ATMCW,0.0493,0.06,0.0493,0.05,3617
2023-02-16,ATMCW,0.042101,0.045,0.042101,0.0449,8000
2023-02-17,ATMCW,0.042,0.042,0.039899,0.04,58000
2023-02-22,ATMCW,0.0422,0.0484,0.0422,0.0484,1000
2023-02-23,ATMCW,0.0478,0.0839,0.0463,0.0463,10501
2023-02-24,ATMCW,0.0854,0.0854,0.043,0.043,81300
2023-03-13,ATMCW,0.0439,0.05,0.04,0.04,5424
2023-03-14,ATMCW,0.04,0.04,0.04,0.04,2100
2023-03-16,ATMCW,0.04,0.04,0.04,0.04,2100
2023-03-17,ATMCW,0.04,0.04,0.034,0.034,5380
2023-03-20,ATMCW,0.034,0.034,0.03,0.03,34760
2023-03-21,ATMCW,0.04,0.04,0.03,0.0314,13256
2023-03-24,ATMCW,0.0345,0.0345,0.0316,0.0316,3000
2023-03-28,ATMCW,0.0315,0.0315,0.031,0.0315,106639
2023-03-29,ATMCW,0.040101,0.0452,0.04,0.0433,83310
