Date,Ticker,Open,High,Low,Close,Volume
2022-12-20,ATMVU,10.04,10.09,10.02,10.03,2628562.0
2022-12-21,ATMVU,10.04,10.07,10.04,10.04,107455.0
2022-12-22,ATMVU,10.1,10.1025,10.06,10.07,183032.0
2022-12-23,ATMVU,10.1,10.1,10.08,10.1,22955.0
2022-12-27,ATMVU,10.0364,10.1,10.0364,10.1,1940.0
2022-12-28,ATMVU,10.1,10.1,10.1,10.1,1226.0
2022-12-30,ATMVU,10.06,10.1,10.06,10.1,4949.0
2023-01-03,ATMVU,10.1299,10.13,10.112,10.112,5322.0
2023-01-04,ATMVU,10.13,10.13,10.1,10.1168,13201.0
2023-01-11,ATMVU,10.12,10.17,10.12,10.16,36150.0
2023-01-12,ATMVU,10.18,10.18,10.15,10.15,8310.0
2023-01-13,ATMVU,10.16,10.16,10.14,10.14,447.0
2023-01-18,ATMVU,10.15,10.15,10.15,10.15,33457.0
2023-01-19,ATMVU,10.18,10.2,10.18,10.2,13274.0
2023-01-20,ATMVU,10.22,10.22,10.2,10.2,20900.0
2023-01-23,ATMVU,10.18,10.22,10.18,10.22,25626.0
2023-01-24,ATMVU,10.23,10.23,10.23,10.23,27929.0
2023-01-25,ATMVU,10.24,10.27,10.23,10.26,148038.0
2023-01-26,ATMVU,10.27,10.69,10.27,10.28,17147.0
2023-01-30,ATMVU,10.3,10.39,10.3,10.39,3201.0
2023-01-31,ATMVU,10.39,10.39,10.3884,10.39,4357.0
2023-02-02,ATMVU,10.39,10.39,10.39,10.39,300.0
2023-02-06,ATMVU,10.39,10.3901,10.28,10.29,9826.0
2023-02-07,ATMVU,10.29,10.29,10.29,10.29,200.0
2023-02-08,ATMVU,10.38,10.38,10.3,10.3,400.0
2023-02-09,ATMVU,10.55,10.55,10.38,10.3801,19786.0
2023-02-10,ATMVU,10.3091,10.4,10.28,10.2901,3808.0
2023-02-13,ATMVU,10.28,10.2924,10.27,10.27,11155.0
2023-02-14,ATMVU,10.285,10.285,10.27,10.27,893.0
2023-02-16,ATMVU,10.3,10.3,10.27,10.27,1100.0
2023-02-21,ATMVU,10.3,11.03,10.3,11.03,1487.0
2023-02-23,ATMVU,10.35,10.5,10.35,10.5,600.0
2023-02-24,ATMVU,10.5,10.54,10.5,10.54,2675.0
2023-02-27,ATMVU,10.4,10.4,10.4,10.4,120.0
2023-02-28,ATMVU,10.93,10.93,10.93,10.93,114.0
2023-03-01,ATMVU,10.8,10.8,10.8,10.8,100.0
2023-03-03,ATMVU,10.5,10.5,10.5,10.5,239.0
2023-03-08,ATMVU,10.29,10.29,10.29,10.29,100.0
2023-03-10,ATMVU,10.32,10.32,10.32,10.32,100.0
2023-03-13,ATMVU,10.32,10.32,10.32,10.32,100.0
2023-03-14,ATMVU,10.35,10.35,10.35,10.35,100.0
2023-03-16,ATMVU,10.31,10.31,10.31,10.31,130.0
2023-03-22,ATMVU,10.3,10.373,10.3,10.373,866.0
2023-03-24,ATMVU,10.3,10.3,10.3,10.3,708.0
2023-03-30,ATMVU,10.33,10.35,10.33,10.35,3825.0
2023-04-04,ATMVU,10.4,10.4,10.4,10.4,357.0
2023-04-05,ATMVU,10.45,10.5,10.45,10.5,241.0
2023-04-06,ATMVU,10.5,10.5,10.41,10.41,605.0
2023-04-11,ATMVU,10.51,10.51,10.51,10.51,200.0
2023-04-17,ATMVU,10.41,10.41,10.36,10.36,1100.0
2023-04-24,ATMVU,10.5,10.5,10.5,10.5,1900.0
2023-04-25,ATMVU,10.39,10.4327,10.39,10.4327,600.0
2023-04-27,ATMVU,10.39,10.39,10.39,10.39,500.0
2023-05-01,ATMVU,10.4421,10.4421,10.4421,10.4421,201.0
2023-05-04,ATMVU,10.36,10.4052,10.36,10.4052,505.0
2023-05-05,ATMVU,10.38,10.38,10.38,10.38,239.0
2023-05-08,ATMVU,10.38,10.38,10.38,10.38,200.0
2023-05-11,ATMVU,10.39,10.39,10.39,10.39,423.0
2023-05-12,ATMVU,10.38,10.38,10.38,10.38,423.0
2023-05-17,ATMVU,10.415,10.45,10.415,10.422,4220.0
2023-05-18,ATMVU,10.45,10.45,10.45,10.45,100.0
2023-05-19,ATMVU,10.45,10.45,10.45,10.45,200.0
2023-05-23,ATMVU,10.45,10.45,10.445,10.45,900.0
2023-05-24,ATMVU,10.4914,10.4914,10.4914,10.4914,100.0
2023-05-30,ATMVU,10.4501,10.4501,10.45,10.45,300.0
2023-06-01,ATMVU,10.48,10.48,10.48,10.48,300.0
2023-06-09,ATMVU,10.46,10.49,10.45,10.45,305.0
2023-06-12,ATMVU,10.46,10.46,10.45,10.4501,1328.0
2023-06-13,ATMVU,10.45,10.4501,10.45,10.4501,868.0
2023-06-16,ATMVU,10.45,10.45,10.45,10.45,759.0
2023-06-20,ATMVU,10.45,10.45,10.45,10.45,759.0
2023-06-22,ATMVU,10.46,10.5069,10.46,10.5069,914.0
2023-06-26,ATMVU,10.47,10.47,10.47,10.47,400.0
2023-06-27,ATMVU,10.47,10.9,10.47,10.9,300.0
2023-06-30,ATMVU,10.48,10.49,10.48,10.49,201.0
2023-07-06,ATMVU,10.485,10.49,10.485,10.485,2821.0
2023-07-10,ATMVU,10.64,10.65,10.6,10.6,3426.0
2023-07-12,ATMVU,10.5706,10.5706,10.5706,10.5706,2400.0
2023-07-20,ATMVU,10.57,10.57,10.57,10.57,101.0
2023-07-24,ATMVU,10.57,10.57,10.57,10.57,101.0
2023-07-25,ATMVU,10.57,10.57,10.57,10.57,100.0
2023-07-26,ATMVU,10.58,10.58,10.58,10.58,100.0
2023-07-27,ATMVU,10.59,10.59,10.59,10.59,100.0
2023-07-28,ATMVU,10.59,10.59,10.59,10.59,100.0
2023-07-31,ATMVU,10.57,10.57,10.57,10.57,100.0
2023-08-02,ATMVU,10.59,10.59,10.59,10.59,100.0
2023-08-03,ATMVU,10.61,10.61,10.61,10.61,100.0
2023-08-04,ATMVU,10.6,10.6,10.6,10.6,100.0
2023-08-07,ATMVU,10.59,10.59,10.59,10.59,400.0
2023-08-08,ATMVU,10.6,10.6,10.6,10.6,424.0
2023-08-15,ATMVU,10.64,10.65,10.59,10.61,1700.0
2023-08-23,ATMVU,10.71,10.71,10.71,10.71,100.0
2023-08-24,ATMVU,10.68,10.68,10.66,10.66,530.0
2023-09-01,ATMVU,10.71,10.71,10.71,10.71,100.0
2023-09-05,ATMVU,10.71,10.72,10.68,10.68,5102.0
2023-09-06,ATMVU,10.68,10.68,10.68,10.68,1500.0
2023-09-07,ATMVU,10.75,10.75,10.75,10.75,400.0
2023-09-11,ATMVU,10.68,10.74,10.6,10.72,99485.0
2023-09-12,ATMVU,10.72,10.72,10.72,10.72,8032.0
2023-09-14,ATMVU,10.76,10.76,10.76,10.76,500.0
2023-09-15,ATMVU,10.76,10.76,10.76,10.76,125.0
