Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,ATOM,9.16,9.16,8.29,8.36,203374.0
2022-11-10,ATOM,9.0,9.0081,7.62,8.91,417745.0
2022-11-11,ATOM,8.92,9.76,8.745,9.74,235340.0
2022-11-14,ATOM,9.68,9.74,8.905,9.02,192972.0
2022-11-15,ATOM,9.37,9.7699,9.2,9.61,232911.0
2022-11-16,ATOM,9.55,9.69,8.93,9.05,151464.0
2022-11-17,ATOM,8.81,8.9274,8.55,8.72,125233.0
2022-11-18,ATOM,9.02,9.05,8.61,8.65,110340.0
2022-11-21,ATOM,8.48,8.53,8.055,8.14,138743.0
2022-11-22,ATOM,8.14,8.3,7.96,8.2,112185.0
2022-11-23,ATOM,8.27,8.4284,8.17,8.3,106189.0
2022-11-25,ATOM,8.32,8.62,8.1804,8.55,38491.0
2022-11-28,ATOM,8.28,8.3954,7.89,8.01,130476.0
2022-11-29,ATOM,7.95,8.27,7.95,8.02,78155.0
2022-11-30,ATOM,8.11,8.63,7.97,8.53,119711.0
2022-12-01,ATOM,8.37,8.6,8.0,8.08,141957.0
2022-12-02,ATOM,7.92,8.39,7.78,8.21,150180.0
2022-12-05,ATOM,8.05,8.4,7.74,7.76,119962.0
2022-12-06,ATOM,7.71,7.76,7.07,7.11,275441.0
2022-12-07,ATOM,7.1,7.269,6.9101,7.08,125354.0
2022-12-08,ATOM,7.17,7.3,6.85,7.22,124261.0
2022-12-09,ATOM,7.17,7.24,6.95,7.0,97524.0
2022-12-12,ATOM,6.92,7.215,6.9,7.17,165554.0
2022-12-13,ATOM,7.37,7.66,7.11,7.64,216700.0
2022-12-14,ATOM,7.63,7.9019,7.35,7.51,222322.0
2022-12-15,ATOM,7.32,7.4,7.1001,7.19,116396.0
2022-12-16,ATOM,7.02,7.35,6.92,7.12,201348.0
2022-12-19,ATOM,7.14,7.14,6.65,6.69,220806.0
2022-12-20,ATOM,6.57,6.77,6.39,6.41,177814.0
2022-12-21,ATOM,6.43,6.65,6.25,6.29,189816.0
2022-12-22,ATOM,6.23,6.45,5.95,6.42,215371.0
2022-12-23,ATOM,6.35,6.42,5.99,6.17,132958.0
2022-12-27,ATOM,6.08,6.13,5.75,5.94,217472.0
2022-12-28,ATOM,5.89,6.075,5.8,5.93,141014.0
2022-12-29,ATOM,6.0,6.36,6.0,6.31,164527.0
2022-12-30,ATOM,6.15,6.27,6.0,6.22,162543.0
2023-01-03,ATOM,6.34,6.64,6.12,6.2,126855.0
2023-01-04,ATOM,6.28,6.28,6.05,6.13,77182.0
2023-01-05,ATOM,5.99,6.0097,5.77,5.9,151089.0
2023-01-06,ATOM,6.05,6.27,5.76,6.24,172083.0
2023-01-09,ATOM,6.37,6.9,6.35,6.62,127641.0
2023-01-10,ATOM,6.51,7.035,6.51,6.95,110255.0
2023-01-11,ATOM,7.14,7.23,6.9201,7.01,108788.0
2023-01-12,ATOM,7.13,7.15,6.77,7.11,195962.0
2023-01-13,ATOM,7.1,7.4199,7.03,7.21,258617.0
2023-01-17,ATOM,7.23,7.29,6.61,6.64,204028.0
2023-01-18,ATOM,6.79,6.8808,6.52,6.65,130404.0
2023-01-19,ATOM,6.6,6.665,6.25,6.3,121792.0
2023-01-20,ATOM,6.4,6.5699,6.27,6.55,117085.0
2023-01-23,ATOM,6.56,7.1299,6.5,6.93,154558.0
2023-01-24,ATOM,6.89,7.08,6.47,6.58,256921.0
2023-01-25,ATOM,6.35,6.56,5.92,6.52,169035.0
2023-01-26,ATOM,6.56,6.67,6.47,6.605,68282.0
2023-01-27,ATOM,6.5,7.11,6.41,7.09,145960.0
2023-01-30,ATOM,6.94,7.12,6.8,6.82,86791.0
2023-01-31,ATOM,6.92,7.37,6.83,7.3,118661.0
2023-02-01,ATOM,7.4,7.9785,7.28,7.78,246343.0
2023-02-02,ATOM,7.94,8.445,7.88,8.28,256126.0
2023-02-03,ATOM,8.03,8.5947,8.0,8.24,151047.0
2023-02-06,ATOM,8.18,8.63,7.88,8.15,246987.0
2023-02-07,ATOM,8.1,8.5599,8.01,8.42,141402.0
2023-02-08,ATOM,8.39,9.0,8.36,8.68,200752.0
2023-02-09,ATOM,8.8,8.9899,8.6,8.67,183774.0
2023-02-10,ATOM,8.31,8.46,7.51,7.57,332902.0
2023-02-13,ATOM,7.64,7.7925,7.4328,7.52,88265.0
2023-02-14,ATOM,7.44,7.92,7.25,7.8,132295.0
2023-02-15,ATOM,7.59,7.81,7.541,7.6,130650.0
2023-02-16,ATOM,7.68,7.68,6.38,6.385,559504.0
2023-02-17,ATOM,6.36,6.6,6.13,6.48,225033.0
2023-02-21,ATOM,6.35,6.47,6.22,6.23,158426.0
2023-02-22,ATOM,6.2,6.515,6.2,6.515,111864.0
2023-02-23,ATOM,6.63,6.6899,6.37,6.56,113751.0
2023-02-24,ATOM,6.46,6.46,6.01,6.05,156950.0
2023-02-27,ATOM,6.12,6.499,6.05,6.36,122299.0
2023-02-28,ATOM,6.33,6.7188,6.33,6.63,87484.0
2023-03-01,ATOM,6.49,6.6301,6.1101,6.15,157129.0
2023-03-02,ATOM,6.1,6.32,5.93,6.29,148556.0
2023-03-03,ATOM,6.38,6.775,6.32,6.72,113617.0
2023-03-06,ATOM,6.68,6.88,6.36,6.51,117428.0
2023-03-07,ATOM,6.51,6.58,6.3,6.37,65892.0
2023-03-08,ATOM,6.36,6.5,6.27,6.45,82840.0
2023-03-09,ATOM,6.47,6.55,5.84,5.86,215418.0
2023-03-10,ATOM,5.96,6.0,5.505,5.59,239690.0
2023-03-13,ATOM,5.58,6.3199,5.44,6.25,247243.0
2023-03-14,ATOM,6.53,7.07,6.43,6.73,332440.0
2023-03-15,ATOM,6.53,6.79,6.39,6.77,156220.0
2023-03-16,ATOM,6.67,6.72,6.41,6.49,137739.0
2023-03-17,ATOM,6.49,6.49,6.04,6.35,181109.0
2023-03-20,ATOM,6.3,6.345,6.07,6.3,119808.0
2023-03-21,ATOM,6.47,6.705,6.32,6.6,117614.0
2023-03-22,ATOM,6.51,6.7699,6.31,6.35,114248.0
2023-03-23,ATOM,6.44,6.665,6.28,6.46,118322.0
2023-03-24,ATOM,6.42,6.425,5.97,6.18,159814.0
2023-03-27,ATOM,6.28,6.425,5.99,6.25,121965.0
2023-03-28,ATOM,6.2,6.3275,6.0,6.18,114983.0
2023-03-29,ATOM,6.25,6.4,6.06,6.33,144971.0
2023-03-30,ATOM,6.38,6.575,6.01,6.14,188324.0
2023-03-31,ATOM,6.17,6.39,6.06,6.37,134042.0
2023-04-03,ATOM,6.35,6.45,5.89,6.13,194019.0
2023-04-04,ATOM,6.14,6.14,5.835,5.92,147429.0
2023-04-05,ATOM,5.9,5.9,5.6,5.73,175525.0
2023-04-06,ATOM,5.7,5.95,5.61,5.91,92332.0
2023-04-10,ATOM,5.78,5.83,5.4515,5.66,216646.0
2023-04-11,ATOM,5.64,5.74,5.58,5.61,127693.0
2023-04-12,ATOM,5.71,5.78,5.5535,5.58,98378.0
2023-04-13,ATOM,5.59,5.73,5.54,5.64,79280.0
2023-04-14,ATOM,5.57,5.76,5.2105,5.42,292263.0
2023-04-17,ATOM,5.4,5.49,5.25,5.48,119212.0
2023-04-18,ATOM,5.55,5.65,5.28,5.32,106829.0
2023-04-19,ATOM,5.38,5.56,5.21,5.45,102707.0
2023-04-20,ATOM,5.44,5.69,5.42,5.54,100038.0
