Date,Ticker,Open,High,Low,Close,Volume
2023-10-11,ATPC,68.0,75.0,30.2,36.4,112182.6
2023-10-12,ATPC,25.8,26.0,21.2,22.0,46211.4
2023-10-13,ATPC,23.0,36.4,23.0,32.0,155221.95
2023-10-16,ATPC,30.0,36.0,27.8,30.8,20661.65
2023-10-17,ATPC,29.2,31.8,28.2,28.2,8169.65
2023-10-18,ATPC,27.4,29.404,23.0,23.0,14133.15
2023-10-19,ATPC,23.4,24.0,21.8,22.2,10772.2
2023-10-20,ATPC,23.0,23.0,21.61,21.8,3100.45
2023-10-23,ATPC,22.2,22.4,21.2,21.398,4940.15
2023-10-24,ATPC,21.0,21.0,19.0,19.8,9043.2
2023-10-25,ATPC,20.2,20.2,16.2,17.9,6759.4
2023-10-26,ATPC,18.0,18.2,15.6,15.6,6353.3
2023-10-27,ATPC,15.398,15.728,14.7,15.102,2332.45
2023-10-30,ATPC,16.0,16.87,15.2,15.274,1803.05
2023-10-31,ATPC,16.0,16.98,15.4,15.4,2734.25
2023-11-01,ATPC,15.98,17.77,15.7,17.6,3047.6
2023-11-02,ATPC,18.0,23.0,18.0,22.4,8436.85
2023-11-03,ATPC,23.2,28.0,22.802,24.2,10061.55
2023-11-06,ATPC,25.0,27.8,24.8,24.8,4276.6
2023-11-07,ATPC,25.8,26.46,25.2,25.2,3317.4
2023-11-08,ATPC,25.6,26.796,25.0,25.0,3403.35
2023-11-09,ATPC,25.0,25.0,23.0,23.4,2548.8
2023-11-10,ATPC,23.4,23.402,21.0,21.0,2397.1
2023-11-13,ATPC,20.6,20.6,18.0,19.2,2146.55
2023-11-14,ATPC,18.6,19.8,18.2,18.2,743.85
2023-11-15,ATPC,18.2,18.9,18.2,18.4,1185.8
2023-11-16,ATPC,18.646,19.8,18.124,18.124,813.95
2023-11-17,ATPC,18.83,19.4,18.2,18.2,1869.2
2023-11-20,ATPC,18.2,19.798,18.0,19.026,1591.35
2023-11-21,ATPC,20.0,20.0,19.026,19.04,1782.3
2023-11-22,ATPC,20.0,24.4,20.0,23.8,50257.25
2023-11-24,ATPC,24.0,24.6,22.4,23.2,3620.75
2023-11-27,ATPC,23.6,23.6,21.6,22.6,3760.9
2023-11-28,ATPC,23.0,23.4,22.0,23.2,929.55
2023-11-29,ATPC,23.2,24.4,22.2,23.36,8720.15
2023-11-30,ATPC,24.0,24.0,18.6,19.2,4757.2
2023-12-01,ATPC,19.2,19.202,18.4,18.62,2319.45
2023-12-04,ATPC,18.8,18.8,18.202,18.202,792.8
2023-12-05,ATPC,18.678,18.678,17.0,17.004,2339.3
2023-12-06,ATPC,17.0,17.03,16.0,16.284,1189.8
2023-12-07,ATPC,16.28,16.28,15.0,15.0,2512.1
2023-12-08,ATPC,15.0,16.4,15.0,15.0,7437.0
2023-12-11,ATPC,15.02,15.4,13.6,14.02,7959.9
2023-12-12,ATPC,14.0,14.398,13.6,14.212,2794.5
2023-12-13,ATPC,14.118,14.2,13.8,13.8,336.8
2023-12-14,ATPC,13.772,14.6,13.7,14.6,1668.75
2023-12-15,ATPC,14.6,14.6,14.0,14.198,719.45
2023-12-18,ATPC,13.8,13.804,13.5,13.5,1548.4
2023-12-19,ATPC,13.502,13.51,13.0,13.158,1037.0
2023-12-20,ATPC,13.2,13.2,12.62,12.624,5324.25
2023-12-21,ATPC,12.624,15.0,11.746,13.4,13520.3
2023-12-22,ATPC,13.6,13.6,12.6,12.97,1973.25
2023-12-26,ATPC,13.6,14.4,13.0,13.9,2804.3
2023-12-27,ATPC,14.0,14.02,13.04,13.38,3237.45
2023-12-28,ATPC,12.762,13.1,12.442,12.68,3390.35
2023-12-29,ATPC,13.026,13.026,12.6,12.78,1401.65
2024-01-02,ATPC,12.78,12.8,12.6,12.8,593.3
2024-01-03,ATPC,13.18,13.2,12.802,13.05,1551.65
2024-01-04,ATPC,13.02,13.02,12.6,12.64,1273.05
2024-01-05,ATPC,12.78,12.8,12.1,12.2,3716.2
2024-01-08,ATPC,12.2,12.4,12.0,12.0,261.95
2024-01-09,ATPC,12.2,12.46,12.0,12.0,1086.5
2024-01-10,ATPC,12.0,12.998,12.0,12.594,5112.5
2024-01-11,ATPC,12.6,12.6,12.246,12.302,1347.9
2024-01-12,ATPC,12.3,12.3,12.1,12.2,713.8
2024-01-16,ATPC,12.2,12.22,11.0,11.016,4360.15
2024-01-17,ATPC,11.0,11.2,9.6,9.8,2995.2
2024-01-18,ATPC,9.6,10.02,9.6,9.602,1363.85
2024-01-19,ATPC,9.8,10.0,9.414,9.414,2431.0
2024-01-22,ATPC,11.2,11.4,9.6,9.6,3320.95
2024-01-23,ATPC,9.6,10.0,9.44,9.44,837.5
2024-01-24,ATPC,9.6,9.6,9.44,9.44,318.05
2024-01-25,ATPC,9.4,9.414,8.624,8.66,1198.6
2024-01-26,ATPC,8.6,9.04,8.4,8.54,2365.55
2024-01-29,ATPC,8.6,10.4,8.4,10.2,131303.65
2024-01-30,ATPC,18.316,19.6,11.034,11.34,2127498.65
2024-01-31,ATPC,10.9,13.98,10.0,12.846,98228.75
2024-02-01,ATPC,11.946,13.0,11.3,12.8,28043.65
2024-02-02,ATPC,12.02,12.598,10.3,10.33,10527.55
2024-02-05,ATPC,10.02,10.998,10.0,10.25,6676.6
2024-02-06,ATPC,10.0,10.56,9.7,9.902,5514.55
2024-02-07,ATPC,9.606,9.8,9.214,9.702,15530.35
2024-02-08,ATPC,9.8,9.8,8.6,8.6,8921.4
2024-02-09,ATPC,8.43,9.0,8.4,8.488,4514.65
2024-02-12,ATPC,8.466,8.699,8.0,8.258,10305.0
2024-02-13,ATPC,8.2,9.66,8.2,9.293,82439.55
2024-02-14,ATPC,9.0,9.8,8.406,8.6,9651.55
