Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,AVTR,19.96,20.13,19.61,19.62,4151599.0
2022-11-10,AVTR,20.22,21.355,20.22,21.33,5864171.0
2022-11-11,AVTR,21.51,21.93,21.28,21.62,6799814.0
2022-11-14,AVTR,21.49,21.54,21.02,21.03,6224262.0
2022-11-15,AVTR,21.42,21.58,20.95,21.18,5850053.0
2022-11-16,AVTR,20.92,21.06,20.415,20.53,5829941.0
2022-11-17,AVTR,20.13,20.25,19.72,20.21,6330418.0
2022-11-18,AVTR,21.13,21.15,20.415,20.88,7078889.0
2022-11-21,AVTR,20.73,20.87,20.57,20.72,3195971.0
2022-11-22,AVTR,20.7,21.1,20.63,21.07,4005317.0
2022-11-23,AVTR,21.1,21.815,20.92,21.53,11019250.0
2022-11-25,AVTR,21.5,21.78,21.38,21.44,2973035.0
2022-11-28,AVTR,21.23,21.55,20.995,21.1,3901779.0
2022-11-29,AVTR,21.03,21.45,21.03,21.31,5492011.0
2022-11-30,AVTR,21.48,22.35,21.33,22.28,11383031.0
2022-12-01,AVTR,22.44,23.0,22.29,22.8,8948193.0
2022-12-02,AVTR,22.54,22.885,22.04,22.74,4682251.0
2022-12-05,AVTR,22.45,22.6,21.82,22.35,3791114.0
2022-12-06,AVTR,22.2,22.5,21.55,21.61,4274146.0
2022-12-07,AVTR,21.52,22.08,21.52,21.81,6443710.0
2022-12-08,AVTR,21.81,22.05,21.68,21.82,4104850.0
2022-12-09,AVTR,21.66,21.98,21.485,21.51,3399229.0
2022-12-12,AVTR,21.39,21.615,21.255,21.4,4609759.0
2022-12-13,AVTR,22.25,22.42,21.54,22.0,6067063.0
2022-12-14,AVTR,21.65,21.77,21.07,21.17,6389064.0
2022-12-15,AVTR,20.85,21.36,20.71,21.34,6308205.0
2022-12-16,AVTR,21.28,21.34,20.56,20.7,7035566.0
2022-12-19,AVTR,20.55,20.625,20.3,20.3,3786451.0
2022-12-20,AVTR,20.15,20.55,20.0013,20.39,3704790.0
2022-12-21,AVTR,20.58,20.85,20.515,20.68,3309158.0
2022-12-22,AVTR,20.37,20.6,20.035,20.5,2691092.0
2022-12-23,AVTR,20.44,20.595,20.23,20.54,2521849.0
2022-12-27,AVTR,20.5,20.595,20.21,20.47,2693485.0
2022-12-28,AVTR,20.49,20.79,20.205,20.23,2101301.0
2022-12-29,AVTR,20.43,21.1,20.27,21.04,2394116.0
2022-12-30,AVTR,20.86,21.14,20.65,21.09,5215337.0
2023-01-03,AVTR,21.37,21.69,21.005,21.17,5796710.0
2023-01-04,AVTR,21.42,21.63,21.205,21.39,13642534.0
2023-01-05,AVTR,21.18,21.2,20.64,20.64,5900093.0
2023-01-06,AVTR,20.8,20.88,19.69,20.07,11411339.0
2023-01-09,AVTR,20.28,21.44,20.225,20.66,11675496.0
2023-01-10,AVTR,20.76,21.77,20.67,21.47,5918192.0
2023-01-11,AVTR,21.61,22.395,21.52,22.18,5452584.0
2023-01-12,AVTR,22.25,22.385,21.77,22.13,3779536.0
2023-01-13,AVTR,21.9,22.1775,21.81,22.1,3617032.0
2023-01-17,AVTR,21.99,22.59,21.965,22.26,4099343.0
2023-01-18,AVTR,22.3,22.75,22.195,22.23,4483399.0
2023-01-19,AVTR,22.0,22.93,21.9858,22.65,5663925.0
2023-01-20,AVTR,22.69,23.09,22.52,23.02,5110877.0
2023-01-23,AVTR,23.13,23.76,23.13,23.65,6472959.0
2023-01-24,AVTR,23.2,23.565,22.955,23.04,6594050.0
2023-01-25,AVTR,22.85,23.35,22.63,23.23,7007814.0
2023-01-26,AVTR,23.39,23.86,23.29,23.82,7168593.0
2023-01-27,AVTR,23.74,24.135,23.565,24.1,6006418.0
2023-01-30,AVTR,23.9,24.06,23.5,23.52,4669679.0
2023-01-31,AVTR,23.51,23.91,23.39,23.9,4775384.0
2023-02-01,AVTR,24.09,24.655,23.95,24.43,6508088.0
2023-02-02,AVTR,25.07,25.2136,24.72,24.88,7583418.0
2023-02-03,AVTR,23.9,24.835,22.82,23.05,16722958.0
2023-02-06,AVTR,22.99,23.65,22.48,23.42,7837609.0
2023-02-07,AVTR,23.19,23.82,23.09,23.81,10966832.0
2023-02-08,AVTR,23.76,24.45,23.52,24.4,9258872.0
2023-02-09,AVTR,24.75,25.15,23.985,24.11,12095402.0
2023-02-10,AVTR,23.89,24.08,23.73,23.98,7530364.0
2023-02-13,AVTR,23.95,24.38,23.92,24.13,5211061.0
2023-02-14,AVTR,24.07,24.72,23.94,24.28,5159351.0
2023-02-15,AVTR,24.13,24.905,24.13,24.84,7086042.0
2023-02-16,AVTR,24.48,24.69,24.265,24.37,5749162.0
2023-02-17,AVTR,24.25,24.61,24.06,24.54,5403928.0
2023-02-21,AVTR,24.14,24.31,23.965,24.18,6925349.0
2023-02-22,AVTR,24.37,24.37,23.98,24.15,6264309.0
2023-02-23,AVTR,24.12,24.72,23.99,24.59,6128708.0
2023-02-24,AVTR,24.31,24.64,24.195,24.62,8736878.0
2023-02-27,AVTR,24.83,25.2,24.31,24.32,14795768.0
2023-02-28,AVTR,24.32,24.86,24.3,24.37,10971271.0
2023-03-01,AVTR,24.2,24.685,24.055,24.56,5006587.0
2023-03-02,AVTR,24.33,24.92,24.23,24.77,5160622.0
2023-03-03,AVTR,24.99,25.25,24.88,25.1,5163152.0
2023-03-06,AVTR,25.1,25.2275,24.43,24.54,4690633.0
2023-03-07,AVTR,24.49,24.69,23.705,23.79,6382864.0
2023-03-08,AVTR,23.65,23.665,22.44,22.67,13350537.0
2023-03-09,AVTR,22.62,22.93,22.34,22.46,8990248.0
2023-03-10,AVTR,22.52,22.53,21.185,21.26,10265885.0
2023-03-13,AVTR,21.09,21.7575,20.44,21.45,11417600.0
2023-03-14,AVTR,21.78,21.94,20.9,21.05,7682730.0
2023-03-15,AVTR,20.74,20.74,20.16,20.52,10495132.0
2023-03-16,AVTR,20.47,21.21,20.135,21.14,7984784.0
2023-03-17,AVTR,21.1,21.19,20.69,20.75,5265797.0
2023-03-20,AVTR,20.75,21.08,20.68,20.99,3546717.0
2023-03-21,AVTR,21.18,21.815,21.18,21.6,6807209.0
2023-03-22,AVTR,21.55,21.78,21.06,21.1,4019246.0
2023-03-23,AVTR,21.23,21.41,20.87,21.02,4742070.0
