Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BANF,97.51,99.5,97.51,99.29,77769.0
2022-11-10,BANF,100.0,103.465,100.0,101.93,131589.0
2022-11-11,BANF,101.73,102.14,95.01,97.09,100776.0
2022-11-14,BANF,96.97,100.355,96.69,99.27,76292.0
2022-11-15,BANF,99.73,102.99,99.52,100.57,71554.0
2022-11-16,BANF,100.12,101.42,100.12,100.69,65695.0
2022-11-17,BANF,100.13,100.59,97.69,98.51,61722.0
2022-11-18,BANF,99.4,102.0,99.4,99.69,92794.0
2022-11-21,BANF,99.99,100.51,98.42,99.51,44978.0
2022-11-22,BANF,99.74,101.21,99.37,100.92,51127.0
2022-11-23,BANF,100.51,101.59,100.095,101.33,39835.0
2022-11-25,BANF,101.96,103.89,101.13,103.69,75520.0
2022-11-28,BANF,102.65,102.73,99.95,100.62,137909.0
2022-11-29,BANF,100.78,101.9491,100.22,100.22,41126.0
2022-11-30,BANF,101.2,102.06,98.3965,101.94,141709.0
2022-12-01,BANF,102.42,102.4699,100.435,101.34,58437.0
2022-12-02,BANF,100.96,102.58,98.77,102.06,46938.0
2022-12-05,BANF,101.32,101.32,94.7,96.12,95111.0
2022-12-06,BANF,96.12,96.21,94.315,96.19,80348.0
2022-12-07,BANF,96.17,97.3,93.01,93.52,116151.0
2022-12-08,BANF,93.98,94.77,93.21,93.82,46487.0
2022-12-09,BANF,93.39,94.07,92.3101,92.55,74953.0
2022-12-12,BANF,92.5,95.135,92.1,92.97,76737.0
2022-12-13,BANF,94.21,94.42,91.07,91.51,115232.0
2022-12-14,BANF,91.74,92.57,89.17,89.67,112097.0
2022-12-15,BANF,89.22,89.22,86.14,86.57,119394.0
2022-12-16,BANF,86.18,87.51,84.37,86.82,477007.0
2022-12-19,BANF,87.52,88.82,86.92,88.57,94811.0
2022-12-20,BANF,88.47,89.31,87.57,87.74,56047.0
2022-12-21,BANF,88.34,90.11,87.68,89.07,44560.0
2022-12-22,BANF,88.59,88.59,86.67,87.94,63900.0
2022-12-23,BANF,88.09,88.96,87.19,88.55,32967.0
2022-12-27,BANF,88.85,88.93,87.93,88.56,37149.0
2022-12-28,BANF,88.23,89.03,87.8,87.88,65623.0
2022-12-29,BANF,87.97,88.64,86.06,88.41,70978.0
2022-12-30,BANF,88.18,90.91,84.69,88.18,61924.0
2023-01-03,BANF,88.32,88.97,86.27,87.17,61337.0
2023-01-04,BANF,87.36,88.4,85.8,85.99,80976.0
2023-01-05,BANF,85.61,85.61,83.27,83.35,161785.0
2023-01-06,BANF,83.27,85.63,83.27,85.14,84319.0
2023-01-09,BANF,85.56,85.65,83.0076,83.48,99593.0
2023-01-10,BANF,83.9,86.64,83.48,86.09,85899.0
2023-01-11,BANF,86.52,86.9,85.66,86.73,61725.0
2023-01-12,BANF,87.49,89.59,85.0,89.51,96800.0
2023-01-13,BANF,88.8,90.48,87.865,89.8,73688.0
2023-01-17,BANF,90.26,91.115,88.49,90.62,100700.0
2023-01-18,BANF,89.95,90.12,85.32,85.36,104788.0
2023-01-19,BANF,84.52,85.29,83.01,84.99,59092.0
2023-01-20,BANF,85.07,86.15,81.88,82.78,142916.0
2023-01-23,BANF,82.14,83.37,80.24,82.46,220964.0
2023-01-24,BANF,82.57,83.75,81.47,83.08,73052.0
2023-01-25,BANF,83.2,83.35,81.71,82.75,63955.0
2023-01-26,BANF,83.12,83.65,81.25,82.61,67791.0
2023-01-27,BANF,82.06,83.88,82.06,83.66,62629.0
2023-01-30,BANF,83.35,84.12,83.04,83.23,80658.0
2023-01-31,BANF,83.23,86.15,83.23,86.13,95202.0
2023-02-01,BANF,85.6,87.39,85.3575,86.44,84956.0
2023-02-02,BANF,86.68,87.325,84.35,85.2,153479.0
2023-02-03,BANF,85.0,86.26,84.24,85.88,141607.0
2023-02-06,BANF,85.88,86.29,84.18,84.39,100687.0
2023-02-07,BANF,83.99,87.28,83.55,86.92,105787.0
2023-02-08,BANF,86.15,87.745,86.15,87.66,101716.0
2023-02-09,BANF,87.79,88.37,86.56,87.47,126535.0
2023-02-10,BANF,87.63,88.9,86.9,88.53,87216.0
2023-02-13,BANF,88.24,89.17,87.8,88.6,74775.0
2023-02-14,BANF,88.3,88.91,87.4,88.39,70985.0
2023-02-15,BANF,88.04,89.0,87.51,88.54,64539.0
2023-02-16,BANF,87.7,89.36,87.0,88.97,86660.0
2023-02-17,BANF,89.32,90.03,86.465,89.69,72940.0
2023-02-21,BANF,89.42,90.0,88.17,88.88,59271.0
2023-02-22,BANF,88.88,89.3,87.57,88.83,99470.0
2023-02-23,BANF,88.79,90.2,88.6,89.9,79105.0
2023-02-24,BANF,89.06,91.67,89.06,91.55,116302.0
2023-02-27,BANF,91.99,92.0,88.96,90.55,115271.0
2023-02-28,BANF,90.71,91.67,90.135,90.25,151717.0
2023-03-01,BANF,89.93,90.92,89.03,90.71,120970.0
2023-03-02,BANF,90.01,91.46,87.07,88.67,95352.0
