Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BBCP,7.08,7.31,7.01,7.16,155495
2022-11-10,BBCP,7.34,7.57,7.26,7.52,134766
2022-11-11,BBCP,7.55,7.71,7.24,7.3,146104
2022-11-14,BBCP,7.29,7.3786,7.24,7.24,152211
2022-11-15,BBCP,7.33,7.34,7.1314,7.28,99753
2022-11-16,BBCP,7.26,7.38,7.26,7.31,59362
2022-11-17,BBCP,7.25,7.45,7.21,7.23,93071
2022-11-18,BBCP,7.33,7.35,7.24,7.32,53703
2022-11-21,BBCP,7.3,7.55,7.3,7.45,104224
2022-11-22,BBCP,7.48,7.515,7.345,7.45,70671
2022-11-23,BBCP,7.46,7.55,7.25,7.28,67412
2022-11-25,BBCP,7.3,7.37,7.17,7.2,30929
2022-11-28,BBCP,7.18,7.4461,7.05,7.1,152659
2022-11-29,BBCP,7.08,7.08,6.9,6.92,63412
2022-11-30,BBCP,6.9,7.07,6.84,7.06,120998
2022-12-01,BBCP,7.12,7.12,6.92,7.0,81339
2022-12-02,BBCP,6.94,7.21,6.94,7.12,81448
2022-12-05,BBCP,7.06,7.14,6.99,7.0,87850
2022-12-06,BBCP,6.99,7.01,6.815,6.96,167087
2022-12-07,BBCP,6.95,6.98,6.69,6.71,55195
2022-12-08,BBCP,6.72,6.82,6.58,6.61,72038
2022-12-09,BBCP,6.56,6.675,6.55,6.58,68267
2022-12-12,BBCP,6.55,6.66,6.47,6.64,103368
2022-12-13,BBCP,6.74,6.77,6.33,6.52,126330
2022-12-14,BBCP,6.48,6.55,6.35,6.44,66073
2022-12-15,BBCP,6.37,6.4,6.27,6.32,75874
2022-12-16,BBCP,6.25,6.335,6.24,6.31,181539
2022-12-19,BBCP,6.28,6.3099,5.95,5.97,141834
2022-12-20,BBCP,5.97,6.11,5.7712,6.07,114189
2022-12-21,BBCP,6.1,6.2021,5.96,5.97,67150
2022-12-22,BBCP,5.94,5.9775,5.8,5.92,102660
2022-12-23,BBCP,5.855,5.98,5.855,5.92,44238
2022-12-27,BBCP,5.93,5.97,5.81,5.89,52670
2022-12-28,BBCP,5.885,5.9121,5.63,5.7,93356
2022-12-29,BBCP,5.74,5.925,5.74,5.88,70513
2022-12-30,BBCP,5.86,5.885,5.71,5.85,77114
2023-01-03,BBCP,5.85,6.0437,5.71,5.97,154642
2023-01-04,BBCP,6.05,6.12,5.92,5.98,78379
2023-01-05,BBCP,6.0,6.0,5.77,5.81,66845
2023-01-06,BBCP,5.89,6.07,5.84,5.99,80438
2023-01-09,BBCP,5.99,6.09,5.93,5.98,62579
2023-01-10,BBCP,6.0,6.2,5.89,6.13,63957
2023-01-11,BBCP,6.1,6.27,5.97,6.21,73763
2023-01-12,BBCP,6.2,6.36,6.11,6.26,117101
2023-01-13,BBCP,6.29,6.57,6.18,6.27,140915
2023-01-17,BBCP,6.27,6.28,6.2049,6.27,131298
2023-01-18,BBCP,6.27,6.27,6.19,6.24,120155
2023-01-19,BBCP,6.27,6.27,6.19,6.22,133358
2023-01-20,BBCP,6.27,6.55,6.23,6.49,118745
2023-01-23,BBCP,6.55,6.6099,6.49,6.51,113923
2023-01-24,BBCP,7.09,7.9,6.8,7.78,507557
2023-01-25,BBCP,7.88,7.9,7.52,7.79,172922
2023-01-26,BBCP,7.83,8.06,7.7101,8.03,181032
2023-01-27,BBCP,8.03,8.1699,7.9,8.0,565012
2023-01-30,BBCP,7.98,8.12,7.84,8.11,91265
2023-01-31,BBCP,8.14,8.16,7.84,8.14,133434
2023-02-01,BBCP,8.12,8.17,7.9,8.09,189543
2023-02-02,BBCP,8.05,8.14,8.018,8.13,151900
2023-02-03,BBCP,8.09,8.23,8.09,8.23,124726
2023-02-06,BBCP,8.23,8.24,8.1,8.19,93828
2023-02-07,BBCP,8.16,8.2,8.08,8.11,86722
2023-02-08,BBCP,8.04,8.04,7.83,7.96,58185
2023-02-09,BBCP,7.98,8.07,7.83,7.84,47526
2023-02-10,BBCP,7.81,7.97,7.7804,7.89,41679
2023-02-13,BBCP,7.86,7.99,7.79,7.94,63288
2023-02-14,BBCP,7.89,7.96,7.84,7.88,40952
2023-02-15,BBCP,7.85,7.93,7.84,7.88,28484
2023-02-16,BBCP,7.86,7.94,7.81,7.87,55403
2023-02-17,BBCP,7.89,7.89,7.83,7.88,47506
2023-02-21,BBCP,7.81,7.88,7.8,7.83,96531
2023-02-22,BBCP,7.8,8.01,7.53,7.62,83327
2023-02-23,BBCP,7.62,7.85,7.61,7.74,50417
2023-02-24,BBCP,7.61,7.74,7.6,7.69,37855
2023-02-27,BBCP,7.74,7.845,7.655,7.69,47382
