Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BC,69.42,70.445,68.5,68.58,304568.0
2022-11-10,BC,73.34,76.54,72.69,75.64,678537.0
2022-11-11,BC,76.33,80.2,76.063,79.62,787120.0
2022-11-14,BC,78.67,79.82,77.72,77.89,683291.0
2022-11-15,BC,76.5,77.93,74.24,74.38,1194900.0
2022-11-16,BC,73.7,73.79,71.31,72.84,638338.0
2022-11-17,BC,71.37,72.66,70.2115,72.57,527245.0
2022-11-18,BC,73.29,73.37,71.32,73.04,584247.0
2022-11-21,BC,72.26,73.0,70.67,70.73,459029.0
2022-11-22,BC,70.72,72.91,70.64,72.75,599374.0
2022-11-23,BC,72.61,74.375,72.15,73.62,345886.0
2022-11-25,BC,73.37,73.88,73.235,73.25,184898.0
2022-11-28,BC,72.72,73.35,72.2,72.69,438803.0
2022-11-29,BC,72.76,73.55,72.59,72.93,441983.0
2022-11-30,BC,73.24,74.22,70.905,74.2,547853.0
2022-12-01,BC,74.75,75.405,73.23,74.12,427077.0
2022-12-02,BC,73.29,74.86,73.29,74.05,415661.0
2022-12-05,BC,73.21,73.38,72.31,72.5,649269.0
2022-12-06,BC,72.49,73.29,70.58,71.94,1000054.0
2022-12-07,BC,71.82,72.75,70.93,71.07,421935.0
2022-12-08,BC,71.72,72.68,70.77,72.08,382724.0
2022-12-09,BC,71.23,72.78,70.99,72.11,677468.0
2022-12-12,BC,72.33,74.19,71.42,74.08,417947.0
2022-12-13,BC,77.0,77.2,74.0069,74.7,582299.0
2022-12-14,BC,74.28,75.06,73.36,74.27,474786.0
2022-12-15,BC,72.99,73.095,71.67,72.62,925279.0
2022-12-16,BC,72.19,73.42,71.595,72.25,1626494.0
2022-12-19,BC,72.12,72.99,69.85,70.25,772491.0
2022-12-20,BC,69.82,70.73,69.22,69.41,442725.0
2022-12-21,BC,70.29,72.29,70.29,72.16,490209.0
2022-12-22,BC,71.02,71.455,69.18,70.32,402613.0
2022-12-23,BC,70.3,71.55,69.87,71.44,254094.0
2022-12-27,BC,71.41,72.17,70.97,71.41,187223.0
2022-12-28,BC,71.84,71.84,69.497,69.77,340685.0
2022-12-29,BC,70.29,72.45,70.22,72.28,410827.0
2022-12-30,BC,71.53,72.5,71.35,72.08,300513.0
2023-01-03,BC,73.02,73.62,71.22,72.11,813002.0
2023-01-04,BC,73.01,74.96,72.36,74.73,399029.0
2023-01-05,BC,74.08,75.91,72.8,75.21,588055.0
2023-01-06,BC,76.45,76.955,75.466,76.81,518252.0
2023-01-09,BC,77.18,78.02,76.45,77.01,361560.0
2023-01-10,BC,76.72,77.92,76.16,77.79,745496.0
2023-01-11,BC,78.29,79.39,77.96,78.67,432299.0
2023-01-12,BC,79.26,79.72,77.9,79.61,432253.0
2023-01-13,BC,78.84,79.925,77.93,79.26,463203.0
2023-01-17,BC,78.95,81.0,78.84,79.36,520365.0
2023-01-18,BC,79.6,80.06,76.58,76.58,569789.0
2023-01-19,BC,75.86,76.525,74.88,76.11,603224.0
2023-01-20,BC,76.6,78.125,76.03,77.98,329941.0
2023-01-23,BC,78.19,80.4799,77.82,80.17,465655.0
2023-01-24,BC,79.77,81.19,79.615,80.17,475976.0
2023-01-25,BC,78.9,80.52,78.75,80.28,476519.0
2023-01-26,BC,80.0,80.9,77.5,78.67,688886.0
2023-01-27,BC,78.19,79.86,77.82,79.7,529415.0
2023-01-30,BC,79.05,80.64,79.05,79.83,489716.0
2023-01-31,BC,80.47,84.55,80.19,84.33,1151900.0
2023-02-01,BC,83.92,86.695,83.29,86.18,945480.0
2023-02-02,BC,84.39,91.49,84.39,90.58,1537969.0
2023-02-03,BC,89.97,93.15,89.6247,92.4,991453.0
2023-02-06,BC,91.68,92.81,90.26,90.29,717320.0
2023-02-07,BC,89.78,90.17,87.84,88.93,747078.0
2023-02-08,BC,88.19,90.025,87.805,88.4,475318.0
2023-02-09,BC,89.34,89.86,86.36,86.55,375234.0
2023-02-10,BC,86.2,87.36,85.87,86.47,504476.0
2023-02-13,BC,86.19,88.06,86.0335,88.01,353991.0
2023-02-14,BC,87.2,89.06,86.13,88.25,473984.0
2023-02-15,BC,87.47,89.24,87.33,89.2,310015.0
2023-02-16,BC,88.38,89.93,88.035,88.45,639418.0
2023-02-17,BC,88.64,89.32,87.6398,89.11,522045.0
2023-02-21,BC,87.52,88.1735,86.51,86.98,534031.0
2023-02-22,BC,87.37,89.05,87.35,87.9,501132.0
2023-02-23,BC,88.7,89.0,87.0,88.39,506813.0
2023-02-24,BC,86.27,87.82,86.09,87.7,471726.0
2023-02-27,BC,88.26,88.823,87.44,87.5,394368.0
2023-02-28,BC,87.51,88.38,87.36,87.42,391673.0
2023-03-01,BC,87.35,88.41,86.89,87.5,328878.0
2023-03-02,BC,86.6,88.41,86.29,88.39,264716.0
2023-03-03,BC,88.92,89.0,87.55,88.43,424797.0
2023-03-06,BC,88.86,89.29,87.7,87.81,686356.0
2023-03-07,BC,87.36,88.585,87.19,87.96,416564.0
2023-03-08,BC,88.35,88.89,87.33,88.39,439663.0
2023-03-09,BC,88.18,88.58,85.33,85.39,431220.0
2023-03-10,BC,85.2,85.5,81.5,83.28,664675.0
2023-03-13,BC,81.71,82.78,79.8046,80.81,814936.0
2023-03-14,BC,83.19,84.185,81.41,82.27,662024.0
2023-03-15,BC,80.4,80.795,78.72,80.15,708619.0
2023-03-16,BC,79.05,81.14,78.68,80.29,677724.0
2023-03-17,BC,79.86,79.86,75.4,75.99,1612982.0
2023-03-20,BC,76.79,79.39,76.7617,77.63,750607.0
2023-03-21,BC,79.18,80.61,78.84,80.41,723841.0
2023-03-22,BC,80.82,81.64,78.44,78.51,595680.0
2023-03-23,BC,78.7,80.205,76.65,77.64,457991.0
2023-03-24,BC,76.89,77.4,75.71,77.11,547255.0
2023-03-27,BC,78.31,78.58,76.96,78.12,325037.0
2023-03-28,BC,78.2,78.99,77.26,78.31,468998.0
2023-03-29,BC,79.51,79.61,77.915,78.86,514431.0
2023-03-30,BC,79.53,80.91,78.83,78.91,384136.0
2023-03-31,BC,79.47,82.18,79.22,82.0,457509.0
2023-04-03,BC,81.83,83.0,81.11,82.14,393380.0
2023-04-04,BC,82.98,82.98,79.555,79.79,677490.0
2023-04-05,BC,79.09,79.305,76.58,77.49,774804.0
2023-04-06,BC,77.55,77.7,75.94,76.21,572795.0
2023-04-10,BC,76.07,79.135,76.07,78.85,469427.0
2023-04-11,BC,79.31,81.64,78.97,81.14,433675.0
2023-04-12,BC,82.17,82.18,80.085,80.76,499391.0
2023-04-13,BC,81.23,81.435,79.92,81.34,449828.0
2023-04-14,BC,81.84,83.09,80.99,81.95,280714.0
2023-04-17,BC,82.05,83.39,81.77,82.96,453708.0
2023-04-18,BC,83.17,84.7797,83.17,84.32,718434.0
2023-04-19,BC,84.49,85.75,84.1,85.59,634963.0
2023-04-20,BC,84.91,86.54,84.59,85.66,464216.0
2023-04-21,BC,86.02,86.865,85.3,86.15,521103.0
2023-04-24,BC,86.31,87.5,85.53,85.97,416810.0
2023-04-25,BC,85.38,85.55,82.96,83.36,572433.0
2023-04-26,BC,83.36,84.5,83.02,83.08,635554.0
2023-04-27,BC,83.0,85.34,80.77,85.23,854307.0
2023-04-28,BC,84.87,86.18,84.57,84.79,718225.0
