Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BCH,19.0,19.19,18.64,18.77,155086.0
2022-11-10,BCH,19.16,19.26,18.745,18.76,186637.0
2022-11-11,BCH,18.9,19.13,18.81,18.88,142357.0
2022-11-14,BCH,18.74,18.87,18.6,18.71,94710.0
2022-11-15,BCH,18.96,19.02,18.6,18.75,165756.0
2022-11-16,BCH,18.87,18.94,18.33,18.48,107766.0
2022-11-17,BCH,18.11,18.37,18.02,18.34,112737.0
2022-11-18,BCH,18.43,18.43,17.83,18.04,81502.0
2022-11-21,BCH,18.06,18.145,17.965,18.04,159567.0
2022-11-22,BCH,18.08,18.29,17.98,18.22,119777.0
2022-11-23,BCH,18.25,18.415,18.16,18.37,92039.0
2022-11-25,BCH,18.43,18.435,18.19,18.22,63292.0
2022-11-28,BCH,18.39,18.49,18.32,18.38,134819.0
2022-11-29,BCH,18.58,18.58,18.26,18.48,109063.0
2022-11-30,BCH,18.74,18.85,18.36,18.85,173254.0
2022-12-01,BCH,19.01,19.23,18.88,19.2,169636.0
2022-12-02,BCH,19.18,19.2132,18.98,19.0,78658.0
2022-12-05,BCH,18.96,19.08,18.731,18.8,149351.0
2022-12-06,BCH,18.82,19.253,18.82,19.14,100360.0
2022-12-07,BCH,19.06,19.375,18.96,19.28,130378.0
2022-12-08,BCH,19.34,19.44,19.18,19.22,91531.0
2022-12-09,BCH,19.34,19.41,19.22,19.28,129553.0
2022-12-12,BCH,19.39,19.49,19.28,19.49,162340.0
2022-12-13,BCH,19.76,19.84,19.49,19.59,151650.0
2022-12-14,BCH,19.46,19.53,19.13,19.48,106596.0
2022-12-15,BCH,19.22,19.22,18.98,19.05,85603.0
2022-12-16,BCH,18.96,19.07,18.78,19.04,186066.0
2022-12-19,BCH,18.94,19.23,18.835,19.2,91856.0
2022-12-20,BCH,19.33,19.64,19.3,19.62,155222.0
2022-12-21,BCH,19.71,20.03,19.5901,20.02,79157.0
2022-12-22,BCH,19.92,19.96,19.63,19.96,77054.0
2022-12-23,BCH,20.06,20.06,19.66,20.0,126196.0
2022-12-27,BCH,19.8,20.12,19.57,20.07,106524.0
2022-12-28,BCH,20.06,20.39,20.06,20.35,103699.0
2022-12-29,BCH,20.39,20.63,20.29,20.62,309163.0
2022-12-30,BCH,20.61,20.91,20.515,20.82,181244.0
2023-01-03,BCH,20.57,20.69,19.76,19.78,236628.0
2023-01-04,BCH,20.03,20.13,19.57,19.72,180578.0
2023-01-05,BCH,19.67,19.74,19.52,19.56,175562.0
2023-01-06,BCH,19.78,19.975,19.64,19.85,278279.0
2023-01-09,BCH,19.93,20.31,19.9,20.14,83535.0
2023-01-10,BCH,20.13,20.3,19.99,20.23,85624.0
2023-01-11,BCH,20.29,20.63,20.23,20.56,243350.0
2023-01-12,BCH,20.59,20.66,20.24,20.46,494962.0
2023-01-13,BCH,20.51,20.64,20.26,20.6,158665.0
2023-01-17,BCH,20.47,20.52,20.3,20.41,135932.0
2023-01-18,BCH,20.45,20.57,20.21,20.31,106999.0
2023-01-19,BCH,20.01,20.44,19.975,20.32,243930.0
2023-01-20,BCH,20.35,20.7,20.18,20.66,275549.0
2023-01-23,BCH,20.78,21.2,20.6,21.12,281736.0
2023-01-24,BCH,21.1,21.35,21.07,21.16,216816.0
2023-01-25,BCH,21.12,21.6084,21.02,21.53,166447.0
2023-01-26,BCH,21.67,21.67,21.32,21.56,124437.0
2023-01-27,BCH,21.43,21.6,21.375,21.47,132171.0
2023-01-30,BCH,21.42,21.43,21.2,21.33,308782.0
2023-01-31,BCH,21.52,22.05,21.43,21.97,258919.0
2023-02-01,BCH,22.01,22.12,21.93,22.04,148058.0
2023-02-02,BCH,22.32,22.56,22.11,22.31,199195.0
2023-02-03,BCH,22.34,22.34,21.71,21.84,132110.0
2023-02-06,BCH,21.74,21.74,21.465,21.74,216488.0
2023-02-07,BCH,21.74,21.96,21.67,21.78,149180.0
2023-02-08,BCH,21.92,21.97,21.59,21.69,132522.0
2023-02-09,BCH,21.69,22.01,21.64,21.67,189546.0
2023-02-10,BCH,21.86,22.1199,21.74,22.0,97042.0
2023-02-13,BCH,22.07,22.2,21.95,22.01,127836.0
2023-02-14,BCH,22.03,22.17,21.8,21.92,118638.0
2023-02-15,BCH,21.71,21.9,21.38,21.9,122938.0
2023-02-16,BCH,21.79,22.0,21.61,21.89,136485.0
2023-02-17,BCH,21.95,21.97,21.74,21.81,108888.0
2023-02-21,BCH,21.83,21.83,21.315,21.37,109454.0
2023-02-22,BCH,21.46,21.65,21.33,21.37,121876.0
2023-02-23,BCH,21.46,21.58,21.34,21.38,113328.0
2023-02-24,BCH,21.18,21.18,20.81,21.02,104530.0
2023-02-27,BCH,21.06,21.06,20.54,20.55,81240.0
2023-02-28,BCH,20.6,20.99,20.56,20.69,134964.0
2023-03-01,BCH,21.21,21.38,21.1,21.38,133135.0
2023-03-02,BCH,21.35,21.35,21.03,21.15,270677.0
2023-03-03,BCH,21.37,21.6,21.29,21.56,197106.0
2023-03-06,BCH,21.67,21.7999,21.61,21.78,73344.0
2023-03-07,BCH,21.86,21.96,21.41,21.52,146255.0
2023-03-08,BCH,21.87,21.94,21.56,21.64,248021.0
2023-03-09,BCH,22.01,22.41,21.81,21.83,298293.0
2023-03-10,BCH,21.79,22.1299,21.79,21.97,326506.0
2023-03-13,BCH,21.76,21.96,21.46,21.5,314004.0
2023-03-14,BCH,21.84,21.87,21.2,21.5,277607.0
2023-03-15,BCH,21.19,21.19,20.11,20.49,295194.0
2023-03-16,BCH,18.24,18.89,18.1821,18.69,325438.0
2023-03-17,BCH,18.66,18.67,18.11,18.11,304113.0
2023-03-20,BCH,18.09,18.42,17.96,18.3,214088.0
2023-03-21,BCH,18.61,18.78,18.54,18.59,188980.0
2023-03-22,BCH,18.58,18.66,18.33,18.33,148721.0
2023-03-23,BCH,18.62,18.9,18.59,18.66,307038.0
2023-03-24,BCH,18.67,19.02,18.51,18.98,153375.0
2023-03-27,BCH,19.15,19.255,19.0,19.05,126543.0
2023-03-28,BCH,19.08,19.45,19.08,19.44,136958.0
2023-03-29,BCH,19.6,19.82,19.51,19.82,168104.0
2023-03-30,BCH,19.95,20.0199,19.44,19.57,217734.0
2023-03-31,BCH,19.62,19.76,19.28,19.52,135081.0
2023-04-03,BCH,19.53,19.54,19.02,19.2,114410.0
2023-04-04,BCH,19.35,19.35,18.9,19.25,99124.0
2023-04-05,BCH,19.29,19.315,18.95,19.24,91204.0
2023-04-06,BCH,19.27,19.27,19.0,19.08,113096.0
2023-04-10,BCH,19.03,19.03,18.6417,18.93,152332.0
2023-04-11,BCH,19.07,19.495,19.01,19.4,158802.0
2023-04-12,BCH,19.58,19.9,19.42,19.57,169186.0
2023-04-13,BCH,19.55,19.83,19.55,19.71,144245.0
2023-04-14,BCH,19.59,19.878,19.52,19.85,109335.0
2023-04-17,BCH,19.9,19.9,19.6,19.88,191360.0
2023-04-18,BCH,19.88,20.54,19.88,20.46,215929.0
2023-04-19,BCH,20.42,20.43,20.0061,20.17,146515.0
2023-04-20,BCH,20.13,20.29,20.03,20.25,168344.0
2023-04-21,BCH,20.3,20.3,19.8,20.0,105609.0
2023-04-24,BCH,20.02,20.02,19.35,19.58,140613.0
2023-04-25,BCH,19.54,19.69,19.4,19.64,55624.0
2023-04-26,BCH,19.65,20.68,19.65,20.53,377799.0
2023-04-27,BCH,20.47,21.22,20.09,21.09,231070.0
2023-04-28,BCH,21.05,21.45,20.81,21.2,142297.0
2023-05-01,BCH,21.26,21.6,21.16,21.39,53573.0
2023-05-02,BCH,21.31,21.31,20.66,20.83,110353.0
2023-05-03,BCH,21.13,21.17,20.83,21.17,169879.0
2023-05-04,BCH,21.04,21.5,20.655,21.45,157707.0
2023-05-05,BCH,21.67,21.98,21.485,21.96,234976.0
2023-05-08,BCH,22.17,22.71,22.07,22.42,239893.0
2023-05-09,BCH,22.42,22.56,22.06,22.52,155336.0
2023-05-10,BCH,22.62,22.68,22.29,22.64,112509.0
2023-05-11,BCH,22.57,22.57,22.24,22.48,77687.0
2023-05-12,BCH,22.54,22.71,22.32,22.68,145443.0
2023-05-15,BCH,22.74,22.97,22.43,22.59,72595.0
2023-05-16,BCH,22.63,22.63,21.84,21.87,188267.0
2023-05-17,BCH,22.06,22.365,21.72,21.84,148546.0
2023-05-18,BCH,21.89,21.9,21.42,21.84,131539.0
2023-05-19,BCH,21.39,21.88,21.39,21.71,86635.0
2023-05-22,BCH,21.86,21.86,21.49,21.57,80916.0
2023-05-23,BCH,21.56,21.74,21.47,21.52,85102.0
2023-05-24,BCH,21.54,21.54,20.91,21.35,110780.0
2023-05-25,BCH,21.5,21.64,21.34,21.42,47595.0
2023-05-26,BCH,21.46,21.4676,21.15,21.34,84790.0
2023-05-30,BCH,21.31,21.42,20.9,21.04,69711.0
2023-05-31,BCH,21.07,21.07,20.15,20.2,181586.0
2023-06-01,BCH,20.31,20.92,20.31,20.8,68772.0
2023-06-02,BCH,21.85,21.85,21.16,21.65,118934.0
2023-06-05,BCH,21.62,21.8116,21.58,21.72,52767.0
2023-06-06,BCH,21.73,21.84,21.52,21.71,100640.0
2023-06-07,BCH,21.67,21.99,21.67,21.87,170367.0
2023-06-08,BCH,21.94,21.94,21.2,21.3,155116.0
2023-06-09,BCH,21.38,21.71,21.36,21.47,81593.0
2023-06-12,BCH,21.45,21.45,20.92,20.98,100937.0
2023-06-13,BCH,21.17,21.395,21.14,21.3,115380.0
2023-06-14,BCH,21.42,21.565,20.96,21.07,130858.0
2023-06-15,BCH,21.15,21.29,21.09,21.2,106479.0
2023-06-16,BCH,21.28,21.435,20.95,21.25,440888.0
2023-06-20,BCH,21.22,21.35,20.6,20.69,108816.0
2023-06-21,BCH,20.72,20.875,20.6,20.78,54835.0
2023-06-22,BCH,20.79,20.79,20.47,20.49,72448.0
2023-06-23,BCH,20.5,20.5,20.18,20.24,110161.0
2023-06-26,BCH,20.18,20.38,20.18,20.35,118556.0
2023-06-27,BCH,20.49,20.57,20.1971,20.34,85340.0
2023-06-28,BCH,20.3,20.3,20.06,20.21,75283.0
2023-06-29,BCH,20.26,20.879,20.23,20.86,90041.0
2023-06-30,BCH,21.0,21.18,20.83,20.96,59747.0
2023-07-03,BCH,21.16,21.16,20.83,20.9,58850.0
2023-07-05,BCH,20.75,21.03,20.73,20.96,77452.0
2023-07-06,BCH,20.76,20.83,20.43,20.66,75197.0
2023-07-07,BCH,20.86,20.955,20.72,20.85,104224.0
2023-07-10,BCH,20.92,20.92,20.55,20.59,58091.0
2023-07-11,BCH,20.66,20.695,20.41,20.69,79013.0
2023-07-12,BCH,20.93,21.22,20.73,21.17,73682.0
2023-07-13,BCH,21.31,21.3299,20.98,21.0,222026.0
2023-07-14,BCH,21.1,21.32,20.91,21.25,156887.0
2023-07-17,BCH,21.3,21.34,20.96,21.26,131450.0
2023-07-18,BCH,21.37,21.98,21.05,21.87,140445.0
2023-07-19,BCH,21.94,22.135,21.78,22.0,89293.0
2023-07-20,BCH,21.82,22.13,21.71,21.82,76682.0
2023-07-21,BCH,21.96,22.28,21.64,22.16,151565.0
2023-07-24,BCH,22.32,22.915,22.1,22.89,135748.0
2023-07-25,BCH,22.83,23.11,22.59,23.04,108160.0
