Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BCTX,6.03,6.048,5.5101,5.57,279230.0
2022-11-10,BCTX,5.9,6.06,5.4108,5.87,904498.0
2022-11-11,BCTX,5.95,6.04,5.67,5.75,145977.0
2022-11-14,BCTX,5.84,5.84,5.56,5.58,92630.0
2022-11-15,BCTX,5.57,5.77,5.41,5.49,192938.0
2022-11-16,BCTX,5.56,5.78,5.35,5.67,237090.0
2022-11-17,BCTX,5.67,5.89,5.55,5.69,146314.0
2022-11-18,BCTX,5.7,5.7845,5.5,5.64,120189.0
2022-11-21,BCTX,5.56,5.7499,5.51,5.67,68294.0
2022-11-22,BCTX,5.61,5.65,5.42,5.55,85120.0
2022-11-23,BCTX,5.51,5.775,5.45,5.68,105256.0
2022-11-25,BCTX,5.76,5.81,5.6001,5.81,33512.0
2022-11-28,BCTX,5.66,5.8,5.4999,5.66,87977.0
2022-11-29,BCTX,5.7,5.8499,5.47,5.62,179289.0
2022-11-30,BCTX,5.56,5.65,5.18,5.37,442780.0
2022-12-01,BCTX,5.38,5.66,5.25,5.59,354042.0
2022-12-02,BCTX,5.53,5.7,5.31,5.53,92514.0
2022-12-05,BCTX,5.43,5.88,5.43,5.81,133134.0
2022-12-06,BCTX,5.7631,6.0,5.6461,5.9,169627.0
2022-12-07,BCTX,5.79,5.8684,5.56,5.64,97026.0
2022-12-08,BCTX,5.71,5.9442,5.4,5.77,422468.0
2022-12-09,BCTX,5.75,5.7899,5.57,5.7,218157.0
2022-12-12,BCTX,5.62,5.93,5.5117,5.85,166274.0
2022-12-13,BCTX,5.79,5.93,5.685,5.89,163444.0
2022-12-14,BCTX,5.9,5.9,5.6901,5.81,186198.0
2022-12-15,BCTX,5.81,5.81,5.565,5.62,169360.0
2022-12-16,BCTX,5.62,5.8,5.62,5.75,179831.0
2022-12-19,BCTX,5.69,5.7,5.204,5.44,232872.0
2022-12-20,BCTX,5.32,5.6,5.2,5.27,112184.0
2022-12-21,BCTX,5.4,5.43,5.1,5.1,152526.0
2022-12-22,BCTX,5.1,5.15,4.27,4.75,520550.0
2022-12-23,BCTX,4.61,4.97,4.52,4.6,125861.0
2022-12-27,BCTX,4.53,4.62,4.27,4.28,148119.0
2022-12-28,BCTX,4.23,4.68,4.23,4.545,149120.0
2022-12-29,BCTX,4.64,4.78,4.41,4.5,140374.0
2022-12-30,BCTX,4.57,4.57,4.25,4.37,171903.0
2023-01-03,BCTX,4.47,4.62,4.35,4.59,143840.0
2023-01-04,BCTX,4.65,5.27,4.6267,5.23,280948.0
2023-01-05,BCTX,5.28,5.66,5.17,5.32,524444.0
2023-01-06,BCTX,5.43,5.5,5.3,5.37,159744.0
2023-01-09,BCTX,5.5,5.62,5.35,5.51,87616.0
2023-01-10,BCTX,5.53,6.19,5.51,6.04,357485.0
2023-01-11,BCTX,5.92,6.76,5.76,6.5,456102.0
2023-01-12,BCTX,6.57,6.93,6.42,6.57,289719.0
2023-01-13,BCTX,6.43,6.7,6.43,6.65,169023.0
2023-01-17,BCTX,6.96,7.1149,6.75,6.94,287110.0
2023-01-18,BCTX,6.91,7.14,6.31,6.45,376446.0
2023-01-19,BCTX,6.28,7.19,6.1815,7.05,541975.0
2023-01-20,BCTX,7.05,7.22,6.87,7.04,231372.0
2023-01-23,BCTX,7.0,7.49,7.0,7.44,660633.0
2023-01-24,BCTX,7.5,7.65,7.26,7.415,305118.0
2023-01-25,BCTX,7.45,7.5,7.165,7.18,147643.0
2023-01-26,BCTX,7.35,7.73,7.2205,7.53,187065.0
2023-01-27,BCTX,7.53,7.82,7.51,7.55,191380.0
2023-01-30,BCTX,7.58,7.67,7.27,7.37,128875.0
2023-01-31,BCTX,7.45,7.8,7.26,7.48,169394.0
2023-02-01,BCTX,7.37,7.54,7.33,7.47,98279.0
2023-02-02,BCTX,7.52,7.5818,6.745,6.83,310813.0
2023-02-03,BCTX,6.83,7.3,6.83,7.07,135582.0
2023-02-06,BCTX,7.07,7.26,6.88,7.23,124441.0
2023-02-07,BCTX,7.3,7.35,6.92,6.96,82883.0
2023-02-08,BCTX,7.14,7.2699,6.85,7.0,131637.0
2023-02-09,BCTX,7.11,7.2,7.0,7.18,153857.0
2023-02-10,BCTX,7.23,7.28,6.81,6.83,133273.0
2023-02-13,BCTX,6.83,6.91,6.62,6.8,147504.0
2023-02-14,BCTX,6.67,7.69,6.67,7.63,457432.0
2023-02-15,BCTX,7.75,8.08,7.52,7.99,479539.0
2023-02-16,BCTX,8.0,8.1,7.48,7.57,493974.0
2023-02-17,BCTX,7.52,7.685,7.27,7.37,347162.0
2023-02-21,BCTX,7.26,7.7399,6.81,6.86,237232.0
2023-02-22,BCTX,6.8,7.4,6.75,7.36,209720.0
2023-02-23,BCTX,7.32,7.38,6.95,7.21,215504.0
2023-02-24,BCTX,7.07,7.33,6.9,7.16,222322.0
2023-02-27,BCTX,7.14,7.26,6.81,6.95,110939.0
2023-02-28,BCTX,6.83,7.12,6.75,7.08,118483.0
2023-03-01,BCTX,7.17,7.49,7.0,7.17,189401.0
2023-03-02,BCTX,7.04,7.3,6.94,7.15,80227.0
2023-03-03,BCTX,7.18,7.5,7.14,7.44,122309.0
2023-03-06,BCTX,7.5,7.6,7.25,7.33,69476.0
2023-03-07,BCTX,7.36,7.45,7.15,7.19,93527.0
2023-03-08,BCTX,7.19,7.3382,6.94,6.9773,82049.0
2023-03-09,BCTX,6.95,6.98,6.17,6.27,444059.0
2023-03-10,BCTX,6.63,6.7399,6.11,6.12,152096.0
2023-03-13,BCTX,6.07,6.97,6.06,6.78,374020.0
2023-03-14,BCTX,6.79,7.11,6.76,7.0,111800.0
2023-03-15,BCTX,6.92,7.045,6.69,7.0,84133.0
2023-03-16,BCTX,7.23,7.23,6.9262,7.17,93532.0
2023-03-17,BCTX,7.17,7.17,6.85,7.02,51251.0
2023-03-20,BCTX,7.0,7.09,6.81,6.99,25519.0
2023-03-21,BCTX,7.07,7.13,6.78,6.78,32786.0
2023-03-22,BCTX,6.76,6.97,6.63,6.75,68275.0
2023-03-23,BCTX,6.82,7.01,6.6,6.84,63252.0
2023-03-24,BCTX,6.8,6.98,6.7001,6.94,85956.0
2023-03-27,BCTX,6.91,7.24,6.8003,7.17,151782.0
2023-03-28,BCTX,7.06,7.18,6.85,6.92,39514.0
2023-03-29,BCTX,6.92,7.3,6.86,7.12,79514.0
2023-03-30,BCTX,7.35,7.44,6.8,7.17,117872.0
2023-03-31,BCTX,7.3,7.49,7.1468,7.45,158999.0
2023-04-03,BCTX,7.42,7.75,7.2,7.21,92811.0
2023-04-04,BCTX,7.31,7.31,6.92,7.06,44399.0
2023-04-05,BCTX,7.02,7.21,6.9,7.17,47356.0
2023-04-06,BCTX,7.03,7.2,6.99,7.05,46034.0
2023-04-10,BCTX,7.31,7.35,6.9,7.3,93623.0
2023-04-11,BCTX,7.4,7.4,6.97,7.05,133952.0
2023-04-12,BCTX,7.13,7.39,6.96,7.14,58737.0
2023-04-13,BCTX,7.33,7.38,7.05,7.09,128719.0
2023-04-14,BCTX,7.2,7.33,7.1,7.2,349729.0
2023-04-17,BCTX,7.4,7.66,7.15,7.58,381492.0
2023-04-18,BCTX,7.65,7.67,7.07,7.24,167613.0
2023-04-19,BCTX,7.33,7.33,6.97,7.2,112951.0
2023-04-20,BCTX,7.2,7.33,7.12,7.25,56709.0
2023-04-21,BCTX,7.2,7.4,7.1271,7.35,109234.0
2023-04-24,BCTX,7.31,7.33,7.1,7.14,92714.0
2023-04-25,BCTX,7.12,7.25,6.88,6.91,206732.0
2023-04-26,BCTX,6.89,7.32,6.89,6.99,137553.0
2023-04-27,BCTX,6.98,7.17,6.8,7.11,100123.0
2023-04-28,BCTX,7.02,7.5,7.01,7.44,110736.0
2023-05-01,BCTX,7.44,7.58,7.08,7.1,129348.0
2023-05-02,BCTX,7.1232,7.17,6.9,6.94,78778.0
2023-05-03,BCTX,6.95,7.1362,6.9,7.06,40264.0
2023-05-04,BCTX,6.96,7.11,6.9355,7.0,48762.0
2023-05-05,BCTX,7.0,7.07,6.85,7.0,270341.0
2023-05-08,BCTX,7.05,7.3,6.98,7.22,208610.0
2023-05-09,BCTX,7.35,7.36,7.115,7.29,189436.0
2023-05-10,BCTX,7.28,7.34,7.07,7.115,89066.0
2023-05-11,BCTX,7.3,7.3,6.9,6.96,130544.0
2023-05-12,BCTX,7.06,7.06,6.31,6.5,321830.0
2023-05-15,BCTX,6.73,6.82,6.475,6.57,158752.0
2023-05-16,BCTX,6.55,6.63,6.23,6.31,185282.0
2023-05-17,BCTX,6.31,6.31,5.98,6.17,125620.0
2023-05-18,BCTX,6.17,6.17,5.71,5.9,279927.0
2023-05-19,BCTX,5.84,6.34,5.84,6.23,179343.0
2023-05-22,BCTX,6.21,6.3295,6.11,6.22,67412.0
2023-05-23,BCTX,6.18,6.4234,6.1601,6.32,93515.0
2023-05-24,BCTX,6.44,6.46,5.95,6.03,101719.0
2023-05-25,BCTX,6.25,6.37,5.87,6.05,163972.0
2023-05-26,BCTX,6.05,6.08,5.8,5.87,73782.0
2023-05-30,BCTX,5.95,6.14,5.77,5.8,68520.0
2023-05-31,BCTX,5.85,5.935,5.7,5.93,155431.0
2023-06-01,BCTX,5.92,6.29,5.9115,6.27,60918.0
2023-06-02,BCTX,6.23,6.27,6.02,6.17,119775.0
2023-06-05,BCTX,6.08,6.34,6.08,6.34,72653.0
2023-06-06,BCTX,6.34,6.4,6.06,6.12,32356.0
2023-06-07,BCTX,6.05,6.38,6.05,6.15,59474.0
2023-06-08,BCTX,6.08,6.35,6.08,6.29,60507.0
2023-06-09,BCTX,6.24,6.73,6.15,6.21,89910.0
2023-06-12,BCTX,6.22,6.24,5.9,5.91,78160.0
2023-06-13,BCTX,6.0,6.16,5.73,5.75,173519.0
2023-06-14,BCTX,5.75,5.98,5.72,5.93,66557.0
2023-06-15,BCTX,5.81,6.1,5.74,6.06,85458.0
2023-06-16,BCTX,5.92,6.25,5.92,6.03,107752.0
2023-06-20,BCTX,5.99,6.07,5.73,5.75,80938.0
2023-06-21,BCTX,5.75,5.95,5.66,5.715,70222.0
2023-06-22,BCTX,5.82,6.15,5.66,5.95,94170.0
2023-06-23,BCTX,5.85,6.14,5.85,6.14,82869.0
2023-06-26,BCTX,6.08,6.51,5.93,6.51,171444.0
2023-06-27,BCTX,6.78,6.8,5.9149,5.99,284390.0
2023-06-28,BCTX,6.14,6.2,5.93,6.04,136986.0
2023-06-29,BCTX,6.1,6.27,6.02,6.27,66957.0
