Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BEEM,12.26,12.42,11.85,12.08,61207.0
2022-11-10,BEEM,12.66,13.33,12.38,13.05,247563.0
2022-11-11,BEEM,14.56,16.2999,13.6491,15.64,442131.0
2022-11-14,BEEM,17.12,17.2,15.64,15.75,362617.0
2022-11-15,BEEM,16.7,17.4,15.9,16.87,279186.0
2022-11-16,BEEM,16.88,17.1499,15.6,16.49,164256.0
2022-11-17,BEEM,16.3,18.5,15.967,17.8,404432.0
2022-11-18,BEEM,18.15,18.15,16.94,17.16,149553.0
2022-11-21,BEEM,16.93,16.96,15.9059,16.64,162455.0
2022-11-22,BEEM,16.65,17.88,16.53,17.86,174203.0
2022-11-23,BEEM,17.75,18.1786,16.9,17.34,159592.0
2022-11-25,BEEM,17.68,18.2411,17.51,18.11,107176.0
2022-11-28,BEEM,18.2,19.7,16.65,19.38,1094770.0
2022-11-29,BEEM,20.0,20.33,18.31,18.74,408133.0
2022-11-30,BEEM,19.18,19.5,18.35,19.15,236189.0
2022-12-01,BEEM,19.24,19.24,17.29,18.09,338187.0
2022-12-02,BEEM,17.99,19.8886,17.7031,19.7,317092.0
2022-12-05,BEEM,19.5,21.0,18.94,20.13,287668.0
2022-12-06,BEEM,20.0,20.2499,18.89,19.47,152146.0
2022-12-07,BEEM,19.53,20.001,19.0,19.1,125172.0
2022-12-08,BEEM,19.28,21.18,19.0101,20.91,221015.0
2022-12-09,BEEM,20.76,21.5838,19.27,19.31,218245.0
2022-12-12,BEEM,19.07,19.9399,18.02,18.87,224972.0
2022-12-13,BEEM,19.34,19.6168,18.01,18.07,248737.0
2022-12-14,BEEM,18.15,18.7149,17.89,18.03,144997.0
2022-12-15,BEEM,18.1,19.51,18.1,18.65,174835.0
2022-12-16,BEEM,18.47,20.35,18.26,19.4,260146.0
2022-12-19,BEEM,19.88,19.88,17.48,17.85,189217.0
2022-12-20,BEEM,17.48,17.8499,16.555,16.65,198231.0
2022-12-21,BEEM,16.71,17.27,16.25,16.59,143212.0
2022-12-22,BEEM,16.16,16.16,14.84,16.04,229918.0
2022-12-23,BEEM,15.77,16.17,15.24,15.96,162310.0
2022-12-27,BEEM,15.85,16.01,15.01,15.42,138347.0
2022-12-28,BEEM,15.23,15.6,14.5,15.34,194039.0
2022-12-29,BEEM,15.4,16.41,15.26,16.41,359507.0
2022-12-30,BEEM,16.43,17.74,16.16,17.47,230053.0
2023-01-03,BEEM,17.96,17.98,15.785,16.47,201690.0
2023-01-04,BEEM,16.35,17.25,15.93,17.12,135436.0
2023-01-05,BEEM,16.71,17.06,16.24,16.94,74235.0
2023-01-06,BEEM,16.99,17.49,16.4,16.53,117317.0
2023-01-09,BEEM,16.6,17.155,16.13,16.24,119980.0
2023-01-10,BEEM,16.36,17.75,16.1867,17.64,148334.0
2023-01-11,BEEM,17.91,18.3,17.105,17.47,153696.0
2023-01-12,BEEM,17.4,17.8,17.2201,17.7,75605.0
2023-01-13,BEEM,17.19,17.68,17.0,17.55,128994.0
2023-01-17,BEEM,17.4,18.65,17.13,18.3,164841.0
