Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BELFA,33.44,35.74,33.44,33.75,13092
2022-11-10,BELFA,34.2501,34.2501,34.2501,34.2501,1101
2022-11-11,BELFA,34.71,35.6,34.6,35.489,4803
2022-11-14,BELFA,35.49,36.8163,35.49,35.95,5961
2022-11-15,BELFA,36.35,37.0,36.3362,36.57,2723
2022-11-16,BELFA,36.49,36.49,35.8,35.8,2027
2022-11-17,BELFA,35.8,36.0,35.14,36.0,2050
2022-11-18,BELFA,37.49,37.49,34.9,35.5,5968
2022-11-21,BELFA,35.4351,35.4351,35.25,35.25,2216
2022-11-22,BELFA,35.25,35.25,35.25,35.25,999
2022-11-23,BELFA,34.84,35.7,34.8,35.25,3187
2022-11-25,BELFA,35.6,35.87,35.35,35.87,995
2022-11-28,BELFA,38.0,38.0,34.2,34.54,5341
2022-11-29,BELFA,33.1,33.585,32.42,33.04,3899
2022-11-30,BELFA,33.19,33.5,31.99,33.35,5670
2022-12-01,BELFA,35.44,35.44,33.6453,35.2599,3362
2022-12-02,BELFA,35.05,35.13,31.55,34.0,3446
2022-12-05,BELFA,34.61,35.9569,34.15,34.46,5051
2022-12-06,BELFA,33.25,33.25,33.25,33.25,1233
2022-12-07,BELFA,32.43,32.43,31.9,32.05,894
2022-12-08,BELFA,32.19,33.1023,32.19,33.0338,1366
2022-12-09,BELFA,32.22,32.3696,31.89,31.89,2008
2022-12-12,BELFA,31.5319,34.91,31.5319,34.8,8693
2022-12-13,BELFA,35.3,35.3,33.7,34.0,7687
2022-12-14,BELFA,34.265,34.7,33.3,34.7,2093
2022-12-15,BELFA,34.0,34.46,34.0,34.46,606
2022-12-16,BELFA,32.84,35.26,32.84,35.26,6548
2022-12-19,BELFA,35.22,35.22,33.05,33.6,1532
2022-12-20,BELFA,32.8941,33.29,32.81,33.29,1725
2022-12-21,BELFA,32.8101,33.2044,32.8101,32.91,2290
2022-12-22,BELFA,32.82,32.82,32.63,32.64,1935
2022-12-23,BELFA,33.49,33.49,31.33,31.38,3178
2022-12-27,BELFA,31.14,32.11,31.14,31.66,2689
2022-12-28,BELFA,31.965,32.4,31.52,32.4,15625
2022-12-29,BELFA,32.1891,32.1891,32.1891,32.1891,175
2023-01-03,BELFA,31.23,32.05,31.23,32.05,3217
2023-01-04,BELFA,32.8,33.52,31.75,32.25,7033
2023-01-05,BELFA,30.99,32.4,29.82,29.82,5863
2023-01-06,BELFA,30.21,30.7971,30.21,30.59,685
2023-01-09,BELFA,32.19,33.0,30.48,31.09,11940
2023-01-10,BELFA,32.45,33.24,32.45,33.24,3548
2023-01-11,BELFA,33.45,33.45,33.2,33.4,1628
2023-01-12,BELFA,33.4,33.45,33.4,33.45,594
2023-01-13,BELFA,32.94,33.981,32.94,33.35,1636
2023-01-17,BELFA,33.3,35.615,33.3,34.4627,2729
2023-01-18,BELFA,35.06,36.0,34.66,34.66,3957
2023-01-19,BELFA,35.27,35.8407,33.8815,35.8407,5047
2023-01-20,BELFA,35.82,36.45,35.0,36.45,8079
2023-01-23,BELFA,36.53,37.075,36.37,37.0,52490
2023-01-24,BELFA,37.97,37.97,35.0,37.25,46156
2023-01-25,BELFA,37.0,37.55,36.81,36.88,3878
2023-01-26,BELFA,36.6512,37.9599,36.6512,37.04,2182
2023-01-27,BELFA,36.99,37.0,36.99,37.0,1303
2023-01-30,BELFA,36.6,38.45,36.6,38.29,16264
2023-01-31,BELFA,38.39,41.3608,38.05,40.35,29553
2023-02-01,BELFA,41.2,41.2,40.0857,40.65,6567
2023-02-02,BELFA,41.0,42.37,40.2689,40.9,10013
2023-02-03,BELFA,40.9,40.9,39.23,40.53,10417
2023-02-06,BELFA,40.83,41.5899,40.0,41.13,12592
2023-02-07,BELFA,40.96,41.74,40.7021,41.55,12765
2023-02-08,BELFA,42.16,42.5246,41.75,42.5246,3348
2023-02-09,BELFA,42.61,44.3,42.52,42.52,4235
2023-02-10,BELFA,41.3587,42.155,40.91,41.11,4891
2023-02-13,BELFA,41.05,41.31,41.04,41.13,3582
2023-02-14,BELFA,40.54,41.5,40.39,41.5,13745
2023-02-16,BELFA,42.04,42.657,42.04,42.6499,1284
2023-02-17,BELFA,42.28,42.3,42.06,42.3,1247
2023-02-21,BELFA,41.5801,41.84,41.1901,41.6,2325
2023-02-22,BELFA,41.54,42.61,41.0,41.09,5533
2023-02-23,BELFA,41.8,42.34,35.89,36.6,15606
2023-02-24,BELFA,36.82,36.85,35.98,36.24,2561
2023-02-27,BELFA,36.16,37.1175,36.16,36.64,2597
2023-02-28,BELFA,36.8,37.36,36.8,37.27,3183
2023-03-01,BELFA,37.64,39.08,37.64,38.94,4294
2023-03-02,BELFA,38.1,38.49,36.12,37.86,2862
2023-03-03,BELFA,37.93,38.81,37.93,38.81,3139
2023-03-06,BELFA,38.55,38.55,38.49,38.54,2284
2023-03-07,BELFA,37.97,38.06,37.97,38.06,950
2023-03-08,BELFA,37.6,38.3136,37.45,38.3136,5835
2023-03-09,BELFA,37.9,37.9,37.25,37.3,714
2023-03-10,BELFA,35.36,35.36,33.51,34.0,6455
2023-03-13,BELFA,33.5,33.5,31.85,32.37,3498
2023-03-14,BELFA,33.75,34.975,33.52,34.975,2829
2023-03-15,BELFA,32.95,32.9939,32.01,32.01,3634
2023-03-16,BELFA,32.0,32.86,32.0,32.86,1716
2023-03-17,BELFA,33.67,33.67,31.97,31.97,6578
2023-03-20,BELFA,32.52,32.73,32.5,32.73,3057
2023-03-21,BELFA,32.1706,32.3812,32.1706,32.3812,970
2023-03-22,BELFA,33.1607,33.1607,32.0,32.0,2009
2023-03-23,BELFA,32.0,32.73,31.15,32.06,2193
2023-03-24,BELFA,32.615,33.14,32.44,33.14,1459
2023-03-27,BELFA,32.76,33.0,32.04,33.0,7271
2023-03-28,BELFA,32.4522,33.1,32.21,33.03,4165
2023-03-30,BELFA,33.15,35.06,33.15,34.51,8551
2023-03-31,BELFA,35.46,36.32,35.11,36.32,6020
2023-04-03,BELFA,36.0,36.48,36.0,36.41,3280
2023-04-04,BELFA,36.29,36.29,34.71,35.34,6183
2023-04-05,BELFA,34.65,35.13,34.28,35.13,5091
2023-04-06,BELFA,34.3,34.59,33.99,34.12,5509
2023-04-10,BELFA,34.13,34.463,34.13,34.463,735
2023-04-11,BELFA,35.19,35.95,34.61,35.95,1156
2023-04-12,BELFA,35.81,35.81,35.81,35.81,543
2023-04-13,BELFA,36.39,36.39,35.96,36.37,938
2023-04-14,BELFA,36.07,36.1,36.0,36.0,1460
2023-04-17,BELFA,38.59,38.59,35.9101,36.15,8465
2023-04-18,BELFA,36.16,36.16,35.65,35.65,3510
2023-04-19,BELFA,34.455,34.8,34.455,34.75,1299
2023-04-20,BELFA,34.8,35.0,34.276,35.0,4561
2023-04-21,BELFA,34.78,35.01,34.78,35.01,4877
2023-04-24,BELFA,34.6,35.16,34.6,35.16,4778
2023-04-25,BELFA,34.77,34.82,34.52,34.6,7671
2023-04-26,BELFA,34.23,34.28,33.04,33.04,1478
2023-04-27,BELFA,39.24,40.35,38.3514,39.0,15221
2023-04-28,BELFA,39.0,42.9999,39.0,42.58,7327
2023-05-01,BELFA,42.0,44.25,42.0,43.91,4773
2023-05-02,BELFA,43.5,44.5,43.34,44.49,7589
2023-05-03,BELFA,44.32,45.137,43.44,43.44,3059
2023-05-04,BELFA,42.32,42.32,42.3,42.3,891
2023-05-05,BELFA,44.3784,44.3784,44.3784,44.3784,368
2023-05-08,BELFA,42.92,42.94,42.8714,42.94,1268
2023-05-09,BELFA,43.42,44.6,43.19,44.0,3248
2023-05-10,BELFA,43.14,44.82,43.14,44.7,1563
2023-05-12,BELFA,45.0,45.63,44.25,44.25,2035
2023-05-15,BELFA,44.0,44.0,43.6199,43.9,2270
2023-05-16,BELFA,43.96,43.99,43.88,43.99,1050
2023-05-17,BELFA,45.9527,45.9527,43.7,44.12,9920
2023-05-18,BELFA,44.43,44.43,43.57,43.7,1264
2023-05-19,BELFA,43.7,44.4,43.7,44.4,2282
2023-05-22,BELFA,44.09,45.91,43.86,45.91,4478
2023-05-23,BELFA,45.12,45.55,44.52,44.52,1497
2023-05-24,BELFA,44.5,45.0,44.5,44.58,1918
2023-05-25,BELFA,43.39,45.15,42.7002,44.52,10921
2023-05-26,BELFA,45.5001,46.9899,45.5001,46.9899,2433
2023-05-30,BELFA,48.45,49.18,46.98,46.98,8989
2023-05-31,BELFA,45.3501,45.3501,45.3081,45.3081,1952
2023-06-01,BELFA,46.35,47.83,46.35,47.64,1573
2023-06-02,BELFA,48.27,49.45,48.27,48.75,7445
2023-06-05,BELFA,48.75,49.75,48.0,49.45,5642
2023-06-06,BELFA,48.67,51.97,48.67,51.3826,5548
2023-06-07,BELFA,52.4,54.32,52.3043,53.95,8004
2023-06-08,BELFA,53.28,54.68,53.28,54.68,8481
2023-06-09,BELFA,54.68,55.0,52.9,53.01,6148
2023-06-12,BELFA,53.91,56.0,53.83,54.96,5672
2023-06-13,BELFA,55.36,56.56,54.98,55.73,8467
