Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BIDU,81.06,81.4,78.86,79.48,3183061.0
2022-11-10,BIDU,83.78,86.22,82.29,86.11,3620766.0
2022-11-11,BIDU,88.76,89.92,86.5,89.46,3587437.0
2022-11-14,BIDU,91.18,92.82,89.47,91.45,2812915.0
2022-11-15,BIDU,97.63,101.8139,96.18,99.7,6126545.0
2022-11-16,BIDU,98.69,98.84,94.04,94.75,2967321.0
2022-11-17,BIDU,91.52,99.89,91.4125,99.58,3624044.0
2022-11-18,BIDU,95.61,97.96,95.0,95.97,2954754.0
2022-11-21,BIDU,94.0,95.565,92.94,94.56,2669885.0
2022-11-22,BIDU,93.04,97.945,91.88,95.08,4005018.0
2022-11-23,BIDU,96.16,98.68,95.27,97.0,3442465.0
2022-11-25,BIDU,93.51,95.41,93.11,93.36,1991505.0
2022-11-28,BIDU,92.78,97.13,92.78,94.64,2299038.0
2022-11-29,BIDU,100.0,102.88,99.25,99.64,4238904.0
2022-11-30,BIDU,104.99,109.88,104.63,108.6,7073554.0
2022-12-01,BIDU,107.5,110.0,106.58,108.67,2828817.0
2022-12-02,BIDU,107.81,115.08,106.88,113.8,3867168.0
2022-12-05,BIDU,119.27,121.48,116.43,116.92,7118101.0
2022-12-06,BIDU,118.81,119.88,116.2749,117.33,3244030.0
2022-12-07,BIDU,113.32,115.9,112.77,114.58,2662209.0
2022-12-08,BIDU,119.92,121.88,119.05,120.33,4337380.0
2022-12-09,BIDU,123.26,124.11,119.585,119.99,3470483.0
2022-12-12,BIDU,117.48,117.7,113.65,116.6,3440755.0
2022-12-13,BIDU,121.04,121.805,117.12,119.16,3848562.0
2022-12-14,BIDU,119.46,120.35,117.53,119.22,2527860.0
2022-12-15,BIDU,120.96,121.82,112.67,113.7,4063130.0
2022-12-16,BIDU,114.35,115.8799,112.33,112.59,13024757.0
2022-12-19,BIDU,114.14,114.6,111.19,112.08,2059607.0
2022-12-20,BIDU,107.3,110.71,107.23,108.11,2301912.0
2022-12-21,BIDU,108.37,113.38,107.39,113.29,1700435.0
2022-12-22,BIDU,114.0,115.46,111.46,112.74,1977220.0
2022-12-23,BIDU,113.88,114.25,111.52,111.61,1221825.0
2022-12-27,BIDU,113.1,117.5,112.48,116.48,2668445.0
2022-12-28,BIDU,114.09,115.53,109.88,111.6,1983757.0
2022-12-29,BIDU,112.81,116.06,111.3,115.1,1454617.0
2022-12-30,BIDU,113.49,116.5,113.15,114.38,1727642.0
2023-01-03,BIDU,118.86,122.55,118.04,119.13,2723552.0
2023-01-04,BIDU,126.535,132.29,125.1392,131.76,5806249.0
2023-01-05,BIDU,128.33,134.17,127.2,132.53,3080517.0
2023-01-06,BIDU,130.91,133.62,129.11,133.06,2537714.0
2023-01-09,BIDU,135.79,136.0432,131.36,133.39,2499683.0
2023-01-10,BIDU,133.61,135.6,133.07,134.75,1320946.0
2023-01-11,BIDU,136.58,138.9,134.51,138.62,2622989.0
2023-01-12,BIDU,137.01,137.98,133.97,136.52,1567436.0
2023-01-13,BIDU,135.4,139.03,135.3,138.98,2259441.0
2023-01-17,BIDU,135.46,135.46,128.65,130.62,5093336.0
2023-01-18,BIDU,131.49,131.8,125.77,125.92,3435910.0
2023-01-19,BIDU,126.975,130.12,126.81,128.18,1996946.0
