Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BKD,4.3,4.33,4.13,4.24,3067894.0
2022-11-10,BKD,4.36,4.59,4.295,4.59,2022474.0
2022-11-11,BKD,4.61,4.9,4.6,4.88,2141181.0
2022-11-14,BKD,4.88,5.07,4.87,4.89,1420543.0
2022-11-15,BKD,4.99,5.035,4.85,4.92,910257.0
2022-11-16,BKD,4.25,4.35,3.27,3.29,27178660.0
2022-11-17,BKD,3.2,3.22,2.88,3.11,22869347.0
2022-11-18,BKD,3.2,3.29,3.1,3.14,4332721.0
2022-11-21,BKD,3.09,3.235,3.04,3.19,4386425.0
2022-11-22,BKD,3.16,3.265,3.15,3.17,1954346.0
2022-11-23,BKD,3.19,3.22,3.11,3.2,2836564.0
2022-11-25,BKD,3.2,3.25,3.13,3.14,578014.0
2022-11-28,BKD,3.11,3.13,2.87,2.93,4617074.0
2022-11-29,BKD,2.97,2.97,2.88,2.92,2617161.0
2022-11-30,BKD,2.93,3.15,2.85,3.15,4290723.0
2022-12-01,BKD,3.13,3.17,3.05,3.17,3365144.0
2022-12-02,BKD,3.15,3.36,3.15,3.34,5713003.0
2022-12-05,BKD,3.31,3.42,3.295,3.34,3474058.0
2022-12-06,BKD,3.34,3.34,3.005,3.07,4674034.0
2022-12-07,BKD,3.06,3.14,2.99,3.0,3874240.0
2022-12-08,BKD,2.99,3.02,2.92,3.0,1611158.0
2022-12-09,BKD,2.99,2.99,2.85,2.88,4007695.0
2022-12-12,BKD,2.86,2.89,2.675,2.7,4644005.0
2022-12-13,BKD,2.81,2.875,2.73,2.8,2466630.0
2022-12-14,BKD,2.8,2.88,2.775,2.81,1826949.0
2022-12-15,BKD,2.76,2.79,2.725,2.75,1947858.0
2022-12-16,BKD,2.68,2.87,2.63,2.83,3544201.0
2022-12-19,BKD,2.77,2.78,2.66,2.68,1125062.0
2022-12-20,BKD,2.61,2.795,2.61,2.77,2710109.0
2022-12-21,BKD,2.81,2.855,2.75,2.76,890640.0
2022-12-22,BKD,2.75,2.78,2.62,2.73,1223092.0
2022-12-23,BKD,2.7,2.74,2.7,2.71,654833.0
2022-12-27,BKD,2.7,2.78,2.625,2.73,1736068.0
2022-12-28,BKD,2.74,2.74,2.67,2.72,1886669.0
2022-12-29,BKD,2.71,2.795,2.69,2.75,1776608.0
2022-12-30,BKD,2.72,2.77,2.69,2.73,1828306.0
2023-01-03,BKD,2.77,2.83,2.67,2.75,1309552.0
2023-01-04,BKD,2.79,2.875,2.67,2.78,8103635.0
2023-01-05,BKD,2.79,2.85,2.73,2.85,1988028.0
2023-01-06,BKD,2.88,2.93,2.83,2.88,1362983.0
2023-01-09,BKD,2.93,2.98,2.8565,2.9,1333303.0
2023-01-10,BKD,2.92,2.92,2.86,2.9,934287.0
2023-01-11,BKD,2.93,2.945,2.87,2.9,862918.0
