Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,BLEU,9.95,9.97,9.95,9.97,29326.0
2022-11-11,BLEU,9.96,9.96,9.96,9.96,115.0
2022-11-14,BLEU,9.96,9.985,9.96,9.97,8328.0
2022-11-15,BLEU,9.97,9.97,9.965,9.965,2320.0
2022-11-16,BLEU,9.97,9.97,9.97,9.97,1547.0
2022-11-17,BLEU,9.97,9.97,9.97,9.97,2326.0
2022-11-18,BLEU,9.97,10.01,9.97,9.97,12310.0
2022-11-21,BLEU,9.97,9.98,9.97,9.97,150150.0
2022-11-22,BLEU,9.98,9.98,9.975,9.975,25718.0
2022-11-23,BLEU,9.99,9.99,9.97,9.97,87837.0
2022-11-28,BLEU,9.99,9.99,9.99,9.99,194.0
2022-11-29,BLEU,9.99,10.0,9.99,9.99,1217868.0
2022-11-30,BLEU,9.99,9.995,9.99,9.99,668756.0
2022-12-01,BLEU,9.99,10.0,9.99,10.0,172905.0
2022-12-02,BLEU,10.0,10.0,10.0,10.0,29574.0
2022-12-05,BLEU,10.0,10.01,10.0,10.01,3572.0
2022-12-07,BLEU,10.015,10.015,10.0,10.0,39005.0
2022-12-08,BLEU,10.03,10.03,10.03,10.03,433.0
2022-12-09,BLEU,10.01,10.01,10.0,10.005,46935.0
2022-12-14,BLEU,10.02,10.02,10.02,10.02,19664.0
2022-12-15,BLEU,10.04,10.04,10.02,10.03,129131.0
2022-12-16,BLEU,10.03,10.03,10.03,10.03,4380.0
2022-12-19,BLEU,10.04,10.04,10.04,10.04,151.0
2022-12-20,BLEU,10.03,10.03,10.03,10.03,839.0
2022-12-21,BLEU,10.05,10.05,10.04,10.04,4200.0
2022-12-23,BLEU,10.04,10.04,10.04,10.04,35569.0
2022-12-27,BLEU,10.08,10.08,10.04,10.04,204.0
2022-12-28,BLEU,10.06,10.06,10.04,10.04,20156.0
2022-12-29,BLEU,10.06,10.06,10.04,10.04,765665.0
2022-12-30,BLEU,10.06,10.06,10.06,10.06,176.0
2023-01-03,BLEU,10.07,10.07,10.04,10.04,2304.0
2023-01-04,BLEU,10.05,10.05,10.05,10.05,25100.0
2023-01-05,BLEU,10.05,10.05,10.05,10.05,543805.0
2023-01-09,BLEU,10.055,10.06,10.055,10.06,28800.0
2023-01-10,BLEU,10.06,10.08,10.06,10.08,6327.0
2023-01-11,BLEU,10.05,10.085,10.05,10.08,1734813.0
2023-01-12,BLEU,10.09,10.09,10.07,10.07,55799.0
2023-01-13,BLEU,10.1,10.1,10.07,10.07,2010.0
2023-01-19,BLEU,10.11,10.11,10.09,10.11,103181.0
2023-01-23,BLEU,10.095,10.095,10.09,10.09,7337.0
2023-01-24,BLEU,10.09,10.1,10.09,10.1,2402.0
2023-01-25,BLEU,10.1,10.105,10.1,10.1,575439.0
2023-01-26,BLEU,10.11,10.12,10.1,10.12,661576.0
2023-01-27,BLEU,10.11,10.11,10.11,10.11,1575316.0
2023-01-31,BLEU,10.11,10.11,10.11,10.11,1100380.0
2023-02-01,BLEU,10.12,10.12,10.12,10.12,6175.0
2023-02-02,BLEU,10.135,10.14,10.13,10.135,102018.0
2023-02-06,BLEU,10.13,10.15,10.13,10.15,32024.0
2023-02-07,BLEU,10.15,10.15,10.15,10.15,345.0
2023-02-08,BLEU,10.15,10.15,10.145,10.15,25366.0
2023-02-09,BLEU,10.135,10.14,10.135,10.14,1490.0
2023-02-13,BLEU,10.14,10.145,10.14,10.145,3740.0
2023-02-15,BLEU,10.14,10.1435,10.14,10.1435,500392.0
2023-02-16,BLEU,10.15,10.15,10.15,10.15,1058.0
2023-02-17,BLEU,10.145,10.145,10.14,10.14,2187.0
2023-02-21,BLEU,10.15,10.15,10.15,10.15,429.0
2023-02-22,BLEU,10.15,10.15,10.15,10.15,206151.0
2023-02-23,BLEU,10.15,10.16,10.145,10.16,215366.0
2023-02-24,BLEU,10.16,10.16,10.15,10.16,56310.0
2023-02-27,BLEU,10.16,10.16,10.16,10.16,155.0
2023-03-01,BLEU,10.175,10.19,10.14,10.15,38193.0
2023-03-02,BLEU,10.15,10.15,10.15,10.15,54810.0
2023-03-03,BLEU,10.19,10.2,10.19,10.2,1877.0
2023-03-06,BLEU,10.2,10.2,10.17,10.17,3588.0
