Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BMRA,3.09,3.1891,3.025,3.04,14720.0
2022-11-10,BMRA,3.08,3.18,3.08,3.1,11764.0
2022-11-11,BMRA,3.15,3.26,3.15,3.21,18762.0
2022-11-14,BMRA,3.14,3.3,3.14,3.21,19756.0
2022-11-15,BMRA,3.19,3.35,3.175,3.32,28038.0
2022-11-16,BMRA,3.35,3.59,3.275,3.55,30516.0
2022-11-17,BMRA,3.5,3.75,3.43,3.74,29334.0
2022-11-18,BMRA,3.78,3.8,3.67,3.67,24882.0
2022-11-21,BMRA,3.65,3.99,3.588,3.96,56762.0
2022-11-22,BMRA,3.96,4.1,3.9201,4.05,52550.0
2022-11-23,BMRA,4.05,4.1,3.8301,4.07,23106.0
2022-11-25,BMRA,4.06,4.17,4.021,4.17,21112.0
2022-11-28,BMRA,4.15,4.15,3.97,4.0,14853.0
2022-11-29,BMRA,3.92,3.99,3.63,3.63,18579.0
2022-11-30,BMRA,3.51,3.61,3.375,3.48,41424.0
2022-12-01,BMRA,3.45,3.7426,3.445,3.7,29820.0
2022-12-02,BMRA,3.7348,4.04,3.58,3.77,34348.0
2022-12-05,BMRA,3.82,3.93,3.75,3.81,19030.0
2022-12-06,BMRA,3.8043,3.99,3.7601,3.805,22350.0
2022-12-07,BMRA,3.75,3.85,3.6801,3.74,17995.0
2022-12-08,BMRA,3.82,4.0,3.8,3.845,51587.0
2022-12-09,BMRA,3.9252,3.9252,3.85,3.88,7795.0
2022-12-12,BMRA,3.874,3.88,3.79,3.865,19345.0
2022-12-13,BMRA,3.81,3.88,3.65,3.74,22455.0
2022-12-14,BMRA,3.846,3.846,3.5653,3.6,18504.0
2022-12-15,BMRA,3.6,3.74,3.52,3.52,21922.0
2022-12-16,BMRA,3.56,3.59,3.48,3.49,18459.0
2022-12-19,BMRA,3.515,3.6,3.4745,3.51,27571.0
2022-12-20,BMRA,3.5,3.61,3.5,3.56,10705.0
2022-12-21,BMRA,3.5748,3.64,3.55,3.59,48957.0
2022-12-22,BMRA,3.55,3.74,3.55,3.68,19406.0
2022-12-23,BMRA,3.68,3.75,3.62,3.71,9446.0
2022-12-27,BMRA,3.67,3.8,3.6233,3.66,21000.0
2022-12-28,BMRA,3.635,3.7,3.46,3.46,38222.0
2022-12-29,BMRA,3.54,3.54,3.3,3.3,38214.0
2022-12-30,BMRA,3.3,3.45,3.275,3.35,34098.0
2023-01-03,BMRA,3.475,3.49,3.38,3.43,38390.0
2023-01-04,BMRA,3.57,3.58,3.4301,3.56,13232.0
2023-01-05,BMRA,3.511,3.5115,3.402,3.4453,25436.0
2023-01-06,BMRA,3.43,3.49,3.32,3.36,27957.0
2023-01-09,BMRA,3.33,3.46,3.33,3.4,41568.0
2023-01-10,BMRA,3.46,3.54,3.4348,3.54,8377.0
2023-01-11,BMRA,3.54,3.54,3.04,3.05,80041.0
2023-01-12,BMRA,3.12,3.27,2.95,2.95,45700.0
2023-01-13,BMRA,3.1,3.1994,2.95,3.0,42804.0
2023-01-17,BMRA,2.98,3.0779,2.93,2.96,32974.0
2023-01-18,BMRA,3.0,3.04,2.99,2.99,24851.0
2023-01-19,BMRA,3.01,3.03,2.97,3.0,2925.0
2023-01-20,BMRA,3.0,3.0,2.9,2.9,14919.0
2023-01-23,BMRA,2.93,2.93,2.8401,2.865,23940.0
2023-01-24,BMRA,2.82,2.85,2.8,2.8,29015.0
2023-01-25,BMRA,2.7,2.92,2.7,2.92,42960.0
2023-01-26,BMRA,2.92,3.0,2.915,3.0,43794.0
2023-01-27,BMRA,3.0,3.0003,2.85,2.9,33831.0
2023-01-30,BMRA,2.8428,2.9999,2.8428,2.93,22884.0
2023-01-31,BMRA,3.0,3.1399,3.0,3.0,37251.0
2023-02-01,BMRA,2.89,3.0794,2.8,2.96,35611.0
2023-02-02,BMRA,2.9708,3.02,2.93,2.95,14101.0
2023-02-03,BMRA,2.975,3.0,2.9501,2.96,8319.0
2023-02-06,BMRA,2.9219,2.98,2.83,2.83,39940.0
2023-02-07,BMRA,2.88,2.88,2.84,2.87,25507.0
2023-02-08,BMRA,2.87,2.88,2.86,2.87,11267.0
2023-02-09,BMRA,2.85,2.9518,2.85,2.91,33192.0
2023-02-10,BMRA,2.9,2.95,2.895,2.92,14700.0
2023-02-13,BMRA,2.88,2.92,2.85,2.9,35057.0
2023-02-14,BMRA,2.855,2.92,2.85,2.89,13362.0
2023-02-15,BMRA,2.9253,2.945,2.89,2.945,12514.0
2023-02-16,BMRA,2.9713,2.99,2.9301,2.98,20855.0
2023-02-17,BMRA,2.9709,3.06,2.96,2.97,40940.0
2023-02-21,BMRA,3.0199,3.0199,2.93,2.93,6802.0
2023-02-22,BMRA,2.86,2.93,2.84,2.84,21820.0
2023-02-23,BMRA,2.86,2.91,2.71,2.71,29516.0
2023-02-24,BMRA,2.67,2.77,2.6201,2.68,20732.0
2023-02-27,BMRA,2.65,2.73,2.65,2.67,14175.0
2023-02-28,BMRA,2.6635,2.73,2.6635,2.7,18660.0
2023-03-01,BMRA,2.67,2.77,2.6501,2.69,11703.0
2023-03-02,BMRA,2.78,2.78,2.74,2.78,19857.0
2023-03-03,BMRA,2.5,2.5,2.25,2.25,513021.0
2023-03-06,BMRA,2.25,2.3974,2.25,2.25,72764.0
2023-03-07,BMRA,2.25,2.3437,2.25,2.29,32615.0
2023-03-08,BMRA,2.33,2.48,2.33,2.4,35340.0
2023-03-09,BMRA,2.4,2.4,2.35,2.38,9611.0
2023-03-10,BMRA,2.4237,2.4237,2.28,2.31,17932.0
2023-03-13,BMRA,2.47,2.47,2.2901,2.38,28322.0
2023-03-14,BMRA,2.31,2.4,2.3078,2.31,29673.0
2023-03-15,BMRA,2.2763,2.36,2.25,2.26,21334.0
2023-03-16,BMRA,2.3,2.3,2.25,2.3,8685.0
2023-03-17,BMRA,2.2532,2.3,2.2501,2.26,12061.0
2023-03-20,BMRA,2.29,2.295,2.26,2.26,4928.0
2023-03-21,BMRA,2.31,2.31,2.23,2.23,7871.0
2023-03-22,BMRA,2.2,2.205,1.835,1.86,232105.0
2023-03-23,BMRA,1.86,2.1099,1.86,1.92,42254.0
2023-03-24,BMRA,1.87,1.99,1.87,1.98,7823.0
2023-03-27,BMRA,1.98,1.99,1.94,1.99,10083.0
2023-03-28,BMRA,1.94,1.9899,1.85,1.87,43899.0
2023-03-29,BMRA,1.85,1.92,1.85,1.88,18198.0
2023-03-30,BMRA,1.88,1.95,1.87,1.88,10132.0
2023-03-31,BMRA,1.86,1.92,1.82,1.87,12301.0
2023-04-03,BMRA,1.85,1.88,1.815,1.85,17485.0
2023-04-04,BMRA,1.82,1.87,1.75,1.79,46530.0
2023-04-05,BMRA,1.8,1.81,1.71,1.74,62356.0
2023-04-06,BMRA,1.74,1.76,1.703,1.74,76079.0
2023-04-10,BMRA,1.71,1.85,1.71,1.8,16006.0
2023-04-11,BMRA,1.83,1.8899,1.83,1.87,7920.0
2023-04-12,BMRA,1.825,1.8458,1.73,1.73,10458.0
2023-04-13,BMRA,1.7301,1.8,1.72,1.72,19772.0
2023-04-14,BMRA,1.72,1.79,1.675,1.679,26530.0
2023-04-17,BMRA,1.66,1.79,1.62,1.73,67911.0
2023-04-18,BMRA,1.65,1.75,1.65,1.65,18882.0
2023-04-19,BMRA,1.65,1.73,1.65,1.68,21456.0
2023-04-20,BMRA,1.67,1.7,1.67,1.67,10036.0
2023-04-21,BMRA,1.685,1.77,1.685,1.73,29222.0
2023-04-24,BMRA,1.72,1.72,1.18,1.3401,124460.0
2023-04-25,BMRA,1.35,1.44,1.2701,1.31,68371.0
2023-04-26,BMRA,1.27,1.3,1.1801,1.24,174521.0
2023-04-27,BMRA,1.24,1.34,1.24,1.3,57511.0
2023-04-28,BMRA,1.2998,1.3611,1.27,1.33,98786.0
2023-05-01,BMRA,1.3,1.39,1.3,1.35,8028.0
2023-05-02,BMRA,1.355,1.3799,1.325,1.35,20466.0
2023-05-03,BMRA,1.35,1.41,1.31,1.33,18228.0
2023-05-04,BMRA,1.31,1.41,1.31,1.38,32056.0
2023-05-05,BMRA,1.3901,1.47,1.39,1.45,36757.0
2023-05-08,BMRA,1.41,1.4899,1.34,1.34,28352.0
2023-05-09,BMRA,1.36,1.36,1.29,1.29,26489.0
2023-05-10,BMRA,1.2801,1.3,1.25,1.25,8314.0
2023-05-11,BMRA,1.25,1.35,1.215,1.22,40131.0
2023-05-12,BMRA,1.17,1.2486,1.11,1.12,21599.0
2023-05-15,BMRA,1.14,1.35,1.08,1.25,122609.0
2023-05-16,BMRA,1.2,1.21,1.17,1.17,33600.0
2023-05-17,BMRA,1.25,1.35,1.1816,1.2,27340.0
