Date,Ticker,Open,High,Low,Close,Volume
2023-12-15,BNZI,375.0,407.0,295.0,324.5,1635.5
2023-12-18,BNZI,350.0,360.0,278.0,306.5,9231.3
2023-12-19,BNZI,250.0,316.0,225.0,233.25,2344.18
2023-12-20,BNZI,209.5,222.36,159.5,189.0,1667.58
2023-12-21,BNZI,163.5,217.5,163.5,180.0,6277.88
2023-12-22,BNZI,181.5,194.0,167.5,173.5,4058.78
2023-12-26,BNZI,167.5,167.5,117.0,131.75,4824.78
2023-12-27,BNZI,135.5,136.5,105.5,108.5,6429.4
2023-12-28,BNZI,110.0,117.0,102.5,108.0,4182.48
2023-12-29,BNZI,101.5,110.5,92.5,94.0,4823.02
2024-01-02,BNZI,97.5,100.0,79.0,80.0,2678.3
2024-01-03,BNZI,80.0,112.0,73.0,82.5,31679.7
2024-01-04,BNZI,73.5,88.0,73.5,83.0,6015.22
2024-01-05,BNZI,153.5,177.5,116.5,128.5,1441937.74
2024-01-08,BNZI,111.5,114.5,96.5,106.0,20843.58
2024-01-09,BNZI,98.5,106.5,91.5,99.5,8102.02
2024-01-10,BNZI,100.0,102.5,88.0,98.0,5074.68
2024-01-11,BNZI,100.0,119.5,93.5,113.5,16975.58
2024-01-12,BNZI,110.5,117.0,101.5,102.005,3637.46
2024-01-16,BNZI,107.0,107.0,93.0,96.0,3295.66
2024-01-17,BNZI,93.0,93.0,81.0,82.5,2936.36
2024-01-18,BNZI,81.5,92.0,77.5,85.5,13826.46
2024-01-19,BNZI,85.5,90.16,79.0,80.5,8289.24
2024-01-22,BNZI,84.5,84.5,80.0,81.0,2362.14
2024-01-23,BNZI,79.0,83.495,77.5,78.5,960.18
2024-01-24,BNZI,79.5,81.5,77.5,79.0,1371.62
2024-01-25,BNZI,82.5,82.5,78.0,80.5,1217.02
2024-01-26,BNZI,79.5,82.0,77.5,78.9,997.08
2024-01-29,BNZI,80.5,81.985,78.3,80.0,575.3
2024-01-30,BNZI,85.0,85.525,78.905,81.0,1243.82
2024-01-31,BNZI,78.505,82.57,78.505,80.0,400.04
2024-02-01,BNZI,80.5,83.5,78.505,79.0,2281.98
2024-02-02,BNZI,82.5,83.5,77.5,78.0,3110.02
2024-02-05,BNZI,77.5,80.5,77.5,77.6,730.7
2024-02-06,BNZI,75.5,80.0,71.71,73.0,1883.06
2024-02-07,BNZI,73.0,75.0,73.0,73.105,402.06
2024-02-08,BNZI,75.0,79.995,72.0,72.5,1443.5
2024-02-09,BNZI,73.5,74.555,70.0,72.5,1290.74
2024-02-12,BNZI,76.0,76.0,70.5,73.495,1085.2
2024-02-13,BNZI,71.5,75.5,65.87,70.0,1475.36
2024-02-14,BNZI,70.5,70.5,66.5,67.0,774.9
2024-02-15,BNZI,66.5,71.145,65.985,66.14,577.48
2024-02-16,BNZI,66.5,67.66,63.5,63.5,412.14
2024-02-20,BNZI,66.5,66.5,48.5,48.5,3884.42
2024-02-21,BNZI,46.0,48.05,38.0,41.5,4317.58
2024-02-22,BNZI,43.5,51.5,40.5,49.205,11835.82
2024-02-23,BNZI,44.925,46.21,38.25,40.0,5065.62
2024-02-26,BNZI,37.5,40.0,36.5,37.55,23106.88
2024-02-27,BNZI,36.385,37.455,33.6,34.4,5298.8
2024-02-28,BNZI,35.075,37.0,34.0,36.45,3288.98
2024-02-29,BNZI,35.9,37.5,34.0,36.05,2835.7
2024-03-01,BNZI,38.6,38.6,35.05,35.55,1865.26
2024-03-04,BNZI,36.34,37.0,35.0,35.0,2196.94
2024-03-05,BNZI,36.21,42.5,35.625,40.55,8782.14
2024-03-06,BNZI,43.5,47.5,38.0,39.45,33060.36
2024-03-07,BNZI,40.5,41.5,35.005,37.25,15662.24
2024-03-08,BNZI,36.18,40.0,36.035,37.05,25321.94
2024-03-11,BNZI,37.0,37.5,32.575,34.8,25055.84
2024-03-12,BNZI,35.85,39.99,34.0,34.5,20395.42
2024-03-13,BNZI,33.5,38.0,30.275,34.5,20124.64
2024-03-14,BNZI,33.5,37.495,32.79,34.95,18406.7
2024-03-15,BNZI,34.005,36.0,31.15,33.09,14050.04
2024-03-18,BNZI,32.565,33.0,29.505,31.2,10396.74
2024-03-19,BNZI,30.875,31.25,29.5555,30.82,12224.66
2024-03-20,BNZI,30.6,33.96,29.855,32.875,28137.38
2024-03-21,BNZI,37.035,37.5,30.85,33.45,21883.8
2024-03-22,BNZI,33.785,34.5,30.645,31.5,7608.88
2024-03-25,BNZI,29.86,30.15,28.12,29.15,11703.14
2024-03-26,BNZI,28.435,32.5,28.4,31.0,5835.0
2024-03-27,BNZI,30.725,32.0,29.0,30.5,2284.3
2024-03-28,BNZI,31.45,32.05,29.603,30.55,4125.72
2024-04-01,BNZI,30.55,30.55,26.0,26.95,15089.02
2024-04-02,BNZI,26.85,27.2925,22.965,25.25,9703.24
2024-04-03,BNZI,24.495,24.75,23.25,23.8725,2930.06
2024-04-04,BNZI,24.0,27.5,23.87,25.45,4611.34
2024-04-05,BNZI,25.995,25.995,23.5,25.495,1915.12
2024-04-08,BNZI,26.25,27.295,24.505,25.515,3180.68
2024-04-09,BNZI,26.45,26.45,25.0,25.45,1768.9
2024-04-10,BNZI,25.0,25.45,24.04,24.995,2396.58
2024-04-11,BNZI,24.245,24.5,23.105,23.405,1748.98
2024-04-12,BNZI,23.3,24.0,21.06,21.865,7723.94
2024-04-15,BNZI,21.985,21.985,19.0,19.75,3286.2
2024-04-16,BNZI,19.95,19.995,18.005,18.825,3253.96
2024-04-17,BNZI,19.5,20.0,18.5,19.45,2636.48
2024-04-18,BNZI,19.4,20.0,18.205,18.5,3448.52
2024-04-19,BNZI,18.255,19.945,17.555,18.28,1866.0
2024-04-22,BNZI,18.7,19.94,18.0,18.25,5698.76
2024-04-23,BNZI,17.085,17.5,15.3,17.35,19779.32
2024-04-24,BNZI,16.83,17.5,15.665,16.485,3141.36
2024-04-25,BNZI,16.01,18.0,16.01,17.5,3723.6
2024-04-26,BNZI,17.5,17.975,16.5,17.86,5195.44
2024-04-29,BNZI,17.905,20.5,16.56,19.33,6550.58
2024-04-30,BNZI,18.89,19.9,17.75,19.9,2201.8
2024-05-01,BNZI,18.61,19.755,17.5,19.65,4239.04
2024-05-02,BNZI,18.99,18.995,18.0,18.4326,7274.12
2024-05-03,BNZI,19.3,19.3,16.56,17.025,4613.18
2024-05-06,BNZI,16.9,17.47,15.75,16.06,3944.72
2024-05-07,BNZI,15.58,16.495,15.4,15.465,1305.8
2024-05-08,BNZI,15.95,16.115,14.5,15.06,4684.68
2024-05-09,BNZI,15.85,16.45,15.0,15.56,1805.0
2024-05-10,BNZI,15.3725,17.955,14.25,16.8,7899.24
2024-05-13,BNZI,16.5,17.955,15.0,15.7,9738.36
2024-05-14,BNZI,15.75,16.43,14.595,14.65,10787.24
2024-05-15,BNZI,15.25,16.25,14.5,15.9,6202.56
2024-05-16,BNZI,16.0,16.95,15.55,15.8,2660.72
