Date,Ticker,Open,High,Low,Close,Volume
2023-12-15,BNZIW,0.04,0.04,0.0325,0.0325,6280
2023-12-18,BNZIW,0.045,0.0499,0.035,0.036,56625
2023-12-19,BNZIW,0.0375,0.04,0.0375,0.04,3107
2023-12-20,BNZIW,0.0499,0.0499,0.04,0.045,9549
2023-12-21,BNZIW,0.04,0.05,0.04,0.05,500
2023-12-26,BNZIW,0.036,0.040501,0.036,0.040501,2741
2023-12-27,BNZIW,0.0361,0.0361,0.036,0.036,1449
2023-12-28,BNZIW,0.042,0.042,0.036,0.036,3300
2023-12-29,BNZIW,0.036,0.0975,0.036,0.0459,5900
2024-01-02,BNZIW,0.0499,0.0499,0.0499,0.0499,132
2024-01-03,BNZIW,0.05,0.05,0.036,0.0499,1711
2024-01-05,BNZIW,0.0649,0.0747,0.0491,0.0491,65297
2024-01-08,BNZIW,0.049,0.049,0.049,0.049,4015
2024-01-11,BNZIW,0.0697,0.0697,0.0697,0.0697,100
2024-01-12,BNZIW,0.069101,0.0794,0.0373,0.0794,4337
2024-01-16,BNZIW,0.0377,0.0378,0.0377,0.0378,10799
2024-01-22,BNZIW,0.0601,0.0601,0.055,0.055,74310
2024-01-23,BNZIW,0.055,0.055,0.055,0.055,12865
2024-01-24,BNZIW,0.0625,0.0626,0.0625,0.0626,400
2024-01-25,BNZIW,0.06,0.0651,0.06,0.0651,11084
2024-01-26,BNZIW,0.0749,0.075,0.0749,0.075,14269
2024-01-29,BNZIW,0.0795,0.0851,0.0795,0.085,16927
2024-01-30,BNZIW,0.16,0.16,0.16,0.16,869
2024-01-31,BNZIW,0.085,0.0875,0.085,0.0874,6133
2024-02-13,BNZIW,0.0938,0.0938,0.0938,0.0938,1000
2024-02-14,BNZIW,0.075,0.075,0.0501,0.065,8310
2024-02-15,BNZIW,0.088,0.088,0.05,0.05,50373
2024-02-20,BNZIW,0.0501,0.0501,0.0501,0.0501,119
2024-02-21,BNZIW,0.0503,0.0503,0.036,0.0364,4565
2024-02-23,BNZIW,0.0301,0.0897,0.0301,0.0401,10898
2024-02-26,BNZIW,0.04,0.04,0.04,0.04,1145
2024-02-27,BNZIW,0.04,0.04,0.04,0.04,1133
2024-02-28,BNZIW,0.04,0.04,0.04,0.04,620
2024-03-01,BNZIW,0.04,0.04,0.04,0.04,606
2024-03-04,BNZIW,0.04,0.04,0.032,0.0321,5603
2024-03-05,BNZIW,0.032,0.032,0.032,0.032,1266
2024-03-06,BNZIW,0.033,0.03645,0.033,0.033,9158
2024-03-07,BNZIW,0.033,0.033,0.033,0.033,5131
2024-03-11,BNZIW,0.0363,0.0367,0.02,0.021,107383
2024-03-15,BNZIW,0.023,0.0356,0.021,0.0356,75363
2024-03-19,BNZIW,0.021,0.021,0.021,0.021,1001
2024-03-20,BNZIW,0.021,0.021,0.0185,0.0185,59920
2024-03-22,BNZIW,0.02,0.021,0.0195,0.02,76153
2024-03-25,BNZIW,0.018,0.0372,0.016,0.027,51725
2024-03-26,BNZIW,0.017,0.0238,0.016,0.016,105682
2024-03-28,BNZIW,0.0365,0.0365,0.0365,0.0365,127
2024-04-01,BNZIW,0.0365,0.0365,0.036499,0.0365,3278
2024-04-03,BNZIW,0.0161,0.02,0.0159,0.0191,36265
2024-04-05,BNZIW,0.02,0.02,0.0199,0.0199,1048
2024-04-08,BNZIW,0.035,0.035,0.0338,0.0338,246
2024-04-10,BNZIW,0.035,0.035,0.034,0.034,214
2024-04-11,BNZIW,0.03,0.03,0.03,0.03,400
2024-04-15,BNZIW,0.0317,0.032,0.0277,0.0277,500
2024-04-16,BNZIW,0.0161,0.0161,0.0161,0.0161,1500
2024-04-29,BNZIW,0.025,0.025,0.0226,0.0228,104663
2024-05-13,BNZIW,0.0181,0.02,0.0161,0.02,14472
2024-05-14,BNZIW,0.0173,0.0174,0.0161,0.0174,5777
2024-05-22,BNZIW,0.019551,0.019551,0.019551,0.019551,200
2024-05-28,BNZIW,0.0228,0.023,0.0228,0.023,2000
2024-05-29,BNZIW,0.027,0.027,0.027,0.027,1000
2024-05-30,BNZIW,0.02,0.02,0.02,0.02,203
2024-06-03,BNZIW,0.02,0.0201,0.0161,0.0161,25021
2024-06-06,BNZIW,0.017,0.017,0.0161,0.017,2509
2024-06-07,BNZIW,0.017,0.017,0.016,0.0161,111720
2024-06-10,BNZIW,0.0161,0.0161,0.016,0.016,28827
2024-06-11,BNZIW,0.0228,0.033,0.0151,0.016,94289
2024-06-12,BNZIW,0.016,0.016,0.016,0.016,18604
2024-06-13,BNZIW,0.0152,0.016,0.0151,0.0151,55458
2024-06-17,BNZIW,0.0151,0.0151,0.0151,0.0151,29588
2024-06-18,BNZIW,0.0329,0.0329,0.0305,0.0329,3100
2024-06-20,BNZIW,0.030101,0.030101,0.029653,0.0298,45570
2024-06-21,BNZIW,0.015277,0.0153,0.015277,0.0153,1170
2024-06-24,BNZIW,0.0328,0.0328,0.024,0.024,1130
