Date,Ticker,Open,High,Low,Close,Volume
2022-11-10,BOCNW,0.0799,0.08,0.0799,0.08,10000
2022-11-14,BOCNW,0.0501,0.0562,0.0501,0.0562,9000
2022-11-17,BOCNW,0.06,0.06,0.06,0.06,1050
2022-11-23,BOCNW,0.1,0.12,0.0987,0.1,3823
2022-12-05,BOCNW,0.09,0.1199,0.0501,0.09,12304
2022-12-06,BOCNW,0.0502,0.1145,0.0502,0.104,12336
2022-12-08,BOCNW,0.07,0.07,0.07,0.07,800
2022-12-09,BOCNW,0.07,0.07,0.07,0.07,10000
2022-12-28,BOCNW,0.0501,0.0501,0.048,0.048,171042
2022-12-30,BOCNW,0.075,0.075,0.075,0.075,10000
2023-01-04,BOCNW,0.0749,0.08,0.0749,0.08,822
2023-01-13,BOCNW,0.0601,0.0601,0.06,0.0601,27226
2023-01-19,BOCNW,0.0601,0.0601,0.06,0.0601,160244
2023-01-25,BOCNW,0.0701,0.0701,0.07,0.07,41854
2023-01-31,BOCNW,0.1,0.1,0.1,0.1,300
2023-02-06,BOCNW,0.08,0.08,0.08,0.08,104625
2023-02-10,BOCNW,0.085,0.09,0.085,0.09,2000
2023-02-14,BOCNW,0.0901,0.0925,0.09,0.0925,3100
2023-02-15,BOCNW,0.0901,0.0901,0.09,0.0901,4649
2023-02-17,BOCNW,0.09,0.09,0.09,0.09,8222
2023-02-21,BOCNW,0.09,0.0901,0.09,0.09,2700
2023-02-22,BOCNW,0.0901,0.0901,0.09,0.0901,800
2023-03-01,BOCNW,0.095,0.0999,0.09,0.0901,31399
2023-03-02,BOCNW,0.1,0.1,0.09,0.09,1639
2023-03-07,BOCNW,0.0901,0.0901,0.0901,0.0901,25000
2023-03-16,BOCNW,0.09,0.09,0.09,0.09,1280
2023-03-21,BOCNW,0.0901,0.0901,0.0901,0.0901,6476
2023-04-03,BOCNW,0.1001,0.1001,0.1,0.1001,2975
2023-04-06,BOCNW,0.1001,0.1001,0.1001,0.1001,25000
2023-04-10,BOCNW,0.1001,0.1001,0.1,0.1001,54027
2023-04-11,BOCNW,0.1001,0.1001,0.1001,0.1001,21375
2023-04-12,BOCNW,0.1,0.1001,0.1,0.1001,10921
2023-04-14,BOCNW,0.1,0.1,0.1,0.1,300
2023-04-17,BOCNW,0.1001,0.1001,0.1,0.1001,284031
2023-04-18,BOCNW,0.1001,0.1001,0.1001,0.1001,250
2023-04-19,BOCNW,0.1001,0.1001,0.1,0.1001,18669
2023-04-21,BOCNW,0.1,0.1,0.1,0.1,6431
2023-04-25,BOCNW,0.11,0.11,0.1099,0.1099,3252
2023-05-02,BOCNW,0.1001,0.1001,0.1001,0.1001,32883
2023-05-09,BOCNW,0.1001,0.1001,0.1001,0.1001,5500
2023-05-18,BOCNW,0.1001,0.1001,0.1001,0.1001,18567
2023-05-19,BOCNW,0.1001,0.1001,0.09,0.0901,125000
2023-05-22,BOCNW,0.0901,0.0901,0.0901,0.0901,113
2023-05-23,BOCNW,0.09,0.09,0.09,0.09,50995
2023-05-31,BOCNW,0.09,0.09,0.09,0.09,100
2023-06-06,BOCNW,0.1,0.3186,0.09,0.09,45048
2023-06-08,BOCNW,0.0901,0.0901,0.09,0.0901,11104
2023-06-14,BOCNW,0.091,0.091,0.09,0.09,797
2023-06-15,BOCNW,0.06,0.06,0.06,0.06,215
2023-06-16,BOCNW,0.0699,0.0699,0.05,0.05,62514
2023-06-20,BOCNW,0.0573,0.0687,0.0573,0.0687,405
2023-06-21,BOCNW,0.0734,0.0996,0.046,0.046,6682
2023-06-22,BOCNW,0.0461,0.046439,0.0461,0.046439,350
2023-06-26,BOCNW,0.046,0.046,0.04,0.04,2012
2023-06-28,BOCNW,0.0802,0.0802,0.07,0.07,515
2023-06-29,BOCNW,0.0533,0.0533,0.0431,0.0431,851
2023-07-07,BOCNW,0.048,0.0494,0.048,0.0494,911
2023-07-11,BOCNW,0.0532,0.0551,0.0454,0.0499,2204
2023-07-14,BOCNW,0.049,0.0998,0.048918,0.0712,5104
2023-07-17,BOCNW,0.081237,0.081237,0.0455,0.06,6312
2023-07-18,BOCNW,0.0655,0.0998,0.0464,0.05,83095
2023-07-19,BOCNW,0.0561,0.06,0.055,0.06,1655
2023-07-21,BOCNW,0.06,0.06,0.0508,0.06,21640
2023-07-24,BOCNW,0.0524,0.0524,0.0524,0.0524,110
2023-08-02,BOCNW,0.0707,0.0756,0.051,0.051,1907
2023-08-04,BOCNW,0.0579,0.0579,0.0303,0.0385,4102
2023-08-07,BOCNW,0.042,0.0747,0.035051,0.0373,6360
2023-08-08,BOCNW,0.036,0.037,0.035119,0.037,404
2023-08-09,BOCNW,0.0424,0.05,0.0371,0.0371,1684
2023-08-10,BOCNW,0.0415,0.0425,0.0376,0.0376,1702
2023-08-11,BOCNW,0.0378,0.0395,0.0378,0.0395,754
2023-08-15,BOCNW,0.0421,0.0421,0.0421,0.0421,100
2023-08-16,BOCNW,0.0475,0.0475,0.0475,0.0475,100
2023-08-23,BOCNW,0.0466,0.0466,0.0466,0.0466,170
2023-08-28,BOCNW,0.0482,0.052879,0.0482,0.052879,1318
2023-08-30,BOCNW,0.0684,0.0749,0.0503,0.0749,3400
2023-08-31,BOCNW,0.0547,0.0547,0.050047,0.050047,580
2023-09-05,BOCNW,0.0603,0.0603,0.055,0.055,324
2023-09-06,BOCNW,0.0574,0.0574,0.0574,0.0574,234
2023-09-11,BOCNW,0.0534,0.0534,0.0528,0.0528,324
2023-09-12,BOCNW,0.0511,0.0511,0.05,0.0509,11140
2023-09-14,BOCNW,0.0464,0.0465,0.0464,0.0465,400
2023-09-18,BOCNW,0.0496,0.0496,0.0496,0.0496,136
2023-09-20,BOCNW,0.05,0.0744,0.0471,0.0616,18537
2023-09-21,BOCNW,0.0552,0.057,0.0551,0.0561,800
2023-10-03,BOCNW,0.0496,0.0496,0.0496,0.0496,1599
2023-10-09,BOCNW,0.05,0.05,0.05,0.05,110
2023-10-18,BOCNW,0.0365,0.0371,0.022499,0.023,256273
2023-10-19,BOCNW,0.025,0.05,0.0174,0.05,101114
2023-10-20,BOCNW,0.0368,0.0394,0.02335,0.0295,15200
2023-10-24,BOCNW,0.0499,0.0499,0.0251,0.0251,700
2023-10-30,BOCNW,0.0251,0.0399,0.0229,0.03,48361
2023-10-31,BOCNW,0.0263,0.04969,0.0178,0.04969,12526
2023-11-01,BOCNW,0.022,0.022,0.018,0.01881,103700
2023-11-07,BOCNW,0.016,0.016,0.015,0.015,1606
2023-11-16,BOCNW,0.02505,0.02505,0.01,0.01,17300
2023-11-17,BOCNW,0.011,0.011,0.0096,0.0096,25300
2023-11-20,BOCNW,0.0096,0.0096,0.0096,0.0096,4700
2023-11-27,BOCNW,0.0083,0.01,0.0059,0.01,35933
2023-11-28,BOCNW,0.01,0.011,0.0097,0.011,345275
2023-11-29,BOCNW,0.01,0.01,0.01,0.01,25000
2023-11-30,BOCNW,0.01,0.01,0.01,0.01,27240
2023-12-01,BOCNW,0.01,0.01,0.01,0.01,25000
2023-12-04,BOCNW,0.01,0.01,0.01,0.01,77233
2023-12-08,BOCNW,0.01,0.01,0.01,0.01,392914
2023-12-12,BOCNW,0.0095,0.01,0.0075,0.0075,900
2023-12-18,BOCNW,0.01,0.01,0.0074,0.0076,25800
2023-12-27,BOCNW,0.012,0.015,0.01,0.015,22792
2023-12-28,BOCNW,0.0125,0.015,0.012,0.015,51334
2023-12-29,BOCNW,0.02,0.02,0.0185,0.02,30100
2024-01-05,BOCNW,0.02125,0.02125,0.02125,0.02125,200
2024-01-08,BOCNW,0.014,0.014,0.0125,0.0125,23482
2024-01-11,BOCNW,0.0125,0.03,0.01,0.0139,242449
2024-01-18,BOCNW,0.0151,0.0263,0.0151,0.0151,10259
2024-02-12,BOCNW,0.029,0.029,0.029,0.029,1000
