Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BRLIR,0.15,0.161,0.1484,0.161,5560.0
2022-11-10,BRLIR,0.1679,0.1799,0.1679,0.1799,5100.0
2022-11-14,BRLIR,0.19,0.2299,0.1798,0.2299,105500.0
2022-11-15,BRLIR,0.209,0.23,0.135,0.23,16363.0
2022-11-16,BRLIR,0.2092,0.2092,0.199,0.2,90396.0
2022-11-17,BRLIR,0.16001,0.25,0.16001,0.25,18200.0
2022-11-18,BRLIR,0.3,0.3,0.2,0.2,9475.0
2022-11-21,BRLIR,0.2,0.2,0.2,0.2,20020.0
2022-11-23,BRLIR,0.2,0.2,0.1999,0.2,500.0
2022-11-25,BRLIR,0.23,0.2358,0.2,0.2358,2804.0
2022-11-28,BRLIR,0.2183,0.2245,0.1995,0.2245,5030.0
2022-12-01,BRLIR,0.2008,0.2008,0.2,0.2,360.0
2022-12-06,BRLIR,0.1451,0.239,0.1451,0.239,2400.0
2022-12-07,BRLIR,0.2159,0.249,0.1864,0.2399,5436.0
2022-12-08,BRLIR,0.249,0.249,0.1946,0.1946,2085.0
2022-12-09,BRLIR,0.22,0.22,0.1856,0.1856,200.0
2022-12-12,BRLIR,0.21,0.21,0.21,0.21,100.0
2022-12-15,BRLIR,0.19,0.199,0.125,0.199,66094.0
2022-12-16,BRLIR,0.199,0.199,0.199,0.199,100.0
2022-12-20,BRLIR,0.185,0.199,0.1849,0.199,1570.0
2022-12-28,BRLIR,0.1965,0.1965,0.1965,0.1965,1605.0
2022-12-30,BRLIR,0.18,0.19,0.133,0.19,12400.0
2023-01-09,BRLIR,0.2,0.2,0.1875,0.2,116102.0
2023-01-13,BRLIR,0.172599,0.2,0.172599,0.2,280.0
2023-01-25,BRLIR,0.1584,0.2,0.1484,0.2,1106.0
2023-01-30,BRLIR,0.1999,0.1999,0.1999,0.1999,100.0
2023-02-02,BRLIR,0.17535,0.1996,0.17535,0.1996,421.0
2023-02-10,BRLIR,0.2,0.2,0.1999,0.1999,8659.0
2023-02-16,BRLIR,0.1544,0.193,0.12,0.193,3863.0
2023-02-21,BRLIR,0.1999,0.2,0.1711,0.198,10400.0
2023-02-24,BRLIR,0.1564,0.1989,0.1243,0.1989,2300.0
2023-02-28,BRLIR,0.1773,0.1999,0.075,0.198,4967.0
2023-03-03,BRLIR,0.1764,0.1764,0.158,0.158,640.0
2023-03-06,BRLIR,0.1245,0.1384,0.0963,0.1384,13155.0
2023-03-07,BRLIR,0.1385,0.158,0.1385,0.148,1353.0
2023-03-09,BRLIR,0.1405,0.1526,0.1102,0.14,13527.0
2023-03-10,BRLIR,0.16,0.175,0.1,0.1491,3158.0
2023-03-14,BRLIR,0.13,0.17,0.13,0.17,1213.0
2023-03-15,BRLIR,0.169,0.169,0.169,0.169,591.0
2023-03-16,BRLIR,0.158,0.175,0.158,0.175,700.0
2023-03-17,BRLIR,0.1523,0.1754,0.117,0.1754,9225.0
2023-03-20,BRLIR,0.17,0.17,0.17,0.17,200.0
2023-03-21,BRLIR,0.147499,0.174899,0.147499,0.174899,256.0
2023-03-27,BRLIR,0.1622,0.1672,0.1575,0.1625,1204.0
2023-03-29,BRLIR,0.1668,0.1668,0.13,0.13,3107.0
2023-03-30,BRLIR,0.1359,0.1442,0.12,0.1359,4201.0
2023-03-31,BRLIR,0.1449,0.1449,0.144,0.144,401.0
2023-04-04,BRLIR,0.1004,0.167,0.088,0.1595,5830.0
2023-04-05,BRLIR,0.1947,0.1947,0.096401,0.1387,5205.0
2023-04-06,BRLIR,0.192,0.192,0.15,0.15,1155.0
2023-04-10,BRLIR,0.17,0.17,0.0942,0.1569,3915.0
2023-04-11,BRLIR,0.194,0.194,0.145,0.1595,3930.0
2023-04-13,BRLIR,0.1746,0.194,0.1081,0.1878,2830.0
2023-04-17,BRLIR,0.164,0.18,0.164,0.18,685.0
2023-04-20,BRLIR,0.1857,0.1857,0.1857,0.1857,103.0
2023-04-21,BRLIR,0.1912,0.1912,0.1552,0.1912,2092.0
2023-04-25,BRLIR,0.2,0.2,0.2,0.2,101.0
2023-04-26,BRLIR,0.2,0.2,0.2,0.2,100.0
2023-04-27,BRLIR,0.1756,0.1765,0.1747,0.1747,2245.0
2023-04-28,BRLIR,0.2,0.2,0.2,0.2,100.0
2023-05-01,BRLIR,0.2,0.2,0.2,0.2,104.0
2023-05-02,BRLIR,0.2,0.2,0.2,0.2,100.0
2023-05-08,BRLIR,0.1999,0.1999,0.1999,0.1999,120.0
2023-05-09,BRLIR,0.173149,0.2,0.173149,0.2,252.0
2023-05-16,BRLIR,0.1765,0.2,0.1747,0.2,17700.0
2023-05-18,BRLIR,0.2,0.2,0.2,0.2,100.0
2023-05-22,BRLIR,0.2,0.2,0.14,0.2,41090.0
2023-05-23,BRLIR,0.1765,0.2,0.121,0.1658,19314.0
2023-05-24,BRLIR,0.1699,0.1699,0.1501,0.1501,2973.0
2023-05-25,BRLIR,0.1501,0.1773,0.1,0.1773,2705.0
2023-05-26,BRLIR,0.171,0.171,0.16,0.16,2400.0
2023-05-30,BRLIR,0.1584,0.1799,0.1584,0.1777,505.0
2023-05-31,BRLIR,0.1677,0.1677,0.1677,0.1677,100.0
2023-06-01,BRLIR,0.151,0.151,0.1224,0.151,1576.0
2023-06-02,BRLIR,0.151,0.151,0.151,0.151,200.0
2023-06-06,BRLIR,0.1578,0.1652,0.13,0.13,402.0
2023-06-07,BRLIR,0.1233,0.1233,0.1233,0.1233,923.0
2023-06-08,BRLIR,0.1462,0.16,0.1462,0.16,5100.0
2023-06-09,BRLIR,0.17,0.17,0.17,0.17,210.0
