Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,BROGW,0.27,0.29,0.27,0.29,2606
2022-11-22,BROGW,0.22,0.2875,0.22,0.2875,1250
2022-11-25,BROGW,0.285,0.285,0.285,0.285,185
2022-11-28,BROGW,0.2202,0.25,0.22,0.25,7849
2022-11-30,BROGW,0.2,0.26,0.2,0.26,13240
2022-12-05,BROGW,0.27,0.27,0.25,0.25,1200
2022-12-06,BROGW,0.1282,0.27,0.1262,0.2497,31863
2022-12-07,BROGW,0.2,0.25,0.1473,0.23,11317
2022-12-08,BROGW,0.1682,0.1761,0.1682,0.1761,315
2022-12-09,BROGW,0.2197,0.22,0.2197,0.22,500
2022-12-12,BROGW,0.22,0.22,0.22,0.22,409
2022-12-13,BROGW,0.0526,0.22,0.0526,0.22,4001
2022-12-14,BROGW,0.082,0.21,0.082,0.21,94762
2022-12-16,BROGW,0.21,0.21,0.21,0.21,200
2022-12-20,BROGW,0.19,0.22,0.19,0.22,1450
2022-12-23,BROGW,0.15,0.22,0.15,0.22,20200
2022-12-27,BROGW,0.092,0.22,0.092,0.216,10539
2022-12-28,BROGW,0.103,0.21,0.103,0.2,16042
2022-12-30,BROGW,0.123,0.2,0.105,0.2,2800
2023-01-04,BROGW,0.15,0.2,0.15,0.198,4500
2023-01-11,BROGW,0.113,0.1973,0.1031,0.194,25945
2023-01-12,BROGW,0.2,0.2,0.1061,0.18,905
2023-01-18,BROGW,0.18,0.18,0.1401,0.16,8555
2023-01-30,BROGW,0.144,0.144,0.144,0.144,300
2023-01-31,BROGW,0.10999,0.15,0.109899,0.15,9660
2023-02-06,BROGW,0.13,0.15,0.13,0.15,5209
2023-02-07,BROGW,0.13,0.145,0.1215,0.145,6265
2023-02-08,BROGW,0.0926,0.1485,0.0926,0.1485,646
2023-02-14,BROGW,0.09,0.09,0.09,0.09,168
2023-02-15,BROGW,0.1225,0.13,0.12,0.13,1902
2023-02-16,BROGW,0.13,0.139,0.1225,0.139,8018
2023-02-17,BROGW,0.0826,0.14,0.0826,0.14,416
2023-02-28,BROGW,0.11,0.11,0.099399,0.1,22040
2023-03-01,BROGW,0.091,0.12,0.0606,0.12,602
2023-03-02,BROGW,0.11,0.12,0.11,0.12,300
2023-03-03,BROGW,0.0554,0.12,0.0554,0.12,6379
2023-03-06,BROGW,0.1271,0.13,0.0936,0.13,4302
2023-03-07,BROGW,0.0925,0.12,0.09,0.114,5400
2023-03-08,BROGW,0.12,0.12,0.12,0.12,3100
2023-03-09,BROGW,0.0909,0.13,0.09045,0.13,16850
2023-03-15,BROGW,0.13,0.13,0.0935,0.129,2975
2023-03-21,BROGW,0.12,0.12,0.12,0.12,100
2023-03-30,BROGW,0.0901,0.113,0.0901,0.11,2250
2023-03-31,BROGW,0.0925,0.0925,0.0925,0.0925,800
2023-04-05,BROGW,0.105,0.105,0.0999,0.0999,1600
2023-04-06,BROGW,0.1,0.1,0.1,0.1,100
2023-04-17,BROGW,0.1,0.1,0.079899,0.08,3554
2023-04-19,BROGW,0.09,0.0901,0.09,0.0901,820
2023-05-01,BROGW,0.084,0.09,0.078,0.08,10160
2023-05-02,BROGW,0.09,0.09,0.079,0.08,48903
2023-05-04,BROGW,0.078,0.078,0.0609,0.0612,47500
2023-05-05,BROGW,0.08,0.08,0.0799,0.0799,336
2023-05-09,BROGW,0.06,0.06,0.06,0.06,300
2023-05-10,BROGW,0.062701,0.062701,0.06,0.06,6199
2023-05-11,BROGW,0.065,0.065,0.065,0.065,209
2023-05-24,BROGW,0.05,0.0675,0.05,0.0675,1421
2023-05-25,BROGW,0.1175,0.1175,0.0404,0.08,5013
2023-05-26,BROGW,0.0722,0.079,0.0522,0.06,3542
2023-05-30,BROGW,0.0428,0.07,0.0428,0.0664,334
2023-05-31,BROGW,0.0589,0.059,0.058899,0.058899,1217
2023-06-01,BROGW,0.058899,0.059,0.0588,0.0588,700
2023-06-02,BROGW,0.059,0.059,0.052,0.059,5220
2023-06-07,BROGW,0.05,0.05,0.0499,0.0499,944
2023-06-08,BROGW,0.041,0.05,0.04,0.04,6591
2023-06-12,BROGW,0.05,0.05,0.05,0.05,328
2023-06-13,BROGW,0.035,0.04,0.032408,0.0399,2318
2023-06-14,BROGW,0.048899,0.048999,0.048899,0.048999,225
2023-06-20,BROGW,0.03,0.0349,0.03,0.0348,2281
2023-06-21,BROGW,0.0316,0.0339,0.03,0.0316,10105
2023-06-22,BROGW,0.0339,0.0339,0.0316,0.0316,15036
2023-06-28,BROGW,0.0283,0.049,0.02,0.0283,631215
2023-06-29,BROGW,0.0256,0.0423,0.0205,0.0298,4572
2023-06-30,BROGW,0.026,0.026,0.0172,0.0197,10733
2023-07-03,BROGW,0.018,0.018,0.018,0.018,224
2023-07-05,BROGW,0.0199,0.022401,0.019,0.02,12050
2023-07-06,BROGW,0.0295,0.0295,0.0295,0.0295,250
2023-07-07,BROGW,0.025,0.025,0.0183,0.0192,5230
2023-07-10,BROGW,0.019,0.019,0.0174,0.0174,5299
2023-07-11,BROGW,0.0174,0.0174,0.0151,0.0174,5553
2023-07-12,BROGW,0.02,0.02,0.02,0.02,16241
2023-07-13,BROGW,0.025,0.025,0.02,0.02,10380
2023-07-14,BROGW,0.021,0.025,0.02,0.025,5400
2023-07-19,BROGW,0.02,0.0201,0.02,0.02,41196
2023-07-20,BROGW,0.0174,0.0201,0.015,0.0175,15000
2023-07-24,BROGW,0.0341,0.04,0.033,0.0331,3576
2023-07-25,BROGW,0.04,0.04,0.04,0.04,200
2023-07-26,BROGW,0.0399,0.0423,0.025,0.03,2725
2023-08-03,BROGW,0.028,0.028,0.028,0.028,700
2023-08-07,BROGW,0.03,0.03,0.03,0.03,600
2023-08-09,BROGW,0.03,0.07,0.0261,0.0261,33000
2023-08-10,BROGW,0.0286,0.0286,0.027,0.027,400
2023-08-11,BROGW,0.03,0.03,0.026,0.026,8377
2023-08-14,BROGW,0.028,0.028,0.026,0.026,1138
2023-08-15,BROGW,0.029899,0.03,0.027991,0.027991,2768
2023-08-16,BROGW,0.029899,0.029899,0.029899,0.029899,100
2023-08-23,BROGW,0.04,0.04,0.04,0.04,100
2023-08-29,BROGW,0.0261,0.03,0.026,0.029461,26550
2023-08-30,BROGW,0.03,0.03,0.03,0.03,528
2023-09-01,BROGW,0.03,0.03,0.03,0.03,122
2023-09-05,BROGW,0.02999,0.02999,0.02999,0.02999,100
2023-09-07,BROGW,0.03,0.03,0.026,0.026,14485
2023-09-08,BROGW,0.026,0.0283,0.026,0.026,38638
2023-09-11,BROGW,0.026,0.028,0.025,0.025,36730
2023-09-12,BROGW,0.03,0.03,0.026,0.026,14609
2023-09-13,BROGW,0.03,0.03,0.026,0.026,9578
2023-09-14,BROGW,0.0265,0.0265,0.026,0.026,92069
2023-09-15,BROGW,0.026,0.028001,0.026,0.026,58142
2023-09-18,BROGW,0.026,0.026,0.025,0.025,56840
2023-09-19,BROGW,0.025,0.025,0.0178,0.0178,30872
2023-09-21,BROGW,0.02,0.02,0.02,0.02,130213
2023-09-22,BROGW,0.02,0.02,0.0132,0.0132,87579
2023-09-25,BROGW,0.017,0.02,0.005,0.01,138065
2023-09-26,BROGW,0.012,0.012,0.01,0.012,55200
2023-09-27,BROGW,0.012,0.0121,0.01,0.01,30252
2023-09-28,BROGW,0.0149,0.02,0.0149,0.0151,1400
2023-10-04,BROGW,0.02,0.02,0.0162,0.02,30876
2023-10-05,BROGW,0.0302,0.0302,0.017,0.017,16281
2023-10-06,BROGW,0.018,0.0198,0.017,0.0198,2660
2023-10-09,BROGW,0.0171,0.0295,0.0171,0.0295,700
2023-10-10,BROGW,0.029,0.0305,0.029,0.0305,1094
2023-10-11,BROGW,0.0305,0.0305,0.02,0.02,900
2023-10-12,BROGW,0.0171,0.0171,0.015,0.0151,28456
2023-10-13,BROGW,0.01999,0.01999,0.01999,0.01999,100
2023-10-16,BROGW,0.023,0.0231,0.017,0.0176,6000
2023-10-17,BROGW,0.02,0.02,0.02,0.02,100
2023-10-19,BROGW,0.0153,0.0153,0.0153,0.0153,403
2023-10-20,BROGW,0.02,0.02,0.0199,0.0199,321
2023-10-24,BROGW,0.0153,0.01999,0.0153,0.0153,39005
2023-10-27,BROGW,0.025,0.025,0.025,0.025,303
2023-10-30,BROGW,0.02,0.02,0.017,0.01709,5896
2023-10-31,BROGW,0.02,0.0225,0.02,0.0225,200
2023-11-02,BROGW,0.017399,0.0175,0.015,0.016,33240
2023-11-03,BROGW,0.0193,0.0193,0.0193,0.0193,100
2023-11-06,BROGW,0.0118,0.02,0.011,0.02,13636
2023-11-07,BROGW,0.02,0.02,0.018,0.019,29961
2023-11-08,BROGW,0.0197,0.0197,0.0177,0.0177,12210
2023-11-10,BROGW,0.02,0.02,0.02,0.02,100
2023-11-14,BROGW,0.014,0.02,0.014,0.02,424
2023-11-15,BROGW,0.016499,0.02,0.015,0.01999,5294
2023-11-16,BROGW,0.02,0.02,0.014,0.01999,5708
2023-11-17,BROGW,0.0194,0.0195,0.019,0.019,154678
2023-11-20,BROGW,0.0163,0.0163,0.015,0.016,12187
2023-11-21,BROGW,0.019,0.019,0.0149,0.015,1377
2023-11-22,BROGW,0.0195,0.025,0.0195,0.025,1788
2023-11-24,BROGW,0.024,0.024,0.024,0.024,142
2023-11-27,BROGW,0.016499,0.02,0.015,0.015,3156
2023-11-28,BROGW,0.0199,0.02,0.0185,0.0185,417
2023-12-01,BROGW,0.0248,0.0248,0.022,0.022,700
2023-12-04,BROGW,0.0248,0.0248,0.0131,0.01999,5578
2023-12-06,BROGW,0.0199,0.02,0.0198,0.0198,6120
2023-12-07,BROGW,0.02,0.025,0.017,0.017,34990
2023-12-08,BROGW,0.0249,0.0249,0.022,0.022,709
2023-12-11,BROGW,0.016101,0.023,0.016101,0.023,200
2023-12-12,BROGW,0.016,0.02,0.0149,0.015,24697
2023-12-13,BROGW,0.023,0.023,0.0131,0.015,8552
2023-12-14,BROGW,0.021,0.021,0.0131,0.0131,16584
2023-12-19,BROGW,0.015,0.015,0.012,0.014,21787
2023-12-22,BROGW,0.0199,0.0199,0.0065,0.01,18225
2023-12-26,BROGW,0.0051,0.0052,0.0028,0.004,37938
2023-12-27,BROGW,0.018,0.018,0.0051,0.0051,2085
2023-12-28,BROGW,0.006,0.0175,0.0051,0.0057,23378
2023-12-29,BROGW,0.0149,0.0149,0.0148,0.0148,3400
2024-01-02,BROGW,0.015,0.015,0.0149,0.0149,1560
2024-01-04,BROGW,0.006,0.006,0.006,0.006,111
2024-01-19,BROGW,0.0092,0.0092,0.0088,0.0088,5271
2024-01-22,BROGW,0.0065,0.0066,0.0065,0.0065,92068
2024-01-23,BROGW,0.0066,0.0066,0.0065,0.0065,20010
2024-01-24,BROGW,0.0066,0.0099,0.0063,0.0099,36123
2024-01-25,BROGW,0.0099,0.0113,0.0067,0.0067,5300
2024-01-29,BROGW,0.0113,0.0113,0.0068,0.0068,11400
2024-01-30,BROGW,0.0061,0.006101,0.006,0.006,23553
2024-02-01,BROGW,0.006,0.0064,0.0052,0.0052,14984
2024-02-02,BROGW,0.0068,0.0068,0.0063,0.0066,28523
2024-02-05,BROGW,0.0113,0.0113,0.0067,0.0069,9805
2024-02-06,BROGW,0.007,0.007,0.0063,0.0064,17989
2024-02-07,BROGW,0.0064,0.008,0.0064,0.008,2266
2024-02-08,BROGW,0.008,0.008,0.0052,0.0075,8564
2024-02-09,BROGW,0.0075,0.0075,0.0074,0.0074,840
2024-02-12,BROGW,0.0078,0.0101,0.0054,0.01,5966
2024-02-13,BROGW,0.007495,0.0112,0.007495,0.01,5781
2024-02-14,BROGW,0.01,0.0112,0.0099,0.01,18708
2024-02-15,BROGW,0.0113,0.0149,0.01,0.01,22469
2024-02-16,BROGW,0.0113,0.0113,0.0056,0.007,20360
2024-02-20,BROGW,0.0138,0.015,0.0067,0.0067,41008
2024-02-21,BROGW,0.015,0.015,0.0148,0.0149,2504
2024-02-22,BROGW,0.01495,0.01495,0.0075,0.0149,4680
2024-02-23,BROGW,0.0081,0.0149,0.006,0.0148,25112
2024-02-26,BROGW,0.0149,0.0149,0.0061,0.0074,2514
2024-02-27,BROGW,0.0148,0.0148,0.0062,0.0065,3576
2024-02-28,BROGW,0.0144,0.0144,0.009,0.009,3201
2024-02-29,BROGW,0.0142,0.0142,0.0065,0.0065,23890
2024-03-04,BROGW,0.0065,0.0065,0.0065,0.0065,500
2024-03-07,BROGW,0.0139,0.0139,0.0065,0.0065,3300
2024-03-11,BROGW,0.0065,0.0065,0.0065,0.0065,5494
2024-03-12,BROGW,0.0065,0.0123,0.0065,0.0118,2315
2024-03-13,BROGW,0.0118,0.0137,0.0118,0.0118,14334
2024-03-15,BROGW,0.0068,0.0128,0.0068,0.0128,17249
2024-03-18,BROGW,0.012,0.012,0.0068,0.0117,3817
2024-03-19,BROGW,0.012,0.0135,0.0119,0.0134,20005
2024-03-20,BROGW,0.013,0.0149,0.013,0.0149,23000
2024-03-21,BROGW,0.0146,0.0146,0.0145,0.0145,244
2024-03-22,BROGW,0.013,0.013,0.013,0.013,1000
2024-03-25,BROGW,0.0146,0.0146,0.0074,0.0099,7372
2024-03-26,BROGW,0.0076,0.008101,0.0076,0.0077,26011
2024-03-27,BROGW,0.0076,0.0076,0.0059,0.006,51605
2024-04-01,BROGW,0.0063,0.0063,0.0051,0.0051,7000
2024-04-02,BROGW,0.0052,0.0054,0.0042,0.0043,47229
2024-04-03,BROGW,0.0124,0.0899,0.0081,0.0262,914424
2024-04-04,BROGW,0.029,0.029,0.0082,0.009,133122
2024-04-05,BROGW,0.0143,0.0143,0.0143,0.0143,5300
2024-04-08,BROGW,0.0159,0.0159,0.0088,0.0089,33558
2024-04-09,BROGW,0.0086,0.0093,0.0055,0.0055,160017
2024-04-10,BROGW,0.0056,0.0066,0.0042,0.0042,121717
2024-04-11,BROGW,0.0045,0.0045,0.0034,0.0038,68030
2024-04-12,BROGW,0.006,0.0161,0.0057,0.0161,337752
2024-04-15,BROGW,0.0081,0.0158,0.008,0.0103,100256
2024-04-16,BROGW,0.01,0.0119,0.0076,0.01,41335
2024-04-17,BROGW,0.01,0.013,0.0059,0.0059,29304
2024-04-18,BROGW,0.013,0.013,0.007,0.0107,8799
2024-04-19,BROGW,0.011,0.011,0.01,0.01,4256
2024-04-22,BROGW,0.01,0.011501,0.0057,0.0079,80237
