Date,Ticker,Open,High,Low,Close,Volume
2024-08-14,BSLK,6.61,9.98,5.46,7.29,341459.0
2024-08-15,BSLK,5.37,7.2,5.25,5.74,98212.0
2024-08-16,BSLK,5.16,5.5,4.0,4.39,50457.0
2024-08-19,BSLK,4.46,5.35,4.4418,5.01,46552.0
2024-08-20,BSLK,4.8,5.81,4.65,5.03,43287.0
2024-08-21,BSLK,4.65,5.294,4.65,4.89,19448.0
2024-08-22,BSLK,4.75,4.9223,4.2,4.3,13263.0
2024-08-23,BSLK,4.16,4.6,3.5501,3.59,64552.0
2024-08-26,BSLK,3.67,3.67,2.5,2.6994,89044.0
2024-08-27,BSLK,2.92,2.93,2.0,2.07,178204.0
2024-08-28,BSLK,4.04,4.25,1.7101,2.03,33978333.0
2024-08-29,BSLK,1.84,1.87,1.26,1.66,1136945.0
2024-08-30,BSLK,1.61,1.632,1.3714,1.41,354682.0
2024-09-03,BSLK,1.4,1.5,1.25,1.27,305877.0
2024-09-04,BSLK,1.27,1.4,1.2694,1.31,287108.0
2024-09-05,BSLK,1.34,1.3699,1.27,1.36,165853.0
2024-09-06,BSLK,1.34,1.37,1.15,1.18,255459.0
2024-09-09,BSLK,1.15,1.25,1.1006,1.18,149841.0
2024-09-10,BSLK,1.15,1.17,1.07,1.16,186464.0
2024-09-11,BSLK,1.13,1.16,1.07,1.1,131279.0
2024-09-12,BSLK,1.14,1.14,1.05,1.13,194010.0
2024-09-13,BSLK,1.16,1.28,1.1305,1.23,218256.0
2024-09-16,BSLK,1.27,1.27,1.17,1.1898,94075.0
2024-09-17,BSLK,1.17,1.22,1.13,1.15,55133.0
2024-09-18,BSLK,1.14,1.16,1.03,1.03,133300.0
2024-09-19,BSLK,1.08,1.09,1.0,1.03,148459.0
2024-09-20,BSLK,1.02,1.02,0.9512,0.9615,111319.0
2024-09-23,BSLK,0.9605,1.0,0.9001,0.92,148562.0
2024-09-24,BSLK,0.91,0.92,0.812,0.86,193833.0
2024-09-25,BSLK,0.888,0.9271,0.8121,0.835,57870.0
2024-09-26,BSLK,0.8626,0.872,0.776549,0.81,73764.0
2024-09-27,BSLK,0.839,0.858,0.8031,0.806,32976.0
2024-09-30,BSLK,0.841,0.848,0.78,0.82,195552.0
2024-10-01,BSLK,0.781,0.823,0.773,0.78,22469.0
2024-10-02,BSLK,0.792,0.81,0.7651,0.785,79126.0
2024-10-03,BSLK,0.77,0.77,0.66,0.672,138186.0
2024-10-04,BSLK,0.665,0.69495,0.6151,0.616,145913.0
2024-10-07,BSLK,0.6163,0.64,0.610101,0.62,27819.0
2024-10-08,BSLK,0.64,0.64,0.55,0.56,210561.0
2024-10-09,BSLK,0.555,0.56,0.496,0.5,188926.0
2024-10-10,BSLK,0.51,0.51,0.3555,0.424,434604.0
2024-10-11,BSLK,0.413,0.448,0.4031,0.446,104337.0
2024-10-14,BSLK,0.4483,0.4979,0.446,0.48,120029.0
2024-10-15,BSLK,0.472,0.5,0.4301,0.49,683343.0
2024-10-16,BSLK,0.4986,0.634,0.496,0.5622,649562.0
2024-10-17,BSLK,0.5699,0.61,0.4784,0.5004,422525.0
2024-10-18,BSLK,0.5,0.53,0.45,0.4735,140637.0
2024-10-21,BSLK,0.497,0.504,0.4785,0.5,167509.0
2024-10-22,BSLK,0.5154,0.518,0.48,0.4948,145837.0
2024-10-23,BSLK,0.48,0.48,0.4525,0.455,102137.0
2024-10-24,BSLK,0.45,0.47,0.399,0.4,105369.0
2024-10-25,BSLK,0.401,0.429899,0.3901,0.4049,70543.0
2024-10-28,BSLK,0.408,0.41,0.3749,0.38,129743.0
2024-10-29,BSLK,0.37,0.4123,0.3662,0.3668,64124.0
2024-10-30,BSLK,0.389,0.3968,0.3663,0.38,69477.0
2024-10-31,BSLK,0.38,0.385,0.3611,0.375,118762.0
2024-11-01,BSLK,0.378,0.57,0.3701,0.4662,4743964.0
2024-11-04,BSLK,0.4149,0.4936,0.4001,0.41,476267.0
2024-11-05,BSLK,0.3977,0.4435,0.2923,0.3037,505777.0
2024-11-06,BSLK,0.2818,0.3133,0.2665,0.2863,405483.0
2024-11-07,BSLK,0.294,0.332199,0.2723,0.306,653624.0
