Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BTG,3.34,3.39,3.24,3.28,12815901.0
2022-11-10,BTG,3.45,3.56,3.425,3.53,13440903.0
2022-11-11,BTG,3.54,3.6,3.495,3.58,14205828.0
2022-11-14,BTG,3.52,3.58,3.475,3.51,13088383.0
2022-11-15,BTG,3.55,3.55,3.39,3.45,20959250.0
2022-11-16,BTG,3.45,3.49,3.41,3.42,11943489.0
2022-11-17,BTG,3.37,3.39,3.3,3.35,8487138.0
2022-11-18,BTG,3.35,3.4,3.31,3.39,7372064.0
2022-11-21,BTG,3.35,3.35,3.27,3.33,7770231.0
2022-11-22,BTG,3.35,3.49,3.34,3.48,9312455.0
2022-11-23,BTG,3.46,3.55,3.415,3.55,9153243.0
2022-11-25,BTG,3.55,3.56,3.48,3.51,3389184.0
2022-11-28,BTG,3.5,3.51,3.34,3.35,6557943.0
2022-11-29,BTG,3.4,3.47,3.39,3.46,7953280.0
2022-11-30,BTG,3.47,3.52,3.38,3.48,9916888.0
2022-12-01,BTG,3.54,3.65,3.51,3.56,10556643.0
2022-12-02,BTG,3.5,3.58,3.4593,3.57,7206075.0
2022-12-05,BTG,3.56,3.56,3.42,3.44,9297684.0
2022-12-06,BTG,3.47,3.47,3.3,3.32,10506753.0
2022-12-07,BTG,3.34,3.43,3.31,3.35,11990370.0
2022-12-08,BTG,3.38,3.41,3.345,3.36,7918382.0
2022-12-09,BTG,3.39,3.47,3.355,3.36,10527409.0
2022-12-12,BTG,3.37,3.37,3.3,3.35,9843559.0
2022-12-13,BTG,3.49,3.62,3.48,3.58,14634217.0
2022-12-14,BTG,3.59,3.59,3.48,3.56,10886885.0
2022-12-15,BTG,3.44,3.48,3.35,3.38,11963046.0
2022-12-16,BTG,3.37,3.45,3.33,3.4,14200897.0
2022-12-19,BTG,3.42,3.44,3.3446,3.37,7007034.0
2022-12-20,BTG,3.42,3.55,3.4,3.51,9112205.0
2022-12-21,BTG,3.53,3.585,3.51,3.57,6256414.0
2022-12-22,BTG,3.51,3.56,3.47,3.55,6070306.0
2022-12-23,BTG,3.55,3.61,3.5,3.56,7868249.0
2022-12-27,BTG,3.57,3.7113,3.55,3.69,8491142.0
2022-12-28,BTG,3.62,3.65,3.53,3.55,7016661.0
2022-12-29,BTG,3.57,3.645,3.57,3.6,6119160.0
2022-12-30,BTG,3.56,3.6023,3.5346,3.57,5375650.0
2023-01-03,BTG,3.64,3.76,3.6,3.68,8691842.0
2023-01-04,BTG,3.76,3.89,3.75,3.87,13227989.0
2023-01-05,BTG,3.81,3.86,3.775,3.85,7036563.0
2023-01-06,BTG,3.92,3.975,3.84,3.92,9696807.0
2023-01-09,BTG,3.98,3.98,3.81,3.84,9769962.0
2023-01-10,BTG,3.86,3.94,3.82,3.92,14030186.0
2023-01-11,BTG,3.99,3.99,3.89,3.92,10411893.0
2023-01-12,BTG,3.98,4.03,3.92,4.03,7549035.0
2023-01-13,BTG,4.04,4.19,4.0,4.18,14086423.0
2023-01-17,BTG,4.09,4.1,3.99,4.01,7741796.0
2023-01-18,BTG,4.09,4.1151,4.04,4.05,11039817.0
2023-01-19,BTG,4.02,4.16,3.95,4.13,14315342.0
2023-01-20,BTG,4.1,4.18,4.055,4.16,6860245.0
2023-01-23,BTG,4.13,4.13,4.01,4.1,8847849.0
2023-01-24,BTG,4.09,4.17,4.03,4.14,9205738.0
2023-01-25,BTG,4.11,4.19,4.1,4.19,7473822.0
