Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BTU,28.8,29.12,26.18,26.41,7425627.0
2022-11-10,BTU,27.64,27.78,26.46,27.72,3701799.0
2022-11-11,BTU,28.34,28.8,26.7144,27.25,5133603.0
2022-11-14,BTU,27.45,29.331,27.415,27.96,5008616.0
2022-11-15,BTU,28.34,29.23,27.41,29.19,4653135.0
2022-11-16,BTU,28.51,29.21,27.85,28.46,3735718.0
2022-11-17,BTU,27.81,28.04,26.75,27.99,5111137.0
2022-11-18,BTU,27.72,27.8,26.49,27.25,5113619.0
2022-11-21,BTU,26.97,27.81,26.22,27.75,4331570.0
2022-11-22,BTU,28.42,29.94,28.16,29.62,4109456.0
2022-11-23,BTU,29.71,30.55,29.13,29.78,3277464.0
2022-11-25,BTU,29.5,31.0,29.5,30.2,2100787.0
2022-11-28,BTU,29.47,30.53,29.15,29.37,2461479.0
2022-11-29,BTU,29.79,31.96,29.79,31.96,4567672.0
2022-11-30,BTU,32.48,32.89,31.3004,31.94,4341424.0
2022-12-01,BTU,31.95,32.1594,30.89,31.29,2641707.0
2022-12-02,BTU,30.99,32.23,30.97,31.59,3133929.0
2022-12-05,BTU,31.7,32.09,29.38,29.57,3741478.0
2022-12-06,BTU,29.57,30.32,29.3441,29.9,2848391.0
2022-12-07,BTU,29.65,29.85,28.88,29.38,2298273.0
2022-12-08,BTU,30.03,30.45,28.57,28.8,2779161.0
2022-12-09,BTU,28.7,29.33,27.865,28.07,2648110.0
2022-12-12,BTU,28.1,28.101,27.09,27.85,2981697.0
2022-12-13,BTU,28.5,29.08,27.8571,28.47,3300705.0
2022-12-14,BTU,28.37,28.7,27.54,28.41,2853548.0
2022-12-15,BTU,28.5,29.44,28.2001,29.16,3204543.0
2022-12-16,BTU,28.53,29.29,27.99,28.49,4314608.0
2022-12-19,BTU,28.79,29.13,27.8752,28.59,2896741.0
2022-12-20,BTU,28.72,29.413,28.4801,28.6,2807320.0
2022-12-21,BTU,28.7,29.05,27.96,28.86,3466773.0
2022-12-22,BTU,29.0,29.7,28.21,29.01,3131037.0
2022-12-23,BTU,29.1,29.53,28.63,29.44,2027198.0
2022-12-27,BTU,29.82,30.2111,29.33,29.4,2344076.0
2022-12-28,BTU,29.0,29.0,25.85,26.59,8415283.0
2022-12-29,BTU,26.71,27.21,26.48,26.82,2992714.0
2022-12-30,BTU,26.5,26.98,26.13,26.42,3091511.0
2023-01-03,BTU,25.78,25.91,24.895,25.1,7500256.0
2023-01-04,BTU,24.74,26.61,24.17,26.57,7454183.0
2023-01-05,BTU,26.27,27.455,26.21,27.19,5633520.0
2023-01-06,BTU,27.54,30.05,27.36,28.89,7319136.0
2023-01-09,BTU,29.02,29.36,27.63,27.65,3610422.0
2023-01-10,BTU,27.68,27.9599,26.6195,27.28,3359534.0
2023-01-11,BTU,27.08,27.47,26.7101,27.15,3503910.0
2023-01-12,BTU,27.34,28.18,27.16,27.73,2664892.0
2023-01-13,BTU,27.62,28.48,27.51,28.41,2128853.0
2023-01-17,BTU,28.74,29.2686,28.37,28.8,2998714.0
2023-01-18,BTU,29.29,29.53,27.41,27.43,3394175.0
2023-01-19,BTU,27.18,27.69,26.9,27.45,2353701.0
2023-01-20,BTU,27.68,28.3599,27.11,28.11,3090839.0
2023-01-23,BTU,28.26,28.56,27.63,27.98,2691229.0
2023-01-24,BTU,27.71,28.14,27.25,27.88,2819883.0
2023-01-25,BTU,27.6,27.69,26.56,27.06,4290215.0
2023-01-26,BTU,26.92,26.99,25.27,26.58,6546078.0
2023-01-27,BTU,26.39,27.41,26.31,27.25,3021996.0
2023-01-30,BTU,26.99,28.145,26.69,27.82,4444681.0
2023-01-31,BTU,27.53,28.08,27.36,27.89,3199682.0
2023-02-01,BTU,27.77,28.0267,26.75,27.68,3758215.0
2023-02-02,BTU,27.71,28.44,27.0501,28.42,4142551.0
2023-02-03,BTU,28.55,28.93,27.69,27.76,3344764.0
2023-02-06,BTU,27.65,28.21,27.1,27.85,4132709.0
2023-02-07,BTU,28.47,29.06,26.78,28.27,8167262.0
2023-02-08,BTU,27.94,28.04,25.65,25.66,8703761.0
2023-02-09,BTU,25.75,26.22,25.36,25.55,3819892.0
2023-02-10,BTU,25.6,26.46,25.2,26.39,5323037.0
2023-02-13,BTU,26.4,26.76,25.87,26.34,6746102.0
2023-02-14,BTU,27.8,29.96,26.17,29.85,17419841.0
2023-02-15,BTU,29.61,31.22,29.05,29.54,9585040.0
2023-02-16,BTU,29.5,30.42,29.42,29.55,6237790.0
2023-02-17,BTU,29.1,29.67,27.97,28.26,5427374.0
2023-02-21,BTU,27.71,28.05,25.85,25.85,6077541.0
2023-02-22,BTU,25.61,26.63,25.5,26.19,4991173.0
2023-02-23,BTU,26.37,26.79,25.73,26.25,3509238.0
2023-02-24,BTU,26.05,26.495,25.635,26.31,3234924.0
2023-02-27,BTU,26.34,26.97,26.0726,26.77,3084018.0
2023-02-28,BTU,26.97,27.65,26.59,27.3,3672575.0
2023-03-01,BTU,27.42,27.995,27.25,27.86,3028910.0
2023-03-02,BTU,27.61,27.97,27.36,27.55,2343626.0
2023-03-03,BTU,27.71,28.54,27.54,28.03,3619173.0
2023-03-06,BTU,27.2,27.2,26.0,26.29,4685309.0
2023-03-07,BTU,26.15,26.59,25.8389,26.31,3281040.0
2023-03-08,BTU,26.15,26.62,25.75,26.02,2383292.0
2023-03-09,BTU,25.98,26.32,25.64,25.69,2919593.0
2023-03-10,BTU,25.67,26.14,25.15,25.7,3681806.0
2023-03-13,BTU,24.89,25.85,24.5105,24.76,3902694.0
2023-03-14,BTU,25.08,25.59,24.2,24.52,3213768.0
2023-03-15,BTU,23.27,23.565,22.4,22.75,7769956.0
2023-03-16,BTU,22.25,23.72,21.952,23.38,5336419.0
2023-03-17,BTU,23.15,23.41,22.7,23.32,4650520.0
2023-03-20,BTU,23.59,24.19,23.43,23.54,3203913.0
2023-03-21,BTU,24.35,24.61,23.52,23.59,3351460.0
2023-03-22,BTU,23.73,24.26,23.26,23.47,2619972.0
2023-03-23,BTU,23.7,24.25,23.33,23.66,2297556.0
2023-03-24,BTU,23.33,24.38,22.93,24.36,2661898.0
2023-03-27,BTU,24.28,24.995,23.945,24.86,2400228.0
2023-03-28,BTU,25.07,25.9,24.72,25.6,3199841.0
2023-03-29,BTU,25.66,25.87,25.12,25.1913,1916174.0
2023-03-30,BTU,25.38,25.54,24.2711,25.27,3422398.0
2023-03-31,BTU,25.5,25.8999,25.265,25.6,2575971.0
2023-04-03,BTU,26.0,26.4,25.09,26.29,4480049.0
2023-04-04,BTU,26.1,26.1188,25.11,25.68,2785795.0
2023-04-05,BTU,25.75,25.96,25.28,25.89,1828531.0
2023-04-06,BTU,25.77,25.79,25.2,25.25,1799738.0
2023-04-10,BTU,25.46,25.77,25.1516,25.23,2594638.0
2023-04-11,BTU,25.49,25.76,25.205,25.32,2566572.0
2023-04-12,BTU,25.25,25.625,24.46,25.13,2309378.0
2023-04-13,BTU,25.25,25.83,25.23,25.62,1756854.0
2023-04-14,BTU,25.5,25.73,24.72,25.23,2169927.0
2023-04-17,BTU,27.7,27.7,25.97,26.31,10227424.0
2023-04-18,BTU,26.12,26.7099,25.73,26.15,3724200.0
2023-04-19,BTU,25.77,26.1,25.52,25.83,2420427.0
2023-04-20,BTU,25.55,25.76,24.65,24.68,4015491.0
2023-04-21,BTU,24.46,24.61,24.01,24.09,3463386.0
2023-04-24,BTU,24.0,24.83,23.77,24.65,2240036.0
2023-04-25,BTU,24.16,24.41,23.81,23.89,2972826.0
2023-04-26,BTU,24.19,24.32,23.21,23.41,4149575.0
