Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BVN,7.72,7.89,7.555,7.58,1281727.0
2022-11-10,BVN,8.08,8.13,7.77,7.8,1551296.0
2022-11-11,BVN,7.86,7.87,7.57,7.63,3045616.0
2022-11-14,BVN,7.53,8.12,7.52,8.1,1791491.0
2022-11-15,BVN,8.14,8.17,7.83,8.11,1071615.0
2022-11-16,BVN,8.13,8.24,8.02,8.04,1018319.0
2022-11-17,BVN,7.82,7.95,7.71,7.95,547940.0
2022-11-18,BVN,7.91,7.97,7.73,7.88,550657.0
2022-11-21,BVN,7.87,7.91,7.725,7.74,589309.0
2022-11-22,BVN,7.75,8.1999,7.74,8.14,1108654.0
2022-11-23,BVN,8.2,8.325,8.0795,8.18,1171490.0
2022-11-25,BVN,8.1,8.1212,7.865,8.11,601121.0
2022-11-28,BVN,8.05,8.05,7.595,7.61,880706.0
2022-11-29,BVN,7.7,8.085,7.7,8.01,809598.0
2022-11-30,BVN,8.13,8.23,7.95,8.16,1800892.0
2022-12-01,BVN,8.31,8.41,8.045,8.32,1398947.0
2022-12-02,BVN,8.16,8.35,8.08,8.33,1120315.0
2022-12-05,BVN,8.17,8.18,7.97,8.03,1616449.0
2022-12-06,BVN,8.07,8.26,8.07,8.14,862589.0
2022-12-07,BVN,8.19,8.37,7.54,7.85,3843809.0
2022-12-08,BVN,7.97,8.09,7.91,8.02,1724790.0
2022-12-09,BVN,8.22,8.42,8.08,8.1,971737.0
2022-12-12,BVN,8.04,8.06,7.81,7.97,1105651.0
2022-12-13,BVN,8.0,8.27,7.91,8.02,815778.0
2022-12-14,BVN,7.97,8.02,7.7,7.83,801732.0
2022-12-15,BVN,7.59,7.715,7.45,7.46,1653907.0
2022-12-16,BVN,7.52,7.52,7.235,7.3,6746994.0
2022-12-19,BVN,7.36,7.515,7.19,7.28,1437765.0
2022-12-20,BVN,7.43,7.7,7.41,7.64,1216759.0
2022-12-21,BVN,7.71,7.8,7.6,7.64,613765.0
2022-12-22,BVN,7.52,7.56,7.25,7.51,892289.0
2022-12-23,BVN,7.55,7.59,7.36,7.44,447076.0
2022-12-27,BVN,7.51,7.85,7.44,7.66,624377.0
2022-12-28,BVN,7.61,7.64,7.34,7.51,911662.0
2022-12-29,BVN,7.59,7.655,7.44,7.54,631713.0
2022-12-30,BVN,7.54,7.585,7.36,7.45,356150.0
2023-01-03,BVN,7.64,7.86,7.54,7.61,1090268.0
2023-01-04,BVN,7.68,7.885,7.6,7.78,672966.0
2023-01-05,BVN,7.65,7.95,7.57,7.86,752988.0
2023-01-06,BVN,8.03,8.2,7.9,8.12,960433.0
2023-01-09,BVN,8.22,8.27,8.095,8.12,566902.0
2023-01-10,BVN,8.17,8.39,8.07,8.14,1161308.0
2023-01-11,BVN,8.13,8.22,7.98,8.05,3450929.0
2023-01-12,BVN,8.2,8.33,8.07,8.31,1385136.0
2023-01-13,BVN,8.32,8.59,8.25,8.36,1400591.0
2023-01-17,BVN,8.11,8.24,7.81,7.86,1041373.0
2023-01-18,BVN,7.95,8.315,7.91,8.04,1106654.0
2023-01-19,BVN,8.06,8.33,8.0,8.18,1074416.0
2023-01-20,BVN,8.15,8.32,8.03,8.32,708184.0
2023-01-23,BVN,8.28,8.295,8.12,8.27,584745.0
2023-01-24,BVN,8.29,8.52,8.15,8.52,749505.0
2023-01-25,BVN,8.48,8.735,8.46,8.5,1175304.0
2023-01-26,BVN,8.43,8.52,8.2,8.41,1225723.0
2023-01-27,BVN,8.25,8.28,7.98,7.99,549770.0
2023-01-30,BVN,7.91,8.15,7.88,8.07,772158.0
2023-01-31,BVN,8.03,8.12,7.92,8.09,1389624.0
2023-02-01,BVN,8.13,8.37,8.01,8.28,729242.0
2023-02-02,BVN,8.37,8.39,7.82,7.87,1182203.0
2023-02-03,BVN,7.7,7.89,7.6157,7.7,2031108.0
2023-02-06,BVN,7.64,7.68,7.48,7.62,1420850.0
2023-02-07,BVN,7.6,7.855,7.51,7.75,1225325.0
2023-02-08,BVN,7.75,7.75,7.61,7.71,621683.0
2023-02-09,BVN,7.71,7.8,7.41,7.42,1562773.0
2023-02-10,BVN,7.47,7.475,7.3,7.39,605093.0
2023-02-13,BVN,7.41,7.42,7.28,7.4,771607.0
2023-02-14,BVN,7.34,7.4901,7.21,7.42,839439.0
2023-02-15,BVN,7.21,7.31,7.075,7.3,1730216.0
2023-02-16,BVN,7.24,7.375,7.16,7.36,711181.0
2023-02-17,BVN,7.24,7.465,7.09,7.44,643379.0
2023-02-21,BVN,7.45,7.75,7.41,7.7,1123849.0
2023-02-22,BVN,7.7,7.705,7.44,7.49,1258953.0
2023-02-23,BVN,7.46,7.555,7.2,7.43,1728742.0
2023-02-24,BVN,7.3,7.39,7.245,7.37,643600.0
2023-02-27,BVN,7.42,7.54,7.38,7.42,661706.0
2023-02-28,BVN,7.4,7.69,7.33,7.58,1590028.0
2023-03-01,BVN,7.745,8.47,7.68,8.29,2477484.0
2023-03-02,BVN,8.29,8.51,8.285,8.51,1371839.0
2023-03-03,BVN,8.63,8.65,8.47,8.57,695419.0
2023-03-06,BVN,8.51,8.6,8.28,8.38,616957.0
2023-03-07,BVN,8.29,8.29,7.88,8.02,1508272.0
2023-03-08,BVN,8.04,8.11,7.92,8.04,1938273.0
2023-03-09,BVN,8.05,8.315,7.87,7.87,920447.0
2023-03-10,BVN,8.01,8.13,7.855,7.86,735373.0
2023-03-13,BVN,8.15,8.425,8.06,8.08,2547604.0
2023-03-14,BVN,8.05,8.32,8.02,8.19,963580.0
2023-03-15,BVN,8.37,8.5,8.01,8.15,1361308.0
2023-03-16,BVN,8.16,8.2,7.77,7.92,1260398.0
2023-03-17,BVN,8.13,8.6,7.94,8.35,5302890.0
2023-03-20,BVN,8.41,8.46,8.07,8.38,753792.0
