Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,BWMX,6.7646,7.08,6.73,7.0,48290
2022-11-10,BWMX,7.2,7.2,6.82,6.94,28118
2022-11-11,BWMX,7.01,7.1,6.9395,7.0,37272
2022-11-14,BWMX,7.0,7.3,6.95,7.23,51422
2022-11-15,BWMX,7.38,7.5,7.0184,7.25,26848
2022-11-16,BWMX,7.29,7.3499,6.93,6.98,36905
2022-11-17,BWMX,6.9,7.44,6.84,7.44,67499
2022-11-18,BWMX,7.44,7.5,6.815,7.0,25287
2022-11-21,BWMX,6.94,7.01,6.85,7.0,5301
2022-11-22,BWMX,7.0,7.01,6.82,6.85,18420
2022-11-23,BWMX,6.7803,6.99,6.7803,6.99,10842
2022-11-25,BWMX,7.01,7.01,6.8997,6.91,15218
2022-11-28,BWMX,6.95,7.0,6.82,6.9,32016
2022-11-29,BWMX,6.995,6.995,6.82,6.95,17078
2022-11-30,BWMX,7.02,7.02,6.7,6.79,25404
2022-12-01,BWMX,6.83,6.895,6.7242,6.76,10927
2022-12-02,BWMX,6.72,7.0,6.72,6.86,21446
2022-12-05,BWMX,6.87,6.87,6.55,6.8,25746
2022-12-06,BWMX,6.79,6.79,6.39,6.62,25095
2022-12-07,BWMX,6.61,6.64,6.39,6.5,24091
2022-12-08,BWMX,6.49,6.75,6.4,6.58,27361
2022-12-09,BWMX,6.64,7.0,6.515,6.97,49577
2022-12-12,BWMX,7.03,7.03,6.41,6.52,53936
2022-12-13,BWMX,6.5,6.98,6.5,6.89,43065
2022-12-14,BWMX,6.92,7.03,6.7,6.83,34511
2022-12-15,BWMX,6.83,6.99,6.7,6.81,27789
2022-12-16,BWMX,6.75,6.95,6.75,6.83,7469
2022-12-19,BWMX,6.8964,6.92,6.7,6.85,14810
2022-12-20,BWMX,6.85,6.8603,6.51,6.67,83853
2022-12-21,BWMX,6.68,6.7637,6.44,6.49,84630
2022-12-22,BWMX,6.34,6.73,6.3377,6.73,45816
2022-12-23,BWMX,6.65,6.6799,6.44,6.55,15132
2022-12-27,BWMX,6.59,6.74,6.48,6.6,53914
2022-12-28,BWMX,6.53,6.71,6.33,6.33,57429
2022-12-29,BWMX,6.4,6.57,6.4,6.42,38951
2022-12-30,BWMX,6.4,6.45,6.33,6.42,43447
2023-01-03,BWMX,6.4,6.57,6.26,6.31,19327
2023-01-04,BWMX,6.38,6.79,6.38,6.695,35347
2023-01-05,BWMX,6.7,6.84,6.605,6.84,5054
2023-01-06,BWMX,6.83,6.84,6.6433,6.68,3739
2023-01-09,BWMX,6.8501,7.085,6.78,7.0,30739
2023-01-10,BWMX,6.99,7.36,6.99,7.3,6719
2023-01-11,BWMX,7.22,7.48,7.01,7.31,12669
2023-01-12,BWMX,7.13,7.48,7.13,7.37,20556
2023-01-13,BWMX,7.44,7.97,7.39,7.93,34383
2023-01-17,BWMX,7.82,8.19,7.8,8.05,44306
2023-01-18,BWMX,8.1473,8.24,7.9,7.9,41979
2023-01-19,BWMX,7.9,7.93,7.55,7.75,20220
2023-01-20,BWMX,7.68,8.1,7.67,8.1,7564
2023-01-23,BWMX,8.1,8.36,7.85,8.36,17485
