Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CANB,1.725,2.3,1.725,2.3,3671.0
2022-11-10,CANB,2.125,2.2,2.125,2.2,5403.0
2022-11-11,CANB,2.16,2.2,2.16,2.2,2302.0
2022-11-14,CANB,2.1,2.15,1.96,2.0,3259.0
2022-11-15,CANB,1.75,2.0,1.75,2.0,834.0
2022-11-16,CANB,2.0,2.0,2.0,2.0,300.0
2022-11-18,CANB,2.12,2.12,2.1,2.1,1803.0
2022-11-21,CANB,2.0,2.1,2.0,2.1,509.0
2022-11-22,CANB,1.76,1.76,1.02,1.44,8481.0
2022-11-23,CANB,1.21,1.375,1.21,1.3,1304.0
2022-11-25,CANB,1.4,1.75,1.4,1.6,2148.0
2022-11-28,CANB,1.66,1.8,1.66,1.8,1489.0
2022-11-29,CANB,1.71,2.0,1.71,2.0,4092.0
2022-11-30,CANB,1.95,2.24,1.814,1.814,1891.0
2022-12-01,CANB,1.9,1.9,1.9,1.9,320.0
2022-12-02,CANB,1.9,2.1,1.85,2.1,1441.0
2022-12-08,CANB,1.475,1.5,1.475,1.5,839.0
2022-12-09,CANB,1.475,1.475,1.475,1.475,208.0
2022-12-12,CANB,1.45,1.475,1.25,1.25,2789.0
2022-12-13,CANB,1.21,1.25,1.185,1.25,2116.0
2022-12-14,CANB,1.24,1.35,1.215,1.25,3669.0
2022-12-15,CANB,1.22,1.22,1.125,1.15,2138.0
2022-12-16,CANB,1.1,1.1,1.05,1.05,1671.0
2022-12-19,CANB,1.01,1.01,1.0,1.0,1846.0
2022-12-20,CANB,0.96,1.1,0.95,1.1,2268.0
2022-12-21,CANB,1.05,1.05,1.05,1.05,305.0
2022-12-22,CANB,1.075,1.4,1.05,1.3,20200.0
2022-12-23,CANB,1.4,1.4,1.4,1.4,144.0
2022-12-27,CANB,1.25,1.25,1.16,1.17,4345.0
2022-12-28,CANB,1.185,1.2,1.05,1.05,6207.0
2022-12-29,CANB,1.03,1.11,1.0,1.04,15075.0
2022-12-30,CANB,1.04,1.3,1.04,1.3,17578.0
2023-01-03,CANB,1.27,1.3,1.24,1.3,3303.0
2023-01-04,CANB,1.37,1.75,1.275,1.75,9232.0
2023-01-05,CANB,1.5,1.5,1.5,1.5,103.0
2023-01-06,CANB,1.5,1.5,1.26,1.26,1500.0
2023-01-09,CANB,1.26,1.4,1.26,1.4,2048.0
2023-01-10,CANB,1.45,1.45,1.45,1.45,500.0
2023-01-11,CANB,1.26,1.26,1.125,1.22,4382.0
2023-01-12,CANB,1.25,1.25,1.25,1.25,775.0
2023-01-13,CANB,1.12,1.2,1.12,1.2,2503.0
2023-01-17,CANB,1.1,1.25,1.1,1.25,3432.0
2023-01-18,CANB,1.2,1.3,1.05,1.28,5706.0
2023-01-19,CANB,1.25,1.25,1.175,1.22,3157.0
2023-01-20,CANB,1.15,1.2,1.1,1.2,7400.0
2023-01-23,CANB,1.2,1.25,1.15,1.15,5969.0
2023-01-24,CANB,1.125,1.15,1.125,1.125,431.0
2023-01-25,CANB,1.25,1.25,1.2,1.2,4343.0
2023-01-26,CANB,1.2,1.2,1.195,1.2,1115.0
2023-01-27,CANB,1.25,1.25,1.25,1.25,619.0
2023-01-30,CANB,1.25,1.25,0.75005,1.0,7707.0
2023-01-31,CANB,1.0,1.14,0.975,1.05,7912.0
2023-02-01,CANB,1.1,1.1,1.1,1.1,3388.0
2023-02-02,CANB,1.075,1.1,1.075,1.1,2036.0
2023-02-03,CANB,1.05,1.05,0.99,1.04,1394.0
2023-02-06,CANB,1.0,1.0,0.96755,1.0,3583.0
2023-02-07,CANB,0.98,1.05,0.98,1.0,1237.0
2023-02-08,CANB,0.9775,1.0,0.9775,1.0,2110.0
2023-02-09,CANB,0.96755,1.0,0.96755,1.0,1200.0
2023-02-10,CANB,0.9351,0.95,0.805,0.95,7157.0
2023-02-13,CANB,0.96,1.0,0.96,1.0,1105.0
2023-02-14,CANB,0.86,0.9,0.86,0.9,2260.0
2023-02-16,CANB,0.8,0.8,0.8,0.8,492.0
2023-02-17,CANB,0.85,0.85,0.76,0.7701,13100.0
2023-02-21,CANB,0.795,0.8,0.795,0.8,4018.0
2023-02-22,CANB,0.8,0.8,0.8,0.8,2914.0
2023-02-23,CANB,0.9,1.0,0.76,0.76,2120.0
2023-02-24,CANB,0.725,0.81,0.725,0.81,7012.0
2023-02-27,CANB,0.68,0.79,0.68,0.79,4502.0
2023-02-28,CANB,0.625,0.7699,0.625,0.75,7100.0
2023-03-01,CANB,0.62,0.74,0.6115,0.7,42600.0
2023-03-02,CANB,0.9499,0.9499,0.49,0.5,62721.0
2023-03-03,CANB,0.5,0.63,0.45,0.63,93461.0
2023-03-06,CANB,0.65,0.65,0.4552,0.485,99640.0
2023-03-07,CANB,0.5,0.545,0.495,0.51,63198.0
2023-03-08,CANB,0.52,0.55,0.52,0.52,8124.0
2023-03-09,CANB,0.8,0.8,0.38,0.65,58512.0
2023-03-10,CANB,0.67,0.74,0.55,0.74,2160.0
2023-03-13,CANB,0.65,0.65,0.65,0.65,1657.0
2023-03-15,CANB,0.7,0.7,0.6,0.6,895.0
