Date,Ticker,Open,High,Low,Close,Volume
2024-10-24,CAPN,9.97,10.025,9.95,9.95,559866
2024-10-25,CAPN,9.96,9.965,9.95,9.96,223138
2024-10-28,CAPN,9.97,10.0,9.96,9.97,4108
2024-10-29,CAPN,9.97,9.97,9.96,9.96,66324
2024-10-30,CAPN,9.97,9.97,9.96,9.965,97488
2024-10-31,CAPN,9.97,10.045,9.965,9.965,175164
2024-11-01,CAPN,9.97,9.97,9.96,9.96,31602
2024-11-04,CAPN,9.98,9.98,9.97,9.97,52618
2024-11-05,CAPN,9.97,9.98,9.96,9.98,260117
2024-11-06,CAPN,10.14,10.14,9.98,9.99,10851
2024-11-07,CAPN,9.98,10.0,9.98,9.99,4242
