Date,Ticker,Open,High,Low,Close,Volume
2023-11-03,CAUD,12.39,12.4,4.5,6.3,837626.0
2023-11-06,CAUD,6.75,7.4,5.31,5.6,1334548.0
2023-11-07,CAUD,5.29,5.4,3.5705,3.8,356340.0
2023-11-08,CAUD,3.57,3.7397,2.23,2.65,359993.0
2023-11-09,CAUD,2.59,2.7578,2.26,2.26,158680.0
2023-11-10,CAUD,2.36,3.73,1.86,2.97,4589226.0
2023-11-13,CAUD,3.67,4.3,2.24,2.4,7843420.0
2023-11-14,CAUD,2.28,2.35,1.94,2.14,1688804.0
2023-11-15,CAUD,2.08,2.17,1.95,2.06,512570.0
2023-11-16,CAUD,1.73,2.0,1.63,1.76,566281.0
2023-11-17,CAUD,1.97,1.98,1.45,1.47,5452605.0
2023-11-20,CAUD,1.4,1.58,1.33,1.5,1225863.0
2023-11-21,CAUD,1.45,1.49,1.3601,1.4,433824.0
2023-11-22,CAUD,1.4,1.4804,1.32,1.4394,376357.0
2023-11-24,CAUD,1.4,1.54,1.39,1.45,276436.0
2023-11-27,CAUD,1.42,1.5,1.31,1.38,346691.0
2023-11-28,CAUD,1.39,1.49,1.33,1.47,360067.0
2023-11-29,CAUD,1.44,1.812,1.42,1.65,2102527.0
2023-11-30,CAUD,1.89,2.12,1.51,1.75,4607968.0
2023-12-01,CAUD,1.68,1.76,1.53,1.67,1163200.0
2023-12-04,CAUD,1.82,1.91,1.67,1.74,1616890.0
2023-12-05,CAUD,1.73,1.8999,1.56,1.79,958595.0
2023-12-06,CAUD,1.8,2.1,1.8,1.93,2037304.0
2023-12-07,CAUD,2.03,2.22,1.82,1.94,2620432.0
2023-12-08,CAUD,1.92,1.96,1.72,1.86,1162184.0
2023-12-11,CAUD,1.73,1.77,1.54,1.59,811726.0
2023-12-12,CAUD,1.57,1.64,1.41,1.47,692772.0
2023-12-13,CAUD,1.51,1.53,1.15,1.26,848148.0
2023-12-14,CAUD,1.28,1.5394,1.28,1.49,565930.0
2023-12-15,CAUD,1.52,1.61,1.46,1.49,571025.0
2023-12-18,CAUD,1.52,1.56,1.38,1.4,506780.0
2023-12-19,CAUD,1.4,1.45,1.26,1.31,393494.0
2023-12-20,CAUD,1.31,1.34,1.23,1.25,188955.0
2023-12-21,CAUD,1.27,1.2936,1.15,1.2,316531.0
2023-12-22,CAUD,1.23,1.35,1.22,1.24,389365.0
2023-12-26,CAUD,1.27,1.29,1.2,1.28,358645.0
2023-12-27,CAUD,1.32,1.338,1.23,1.32,515167.0
2023-12-28,CAUD,1.33,1.54,1.2797,1.4,597151.0
2023-12-29,CAUD,1.45,1.45,1.3101,1.35,266975.0
2024-01-02,CAUD,1.46,1.5199,1.4,1.49,214933.0
2024-01-03,CAUD,1.48,1.49,1.4,1.46,153586.0
2024-01-04,CAUD,1.49,1.49,1.31,1.37,198378.0
2024-01-05,CAUD,1.41,1.415,1.33,1.36,118541.0
2024-01-08,CAUD,1.38,1.39,1.31,1.34,100391.0
2024-01-09,CAUD,1.325,1.34,1.26,1.32,122889.0
2024-01-10,CAUD,1.33,1.33,1.22,1.25,190106.0
2024-01-11,CAUD,1.35,1.35,1.12,1.17,230271.0
2024-01-12,CAUD,1.17,1.18,1.1,1.15,170075.0
2024-01-16,CAUD,1.18,1.18,0.8401,0.94,599902.0
2024-01-17,CAUD,0.95,0.95,0.87,0.9387,175017.0
2024-01-18,CAUD,0.92,0.94,0.88,0.9186,163223.0
2024-01-19,CAUD,0.915,1.03,0.9,0.9996,225738.0
2024-01-22,CAUD,1.01,1.0165,0.901,0.9216,94700.0
2024-01-23,CAUD,0.9304,0.966,0.871,0.885,130509.0
2024-01-24,CAUD,0.885,0.9381,0.842,0.851,97141.0
2024-01-25,CAUD,0.851,0.9167,0.7825,0.8026,134744.0
2024-01-26,CAUD,0.7983,0.8229,0.74,0.755,139871.0
2024-01-29,CAUD,0.799,0.8,0.765,0.785,59768.0
2024-01-30,CAUD,0.81,0.84,0.78,0.78,66469.0
2024-01-31,CAUD,0.7906,0.848999,0.742,0.7434,81516.0
2024-02-01,CAUD,0.7793,0.8199,0.7065,0.768,61620.0
2024-02-02,CAUD,0.7459,0.77,0.712,0.745,120056.0
2024-02-05,CAUD,0.75,0.82,0.7453,0.7672,104764.0
2024-02-06,CAUD,0.8053,0.89,0.803999,0.869,143543.0
2024-02-07,CAUD,0.8745,0.8745,0.800001,0.84,54297.0
2024-02-08,CAUD,0.85,0.85,0.82,0.847,63530.0
2024-02-09,CAUD,0.85,1.09,0.85,1.08,272128.0
2024-02-12,CAUD,1.24,1.39,0.9569,1.01,1527627.0
2024-02-13,CAUD,0.9936,1.1499,0.94,1.13,262069.0
2024-02-14,CAUD,1.2,1.24,1.09,1.14,233923.0
2024-02-15,CAUD,1.14,1.1407,1.07,1.12,90216.0
2024-02-16,CAUD,1.11,1.12,1.01,1.11,119478.0
2024-02-20,CAUD,1.11,1.21,1.04,1.08,184079.0
2024-02-21,CAUD,1.1,1.1299,1.01,1.07,62354.0
2024-02-22,CAUD,1.04,1.1,1.012,1.05,59893.0
2024-02-23,CAUD,1.06,1.0999,1.02,1.05,90823.0
2024-02-26,CAUD,1.04,1.07,0.99,0.99,102807.0
2024-02-27,CAUD,0.988,0.988,0.91,0.9149,118617.0
2024-02-28,CAUD,0.9,0.98,0.9,0.937,28785.0
2024-02-29,CAUD,0.97,1.03,0.92,0.95,77168.0
2024-03-01,CAUD,0.9215,1.5965,0.9215,1.09,2824208.0
2024-03-04,CAUD,1.0,1.09,0.94,1.06,305083.0
2024-03-05,CAUD,1.06,1.07,0.97,1.015,104774.0
2024-03-06,CAUD,0.9999,1.1,0.915,0.925,150058.0
2024-03-07,CAUD,0.9404,1.02,0.9376,0.97,73749.0
2024-03-08,CAUD,0.98,0.9999,0.9355,0.95,68423.0
2024-03-11,CAUD,0.955,1.02,0.9225,0.9998,143574.0
2024-03-12,CAUD,1.03,1.0325,0.9458,0.97,40055.0
2024-03-13,CAUD,0.96,0.9825,0.9099,0.9125,92262.0
2024-03-14,CAUD,0.94,0.97,0.9099,0.93,51567.0
2024-03-15,CAUD,0.91,0.94,0.91,0.91,88904.0
2024-03-18,CAUD,0.98,1.01,0.91,0.92,478459.0
2024-03-19,CAUD,0.9975,0.9975,0.8,0.8412,352544.0
2024-03-20,CAUD,0.84,0.85,0.7504,0.7853,213206.0
2024-03-21,CAUD,0.7685,0.81,0.6924,0.722,305132.0
2024-03-22,CAUD,0.7105,0.7964,0.6901,0.73,125857.0
2024-03-25,CAUD,0.7181,0.729999,0.6611,0.69,126452.0
2024-03-26,CAUD,0.718,0.73,0.68,0.701,49294.0
2024-03-27,CAUD,0.6927,0.73,0.6001,0.678,150894.0
2024-03-28,CAUD,0.6577,0.68,0.61,0.626,90314.0
2024-04-01,CAUD,0.64,0.649,0.568,0.609,139169.0
2024-04-02,CAUD,0.609,0.63,0.5601,0.608,72316.0
2024-04-03,CAUD,0.61,0.6105,0.5111,0.585,116982.0
2024-04-04,CAUD,0.571,0.579999,0.4823,0.540601,131665.0
2024-04-05,CAUD,0.56,0.72,0.5408,0.6964,274765.0
2024-04-08,CAUD,0.77,0.804351,0.53,0.56,6934036.0
2024-04-09,CAUD,0.56,0.6,0.53,0.54975,459825.0
2024-04-10,CAUD,0.55,0.55,0.4799,0.5195,383274.0
2024-04-11,CAUD,0.515,0.5459,0.43,0.467,464360.0
2024-04-12,CAUD,0.47,0.4772,0.466,0.4755,104953.0
2024-04-15,CAUD,0.4746,0.5,0.4303,0.479534,196979.0
2024-04-16,CAUD,0.505,0.505,0.48,0.485,214690.0
2024-04-17,CAUD,0.5,0.53,0.48,0.5102,137562.0
2024-04-18,CAUD,0.5376,0.5497,0.42,0.4493,270245.0
2024-04-19,CAUD,0.44,0.4454,0.3815,0.4212,194770.0
2024-04-22,CAUD,0.4251,0.48,0.39,0.4022,365327.0
2024-04-23,CAUD,0.418,0.4495,0.4,0.4409,141644.0
2024-04-24,CAUD,0.447,0.45,0.38,0.406,184693.0
2024-04-25,CAUD,0.4306,0.4448,0.39,0.44,95160.0
2024-04-26,CAUD,0.458,0.458,0.37,0.39,393890.0
2024-04-29,CAUD,0.6194,0.8661,0.5849,0.6301,157760439.0
2024-04-30,CAUD,0.5504,0.6899,0.532,0.6899,5774063.0
2024-05-01,CAUD,0.63,0.7898,0.6183,0.6523,2669665.0
2024-05-02,CAUD,0.67,0.7,0.52,0.6352,1089231.0
2024-05-03,CAUD,0.6448,0.67,0.605,0.63,407696.0
2024-05-06,CAUD,0.6067,0.6372,0.552,0.622,506432.0
2024-05-07,CAUD,0.61,0.639,0.5568,0.5694,558525.0
2024-05-08,CAUD,0.5651,0.59789,0.56,0.5702,101962.0
2024-05-09,CAUD,0.5738,0.5898,0.5503,0.5631,206247.0
2024-05-10,CAUD,0.5565,0.56,0.525,0.5365,327489.0
2024-05-13,CAUD,0.559,0.559,0.522,0.5308,176282.0
2024-05-14,CAUD,0.52,0.52,0.47,0.4825,421211.0
2024-05-15,CAUD,0.471,0.4936,0.4451,0.48,185096.0
2024-05-16,CAUD,0.48,0.51,0.48,0.49,263257.0
2024-05-17,CAUD,0.52,0.55,0.495,0.5098,157458.0
2024-05-20,CAUD,0.52,0.538,0.4933,0.538,95842.0
2024-05-21,CAUD,0.54,0.5429,0.4713,0.505,120109.0
2024-05-22,CAUD,0.51,0.535,0.46,0.5,400060.0
2024-05-23,CAUD,0.485,0.5,0.43,0.44,372195.0
2024-05-24,CAUD,0.45,0.47,0.4301,0.45,128149.0
2024-05-28,CAUD,0.463,0.474999,0.4,0.4384,657296.0
2024-05-29,CAUD,0.426,0.438399,0.406,0.43,36357.0
2024-05-30,CAUD,0.44,0.46,0.4201,0.4586,150719.0
2024-05-31,CAUD,0.45,0.4598,0.41,0.42,89728.0
2024-06-03,CAUD,0.4153,0.4305,0.38,0.3994,441048.0
2024-06-04,CAUD,0.405,0.421,0.35,0.389,900410.0
2024-06-05,CAUD,0.408,0.4298,0.37,0.408,97631.0
2024-06-06,CAUD,0.408,0.4092,0.3836,0.4,62084.0
2024-06-07,CAUD,0.39,0.4095,0.36,0.3783,135604.0
2024-06-10,CAUD,0.3801,0.392,0.37,0.3825,42295.0
2024-06-11,CAUD,0.371,0.3913,0.354,0.3693,185934.0
2024-06-12,CAUD,0.3733,0.419,0.36,0.39,277087.0
2024-06-13,CAUD,0.4,0.4,0.369,0.379,135503.0
2024-06-14,CAUD,0.3979,0.3986,0.36,0.3985,200337.0
2024-06-17,CAUD,0.401,0.494999,0.401,0.458,609621.0
2024-06-18,CAUD,0.4543,0.4585,0.388,0.4155,147832.0
2024-06-20,CAUD,0.403,0.4199,0.4002,0.4199,14638.0
2024-06-21,CAUD,0.4041,0.4398,0.4041,0.4394,47502.0
2024-06-24,CAUD,0.4698,0.4898,0.455,0.486,102952.0
2024-06-25,CAUD,0.482,0.483899,0.44,0.4566,105516.0
2024-06-26,CAUD,0.465,0.58,0.465,0.5445,281253.0
2024-06-27,CAUD,0.5282,0.579,0.501,0.559,244460.0
2024-06-28,CAUD,0.56,0.58,0.5045,0.5408,56812.0
2024-07-01,CAUD,0.6,0.6,0.5185,0.5449,106078.0
2024-07-02,CAUD,0.532,0.563608,0.5091,0.5142,64927.0
2024-07-03,CAUD,0.52,0.5499,0.5,0.538,30127.0
2024-07-05,CAUD,0.5428,0.5428,0.4878,0.5209,41915.0
2024-07-08,CAUD,0.5469,0.5469,0.506,0.5328,42469.0
2024-07-09,CAUD,0.54,0.54,0.5093,0.5349,37827.0
2024-07-10,CAUD,0.530101,0.530701,0.508,0.515,15763.0
2024-07-11,CAUD,0.52,0.5299,0.4941,0.5243,43546.0
2024-07-12,CAUD,0.52,0.5299,0.52,0.5299,20007.0
2024-07-15,CAUD,0.518,0.538,0.518,0.5354,212800.0
2024-07-16,CAUD,0.508,0.5789,0.4175,0.4485,357217.0
2024-07-17,CAUD,0.45,0.4999,0.4215,0.432,249365.0
2024-07-18,CAUD,0.4198,0.53,0.36,0.5295,354178.0
2024-07-19,CAUD,0.53,0.53,0.43,0.434,87957.0
2024-07-22,CAUD,0.4375,0.47,0.4375,0.469,37032.0
2024-07-23,CAUD,0.47,0.4799,0.44,0.4799,55699.0
2024-07-24,CAUD,0.4575,0.485,0.4575,0.48,83352.0
2024-07-25,CAUD,0.4706,0.49,0.4501,0.4811,49836.0
2024-07-26,CAUD,0.4821,0.5,0.475,0.499,2360261.0
2024-07-29,CAUD,0.4677,0.4923,0.4501,0.4788,232707.0
2024-07-30,CAUD,0.4601,0.4799,0.415,0.415,149658.0
2024-07-31,CAUD,0.448,0.469,0.421,0.433,205260.0
2024-08-01,CAUD,0.448,0.4599,0.421,0.4484,34910.0
2024-08-02,CAUD,0.4421,0.4479,0.4,0.4,54160.0
2024-08-05,CAUD,0.3999,0.3999,0.375,0.395,47266.0
2024-08-06,CAUD,0.382,0.3999,0.37,0.375,67170.0
2024-08-07,CAUD,0.41,0.4498,0.41,0.421,219803.0
2024-08-08,CAUD,0.4206,0.430799,0.37,0.4,131611.0
2024-08-09,CAUD,0.4149,0.45,0.4051,0.4131,129205.0
2024-08-12,CAUD,0.416,0.44,0.4,0.4323,56692.0
2024-08-13,CAUD,0.4385,0.439799,0.41,0.4304,72479.0
2024-08-14,CAUD,0.4391,0.4391,0.4101,0.432,39397.0
2024-08-15,CAUD,0.4316,0.4575,0.1323,0.2061,3346337.0
2024-08-16,CAUD,0.1706,0.2895,0.1612,0.251,427066.0
2024-08-19,CAUD,0.24,0.27,0.24,0.26,375358.0
2024-08-20,CAUD,0.2551,0.33,0.21,0.323,164819.0
2024-08-21,CAUD,0.33,0.47,0.305,0.45,96514.0
2024-08-22,CAUD,0.421,0.51,0.421,0.4999,68134.0
2024-08-23,CAUD,0.462,0.5,0.462,0.4765,63957.0
2024-08-26,CAUD,0.4621,0.47,0.43361,0.47,55079.0
2024-08-27,CAUD,0.432,0.4358,0.3887,0.435,7341.0
2024-08-28,CAUD,0.35,0.435,0.35,0.435,6473.0
2024-08-29,CAUD,0.45,0.45,0.3712,0.42,9415.0
2024-08-30,CAUD,0.3381,0.49,0.3381,0.47,88561.0
2024-09-03,CAUD,0.408,0.48,0.337,0.4,9078.0
2024-09-04,CAUD,0.338,0.4119,0.33,0.35,82969.0
2024-09-05,CAUD,0.35,0.35,0.2944,0.3411,48730.0
2024-09-06,CAUD,0.35,0.48,0.35,0.4798,54117.0
2024-09-09,CAUD,0.47287,0.4798,0.4229,0.46,85738.0
2024-09-10,CAUD,0.43,0.48,0.43,0.46995,59208.0
2024-09-11,CAUD,0.44,0.46,0.396,0.4299,28627.0
2024-09-12,CAUD,0.3567,0.53,0.3567,0.5199,198285.0
2024-09-13,CAUD,0.47499,0.519,0.47499,0.51,5227.0
2024-09-16,CAUD,0.4701,0.5099,0.46,0.4897,46833.0
2024-09-17,CAUD,0.4501,0.5388,0.4501,0.5388,9099.0
2024-09-18,CAUD,0.52,0.538,0.52,0.525,109001.0
2024-09-19,CAUD,0.52,0.56,0.5,0.5199,34543.0
2024-09-20,CAUD,0.5004,0.5199,0.45,0.5199,3627.0
2024-09-23,CAUD,0.4835,0.5139,0.47,0.5139,3585.0
2024-09-24,CAUD,0.47,0.57,0.47,0.53,46718.0
2024-09-25,CAUD,0.54,0.555,0.54,0.55,14118.0
2024-09-26,CAUD,0.55,0.64,0.55,0.64,60105.0
2024-09-27,CAUD,0.62,0.66,0.6001,0.659,25172.0
2024-09-30,CAUD,0.471,0.79,0.471,0.78,131445.0
2024-10-01,CAUD,0.705,0.82,0.7,0.77,52682.0
2024-10-02,CAUD,0.745,0.869,0.745,0.84,91839.0
2024-10-03,CAUD,0.850125,0.895,0.8501,0.8501,50281.0
2024-10-04,CAUD,0.88,1.14,0.88,0.89,179107.0
2024-10-07,CAUD,0.85,0.9688,0.8369,0.92,27203.0
2024-10-08,CAUD,0.93,1.1,0.89,0.94,58499.0
2024-10-09,CAUD,1.0,1.1,0.93,0.97,61065.0
2024-10-10,CAUD,0.95,0.99,0.8819,0.94,45340.0
2024-10-11,CAUD,0.8215,0.94,0.7965,0.85,8971.0
2024-10-14,CAUD,0.79525,0.8922,0.6385,0.74,19283.0
2024-10-15,CAUD,0.555,0.74,0.5,0.545,61043.0
2024-10-16,CAUD,0.54,0.62,0.51,0.62,33013.0
2024-10-17,CAUD,0.61,0.6766,0.57,0.66,18133.0
2024-10-18,CAUD,0.59,0.67,0.544,0.67,41183.0
2024-10-21,CAUD,0.66,0.7478,0.64,0.7478,19555.0
2024-10-22,CAUD,0.686,0.686,0.67,0.68,9011.0
2024-10-23,CAUD,0.64,0.73,0.64,0.7025,681.0
2024-10-24,CAUD,0.65,0.7025,0.65,0.7025,464.0
2024-10-25,CAUD,0.68,0.75,0.68,0.73,11239.0
2024-10-28,CAUD,0.6501,0.75,0.6501,0.7099,29225.0
2024-10-29,CAUD,0.5954,0.73,0.5409,0.715,17779.0
2024-10-30,CAUD,0.71,0.77,0.71,0.75,15722.0
2024-10-31,CAUD,0.6943,0.77,0.5912,0.7261,33285.0
2024-11-01,CAUD,0.8,0.8,0.725,0.725,3981.0
2024-11-04,CAUD,0.725,0.78,0.661,0.75,5748.0
2024-11-05,CAUD,0.6609,0.78,0.6609,0.68,2351.0
2024-11-06,CAUD,0.6609,0.75,0.6609,0.75,14134.0
2024-11-07,CAUD,0.696175,0.785,0.6648,0.75495,9857.0
