Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CBRL,111.18,112.35,109.73,110.21,213185.0
2022-11-10,CBRL,113.49,117.64,112.93,117.2,505385.0
2022-11-11,CBRL,117.44,118.37,115.0,117.5,380992.0
2022-11-14,CBRL,116.8,119.175,116.0,118.37,433090.0
2022-11-15,CBRL,120.0,120.85,115.91,117.11,425963.0
2022-11-16,CBRL,116.46,116.6999,115.12,115.89,301066.0
2022-11-17,CBRL,114.97,116.0,114.01,115.67,266347.0
2022-11-18,CBRL,117.44,118.0,115.39,116.39,267431.0
2022-11-21,CBRL,116.24,116.88,115.58,116.52,287457.0
2022-11-22,CBRL,116.66,118.8,115.57,118.76,243281.0
2022-11-23,CBRL,117.95,118.961,115.83,116.19,293063.0
2022-11-25,CBRL,116.26,117.665,115.525,117.33,132808.0
2022-11-28,CBRL,116.89,117.64,113.765,113.96,418588.0
2022-11-29,CBRL,115.04,115.14,113.16,113.59,442140.0
2022-11-30,CBRL,113.33,115.43,111.55,114.8,472301.0
2022-12-01,CBRL,115.05,115.705,112.785,113.56,558706.0
2022-12-02,CBRL,103.97,105.77,98.12,98.87,1879950.0
2022-12-05,CBRL,98.21,98.505,93.59,96.47,1130048.0
2022-12-06,CBRL,96.08,98.22,95.16,95.98,695902.0
2022-12-07,CBRL,95.43,96.4,94.16,95.67,487691.0
2022-12-08,CBRL,96.68,101.62,95.79,101.16,637137.0
2022-12-09,CBRL,100.33,101.9775,99.55,99.92,435036.0
2022-12-12,CBRL,99.74,99.74,97.35,99.29,485954.0
2022-12-13,CBRL,101.905,101.91,97.76,99.12,399897.0
2022-12-14,CBRL,100.14,100.98,97.5,99.12,344712.0
2022-12-15,CBRL,98.49,98.86,96.92,98.52,295152.0
2022-12-16,CBRL,97.06,98.26,95.53,97.33,738031.0
2022-12-19,CBRL,97.39,97.39,94.18,95.09,450993.0
2022-12-20,CBRL,96.07,96.2582,94.44,95.45,393406.0
2022-12-21,CBRL,96.15,97.33,94.995,95.63,353192.0
2022-12-22,CBRL,95.61,97.01,94.2425,96.78,340298.0
2022-12-23,CBRL,96.64,97.815,95.625,97.14,342496.0
2022-12-27,CBRL,97.14,97.8599,95.61,96.07,319669.0
2022-12-28,CBRL,96.78,97.37,94.5,95.27,297149.0
2022-12-29,CBRL,96.02,96.99,95.08,96.26,247468.0
2022-12-30,CBRL,96.0,96.045,94.185,94.74,351743.0
2023-01-03,CBRL,95.74,95.995,93.03,94.41,574508.0
2023-01-04,CBRL,95.75,97.72,94.74,97.15,428112.0
2023-01-05,CBRL,96.71,96.89,94.705,96.5,316592.0
2023-01-06,CBRL,97.18,98.52,96.07,98.46,376011.0
2023-01-09,CBRL,99.69,99.69,96.305,98.86,641453.0
2023-01-10,CBRL,99.12,105.11,98.37,104.78,613105.0
2023-01-11,CBRL,105.6,107.2,103.97,104.86,412781.0
2023-01-12,CBRL,104.28,104.865,102.38,102.98,433041.0
2023-01-13,CBRL,102.15,104.905,101.76,104.74,305431.0
2023-01-17,CBRL,105.0,106.97,104.2845,106.91,400569.0
2023-01-18,CBRL,107.0,108.48,106.02,106.56,387080.0
2023-01-19,CBRL,106.08,107.565,105.89,105.92,358156.0
2023-01-20,CBRL,106.79,109.98,105.81,109.93,317266.0
2023-01-23,CBRL,110.0,111.88,109.52,110.62,271018.0
2023-01-24,CBRL,110.4,110.4,104.28,104.88,586264.0
2023-01-25,CBRL,103.67,108.15,102.77,107.99,348667.0
2023-01-26,CBRL,108.57,109.145,107.505,109.01,237554.0
2023-01-27,CBRL,109.35,110.15,108.81,109.76,215526.0
2023-01-30,CBRL,109.03,110.015,108.805,109.06,196891.0
2023-01-31,CBRL,109.01,111.59,108.375,111.58,355749.0
2023-02-01,CBRL,111.35,112.5,107.64,111.72,420959.0
2023-02-02,CBRL,112.04,116.975,112.04,116.03,433497.0
2023-02-03,CBRL,114.83,115.87,114.235,115.37,254116.0
2023-02-06,CBRL,115.02,116.551,114.655,115.4,309514.0
2023-02-07,CBRL,114.7,116.59,113.78,116.17,285647.0
2023-02-08,CBRL,115.49,116.47,112.97,113.29,239405.0
2023-02-09,CBRL,114.4,114.9,111.275,111.77,265691.0
2023-02-10,CBRL,111.2,111.27,106.89,108.2,536383.0
2023-02-13,CBRL,108.84,110.88,108.48,110.67,243352.0
2023-02-14,CBRL,110.19,111.575,108.74,110.85,232656.0
2023-02-15,CBRL,110.49,112.13,110.13,111.78,291015.0
2023-02-16,CBRL,111.0,113.245,110.15,111.01,356700.0
2023-02-17,CBRL,110.89,111.29,109.55,110.58,248464.0
2023-02-21,CBRL,110.05,110.7862,107.92,108.33,325888.0
2023-02-22,CBRL,108.55,110.99,108.55,110.92,301799.0
2023-02-23,CBRL,110.92,111.89,107.5,109.19,307487.0
2023-02-24,CBRL,108.13,110.03,108.13,109.25,333390.0
2023-02-27,CBRL,110.31,110.31,107.76,107.79,619657.0
2023-02-28,CBRL,115.0,116.69,106.6,108.96,881964.0
2023-03-01,CBRL,109.36,112.485,108.17,110.82,465271.0
2023-03-02,CBRL,110.86,113.21,110.212,112.67,327943.0
2023-03-03,CBRL,113.08,113.08,109.58,109.87,305635.0
2023-03-06,CBRL,111.58,113.88,110.54,110.86,791428.0
2023-03-07,CBRL,110.8,112.66,109.9,110.34,424883.0
2023-03-08,CBRL,110.35,111.27,109.795,111.07,371854.0
2023-03-09,CBRL,111.52,112.0,107.86,107.88,497933.0
2023-03-10,CBRL,107.75,109.2,105.98,106.24,550741.0
2023-03-13,CBRL,105.34,109.99,104.74,109.37,770291.0
2023-03-14,CBRL,110.81,113.54,109.86,111.12,698921.0
2023-03-15,CBRL,109.73,112.045,108.78,111.96,844257.0
2023-03-16,CBRL,110.82,114.5,110.05,114.12,525644.0
2023-03-17,CBRL,113.57,114.42,108.49,110.71,5625477.0
2023-03-20,CBRL,110.71,114.42,109.83,113.55,598419.0
2023-03-21,CBRL,114.5,115.24,111.69,112.45,502703.0
2023-03-22,CBRL,112.67,115.645,112.0,113.57,395276.0
2023-03-23,CBRL,114.53,114.57,110.52,112.41,411730.0
2023-03-24,CBRL,113.98,113.98,111.39,112.57,454141.0
2023-03-27,CBRL,113.14,113.71,110.91,111.52,529819.0
2023-03-28,CBRL,111.26,113.24,110.92,112.82,272764.0
2023-03-29,CBRL,113.22,113.5,111.56,112.96,293043.0
2023-03-30,CBRL,113.21,113.89,111.99,112.41,298662.0
2023-03-31,CBRL,113.07,114.22,112.42,113.6,498784.0
2023-04-03,CBRL,113.41,114.66,112.9,113.94,328147.0
2023-04-04,CBRL,113.95,114.28,111.91,112.91,300536.0
2023-04-05,CBRL,112.9,113.21,110.925,113.04,308291.0
2023-04-06,CBRL,113.34,113.44,112.0,113.13,311793.0
2023-04-10,CBRL,113.28,118.65,112.93,118.2,926558.0
2023-04-11,CBRL,118.49,120.605,118.315,120.13,575489.0
2023-04-12,CBRL,120.39,121.17,117.02,117.29,381833.0
2023-04-13,CBRL,116.5,116.9,114.7,115.18,375576.0
2023-04-14,CBRL,115.22,116.81,113.15,113.48,398656.0
2023-04-17,CBRL,113.7,114.18,106.48,107.97,1159021.0
