Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CCCC,9.06,9.06,7.75,7.8,557739.0
2022-11-10,CCCC,8.2,8.91,8.11,8.79,787611.0
2022-11-11,CCCC,8.69,9.4,8.56,9.04,345976.0
2022-11-14,CCCC,8.93,9.38,8.84,9.11,277020.0
2022-11-15,CCCC,9.48,9.82,9.16,9.72,1045055.0
2022-11-16,CCCC,9.68,10.08,9.61,9.8,338668.0
2022-11-17,CCCC,9.63,9.75,9.33,9.6,261750.0
2022-11-18,CCCC,9.91,9.98,9.56,9.69,191331.0
2022-11-21,CCCC,9.67,10.01,9.52,9.62,354822.0
2022-11-22,CCCC,9.66,9.66,9.075,9.38,462491.0
2022-11-23,CCCC,9.37,9.53,7.8,7.86,371101.0
2022-11-25,CCCC,7.81,8.05,6.705,7.93,444069.0
2022-11-28,CCCC,7.92,8.25,7.72,7.95,898554.0
2022-11-29,CCCC,7.87,8.7,7.68,8.0,930462.0
2022-11-30,CCCC,8.185,8.595,7.97,8.57,398527.0
2022-12-01,CCCC,8.62,8.745,8.11,8.42,364663.0
2022-12-02,CCCC,8.27,8.6,8.01,8.56,265023.0
2022-12-05,CCCC,8.5,8.56,7.94,8.28,440240.0
2022-12-06,CCCC,8.25,8.33,7.97,8.12,281900.0
2022-12-07,CCCC,8.16,8.4,8.0,8.22,204762.0
2022-12-08,CCCC,8.42,8.42,7.54,7.83,293547.0
2022-12-09,CCCC,7.78,8.0,7.68,7.85,258842.0
2022-12-12,CCCC,7.93,7.99,7.66,7.94,354104.0
2022-12-13,CCCC,8.29,8.29,7.71,8.04,313710.0
2022-12-14,CCCC,8.02,8.38,7.78,8.19,303831.0
2022-12-15,CCCC,8.04,8.3,7.95,8.1,448627.0
2022-12-16,CCCC,7.95,7.95,6.91,7.36,1271507.0
2022-12-19,CCCC,7.41,7.41,5.9,6.32,969086.0
2022-12-20,CCCC,6.29,6.64,6.123,6.57,414838.0
2022-12-21,CCCC,6.57,6.71,6.32,6.55,450614.0
2022-12-22,CCCC,6.42,6.64,6.07,6.62,398068.0
2022-12-23,CCCC,6.58,6.595,5.9286,6.08,423281.0
2022-12-27,CCCC,6.01,6.095,5.34,5.42,590597.0
2022-12-28,CCCC,5.38,5.795,5.35,5.6,851168.0
2022-12-29,CCCC,5.68,6.06,5.54,5.76,604615.0
2022-12-30,CCCC,5.66,6.0,5.6501,5.9,512157.0
2023-01-03,CCCC,5.92,6.46,5.86,6.38,520119.0
2023-01-04,CCCC,6.4,6.65,6.26,6.64,335800.0
2023-01-05,CCCC,6.63,6.65,6.39,6.51,265012.0
2023-01-06,CCCC,6.56,6.93,6.28,6.72,281598.0
2023-01-09,CCCC,6.78,7.22,6.45,7.15,492545.0
2023-01-10,CCCC,7.15,8.12,7.06,7.9,515824.0
2023-01-11,CCCC,7.89,8.56,7.44,8.49,463900.0
2023-01-12,CCCC,8.55,9.1,7.98,9.02,609679.0
2023-01-13,CCCC,8.81,9.41,8.08,8.54,456883.0
2023-01-17,CCCC,8.49,8.52,7.62,7.86,442580.0
2023-01-18,CCCC,8.05,8.16,7.52,7.53,447623.0
2023-01-19,CCCC,7.44,7.695,7.15,7.58,282265.0
2023-01-20,CCCC,7.76,8.26,7.59,8.17,309789.0
2023-01-23,CCCC,8.2,8.395,8.01,8.24,312160.0
2023-01-24,CCCC,8.18,8.41,8.03,8.09,651719.0
2023-01-25,CCCC,7.85,7.88,7.14,7.72,370140.0
2023-01-26,CCCC,7.87,7.93,7.495,7.66,204048.0
2023-01-27,CCCC,7.64,7.98,7.4701,7.84,218251.0
2023-01-30,CCCC,7.78,8.05,7.68,7.78,279009.0
2023-01-31,CCCC,7.92,8.06,7.55,7.79,435632.0
2023-02-01,CCCC,7.73,8.02,7.64,7.91,306849.0
2023-02-02,CCCC,8.13,8.35,8.0,8.17,387252.0
2023-02-03,CCCC,7.93,8.24,6.84,6.91,915503.0
2023-02-06,CCCC,6.93,7.03,6.43,6.45,510926.0
2023-02-07,CCCC,6.44,6.5585,5.81,6.31,2136148.0
2023-02-08,CCCC,6.31,6.4,5.55,5.94,2411367.0
2023-02-09,CCCC,6.02,6.1685,5.63,5.71,471826.0
2023-02-10,CCCC,5.65,5.98,5.64,5.89,456712.0
2023-02-13,CCCC,6.02,6.02,5.64,5.67,425024.0
2023-02-14,CCCC,5.64,5.96,5.55,5.85,354514.0
2023-02-15,CCCC,5.73,5.8033,5.51,5.77,330475.0
2023-02-16,CCCC,5.74,5.8,5.6,5.66,371245.0
2023-02-17,CCCC,5.71,6.17,5.62,6.07,399205.0
2023-02-21,CCCC,5.95,6.0785,5.65,5.75,472789.0
2023-02-22,CCCC,5.75,6.05,5.73,5.92,465637.0
2023-02-23,CCCC,5.84,6.1651,5.63,6.02,529017.0
2023-02-24,CCCC,5.34,5.62,4.71,5.33,1338795.0
2023-02-27,CCCC,5.36,5.42,5.17,5.34,968128.0
2023-02-28,CCCC,5.3,5.435,5.23,5.27,396651.0
2023-03-01,CCCC,5.31,5.36,4.69,5.045,677934.0
2023-03-02,CCCC,4.93,5.13,4.81,5.065,379250.0
2023-03-03,CCCC,5.14,5.25,5.02,5.15,350862.0
2023-03-06,CCCC,5.18,5.21,4.85,4.94,326547.0
2023-03-07,CCCC,4.91,4.95,4.74,4.85,336781.0
2023-03-08,CCCC,4.85,4.91,4.74,4.91,249265.0
2023-03-09,CCCC,4.92,5.0,4.635,4.67,319645.0
2023-03-10,CCCC,4.67,4.67,4.21,4.38,627804.0
2023-03-13,CCCC,4.3,4.5699,4.3,4.44,938436.0
2023-03-14,CCCC,4.6,4.6,4.265,4.35,706945.0
2023-03-15,CCCC,4.26,4.39,4.14,4.31,595389.0
2023-03-16,CCCC,4.28,4.28,4.02,4.16,556603.0
2023-03-17,CCCC,4.12,4.13,3.84,3.93,2946517.0
2023-03-20,CCCC,4.0,4.07,3.92,4.01,440673.0
2023-03-21,CCCC,4.1,4.12,3.935,3.98,346064.0
2023-03-22,CCCC,3.99,4.2,3.59,3.61,514341.0
2023-03-23,CCCC,3.65,3.805,3.61,3.7,585180.0
2023-03-24,CCCC,3.68,3.73,3.465,3.54,453836.0
2023-03-27,CCCC,3.57,3.61,3.42,3.46,345558.0
2023-03-28,CCCC,3.42,3.46,3.3,3.33,612108.0
2023-03-29,CCCC,3.39,3.48,3.36,3.4,336801.0
