Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CCEP,49.8,49.94,48.97,49.02,1016637.0
2022-11-10,CCEP,50.57,51.07,50.345,50.9,981178.0
2022-11-11,CCEP,51.0,51.82,50.795,51.65,1087476.0
2022-11-14,CCEP,51.65,51.98,51.37,51.5,958952.0
2022-11-15,CCEP,51.55,53.25,51.13,51.44,1962157.0
2022-11-16,CCEP,51.6,51.8,50.78,51.39,1134006.0
2022-11-17,CCEP,49.84,50.72,49.8,50.68,1254495.0
2022-11-18,CCEP,50.87,51.19,50.33,50.79,1322868.0
2022-11-21,CCEP,50.4,51.33,50.22,51.19,753587.0
2022-11-22,CCEP,51.43,52.1,51.25,52.07,974486.0
2022-11-23,CCEP,52.23,52.9,52.23,52.7,587436.0
2022-11-25,CCEP,52.63,52.89,52.41,52.75,330003.0
2022-11-28,CCEP,52.4,53.28,52.34,52.4,770087.0
2022-11-29,CCEP,52.25,52.43,51.51,51.57,632393.0
2022-11-30,CCEP,51.62,53.27,51.21,53.09,3768679.0
2022-12-01,CCEP,53.3,54.04,53.08,53.69,1176581.0
2022-12-02,CCEP,53.44,54.199,53.335,53.92,674466.0
2022-12-05,CCEP,53.48,53.48,52.8,53.24,780197.0
2022-12-06,CCEP,53.13,53.29,51.86,52.49,795824.0
2022-12-07,CCEP,52.5,53.0,52.26,52.32,1174969.0
2022-12-08,CCEP,52.46,53.61,52.32,53.13,1635022.0
2022-12-09,CCEP,53.18,54.05,53.04,53.9,1032795.0
2022-12-12,CCEP,53.59,54.36,53.35,54.24,907799.0
2022-12-13,CCEP,55.07,55.56,54.48,54.5,1812604.0
2022-12-14,CCEP,54.75,55.45,54.53,54.95,988554.0
2022-12-15,CCEP,54.27,54.52,53.3901,53.78,1068328.0
2022-12-16,CCEP,53.47,54.22,53.22,54.08,1211037.0
2022-12-19,CCEP,54.03,54.69,53.7,53.98,1073380.0
2022-12-20,CCEP,54.05,54.47,53.59,54.13,1170948.0
2022-12-21,CCEP,54.54,55.48,54.44,55.14,1178601.0
2022-12-22,CCEP,55.0,55.03,54.22,54.93,651790.0
2022-12-23,CCEP,54.91,55.11,54.62,54.97,485140.0
2022-12-27,CCEP,55.17,55.26,54.8,55.12,467905.0
2022-12-28,CCEP,55.06,55.61,54.97,55.38,918024.0
2022-12-29,CCEP,55.2,55.89,54.93,55.41,814101.0
2022-12-30,CCEP,55.24,55.46,54.93,55.32,818036.0
2023-01-03,CCEP,55.43,55.67,53.97,54.36,1201838.0
2023-01-04,CCEP,55.13,55.905,54.66,55.66,1483419.0
2023-01-05,CCEP,55.44,56.43,55.414,55.92,1530448.0
2023-01-06,CCEP,56.2,56.96,56.02,56.83,749605.0
2023-01-09,CCEP,56.81,57.31,56.25,56.38,970515.0
2023-01-10,CCEP,56.17,56.29,55.78,56.0,1103801.0
2023-01-11,CCEP,56.03,56.21,55.605,56.03,964552.0
2023-01-12,CCEP,56.34,56.7,55.78,56.09,1701200.0
2023-01-13,CCEP,55.98,56.33,55.84,56.29,1110519.0
2023-01-17,CCEP,56.44,57.635,56.4,57.12,1430942.0
2023-01-18,CCEP,57.0,57.03,56.08,56.14,1666785.0
2023-01-19,CCEP,56.03,56.31,55.73,55.8,945201.0
2023-01-20,CCEP,56.04,56.04,55.42,55.73,865289.0
2023-01-23,CCEP,55.79,55.95,55.205,55.37,694145.0
2023-01-24,CCEP,55.41,55.62,54.92,55.25,688297.0
2023-01-25,CCEP,55.19,56.06,55.035,56.04,704287.0
2023-01-26,CCEP,55.91,55.97,55.35,55.75,778811.0
2023-01-27,CCEP,55.38,55.48,54.9,55.09,714273.0
2023-01-30,CCEP,54.97,55.6,54.79,55.32,1149600.0
2023-01-31,CCEP,55.47,56.32,55.37,56.22,1760083.0
2023-02-01,CCEP,56.11,56.83,55.53,56.66,1154987.0
2023-02-02,CCEP,56.35,56.7,56.01,56.22,1233544.0
2023-02-03,CCEP,56.13,56.14,55.43,55.87,651337.0
2023-02-06,CCEP,55.48,55.66,54.98,55.07,1050937.0
2023-02-07,CCEP,54.6,55.0,54.23,54.65,1367479.0
