Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CCL,9.0,9.02,8.52,8.56,41640004.0
2022-11-10,CCL,9.12,9.81,9.08,9.78,84559536.0
2022-11-11,CCL,10.17,10.45,9.76,10.35,69889434.0
2022-11-14,CCL,10.41,10.75,10.22,10.6,70950248.0
2022-11-15,CCL,10.99,11.485,10.96,11.16,106425893.0
2022-11-16,CCL,9.78,9.82,9.49,9.63,123946236.0
2022-11-17,CCL,9.37,9.57,9.15,9.51,45732637.0
2022-11-18,CCL,9.7,9.725,9.385,9.47,38881953.0
2022-11-21,CCL,9.46,9.53,9.13,9.32,38776339.0
2022-11-22,CCL,9.36,9.56,9.18,9.47,36685907.0
2022-11-23,CCL,9.49,9.78,9.385,9.73,44422578.0
2022-11-25,CCL,9.7,9.93,9.635,9.73,23780814.0
2022-11-28,CCL,9.58,9.7275,9.27,9.32,32128891.0
2022-11-29,CCL,9.36,9.79,9.315,9.75,46085753.0
2022-11-30,CCL,9.81,9.94,9.41,9.93,65648544.0
2022-12-01,CCL,9.96,10.2898,9.9,9.97,52863089.0
2022-12-02,CCL,9.73,10.04,9.45,10.0,48326920.0
2022-12-05,CCL,9.89,10.27,9.63,9.68,52424136.0
2022-12-06,CCL,9.7,9.76,9.17,9.3,50508380.0
2022-12-07,CCL,9.215,9.352,8.86,8.89,52196207.0
2022-12-08,CCL,9.0,9.24,8.935,9.03,37881662.0
2022-12-09,CCL,9.02,9.13,8.85,8.87,37684127.0
2022-12-12,CCL,8.77,9.01,8.57,9.01,44353722.0
2022-12-13,CCL,9.6,9.67,8.72,8.91,62156891.0
2022-12-14,CCL,8.88,9.105,8.71,8.93,57877692.0
2022-12-15,CCL,8.72,8.95,8.47,8.63,52117238.0
2022-12-16,CCL,8.49,8.7,8.35,8.45,43358231.0
2022-12-19,CCL,8.48,8.49,8.02,8.09,41998389.0
2022-12-20,CCL,7.95,8.27,7.93,8.1,49501003.0
2022-12-21,CCL,7.8799,8.79,7.78,8.48,77709699.0
2022-12-22,CCL,8.47,8.5,7.63,7.88,64849131.0
2022-12-23,CCL,7.86,7.94,7.53,7.81,39623670.0
2022-12-27,CCL,7.78,7.9,7.55,7.67,37674772.0
2022-12-28,CCL,7.71,7.91,7.63,7.67,34112407.0
2022-12-29,CCL,7.73,8.1,7.7,8.08,38092749.0
2022-12-30,CCL,7.98,8.22,7.93,8.06,30690582.0
2023-01-03,CCL,8.24,8.32,7.92,7.97,33965211.0
2023-01-04,CCL,8.07,8.76,7.975,8.74,52046610.0
2023-01-05,CCL,8.57,8.99,8.47,8.95,35671633.0
2023-01-06,CCL,9.0,9.23,8.8301,9.2,40099578.0
2023-01-09,CCL,9.26,9.64,9.21,9.47,44454520.0
2023-01-10,CCL,9.42,9.71,9.26,9.68,38995517.0
2023-01-11,CCL,9.75,9.9,9.66,9.86,33668921.0
2023-01-12,CCL,10.06,10.29,9.86,10.28,48425772.0
2023-01-13,CCL,10.15,10.61,10.14,10.51,41626811.0
2023-01-17,CCL,10.61,10.94,10.425,10.88,48197767.0
2023-01-18,CCL,11.09,11.17,10.34,10.43,57513831.0
2023-01-19,CCL,10.13,10.24,9.92,10.12,44119326.0
2023-01-20,CCL,10.28,10.62,10.16,10.47,39941570.0
2023-01-23,CCL,10.64,10.83,10.53,10.72,34611399.0
2023-01-24,CCL,10.72,10.96,10.4,10.68,33317437.0
2023-01-25,CCL,10.49,10.9,10.38,10.88,29042391.0
2023-01-26,CCL,11.0,11.09,10.57,10.63,32096208.0
2023-01-27,CCL,10.78,11.25,10.76,11.02,50631579.0
2023-01-30,CCL,10.83,11.22,10.61,10.64,35766568.0
2023-01-31,CCL,10.78,10.83,10.58,10.82,30246257.0
2023-02-01,CCL,10.82,11.42,10.62,11.34,47240028.0
2023-02-02,CCL,11.72,12.26,11.47,12.04,61194354.0
2023-02-03,CCL,11.79,12.15,11.68,11.8,35978398.0
2023-02-06,CCL,11.6,11.9,11.55,11.87,33494875.0
2023-02-07,CCL,12.15,12.615,11.7,12.19,70218882.0
2023-02-08,CCL,12.32,12.4,11.84,11.87,38275552.0
2023-02-09,CCL,11.95,12.13,11.36,11.53,34295992.0
2023-02-10,CCL,11.37,11.45,11.01,11.16,39694495.0
2023-02-13,CCL,11.22,11.71,11.125,11.64,28988664.0
2023-02-14,CCL,11.55,11.96,11.385,11.88,34072956.0
2023-02-15,CCL,11.82,12.21,11.63,12.19,34290922.0
2023-02-16,CCL,12.0,12.0,11.5701,11.6,30227783.0
