Date,Ticker,Open,High,Low,Close,Volume
2022-11-28,CFFSU,10.03,10.04,10.03,10.03,25000
2022-12-07,CFFSU,10.1,10.12,10.06,10.12,50900
2022-12-09,CFFSU,10.1,10.11,10.08,10.11,9869
2022-12-12,CFFSU,10.11,10.1246,10.11,10.12,401
2022-12-16,CFFSU,10.09,10.09,10.09,10.09,4000
2022-12-20,CFFSU,10.13,10.13,10.12,10.13,1300
2022-12-21,CFFSU,10.14,10.17,10.14,10.17,3763
2022-12-22,CFFSU,10.13,10.13,10.13,10.13,2000
2022-12-29,CFFSU,10.145,10.16,10.145,10.15,1605
2023-01-05,CFFSU,10.13,10.13,10.13,10.13,2552
2023-01-06,CFFSU,10.16,10.16,10.13,10.16,3400
2023-01-09,CFFSU,10.16,10.16,10.16,10.16,1500
2023-01-11,CFFSU,10.18,10.19,10.18,10.18,2138
2023-01-17,CFFSU,10.27,10.27,10.2001,10.2001,6100
2023-01-25,CFFSU,10.21,10.21,10.21,10.21,100
2023-01-26,CFFSU,10.22,10.22,10.22,10.22,100
2023-01-30,CFFSU,10.22,10.22,10.21,10.22,8020
2023-02-07,CFFSU,10.23,10.23,10.23,10.23,100
2023-02-08,CFFSU,10.23,10.23,10.23,10.23,100
2023-02-09,CFFSU,10.2,10.2,10.2,10.2,100
2023-02-10,CFFSU,10.23,10.23,10.23,10.23,100
2023-02-13,CFFSU,10.22,10.22,10.22,10.22,100
2023-02-14,CFFSU,10.24,10.24,10.24,10.24,100
2023-02-15,CFFSU,10.26,10.26,10.26,10.26,100
2023-02-16,CFFSU,10.26,10.26,10.26,10.26,100
2023-02-21,CFFSU,10.27,10.27,10.27,10.27,2500
2023-02-22,CFFSU,10.29,10.29,10.28,10.28,300
2023-02-27,CFFSU,10.29,10.29,10.29,10.29,400
2023-03-07,CFFSU,10.26,10.26,10.26,10.26,100
2023-03-08,CFFSU,10.3135,10.3135,10.3,10.3,700
2023-03-16,CFFSU,10.37,10.37,10.37,10.37,100
2023-03-17,CFFSU,10.32,10.32,10.32,10.32,100
2023-03-21,CFFSU,10.39,10.932,10.32,10.32,800
2023-03-23,CFFSU,10.38,10.4415,10.36,10.41,1400
2023-03-24,CFFSU,10.4,10.4447,10.39,10.4,1375
2023-03-27,CFFSU,10.39,10.4126,10.36,10.36,1042
2023-03-28,CFFSU,10.39,10.39,10.36,10.36,1595
2023-03-31,CFFSU,10.35,10.35,10.35,10.35,255
2023-04-03,CFFSU,10.355,10.355,10.355,10.355,271
2023-04-04,CFFSU,10.41,10.41,10.37,10.37,1110
2023-04-05,CFFSU,10.37,10.37,10.37,10.37,6628
2023-04-06,CFFSU,10.35,10.37,10.35,10.37,3410
2023-04-10,CFFSU,10.36,10.36,10.36,10.36,4342
2023-04-12,CFFSU,10.37,10.37,10.37,10.37,522
2023-04-14,CFFSU,10.37,10.38,10.37,10.38,3000
2023-04-17,CFFSU,10.41,10.43,10.41,10.43,300
2023-04-18,CFFSU,10.39,10.39,10.39,10.39,244
2023-04-19,CFFSU,10.39,10.39,10.38,10.38,1200
2023-04-20,CFFSU,10.38,10.38,10.38,10.38,1205
2023-04-28,CFFSU,10.37,10.37,10.37,10.37,100
2023-05-02,CFFSU,10.37,10.37,10.37,10.37,100
2023-05-03,CFFSU,10.37,10.37,10.3699,10.37,2300
2023-05-04,CFFSU,10.41,10.895,10.3801,10.39,1200
2023-05-09,CFFSU,10.44,10.44,10.44,10.44,850
2023-05-10,CFFSU,10.43,10.43,10.39,10.39,600
2023-05-11,CFFSU,10.44,10.44,10.3801,10.3801,605
2023-05-12,CFFSU,10.43,10.93,10.4,10.4,1420
2023-05-15,CFFSU,10.44,10.44,10.4001,10.4104,1228
2023-05-16,CFFSU,10.43,10.43,10.43,10.43,860
2023-05-17,CFFSU,10.41,10.41,10.41,10.41,4652
2023-05-18,CFFSU,10.44,10.44,10.41,10.4101,625
2023-05-19,CFFSU,10.45,10.925,10.41,10.925,732
2023-05-22,CFFSU,10.46,10.46,10.4201,10.46,636
2023-05-23,CFFSU,10.46,10.47,10.44,10.44,1557
2023-05-24,CFFSU,10.47,10.47,10.47,10.47,610
2023-05-25,CFFSU,10.47,10.47,10.47,10.47,716
2023-05-26,CFFSU,10.47,10.8832,10.4201,10.4201,1929
2023-06-01,CFFSU,10.47,10.96,10.43,10.43,800
2023-06-02,CFFSU,10.43,10.43,10.43,10.43,297
2023-06-08,CFFSU,10.5,10.8935,10.46,10.5,900
2023-06-12,CFFSU,10.96,10.96,10.41,10.44,1099
2023-06-26,CFFSU,10.58,10.58,10.58,10.58,400
2023-06-29,CFFSU,10.71,10.75,10.71,10.7498,2950
2023-07-20,CFFSU,10.66,11.0,10.64,11.0,900
2023-07-31,CFFSU,10.67,10.67,10.67,10.67,400
2023-11-27,CFFSU,10.78,10.78,10.78,10.78,3465
2024-07-17,CFFSU,9.54,10.78,9.54,10.78,1000
2024-09-24,CFFSU,11.07,11.07,11.07,11.07,500
