Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CFLT,20.02,20.24,19.015,19.06,3362908.0
2022-11-10,CFLT,20.75,22.01,20.55,21.22,6573724.0
2022-11-11,CFLT,21.09,25.0,20.7,24.38,6223731.0
2022-11-14,CFLT,24.17,24.46,22.9001,23.0,2718496.0
2022-11-15,CFLT,24.0,24.48,23.31,24.03,3391831.0
2022-11-16,CFLT,23.45,23.48,21.79,22.49,2226554.0
2022-11-17,CFLT,21.69,22.21,21.24,21.46,2461443.0
2022-11-18,CFLT,22.0,22.12,20.75,20.88,1244528.0
2022-11-21,CFLT,20.55,20.84,20.07,20.52,1326112.0
2022-11-22,CFLT,20.42,20.65,19.6,20.64,2081612.0
2022-11-23,CFLT,20.8,23.495,20.62,23.18,3166680.0
2022-11-25,CFLT,22.8,23.1229,22.44,22.62,649776.0
2022-11-28,CFLT,22.5,23.3383,21.79,21.99,1366442.0
2022-11-29,CFLT,22.09,22.22,21.23,21.45,1524161.0
2022-11-30,CFLT,21.29,23.09,20.89,23.03,2540308.0
2022-12-01,CFLT,22.15,22.82,21.21,22.71,4424107.0
2022-12-02,CFLT,21.79,22.74,21.55,22.62,1611287.0
2022-12-05,CFLT,22.32,22.62,20.03,20.38,2717261.0
2022-12-06,CFLT,20.49,21.15,20.22,21.11,2144355.0
2022-12-07,CFLT,21.11,21.66,20.57,20.93,1859253.0
2022-12-08,CFLT,21.2,22.23,20.32,21.82,3760410.0
2022-12-09,CFLT,21.64,22.34,21.51,21.68,3007900.0
2022-12-12,CFLT,22.17,23.55,21.99,23.46,4037383.0
2022-12-13,CFLT,24.8,25.11,23.44,23.71,2933279.0
2022-12-14,CFLT,23.57,24.51,23.33,23.78,2246298.0
2022-12-15,CFLT,22.98,24.08,22.68,22.95,2946934.0
2022-12-16,CFLT,22.54,23.2675,22.35,23.01,5451827.0
2022-12-19,CFLT,22.84,22.95,21.59,21.8,2394261.0
2022-12-20,CFLT,21.59,22.9,21.32,22.66,1887871.0
2022-12-21,CFLT,22.91,23.529,22.5,23.21,1934662.0
2022-12-22,CFLT,22.61,22.905,21.6175,22.16,1937645.0
2022-12-23,CFLT,21.78,22.35,21.56,21.99,1804135.0
2022-12-27,CFLT,21.91,21.91,20.93,20.99,1757209.0
2022-12-28,CFLT,20.75,21.15,20.59,20.93,1236702.0
2022-12-29,CFLT,21.37,22.855,21.125,22.0,2271427.0
2022-12-30,CFLT,21.34,22.345,21.34,22.24,1284997.0
2023-01-03,CFLT,22.83,23.09,21.21,21.33,1416237.0
2023-01-04,CFLT,21.51,21.66,20.22,20.5,2373003.0
2023-01-05,CFLT,20.12,20.285,17.81,17.925,3887774.0
2023-01-06,CFLT,17.89,18.73,16.6,18.19,3651042.0
2023-01-09,CFLT,18.57,19.7677,18.3878,19.38,3865103.0
2023-01-10,CFLT,20.18,20.545,18.93,20.53,3504281.0
2023-01-11,CFLT,20.65,21.41,20.5,20.84,2461261.0
2023-01-12,CFLT,20.84,20.92,19.51,20.19,2924553.0
2023-01-13,CFLT,19.75,20.615,19.66,20.41,1815259.0
2023-01-17,CFLT,20.43,21.69,20.13,21.38,2253530.0
2023-01-18,CFLT,21.74,22.358,21.13,21.24,3145878.0
2023-01-19,CFLT,20.92,21.11,20.18,20.2,1781525.0
2023-01-20,CFLT,20.57,21.51,20.19,21.45,2832357.0
2023-01-23,CFLT,22.1,23.5,21.62,23.38,4354461.0
2023-01-24,CFLT,22.89,23.72,22.59,23.2,3460345.0
2023-01-25,CFLT,22.03,23.24,21.01,22.91,3606063.0
2023-01-26,CFLT,22.79,23.84,21.02,22.26,13683334.0
2023-01-27,CFLT,21.55,23.84,21.2,23.49,8155700.0
2023-01-30,CFLT,23.25,23.62,22.14,23.03,6617838.0
2023-01-31,CFLT,22.65,23.18,21.33,23.1,8147933.0
2023-02-01,CFLT,23.28,25.0,22.3,24.69,7690685.0
2023-02-02,CFLT,25.0,27.52,25.0,27.08,9281385.0
2023-02-03,CFLT,25.35,27.14,24.64,25.36,7060692.0
2023-02-06,CFLT,24.65,25.27,24.22,24.64,3565428.0
2023-02-07,CFLT,24.81,25.96,23.87,25.67,3141657.0
2023-02-08,CFLT,26.12,26.4655,25.15,26.02,4028278.0
2023-02-09,CFLT,26.48,26.9,25.41,25.48,3925176.0
2023-02-10,CFLT,24.9219,25.47,24.42,25.2,3556645.0
2023-02-13,CFLT,26.03,27.3,24.955,26.8,5688817.0
2023-02-14,CFLT,26.52,28.27,26.25,28.27,5063667.0
2023-02-15,CFLT,27.94,29.72,27.75,29.29,4861326.0
2023-02-16,CFLT,27.835,28.0,26.66,26.76,5665823.0
2023-02-17,CFLT,26.17,26.52,25.11,25.36,2930321.0
2023-02-21,CFLT,24.69,25.23,24.04,24.44,4970981.0
2023-02-22,CFLT,24.46,24.95,23.95,24.53,2643062.0
2023-02-23,CFLT,24.99,25.0498,23.87,24.68,1745652.0
2023-02-24,CFLT,23.86,24.25,23.43,24.22,1846371.0
2023-02-27,CFLT,24.39,24.67,23.91,24.07,1549571.0
2023-02-28,CFLT,24.05,24.72,24.04,24.39,1445240.0
2023-03-01,CFLT,24.45,24.48,23.3,23.61,2810493.0
2023-03-02,CFLT,23.2,23.985,22.76,23.91,3097033.0
2023-03-03,CFLT,24.04,25.895,23.98,25.86,4092569.0
2023-03-06,CFLT,25.99,26.73,25.57,25.81,2667830.0
2023-03-07,CFLT,25.81,26.3213,25.11,25.38,5274776.0
2023-03-08,CFLT,25.2,25.61,24.91,25.02,1535038.0
2023-03-09,CFLT,24.84,25.32,22.51,23.11,3681280.0
2023-03-10,CFLT,22.86,23.06,20.93,21.79,5432929.0
2023-03-13,CFLT,21.38,22.6,20.32,22.16,4779585.0
2023-03-14,CFLT,22.57,22.93,21.98,22.6,5343644.0
2023-03-15,CFLT,22.25,22.55,21.82,22.14,3577662.0
2023-03-16,CFLT,21.96,23.01,21.85,22.94,2875202.0
2023-03-17,CFLT,22.91,23.17,21.64,21.88,2699265.0
2023-03-20,CFLT,21.89,21.89,20.835,21.61,2128686.0
2023-03-21,CFLT,22.0,23.42,21.92,23.15,2276469.0
2023-03-22,CFLT,23.0,23.03,21.54,21.56,1674370.0
2023-03-23,CFLT,22.0,22.85,21.325,22.0,2684290.0
2023-03-24,CFLT,21.65,21.75,20.66,20.8,2358972.0
2023-03-27,CFLT,20.94,21.18,20.41,20.82,2334945.0
2023-03-28,CFLT,20.77,21.2,20.58,20.97,1949144.0
2023-03-29,CFLT,21.7,22.12,21.435,21.89,2123895.0
2023-03-30,CFLT,22.3,23.06,22.21,22.72,2268480.0
2023-03-31,CFLT,22.77,24.3,22.64,24.07,3842021.0
2023-04-03,CFLT,24.03,24.07,22.98,23.22,2828119.0
2023-04-04,CFLT,23.31,23.456,22.78,22.89,2988078.0
2023-04-05,CFLT,22.77,22.8,21.51,22.07,1716848.0
2023-04-06,CFLT,21.8,23.24,21.53,23.2,1640445.0
2023-04-10,CFLT,22.81,23.618,22.3,23.44,1581625.0
2023-04-11,CFLT,23.05,23.7599,22.655,23.37,2048547.0
2023-04-12,CFLT,24.86,25.68,24.205,24.38,3868999.0
2023-04-13,CFLT,24.76,25.25,24.64,25.12,2208264.0
2023-04-14,CFLT,24.73,25.47,24.46,24.85,2221834.0
2023-04-17,CFLT,25.0,25.14,24.15,24.29,1905158.0
2023-04-18,CFLT,24.78,25.325,24.525,24.71,2399593.0
2023-04-19,CFLT,24.29,25.27,24.15,25.0,1815145.0
2023-04-20,CFLT,24.37,24.49,23.405,23.63,3283583.0
2023-04-21,CFLT,23.75,24.71,23.51,24.53,3960316.0
2023-04-24,CFLT,24.49,24.5,22.36,22.7,3761939.0
2023-04-25,CFLT,22.42,22.52,21.13,21.23,4030317.0
2023-04-26,CFLT,22.0,23.37,21.94,22.82,4364784.0
2023-04-27,CFLT,23.22,23.415,22.36,23.02,2940694.0
2023-04-28,CFLT,22.11,22.29,20.83,22.0,4548506.0
2023-05-01,CFLT,21.9,22.33,21.59,21.61,3113086.0
2023-05-02,CFLT,21.27,21.53,20.44,20.5,3631381.0
2023-05-03,CFLT,20.31,20.8,19.87,19.96,7646847.0
2023-05-04,CFLT,21.71,23.28,21.1,23.2,9273466.0
2023-05-05,CFLT,23.54,23.88,22.47,22.66,5449973.0
2023-05-08,CFLT,22.17,22.84,21.67,22.68,4502045.0
2023-05-09,CFLT,22.63,23.105,22.25,22.45,3445007.0
2023-05-10,CFLT,22.95,23.32,22.635,23.16,3620963.0
2023-05-11,CFLT,23.09,23.78,22.65,23.6,3888276.0
2023-05-12,CFLT,23.48,23.75,22.37,22.82,2081168.0
2023-05-15,CFLT,22.95,24.2,22.53,24.03,3839121.0
2023-05-16,CFLT,23.82,24.51,23.665,24.35,2749599.0
2023-05-17,CFLT,24.5,26.83,24.5,26.79,5773153.0
2023-05-18,CFLT,25.87,27.45,24.92,27.38,7618459.0
2023-05-19,CFLT,27.05,27.44,26.73,27.38,3575570.0
2023-05-22,CFLT,27.43,28.605,27.29,28.47,3891397.0
2023-05-23,CFLT,28.1,29.325,27.89,28.88,5438147.0
2023-05-24,CFLT,28.15,29.35,28.07,28.86,3572770.0
2023-05-25,CFLT,29.32,29.52,27.755,27.99,3465487.0
2023-05-26,CFLT,27.88,29.62,27.88,28.71,3265708.0
2023-05-30,CFLT,29.935,31.195,29.25,30.84,7107248.0
2023-05-31,CFLT,30.4,31.9,30.1,31.74,5489670.0
2023-06-01,CFLT,31.2,32.56,30.89,32.41,3886622.0
2023-06-02,CFLT,33.35,34.99,33.09,34.56,6404677.0
2023-06-05,CFLT,34.035,35.485,33.45,35.44,5285926.0
2023-06-06,CFLT,35.44,37.36,35.26,36.93,4754732.0
2023-06-07,CFLT,37.16,37.4,34.19,34.43,7181755.0
2023-06-08,CFLT,33.11,35.16,32.05,34.77,5707626.0
2023-06-09,CFLT,35.61,37.08,35.32,36.38,4486690.0
2023-06-12,CFLT,36.655,37.0,35.52,36.78,3548464.0
2023-06-13,CFLT,37.51,37.51,34.71,37.14,5184897.0
