Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CHRD,157.28,157.78,146.86,147.48,411957.0
2022-11-10,CHRD,151.48,157.2,149.43,157.19,527600.0
2022-11-11,CHRD,161.0,162.63,159.53,160.03,604612.0
2022-11-14,CHRD,157.24,160.76,156.0,158.79,565736.0
2022-11-15,CHRD,159.66,164.795,157.165,164.5,467327.0
2022-11-16,CHRD,161.75,163.575,156.85,157.37,349894.0
2022-11-17,CHRD,153.9,156.97,152.0489,156.94,305036.0
2022-11-18,CHRD,154.24,155.91,148.2501,155.05,314093.0
2022-11-21,CHRD,152.05,152.05,142.6,149.66,545229.0
2022-11-22,CHRD,152.61,156.12,151.955,154.86,340282.0
2022-11-23,CHRD,152.0,153.43,148.94,151.13,261336.0
2022-11-25,CHRD,152.81,154.255,150.65,151.3,101309.0
2022-11-28,CHRD,146.88,150.39,145.11,146.52,258642.0
2022-11-29,CHRD,149.38,150.9319,148.75,150.0,351980.0
2022-11-30,CHRD,151.91,153.315,149.105,152.53,442635.0
2022-12-01,CHRD,154.5,155.3,146.722,147.19,375008.0
2022-12-02,CHRD,146.92,148.84,145.9,147.84,339343.0
2022-12-05,CHRD,150.51,150.945,139.33,140.08,397566.0
2022-12-06,CHRD,138.86,141.79,132.65,134.85,501143.0
2022-12-07,CHRD,134.87,136.895,131.67,134.24,483229.0
2022-12-08,CHRD,137.04,138.01,130.31,132.2,531054.0
2022-12-09,CHRD,133.77,134.75,131.05,131.12,422951.0
2022-12-12,CHRD,130.98,134.32,130.98,133.19,522793.0
2022-12-13,CHRD,136.15,137.38,132.24,134.47,604274.0
2022-12-14,CHRD,136.57,137.889,132.62,134.76,332055.0
2022-12-15,CHRD,133.45,135.89,132.06,135.39,277048.0
2022-12-16,CHRD,132.3,133.6,129.72,132.46,672340.0
2022-12-19,CHRD,134.65,134.96,129.53,131.36,284079.0
2022-12-20,CHRD,131.25,133.01,130.6525,131.93,251785.0
2022-12-21,CHRD,134.49,136.35,129.77,135.59,268526.0
2022-12-22,CHRD,135.54,135.71,130.58,133.15,292280.0
2022-12-23,CHRD,135.36,140.04,134.92,139.83,250353.0
2022-12-27,CHRD,140.73,140.73,135.92,137.88,272112.0
2022-12-28,CHRD,136.49,138.0,131.13,131.91,238827.0
2022-12-29,CHRD,130.91,135.86,130.91,135.76,210235.0
2022-12-30,CHRD,135.76,137.46,134.39,136.81,298969.0
2023-01-03,CHRD,135.07,137.48,128.25,131.77,443672.0
2023-01-04,CHRD,129.37,131.4,127.345,128.37,296122.0
2023-01-05,CHRD,128.08,129.51,125.57,126.65,395272.0
2023-01-06,CHRD,128.75,129.8881,126.8875,127.75,310624.0
2023-01-09,CHRD,129.32,130.68,128.56,130.01,404645.0
2023-01-10,CHRD,133.43,133.43,126.6718,129.42,341271.0
2023-01-11,CHRD,131.98,132.09,128.455,131.84,336686.0
2023-01-12,CHRD,133.68,135.83,132.337,134.99,223732.0
2023-01-13,CHRD,134.9,135.43,132.97,134.29,211392.0
2023-01-17,CHRD,136.12,137.76,134.8,136.83,282266.0
2023-01-18,CHRD,136.83,141.74,135.66,136.04,386015.0
2023-01-19,CHRD,135.07,143.685,134.77,141.77,424934.0
2023-01-20,CHRD,143.5,143.5,140.33,142.31,258444.0
2023-01-23,CHRD,143.5,148.22,143.5,146.685,350805.0
2023-01-24,CHRD,146.85,147.0722,142.575,142.72,227273.0
2023-01-25,CHRD,143.85,147.66,141.3,147.44,233030.0
2023-01-26,CHRD,148.65,150.2,146.66,150.02,267198.0
2023-01-27,CHRD,150.94,151.185,145.9101,146.08,346388.0
2023-01-30,CHRD,144.73,145.51,140.2,140.3,273826.0
2023-01-31,CHRD,140.05,143.99,139.335,143.33,322156.0
2023-02-01,CHRD,142.54,143.585,136.23,141.6,756701.0
2023-02-02,CHRD,140.15,142.2666,139.105,141.32,480269.0
2023-02-03,CHRD,141.59,145.615,141.59,142.56,415356.0
2023-02-06,CHRD,143.0,143.43,136.75,138.53,358348.0
2023-02-07,CHRD,139.41,142.52,137.16,141.95,374696.0
2023-02-08,CHRD,142.48,142.48,138.055,138.52,336672.0
2023-02-09,CHRD,138.71,139.79,135.34,135.45,575438.0
2023-02-10,CHRD,138.0,141.565,136.86,141.18,522449.0
2023-02-13,CHRD,140.95,142.905,139.655,141.42,313931.0
2023-02-14,CHRD,139.98,143.61,139.69,143.06,327743.0
2023-02-15,CHRD,140.77,141.125,136.74,139.02,411819.0
2023-02-16,CHRD,138.44,140.7817,137.96,137.97,261916.0
2023-02-17,CHRD,136.25,136.56,128.75,133.15,905908.0
2023-02-21,CHRD,131.98,132.545,128.7175,129.18,615311.0
2023-02-22,CHRD,129.69,131.57,127.33,130.66,564286.0
2023-02-23,CHRD,131.41,136.66,131.41,135.79,803666.0
2023-02-24,CHRD,134.24,137.9,132.61,136.18,697695.0
2023-02-27,CHRD,137.0,138.08,134.25,134.91,576932.0
2023-02-28,CHRD,137.89,138.585,134.61,134.62,417737.0
2023-03-01,CHRD,133.98,137.9,133.95,137.3,359886.0
2023-03-02,CHRD,137.01,139.775,135.6,138.5,533450.0
2023-03-03,CHRD,136.74,144.22,136.44,143.97,982776.0
2023-03-06,CHRD,146.31,147.25,141.46,143.45,1793870.0
2023-03-07,CHRD,142.93,145.59,141.51,143.41,752892.0
2023-03-08,CHRD,142.43,145.6888,138.46,141.12,734948.0
2023-03-09,CHRD,141.32,144.72,138.18,138.34,662842.0
2023-03-10,CHRD,137.95,140.945,134.265,136.04,752041.0
2023-03-13,CHRD,131.61,136.841,128.8,132.8,1057801.0
2023-03-14,CHRD,134.07,138.765,132.125,135.27,976718.0
2023-03-15,CHRD,128.9,129.99,119.97,123.22,1252028.0
2023-03-16,CHRD,120.0,125.51,119.47,125.33,1220894.0
2023-03-17,CHRD,123.78,125.12,117.05,121.51,8879085.0
2023-03-20,CHRD,121.97,127.345,121.3654,126.03,784387.0
2023-03-21,CHRD,128.91,132.24,127.892,131.6,759830.0
2023-03-22,CHRD,131.24,131.64,125.825,126.02,478350.0
