Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CMSA,21.9208,22.02,21.66,21.79,8763
2022-11-10,CMSA,22.01,22.6565,21.9654,22.55,12858
2022-11-11,CMSA,22.5,22.8657,22.5,22.79,6956
2022-11-14,CMSA,22.6087,22.87,22.6,22.72,11121
2022-11-15,CMSA,22.81,23.205,22.8045,23.15,12707
2022-11-16,CMSA,23.0439,23.46,23.0439,23.38,4625
2022-11-17,CMSA,23.3,23.4,23.17,23.3,9171
2022-11-18,CMSA,23.3499,23.5782,23.21,23.54,15189
2022-11-21,CMSA,23.4839,23.6119,23.4075,23.42,10198
2022-11-22,CMSA,23.46,23.71,23.46,23.46,7610
2022-11-23,CMSA,23.51,23.6898,23.365,23.4,6911
2022-11-25,CMSA,23.605,23.605,23.44,23.59,2630
2022-11-28,CMSA,23.44,23.6277,23.31,23.34,9181
2022-11-29,CMSA,22.9251,23.0298,22.82,22.82,7625
2022-11-30,CMSA,22.9625,23.0868,22.73,22.9,7859
2022-12-01,CMSA,23.04,23.5,22.98,23.16,9442
2022-12-02,CMSA,23.0,23.4311,22.88,23.4311,6000
2022-12-05,CMSA,23.12,23.46,23.08,23.14,16848
2022-12-06,CMSA,23.215,23.215,22.81,22.85,6962
2022-12-07,CMSA,22.91,23.19,22.91,23.03,8916
2022-12-08,CMSA,22.92,23.27,22.68,22.68,18052
2022-12-09,CMSA,22.71,23.08,22.38,22.42,10588
2022-12-12,CMSA,22.4,22.49,22.21,22.25,29816
2022-12-13,CMSA,22.55,22.79,22.41,22.75,18691
2022-12-14,CMSA,22.65,22.89,22.65,22.8,15252
2022-12-15,CMSA,22.85,22.9299,22.7778,22.8999,12785
2022-12-16,CMSA,22.75,22.9,22.69,22.8695,11811
2022-12-19,CMSA,22.91,23.05,22.72,22.88,4924
2022-12-20,CMSA,22.825,23.05,22.6901,22.8528,6668
2022-12-21,CMSA,22.78,23.0,22.76,22.8,10066
2022-12-22,CMSA,22.77,23.0348,22.25,22.32,13184
2022-12-23,CMSA,22.42,22.87,22.2436,22.46,31012
2022-12-27,CMSA,22.53,22.53,22.01,22.13,9740
2022-12-28,CMSA,22.22,22.251,21.65,21.65,19293
2022-12-29,CMSA,21.66,21.9911,21.64,21.64,13758
