Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CNS,58.98,59.5027,57.97,58.58,91893.0
2022-11-10,CNS,60.43,64.58,60.43,64.45,194185.0
2022-11-11,CNS,64.78,67.62,64.16,66.7,171942.0
2022-11-14,CNS,66.13,67.265,64.76,64.99,131588.0
2022-11-15,CNS,65.99,66.29,64.93,65.27,96489.0
2022-11-16,CNS,65.15,65.99,63.78,65.73,104581.0
2022-11-17,CNS,64.94,66.33,64.47,65.43,104913.0
2022-11-18,CNS,66.6,67.2,65.045,65.92,155745.0
2022-11-21,CNS,65.39,66.28,64.75,65.07,88504.0
2022-11-22,CNS,65.36,65.805,64.85,65.1,89199.0
2022-11-23,CNS,64.74,65.38,64.4,65.34,73022.0
2022-11-25,CNS,65.25,65.99,65.15,65.33,36240.0
2022-11-28,CNS,64.81,66.75,64.81,66.05,268148.0
2022-11-29,CNS,66.07,66.354,65.1,65.29,90579.0
2022-11-30,CNS,65.25,66.29,63.515,66.25,147168.0
2022-12-01,CNS,66.33,67.46,65.81,67.33,115370.0
2022-12-02,CNS,65.95,68.15,65.83,67.58,135976.0
2022-12-05,CNS,67.03,68.22,67.03,67.55,123840.0
2022-12-06,CNS,67.27,67.58,64.875,65.15,157210.0
2022-12-07,CNS,65.29,66.71,65.1392,65.29,86958.0
2022-12-08,CNS,65.85,66.96,65.69,66.27,90712.0
2022-12-09,CNS,66.59,67.53,66.2,66.82,81049.0
2022-12-12,CNS,67.05,67.4,66.545,66.83,93154.0
2022-12-13,CNS,69.17,70.37,67.32,68.12,302794.0
2022-12-14,CNS,67.94,69.09,66.49,66.84,100256.0
2022-12-15,CNS,65.81,65.81,63.93,64.73,118225.0
2022-12-16,CNS,63.86,64.85,63.76,64.33,225144.0
2022-12-19,CNS,64.0,64.93,63.59,64.37,157918.0
2022-12-20,CNS,64.24,64.44,63.17,63.18,120141.0
2022-12-21,CNS,63.62,64.29,63.36,63.91,90710.0
2022-12-22,CNS,63.2,63.2,61.79,62.42,158181.0
2022-12-23,CNS,62.12,63.5,61.77,63.18,71001.0
2022-12-27,CNS,63.18,64.01,62.35,63.93,77762.0
2022-12-28,CNS,63.59,64.14,62.99,63.1,107043.0
2022-12-29,CNS,63.54,64.96,63.54,64.94,101341.0
2022-12-30,CNS,64.54,64.98,63.97,64.56,114488.0
2023-01-03,CNS,65.28,66.35,64.91,66.15,144061.0
2023-01-04,CNS,66.86,67.72,66.71,67.35,118271.0
2023-01-05,CNS,66.85,67.07,65.97,66.44,77503.0
2023-01-06,CNS,67.07,68.78,66.94,68.78,98424.0
2023-01-09,CNS,68.88,70.06,68.5943,69.38,99003.0
2023-01-10,CNS,69.48,70.25,69.3,69.54,125236.0
2023-01-11,CNS,69.7,72.04,69.7,72.01,104152.0
2023-01-12,CNS,72.21,72.51,71.23,72.5,103370.0
2023-01-13,CNS,72.22,74.406,71.775,73.93,124686.0
2023-01-17,CNS,73.68,74.2224,72.38,73.01,91293.0
2023-01-18,CNS,73.39,74.29,71.82,72.07,128246.0
2023-01-19,CNS,71.35,71.6,70.78,71.58,66108.0
2023-01-20,CNS,72.19,73.11,71.185,73.08,100290.0
2023-01-23,CNS,72.85,73.61,72.55,73.41,108278.0
2023-01-24,CNS,73.77,73.77,71.5167,73.34,143625.0
2023-01-25,CNS,72.35,72.36,70.63,71.64,194788.0
2023-01-26,CNS,70.88,71.1,68.79,69.29,304525.0
2023-01-27,CNS,69.01,71.339,69.01,71.08,119392.0
2023-01-30,CNS,70.22,72.41,70.22,71.74,118495.0
2023-01-31,CNS,71.77,73.54,71.66,73.47,123066.0
2023-02-01,CNS,72.96,75.64,72.81,75.02,107941.0
2023-02-02,CNS,75.69,78.87,75.66,77.42,133255.0
2023-02-03,CNS,75.8,76.96,74.8501,76.06,151828.0
2023-02-06,CNS,75.85,75.85,74.42,74.7,91689.0
2023-02-07,CNS,74.17,75.37,73.98,75.37,98992.0
2023-02-08,CNS,74.88,75.55,74.22,74.3,68465.0
2023-02-09,CNS,75.01,75.11,73.17,73.65,66647.0
2023-02-10,CNS,73.19,74.27,72.91,73.94,75755.0
2023-02-13,CNS,73.88,75.34,73.82,75.28,58799.0
2023-02-14,CNS,74.74,75.4046,73.63,73.91,108799.0
2023-02-15,CNS,73.12,74.85,72.5401,74.15,47415.0
2023-02-16,CNS,73.12,74.5,72.96,73.27,54071.0
2023-02-17,CNS,73.44,74.33,72.92,74.2,102696.0
2023-02-21,CNS,73.22,73.91,72.48,72.48,186331.0
2023-02-22,CNS,72.55,73.28,72.02,72.33,94406.0
2023-02-23,CNS,72.78,73.0703,71.48,72.61,117373.0
2023-02-24,CNS,71.85,72.21,71.33,72.1,113121.0
2023-02-27,CNS,72.98,73.24,71.72,72.0,54081.0
2023-02-28,CNS,72.0,73.62,72.0,72.36,127339.0
2023-03-01,CNS,72.19,72.6,70.99,71.45,98639.0
2023-03-02,CNS,70.67,71.4,70.14,71.26,117909.0
2023-03-03,CNS,71.03,71.815,70.47,71.69,83856.0
2023-03-06,CNS,71.59,71.88,71.11,71.48,70038.0
2023-03-07,CNS,71.53,71.55,70.49,70.55,70003.0
2023-03-08,CNS,70.84,71.21,70.47,70.96,75665.0
2023-03-09,CNS,70.88,71.04,68.14,68.21,134064.0
2023-03-10,CNS,67.69,67.9,64.3425,64.91,133373.0
2023-03-13,CNS,63.45,64.86,62.75,64.07,205778.0
2023-03-14,CNS,65.77,66.13,64.06,64.88,134462.0
2023-03-15,CNS,63.42,64.24,62.865,63.82,281636.0
2023-03-16,CNS,63.08,64.76,62.31,63.84,138577.0
2023-03-17,CNS,63.41,64.12,62.465,63.29,380909.0
2023-03-20,CNS,63.9,63.99,61.61,61.98,196820.0
2023-03-21,CNS,63.14,64.32,62.79,63.53,247311.0
2023-03-22,CNS,63.62,63.62,61.92,61.98,253076.0
2023-03-23,CNS,62.33,62.72,60.37,60.54,171053.0
2023-03-24,CNS,59.84,60.9,59.04,60.85,227262.0
2023-03-27,CNS,61.36,61.9,61.16,61.22,99437.0
2023-03-28,CNS,60.98,61.72,60.39,61.05,360723.0
2023-03-29,CNS,61.67,62.0199,60.705,61.36,139811.0
2023-03-30,CNS,61.82,62.11,61.3,62.01,164109.0
2023-03-31,CNS,62.57,63.99,62.4,63.96,191822.0
2023-04-03,CNS,63.85,63.91,62.86,63.15,150069.0
2023-04-04,CNS,63.19,63.19,62.02,62.19,107426.0
2023-04-05,CNS,61.74,62.15,61.45,61.73,85506.0
2023-04-06,CNS,61.86,62.95,61.63,62.95,109948.0
2023-04-10,CNS,62.69,63.7,62.69,63.49,127468.0
2023-04-11,CNS,63.92,64.92,63.81,64.6,114591.0
2023-04-12,CNS,65.32,65.32,61.71,61.81,271060.0
2023-04-13,CNS,61.84,63.08,61.38,61.51,196971.0
2023-04-14,CNS,61.36,61.92,60.28,60.58,201727.0
2023-04-17,CNS,60.22,62.005,60.15,61.79,107992.0
2023-04-18,CNS,61.99,62.09,60.88,61.48,115740.0
2023-04-19,CNS,61.32,62.14,61.21,61.63,143635.0
2023-04-20,CNS,62.55,62.68,60.5,60.99,200947.0
2023-04-21,CNS,61.11,62.42,60.88,62.32,163485.0
2023-04-24,CNS,62.28,62.49,61.19,61.99,116378.0
2023-04-25,CNS,61.75,61.75,60.01,60.14,154939.0
2023-04-26,CNS,59.83,60.3399,58.65,58.82,109785.0
2023-04-27,CNS,59.0,59.25,58.57,59.24,232642.0
2023-04-28,CNS,59.16,60.12,59.16,60.06,202231.0
2023-05-01,CNS,60.07,60.72,59.57,59.73,120071.0
2023-05-02,CNS,59.24,59.24,57.52,57.91,234191.0
2023-05-03,CNS,58.02,58.72,56.51,56.56,118491.0
2023-05-04,CNS,56.02,56.02,54.24,54.24,163776.0
2023-05-05,CNS,55.28,55.39,54.76,55.11,110412.0
2023-05-08,CNS,55.3,55.3,54.03,54.29,120699.0
2023-05-09,CNS,53.78,54.26,53.305,54.16,153487.0
2023-05-10,CNS,54.99,55.46,54.685,55.29,189668.0
2023-05-11,CNS,54.74,54.93,54.055,54.68,114458.0
2023-05-12,CNS,54.18,54.68,54.08,54.3,102569.0
2023-05-15,CNS,54.38,54.58,54.165,54.53,136504.0
2023-05-16,CNS,54.27,54.39,53.73,54.26,175690.0
2023-05-17,CNS,54.56,55.93,54.41,55.89,204848.0
2023-05-18,CNS,55.81,56.67,55.64,56.67,179890.0
2023-05-19,CNS,57.31,57.31,55.98,56.31,91516.0
2023-05-22,CNS,56.43,57.02,55.69,56.93,132769.0
2023-05-23,CNS,56.84,57.55,55.585,55.83,103370.0
2023-05-24,CNS,55.58,55.58,54.095,54.23,94062.0
2023-05-25,CNS,54.12,54.52,53.24,53.66,106041.0
2023-05-26,CNS,53.61,54.09,53.405,54.04,85497.0
2023-05-30,CNS,53.965,54.655,53.82,54.55,119385.0
2023-05-31,CNS,54.45,55.2,53.775,54.41,280271.0
2023-06-01,CNS,54.55,55.73,54.02,55.69,226839.0
2023-06-02,CNS,56.5,58.53,56.31,58.44,364712.0
2023-06-05,CNS,58.01,58.745,57.88,57.97,244397.0
2023-06-06,CNS,57.7,60.17,57.7,59.42,199455.0
2023-06-07,CNS,59.8,60.69,59.27,60.43,215477.0
2023-06-08,CNS,60.1,61.82,59.63,61.58,193413.0
2023-06-09,CNS,61.7,61.73,60.06,60.06,220576.0
