Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,COHN,9.25,9.3,9.25,9.3,494.0
2022-11-10,COHN,9.4259,9.5,9.25,9.4999,4172.0
2022-11-11,COHN,9.31,9.49,9.3,9.3,1966.0
2022-11-14,COHN,9.5299,9.5299,9.5299,9.5299,411.0
2022-11-15,COHN,9.7799,10.24,9.6201,10.02,14859.0
2022-11-16,COHN,10.1984,10.6374,9.9,10.5,62658.0
2022-11-17,COHN,10.49,10.49,9.9,10.355,21184.0
2022-11-18,COHN,10.0,10.075,9.69,9.8585,11719.0
2022-11-21,COHN,10.0814,10.0814,9.55,9.55,4401.0
2022-11-22,COHN,9.76,9.8,9.16,9.3324,8257.0
2022-11-23,COHN,8.925,9.2499,8.92,9.2499,7820.0
2022-11-25,COHN,9.2,9.33,8.65,8.6954,4348.0
2022-11-28,COHN,8.75,9.22,8.22,8.62,9748.0
2022-11-29,COHN,8.41,8.71,8.2,8.35,10834.0
2022-11-30,COHN,8.43,8.95,8.27,8.84,12157.0
2022-12-01,COHN,8.83,8.85,8.3305,8.34,12103.0
2022-12-02,COHN,8.53,8.82,8.4,8.7589,14605.0
2022-12-05,COHN,8.8304,8.9037,8.4,8.45,12200.0
2022-12-06,COHN,8.45,8.45,8.06,8.2386,4801.0
2022-12-07,COHN,8.4459,8.75,8.4437,8.65,7075.0
2022-12-08,COHN,8.53,8.9,8.39,8.87,4536.0
2022-12-09,COHN,8.67,8.8635,8.55,8.75,2692.0
2022-12-12,COHN,8.76,9.255,8.76,9.255,4127.0
2022-12-13,COHN,9.35,9.8769,9.145,9.2699,14261.0
2022-12-14,COHN,9.4427,9.5499,8.89,9.5299,5965.0
2022-12-15,COHN,9.21,9.3588,8.6,8.8629,16475.0
2022-12-16,COHN,9.0,9.1799,8.5,8.5,7995.0
2022-12-19,COHN,8.6883,8.6883,8.28,8.46,3178.0
2022-12-20,COHN,8.5,8.62,8.22,8.62,3689.0
2022-12-21,COHN,8.38,8.5499,8.19,8.4599,8020.0
2022-12-22,COHN,8.5,8.7447,8.1601,8.5099,4058.0
2022-12-23,COHN,8.37,8.8171,8.37,8.79,2744.0
2022-12-27,COHN,9.42,9.42,8.5802,8.7283,4001.0
