Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CORZW,0.034,0.0561,0.0154,0.027,151760.0
2022-11-10,CORZW,0.0325,0.0354,0.031,0.031,69761.0
2022-11-11,CORZW,0.031,0.039,0.0221,0.028,43176.0
2022-11-14,CORZW,0.03,0.0322,0.0274,0.0322,30308.0
2022-11-15,CORZW,0.0351,0.05,0.035,0.0499,126457.0
2022-11-16,CORZW,0.0455,0.0455,0.0425,0.0425,8605.0
2022-11-17,CORZW,0.0499,0.0499,0.035,0.0433,27185.0
2022-11-18,CORZW,0.0499,0.0499,0.0341,0.0425,48430.0
2022-11-21,CORZW,0.0491,0.0491,0.0341,0.0343,38394.0
2022-11-22,CORZW,0.04,0.04,0.034,0.034,9338.0
2022-11-23,CORZW,0.036,0.04,0.035,0.039,10417.0
2022-11-25,CORZW,0.045,0.045,0.045,0.045,1764.0
2022-11-28,CORZW,0.028,0.044,0.0199,0.044,22938.0
2022-11-29,CORZW,0.0449,0.09,0.0445,0.0445,155774.0
2022-11-30,CORZW,0.0445,0.0516,0.039,0.04,57073.0
2022-12-01,CORZW,0.06,0.06,0.039,0.039,31468.0
2022-12-02,CORZW,0.0365,0.0478,0.0225,0.0323,40474.0
2022-12-05,CORZW,0.029,0.0597,0.029,0.0321,14525.0
2022-12-06,CORZW,0.0275,0.05,0.02,0.027,25128.0
2022-12-07,CORZW,0.022,0.03,0.022,0.029899,49953.0
2022-12-08,CORZW,0.0244,0.0352,0.015,0.0242,163647.0
2022-12-09,CORZW,0.0327,0.04,0.0239,0.024,25658.0
2022-12-12,CORZW,0.024,0.0263,0.02,0.0263,139110.0
2022-12-13,CORZW,0.03,0.0383,0.022,0.029,33753.0
2022-12-14,CORZW,0.0206,0.051,0.0202,0.04,265640.0
2022-12-15,CORZW,0.11,0.1176,0.06,0.09,696172.0
2022-12-16,CORZW,0.06,0.0835,0.0465,0.0671,159409.0
2022-12-19,CORZW,0.0671,0.0671,0.0401,0.0415,154049.0
2022-12-20,CORZW,0.04,0.0849,0.0296,0.06191,243588.0
2022-12-21,CORZW,0.0311,0.0396,0.02,0.0251,506018.0
2022-12-22,CORZW,0.0201,0.149,0.0201,0.0699,1752394.0
2022-12-23,CORZW,0.0964,0.0975,0.047,0.0651,935848.0
2022-12-27,CORZW,0.065,0.065,0.045,0.05,247256.0
2022-12-28,CORZW,0.0499,0.055,0.0385,0.0443,257044.0
2022-12-29,CORZW,0.0415,0.0415,0.03,0.0372,438652.0
2022-12-30,CORZW,0.04,0.04,0.0225,0.0225,286905.0
2024-01-24,CORZW,1.6,1.9,1.2,1.2,272271.0
2024-01-25,CORZW,1.1,1.2,0.8,1.08,1465457.0
2024-01-26,CORZW,0.9505,1.3,0.95,1.25,1337337.0
2024-01-29,CORZW,1.16,1.39,1.15,1.28,1521411.0
2024-01-30,CORZW,1.12,1.25,1.12,1.19,649886.0
2024-01-31,CORZW,1.11,1.21,1.06,1.2,717503.0
2024-02-01,CORZW,1.12,1.2,1.01,1.0598,313532.0
2024-02-02,CORZW,1.0,1.2865,1.0,1.22,407648.0
2024-02-05,CORZW,1.25,1.35,1.25,1.2891,376112.0
2024-02-06,CORZW,1.34,1.88,1.29,1.58,573379.0
2024-02-07,CORZW,1.59,1.6999,1.5357,1.55,257927.0
2024-02-08,CORZW,1.6,1.8,1.6,1.74,248460.0
2024-02-09,CORZW,2.0,2.02,1.85,1.91,375052.0
2024-02-12,CORZW,1.86,2.0799,1.86,1.95,499053.0
2024-02-13,CORZW,1.89,1.89,1.7314,1.8,203155.0
2024-02-14,CORZW,1.85,1.9898,1.52,1.79,482219.0
2024-02-15,CORZW,1.71,1.84,1.61,1.72,256584.0
2024-02-16,CORZW,1.56,1.8085,1.56,1.6,239463.0
2024-02-20,CORZW,1.58,1.65,1.4301,1.44,292523.0
2024-02-21,CORZW,1.4,1.51,1.25,1.33,178066.0
2024-02-22,CORZW,1.31,1.4299,1.27,1.34,199330.0
2024-02-23,CORZW,1.21,1.37,1.15,1.21,131780.0
2024-02-26,CORZW,1.16,1.44,1.16,1.29,335576.0
2024-02-27,CORZW,1.46,1.55,1.39,1.47,331555.0
2024-02-28,CORZW,1.73,2.0461,1.61,1.78,952028.0
2024-02-29,CORZW,1.96,1.98,1.716,1.87,454200.0
2024-03-01,CORZW,1.9,1.9,1.63,1.7,297063.0
2024-03-04,CORZW,1.73,1.87,1.73,1.75,301455.0
2024-03-05,CORZW,1.65,1.85,1.6,1.66,197200.0
2024-03-06,CORZW,1.68,1.83,1.67,1.83,178792.0
2024-03-07,CORZW,1.85,1.97,1.83,1.86,271250.0
2024-03-08,CORZW,1.91,2.0,1.7706,1.92,249894.0
2024-03-11,CORZW,1.95,2.01,1.76,1.83,361115.0
2024-03-12,CORZW,1.72,1.75,1.57,1.6,160702.0
2024-03-13,CORZW,1.55,1.6,1.23,1.41,540693.0
2024-03-14,CORZW,1.29,1.31,1.11,1.26,341929.0
2024-03-15,CORZW,1.17,1.48,1.17,1.3,477952.0
2024-03-18,CORZW,1.3,1.45,1.28,1.3,89578.0
2024-03-19,CORZW,1.27,1.27,1.2,1.26,72304.0
2024-03-20,CORZW,1.2001,1.39,1.2,1.35,358094.0
2024-03-21,CORZW,1.31,1.46,1.29,1.41,54083.0
2024-03-22,CORZW,1.35,1.45,1.26,1.33,73850.0
2024-03-25,CORZW,1.35,1.46,1.28,1.42,187599.0
2024-03-26,CORZW,1.37,1.42,1.3,1.31,161356.0
2024-03-27,CORZW,1.31,1.37,1.3,1.31,134447.0
2024-03-28,CORZW,1.31,1.425,1.3,1.33,232450.0
2024-04-01,CORZW,1.28,1.4,1.27,1.32,136221.0
2024-04-02,CORZW,1.26,1.3,1.18,1.25,91454.0
2024-04-03,CORZW,1.22,1.315,1.2001,1.25,138457.0
2024-04-04,CORZW,1.31,1.37,1.26,1.28,87600.0
2024-04-05,CORZW,1.21,1.3,1.21,1.25,41451.0
2024-04-08,CORZW,1.3,1.31,1.12,1.17,295090.0
2024-04-09,CORZW,1.11,1.17,1.11,1.145,160393.0
2024-04-10,CORZW,1.11,1.17,1.09,1.12,181059.0
2024-04-11,CORZW,1.1,1.14,0.95,0.985,194253.0
2024-04-12,CORZW,0.95,1.09,0.95,1.02,152968.0
2024-04-15,CORZW,0.95,1.05,0.875,0.88,162156.0
2024-04-16,CORZW,0.82,0.83,0.7601,0.82,248776.0
2024-04-17,CORZW,0.7845,0.88,0.76,0.8,61221.0
2024-04-18,CORZW,0.8,0.93,0.79,0.89,158237.0
2024-04-19,CORZW,0.8886,1.0,0.8722,0.98,112030.0
2024-04-22,CORZW,1.15,1.15,1.07,1.1,125084.0
2024-04-23,CORZW,1.01,1.24,1.01,1.23,213731.0
2024-04-24,CORZW,1.15,1.19,1.09,1.15,244369.0
2024-04-25,CORZW,1.09,1.15,1.0601,1.11,157845.0
2024-04-26,CORZW,1.15,1.16,1.09,1.14,111414.0
2024-04-29,CORZW,1.1,1.2,0.97,0.98,314844.0
2024-04-30,CORZW,1.0,1.03,0.88,0.9125,156369.0
2024-05-01,CORZW,0.89,0.95,0.888,0.94,57710.0
2024-05-02,CORZW,1.02,1.02,0.905,0.94,164761.0
2024-05-03,CORZW,1.02,1.05,0.94,0.975,169511.0
2024-05-06,CORZW,0.96,1.19,0.96,1.08,125516.0
2024-05-07,CORZW,1.05,1.14,0.995,1.14,105239.0
2024-05-08,CORZW,1.01,1.21,1.01,1.2,166150.0
2024-05-09,CORZW,1.39,1.39,1.23,1.34,291279.0
2024-05-10,CORZW,1.5,1.5,1.21,1.28,255750.0
2024-05-13,CORZW,1.3,1.39,1.2584,1.26,151979.0
2024-05-14,CORZW,1.26,1.34,1.16,1.1901,100628.0
2024-05-15,CORZW,1.25,1.37,1.19,1.35,286647.0
2024-05-16,CORZW,1.34,1.35,1.26,1.3,98104.0
2024-05-17,CORZW,1.26,1.4,1.26,1.32,113570.0
2024-05-20,CORZW,1.29,1.4399,1.2801,1.39,215996.0
2024-05-21,CORZW,1.38,1.5,1.35,1.5,111089.0
2024-05-22,CORZW,1.45,1.57,1.39,1.55,225690.0
2024-05-23,CORZW,1.5,1.55,1.46,1.49,101982.0
2024-05-24,CORZW,1.46,1.9,1.46,1.86,656538.0
2024-05-28,CORZW,1.87,2.04,1.8,1.88,434773.0
2024-05-29,CORZW,1.88,2.05,1.77,2.0,432284.0
2024-05-30,CORZW,1.96,2.02,1.73,1.75,269605.0
2024-05-31,CORZW,1.78,1.78,1.55,1.72,251500.0
2024-06-03,CORZW,1.65,1.84,1.65,1.76,53606.0
2024-06-04,CORZW,2.26,2.56,1.92,2.31,8518353.0
2024-06-05,CORZW,2.27,2.6,2.1,2.48,2450354.0
2024-06-06,CORZW,2.55,3.31,2.5,2.94,5528347.0
2024-06-07,CORZW,2.8,3.3,2.76,2.86,3641155.0
