Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,COTY,6.96,7.0,6.515,6.62,5229158.0
2022-11-10,COTY,7.02,7.38,7.0,7.32,10746101.0
2022-11-11,COTY,7.35,7.88,7.335,7.76,12122710.0
2022-11-14,COTY,7.63,7.68,7.43,7.43,7756366.0
2022-11-15,COTY,7.77,7.925,7.555,7.65,8771270.0
2022-11-16,COTY,7.57,7.655,7.51,7.58,4941970.0
2022-11-17,COTY,7.43,7.76,7.365,7.73,4662398.0
2022-11-18,COTY,7.88,7.9127,7.73,7.77,5601742.0
2022-11-21,COTY,7.61,7.7,7.4415,7.5,3783330.0
2022-11-22,COTY,7.54,7.61,7.495,7.59,3163852.0
2022-11-23,COTY,7.59,7.72,7.56,7.59,3479909.0
2022-11-25,COTY,7.53,7.64,7.515,7.58,1261009.0
2022-11-28,COTY,7.41,7.5675,7.35,7.46,3814394.0
2022-11-29,COTY,7.49,7.52,7.4,7.45,3222460.0
2022-11-30,COTY,7.5,7.895,7.445,7.87,5857639.0
2022-12-01,COTY,7.83,7.99,7.8,7.94,3956245.0
2022-12-02,COTY,7.82,8.11,7.8,8.07,3074434.0
2022-12-05,COTY,7.96,8.03,7.855,7.9,3943879.0
2022-12-06,COTY,7.98,8.03,7.82,7.95,3821413.0
2022-12-07,COTY,7.86,7.92,7.75,7.82,2806336.0
2022-12-08,COTY,7.94,8.05,7.9,8.02,3635783.0
2022-12-09,COTY,7.97,7.97,7.87,7.89,2536646.0
2022-12-12,COTY,7.9,7.93,7.8,7.92,3450074.0
2022-12-13,COTY,8.25,8.43,8.13,8.23,7949246.0
2022-12-14,COTY,8.2,8.26,8.075,8.16,6996845.0
2022-12-15,COTY,7.94,8.025,7.81,7.92,13003058.0
2022-12-16,COTY,7.81,7.97,7.78,7.94,7111537.0
2022-12-19,COTY,7.95,8.2,7.77,7.78,7368190.0
2022-12-20,COTY,7.74,8.055,7.72,7.96,4761829.0
2022-12-21,COTY,8.0,8.35,8.0,8.31,7262888.0
2022-12-22,COTY,8.2,8.28,8.1,8.27,5095127.0
2022-12-23,COTY,8.22,8.35,8.195,8.32,4347411.0
2022-12-27,COTY,8.34,8.51,8.295,8.47,4820078.0
2022-12-28,COTY,8.44,8.56,8.39,8.42,5923499.0
2022-12-29,COTY,8.46,8.675,8.45,8.64,5577889.0
2022-12-30,COTY,8.52,8.615,8.47,8.56,4830771.0
2023-01-03,COTY,8.81,8.845,8.59,8.77,9223852.0
2023-01-04,COTY,8.8,9.11,8.77,9.04,8729294.0
2023-01-05,COTY,8.91,9.02,8.765,8.98,7738130.0
2023-01-06,COTY,9.06,9.25,9.0,9.2,6321346.0
2023-01-09,COTY,9.23,9.49,9.21,9.38,8051651.0
2023-01-10,COTY,9.34,9.54,9.34,9.45,5401295.0
2023-01-11,COTY,9.46,9.545,9.275,9.29,6436578.0
2023-01-12,COTY,9.35,9.43,9.225,9.42,6465328.0
2023-01-13,COTY,9.37,9.52,9.33,9.51,4828301.0
2023-01-17,COTY,9.52,9.63,9.505,9.52,4285591.0
2023-01-18,COTY,9.53,9.6,9.315,9.42,5517954.0
2023-01-19,COTY,9.3,9.45,9.25,9.35,4012185.0
2023-01-20,COTY,9.42,9.53,9.37,9.52,3872797.0
2023-01-23,COTY,9.52,9.575,9.455,9.57,3873114.0
2023-01-24,COTY,9.58,9.85,9.43,9.79,4509738.0
2023-01-25,COTY,9.62,9.8784,9.57,9.85,4566501.0
2023-01-26,COTY,9.93,10.0185,9.88,9.96,5315118.0
2023-01-27,COTY,9.92,9.945,9.76,9.86,3984962.0
2023-01-30,COTY,9.82,9.9497,9.75,9.83,3849022.0
2023-01-31,COTY,9.89,9.96,9.81,9.96,4789289.0
2023-02-01,COTY,9.89,10.31,9.865,10.25,6256740.0
2023-02-02,COTY,10.29,10.58,10.215,10.39,9271095.0
2023-02-03,COTY,10.3,10.39,10.18,10.22,7216770.0
2023-02-06,COTY,10.1,10.23,10.07,10.16,6011868.0
2023-02-07,COTY,10.09,10.36,10.03,10.35,7672546.0
2023-02-08,COTY,10.3,10.3,9.861,10.16,8129611.0
2023-02-09,COTY,10.42,10.44,10.185,10.33,6875391.0
2023-02-10,COTY,10.21,10.435,10.175,10.41,6336505.0
2023-02-13,COTY,10.5,11.2,10.48,11.17,12569836.0
2023-02-14,COTY,11.12,11.655,11.12,11.27,13730104.0
2023-02-15,COTY,11.16,11.42,11.16,11.39,7661710.0
2023-02-16,COTY,11.19,11.34,11.13,11.23,6402297.0
2023-02-17,COTY,11.15,11.235,10.9,11.05,6416607.0
2023-02-21,COTY,10.89,11.175,10.86,11.09,6665273.0
2023-02-22,COTY,11.08,11.365,11.0233,11.18,9181117.0
2023-02-23,COTY,11.29,11.41,11.15,11.38,5093784.0
