Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CPIX,2.37,2.43,2.28,2.29,17607
2022-11-10,CPIX,2.34,2.4148,2.28,2.32,25706
2022-11-11,CPIX,2.2999,2.35,2.23,2.35,16735
2022-11-14,CPIX,2.31,2.33,2.26,2.26,7689
2022-11-15,CPIX,2.31,2.35,2.22,2.29,7445
2022-11-16,CPIX,2.28,2.34,2.23,2.3,3783
2022-11-17,CPIX,2.22,2.32,2.22,2.29,10258
2022-11-18,CPIX,2.3,2.3,2.2,2.22,22026
2022-11-21,CPIX,2.28,2.5189,2.28,2.31,29268
2022-11-22,CPIX,2.39,2.4,2.25,2.27,9843
2022-11-23,CPIX,2.21,2.31,2.21,2.3,22915
2022-11-25,CPIX,2.3,2.42,2.24,2.25,22722
2022-11-28,CPIX,2.47,2.47,2.3,2.33,21780
2022-11-29,CPIX,2.36,2.4305,2.2201,2.3982,11127
2022-11-30,CPIX,2.24,2.3388,2.23,2.27,8905
2022-12-01,CPIX,2.23,2.33,2.23,2.3,14319
2022-12-02,CPIX,2.21,2.3,2.21,2.25,18189
2022-12-05,CPIX,2.2204,2.2204,2.16,2.19,11804
2022-12-06,CPIX,2.2,2.22,2.16,2.175,6125
2022-12-07,CPIX,2.16,2.18,2.16,2.18,2734
2022-12-08,CPIX,2.16,2.2,2.16,2.16,7602
2022-12-09,CPIX,2.1217,2.16,2.09,2.14,20303
2022-12-12,CPIX,2.14,2.17,2.07,2.17,4697
2022-12-13,CPIX,2.1389,2.18,2.12,2.15,4013
2022-12-14,CPIX,2.14,2.27,2.14,2.19,16812
2022-12-15,CPIX,2.16,2.2713,2.16,2.26,4760
2022-12-16,CPIX,2.15,2.27,2.1488,2.27,12125
2022-12-19,CPIX,2.18,2.26,2.14,2.16,6714
2022-12-20,CPIX,2.2078,2.34,2.12,2.16,8210
2022-12-21,CPIX,2.09,2.31,2.05,2.11,10447
2022-12-22,CPIX,2.07,2.235,2.07,2.235,766
2022-12-23,CPIX,2.08,2.1585,2.08,2.11,1904
2022-12-27,CPIX,2.26,2.3699,2.2,2.32,22131
2022-12-28,CPIX,2.32,2.39,2.28,2.37,7548
2022-12-29,CPIX,2.3173,2.4,2.31,2.4,13754
2022-12-30,CPIX,2.375,2.3798,2.25,2.25,8552
2023-01-03,CPIX,2.25,2.3625,2.24,2.31,17222
2023-01-04,CPIX,2.31,2.3799,2.3,2.37,17871
2023-01-05,CPIX,2.31,2.4244,2.2667,2.41,6630
2023-01-06,CPIX,2.24,2.48,2.24,2.43,8544
2023-01-09,CPIX,2.41,2.55,2.41,2.51,35111
2023-01-10,CPIX,2.51,2.7099,2.51,2.51,62441
2023-01-11,CPIX,2.61,2.72,2.43,2.49,17243
2023-01-12,CPIX,2.4507,2.66,2.4507,2.66,8666
2023-01-13,CPIX,2.7,2.7999,2.56,2.75,20768
2023-01-17,CPIX,2.77,2.91,2.71,2.71,6675
2023-01-18,CPIX,2.59,2.8124,2.59,2.61,20865
2023-01-19,CPIX,2.53,2.73,2.53,2.69,6074
2023-01-20,CPIX,2.64,2.66,2.64,2.66,2608
2023-01-23,CPIX,2.61,2.78,2.61,2.61,16995
2023-01-24,CPIX,2.6,2.69,2.6,2.65,2432
2023-01-25,CPIX,2.65,2.7499,2.65,2.71,5639
2023-01-26,CPIX,2.72,2.7396,2.72,2.735,2242
2023-01-27,CPIX,2.75,2.78,2.7,2.73,3648
2023-01-30,CPIX,2.7,2.7001,2.7,2.7001,2260
2023-01-31,CPIX,2.7403,2.7403,2.7,2.71,3187
2023-02-01,CPIX,2.71,2.73,2.7,2.7,10594
2023-02-02,CPIX,2.7,2.7,2.59,2.6,15648
2023-02-03,CPIX,2.5983,2.75,2.59,2.59,32219
2023-02-06,CPIX,2.64,2.6672,2.58,2.6,7271
2023-02-07,CPIX,2.6,2.65,2.59,2.59,14477
2023-02-08,CPIX,2.6358,2.6358,2.37,2.54,29750
2023-02-09,CPIX,2.365,2.53,2.365,2.53,20142
2023-02-10,CPIX,2.4365,2.79,2.4365,2.62,118163
2023-02-13,CPIX,2.496,2.565,2.496,2.52,5185
2023-02-14,CPIX,2.46,2.51,2.46,2.5,3277
2023-02-15,CPIX,2.47,2.51,2.4601,2.48,3050
2023-02-16,CPIX,2.47,2.4937,2.42,2.49,7343
2023-02-17,CPIX,2.4638,2.5093,2.45,2.49,4983
2023-02-21,CPIX,2.455,2.455,2.4001,2.42,7844
2023-02-22,CPIX,2.42,2.4251,2.36,2.36,4266
2023-02-23,CPIX,2.44,2.44,2.28,2.32,5896
2023-02-24,CPIX,2.28,2.3,2.23,2.27,5787
2023-02-27,CPIX,2.26,2.3,2.24,2.24,6366
2023-02-28,CPIX,2.24,2.3,2.22,2.3,10723
2023-03-01,CPIX,2.26,2.33,2.25,2.27,3764
2023-03-02,CPIX,2.25,2.26,2.25,2.25,846
2023-03-03,CPIX,2.56,2.56,2.28,2.3,4411
2023-03-06,CPIX,2.21,2.3156,2.21,2.22,4561
2023-03-07,CPIX,2.22,2.3728,2.22,2.31,6944
2023-03-08,CPIX,2.37,2.38,2.25,2.27,6001
2023-03-09,CPIX,2.27,2.29,2.2,2.27,5442
2023-03-10,CPIX,2.2,2.2,2.2,2.2,891
2023-03-13,CPIX,2.2197,2.22,2.07,2.15,28564
2023-03-14,CPIX,2.1616,2.29,2.15,2.15,28257
2023-03-15,CPIX,2.0731,2.21,2.07,2.08,7830
2023-03-16,CPIX,2.07,2.29,2.07,2.2,28093
2023-03-17,CPIX,2.1623,2.1623,1.92,1.92,24461
2023-03-20,CPIX,1.92,2.0886,1.9142,2.0,43700
2023-03-21,CPIX,2.0844,2.0899,1.96,1.97,14937
