Date,Ticker,Open,High,Low,Close,Volume
2022-11-09,CPTNW,0.19,0.21,0.121,0.21,1876.0
2022-11-10,CPTNW,0.1801,0.205,0.168921,0.205,470.0
2022-11-11,CPTNW,0.1312,0.20025,0.1306,0.1991,3270.0
2022-11-14,CPTNW,0.1567,0.2048,0.1567,0.2048,2550.0
2022-11-16,CPTNW,0.1403,0.195,0.1403,0.1949,1500.0
2022-11-17,CPTNW,0.1503,0.1503,0.1403,0.1495,15070.0
2022-11-18,CPTNW,0.12,0.1497,0.118749,0.1496,34327.0
2022-11-23,CPTNW,0.139599,0.139599,0.139599,0.139599,500.0
2022-11-28,CPTNW,0.1362,0.136301,0.1277,0.1323,2533.0
2022-11-29,CPTNW,0.1916,0.1916,0.125,0.128,12743.0
2022-11-30,CPTNW,0.1323,0.1699,0.13,0.145,24281.0
2022-12-02,CPTNW,0.1421,0.1899,0.1333,0.1722,26546.0
2022-12-05,CPTNW,0.142,0.16,0.0675,0.124099,527329.0
2022-12-06,CPTNW,0.108,0.108,0.108,0.108,2000.0
2022-12-07,CPTNW,0.09,0.1237,0.09,0.12,29267.0
2022-12-12,CPTNW,0.08,0.115,0.075,0.1001,6490.0
2022-12-13,CPTNW,0.1,0.1,0.1,0.1,1365.0
2022-12-14,CPTNW,0.113,0.1309,0.0986,0.13,38640.0
2022-12-16,CPTNW,0.145,0.1674,0.1307,0.1307,4746.0
2022-12-19,CPTNW,0.12,0.1317,0.12,0.1202,8097.0
2022-12-20,CPTNW,0.105,0.1567,0.105,0.1567,800.0
2022-12-22,CPTNW,0.1001,0.1346,0.085,0.095,3352.0
2022-12-23,CPTNW,0.095,0.1339,0.09,0.1239,17121.0
2022-12-27,CPTNW,0.1378,0.15,0.1378,0.1378,13520.0
2022-12-28,CPTNW,0.0925,0.13,0.0825,0.12,9209.0
2022-12-29,CPTNW,0.1,0.11,0.085,0.11,48483.0
2022-12-30,CPTNW,0.085,0.107,0.085,0.0851,4961.0
2023-01-04,CPTNW,0.1,0.1166,0.1,0.105,19483.0
2023-01-05,CPTNW,0.11,0.1249,0.11,0.1249,3909.0
2023-01-06,CPTNW,0.12,0.1449,0.12,0.1449,3600.0
2023-01-09,CPTNW,0.119799,0.119799,0.10955,0.10955,1920.0
2023-01-10,CPTNW,0.125,0.1292,0.1,0.127,19960.0
2023-01-13,CPTNW,0.11,0.115,0.0937,0.114699,39040.0
2023-01-17,CPTNW,0.1241,0.1241,0.0926,0.12,1120.0
2023-01-18,CPTNW,0.0965,0.14,0.09,0.12,8076.0
2023-01-19,CPTNW,0.10455,0.12,0.089024,0.12,27282.0
2023-01-20,CPTNW,0.09,0.12,0.09,0.106,15200.0
2023-01-23,CPTNW,0.114299,0.119199,0.114299,0.1153,5420.0
2023-01-24,CPTNW,0.1153,0.1225,0.103,0.1065,8029.0
2023-01-27,CPTNW,0.102,0.1625,0.09,0.0901,6371.0
2023-01-30,CPTNW,0.0901,0.113,0.0775,0.0812,21731.0
2023-01-31,CPTNW,0.1,0.1098,0.0752,0.0991,18605.0
2023-02-01,CPTNW,0.1098,0.1274,0.1042,0.121,33372.0
2023-02-02,CPTNW,0.12,0.1218,0.11205,0.1218,20100.0
2023-02-03,CPTNW,0.1219,0.1301,0.1,0.13,26790.0
2023-02-06,CPTNW,0.1625,0.1625,0.125,0.125,3901.0
2023-02-07,CPTNW,0.13,0.1625,0.13,0.1625,950.0
2023-02-08,CPTNW,0.1625,0.1625,0.14,0.1538,2061.0
2023-02-09,CPTNW,0.154,0.154,0.0816,0.1228,19125.0
2023-02-10,CPTNW,0.1625,0.1625,0.1625,0.1625,151.0
2023-02-13,CPTNW,0.16,0.161188,0.1,0.12875,2204.0
2023-02-14,CPTNW,0.1199,0.12,0.1077,0.1077,15393.0
2023-02-15,CPTNW,0.110101,0.1175,0.11,0.1175,8500.0
2023-02-17,CPTNW,0.1066,0.115126,0.1,0.1,7150.0
2023-02-21,CPTNW,0.105,0.110625,0.105,0.110625,9600.0
2023-02-23,CPTNW,0.105,0.1051,0.105,0.1051,715.0
2023-02-24,CPTNW,0.105,0.105,0.105,0.105,2977.0
2023-02-27,CPTNW,0.1031,0.1056,0.075,0.1011,182077.0
2023-02-28,CPTNW,0.099899,0.099899,0.099899,0.099899,100.0
2023-03-01,CPTNW,0.1,0.1,0.09,0.092,22867.0
2023-03-03,CPTNW,0.104499,0.1046,0.1023,0.1023,550.0
2023-03-06,CPTNW,0.1,0.1,0.09,0.1,5419.0
2023-03-08,CPTNW,0.09,0.09,0.080088,0.0833,6000.0
2023-03-10,CPTNW,0.08401,0.0937,0.029893,0.06,170037.0
2023-03-13,CPTNW,0.07,0.1049,0.07,0.09,74047.0
2023-03-14,CPTNW,0.092109,0.1,0.09,0.09,105841.0
2023-03-15,CPTNW,0.065,0.1,0.065,0.1,4088.0
2023-03-16,CPTNW,0.096899,0.096899,0.096899,0.096899,100.0
2023-03-17,CPTNW,0.087001,0.097,0.087001,0.097,4048.0
2023-03-20,CPTNW,0.087,0.087,0.08,0.08,633.0
2023-03-22,CPTNW,0.09,0.09,0.09,0.09,445.0
2023-03-23,CPTNW,0.09,0.1125,0.09,0.1125,7982.0
2023-03-24,CPTNW,0.075,0.117399,0.0498,0.0514,6650.0
2023-03-27,CPTNW,0.0524,0.0792,0.051,0.0792,2103.0
2023-03-28,CPTNW,0.0775,0.0789,0.0775,0.0789,301.0
